code,code_name,industry,industryClassification
sz.002850,科达利,电子,申万一级行业
sz.002851,麦格米特,电气设备,申万一级行业
sz.002852,道道全,农林牧渔,申万一级行业
sz.002853,皮阿诺,轻工制造,申万一级行业
sz.002855,捷荣技术,电子,申万一级行业
sz.002856,美芝股份,建筑装饰,申万一级行业
sz.002857,三晖电气,机械设备,申万一级行业
sz.002858,力盛赛车,传媒,申万一级行业
sz.002859,洁美科技,电子,申万一级行业
sz.002860,星帅尔,家用电器,申万一级行业
sz.002861,瀛通通讯,电子,申万一级行业
sz.002862,实丰文化,轻工制造,申万一级行业
sz.002863,今飞凯达,汽车,申万一级行业
sz.002864,盘龙药业,医药生物,申万一级行业
sz.002865,钧达股份,汽车,申万一级行业
sz.002866,传艺科技,电子,申万一级行业
sz.002867,周大生,轻工制造,申万一级行业
sz.002868,绿康生化,农林牧渔,申万一级行业
sz.002869,金溢科技,计算机,申万一级行业
sz.002870,香山股份,机械设备,申万一级行业
sz.002871,伟隆股份,机械设备,申万一级行业
sz.002873,新天药业,医药生物,申万一级行业
sz.002875,安奈儿,纺织服装,申万一级行业
sz.002876,三利谱,电子,申万一级行业
sz.002877,智能自控,机械设备,申万一级行业
sz.002878,元隆雅图,传媒,申万一级行业
sz.002879,长缆科技,电气设备,申万一级行业
sz.002880,卫光生物,医药生物,申万一级行业
sz.002881,美格智能,电子,申万一级行业
sz.002882,金龙羽,电气设备,申万一级行业
sz.002883,中设股份,建筑装饰,申万一级行业
sz.002884,凌霄泵业,机械设备,申万一级行业
sz.002885,京泉华,电子,申万一级行业
sz.002886,沃特股份,化工,申万一级行业
sz.002887,绿茵生态,建筑装饰,申万一级行业
sz.002888,惠威科技,电子,申万一级行业
sz.002889,东方嘉盛,交通运输,申万一级行业
sz.002890,弘宇股份,机械设备,申万一级行业
sz.002891,中宠股份,农林牧渔,申万一级行业
sz.002892,科力尔,电气设备,申万一级行业
sz.002893,华通热力,公用事业,申万一级行业
sz.002895,川恒股份,化工,申万一级行业
sz.002896,中大力德,机械设备,申万一级行业
sz.002897,意华股份,通信,申万一级行业
sz.002898,赛隆药业,医药生物,申万一级行业
sz.002899,英派斯,轻工制造,申万一级行业
sz.002900,哈三联,医药生物,申万一级行业
sz.002901,大博医疗,医药生物,申万一级行业
sz.002902,铭普光磁,电子,申万一级行业
sz.002903,宇环数控,机械设备,申万一级行业
sz.002905,金逸影视,传媒,申万一级行业
sz.002906,华阳集团,汽车,申万一级行业
sz.002907,华森制药,医药生物,申万一级行业
sz.002908,德生科技,通信,申万一级行业
sz.002909,集泰股份,化工,申万一级行业
sz.002910,庄园牧场,食品饮料,申万一级行业
sz.002911,佛燃股份,公用事业,申万一级行业
sz.002912,中新赛克,计算机,申万一级行业
sz.002913,奥士康,电子,申万一级行业
sz.002915,中欣氟材,化工,申万一级行业
sz.002916,深南电路,电子,申万一级行业
sz.002917,金奥博,化工,申万一级行业
sz.002918,蒙娜丽莎,建筑材料,申万一级行业
sz.002919,名臣健康,化工,申万一级行业
sz.002920,德赛西威,计算机,申万一级行业
sz.002921,联诚精密,汽车,申万一级行业
sz.002922,伊戈尔,电子,申万一级行业
sz.002923,润都股份,医药生物,申万一级行业
sz.002925,盈趣科技,电子,申万一级行业
sz.002926,华西证券,非银金融,申万一级行业
sz.002927,泰永长征,电气设备,申万一级行业
sz.002928,华夏航空,交通运输,申万一级行业
sz.002929,润建股份,通信,申万一级行业
sz.002930,宏川智慧,交通运输,申万一级行业
sz.002931,锋龙股份,汽车,申万一级行业
sz.002932,明德生物,医药生物,申万一级行业
sz.002933,新兴装备,国防军工,申万一级行业
sz.002935,天奥电子,国防军工,申万一级行业
sz.002936,郑州银行,银行,申万一级行业
sz.002937,兴瑞科技,电子,申万一级行业
sz.002938,鹏鼎控股,电子,申万一级行业
sz.002939,长城证券,非银金融,申万一级行业
sz.002940,昂利康,医药生物,申万一级行业
sz.002941,新疆交建,建筑装饰,申万一级行业
sz.002942,新农股份,化工,申万一级行业
sz.002943,宇晶股份,机械设备,申万一级行业
sz.002945,华林证券,非银金融,申万一级行业
sz.002946,新乳业,食品饮料,申万一级行业
sz.002947,恒铭达,电子,申万一级行业
sz.002948,青岛银行,银行,申万一级行业
sz.002949,华阳国际,建筑装饰,申万一级行业
sz.002950,奥美医疗,医药生物,申万一级行业
