code,code_name,industry,industryClassification
sh.600036,招商银行,银行,申万一级行业
sh.600048,保利地产,房地产,申万一级行业
sh.600298,安琪酵母,农林牧渔,申万一级行业
sh.600332,白云山,医药生物,申万一级行业
sh.600377,宁沪高速,交通运输,申万一级行业
sh.600566,济川药业,医药生物,申万一级行业
sh.600585,海螺水泥,建筑材料,申万一级行业
sh.600887,伊利股份,食品饮料,申万一级行业
sh.601155,新城控股,房地产,申万一级行业
sh.601318,中国平安,非银金融,申万一级行业
sh.603589,口子窖,食品饮料,申万一级行业
sz.000429,粤高速A,交通运输,申万一级行业
sz.000651,格力电器,家用电器,申万一级行业
sz.000656,金科股份,房地产,申万一级行业
sz.000963,华东医药,医药生物,申万一级行业
sz.002007,华兰生物,医药生物,申万一级行业
sz.002032,苏泊尔,家用电器,申万一级行业
sz.002142,宁波银行,银行,申万一级行业
sz.002304,洋河股份,食品饮料,申万一级行业
sz.002311,海大集团,农林牧渔,申万一级行业
sz.002507,涪陵榨菜,食品饮料,申万一级行业
sz.002557,洽洽食品,食品饮料,申万一级行业
