code,pubDate,statDate,dupontROE,dupontAssetStoEquity,dupontAssetTurn,dupontPnitoni,dupontNitogr,dupontTaxBurden,dupontIntburden,dupontEbittogr
sh.600000,2016-04-30,2016-03-31,0.042265,15.592726,0.008214,0.991949,0.332654,0.760663,,
sh.600000,2016-08-11,2016-06-30,0.081046,15.766660,0.015779,0.990015,0.329066,0.765529,,
sh.600000,2016-10-29,2016-09-30,0.120543,15.716937,0.022798,0.988915,0.340186,0.766228,,
sh.600000,2017-04-01,2016-12-31,0.155461,15.958635,0.029499,0.989213,0.333835,0.767103,,
sh.600000,2017-04-27,2017-03-31,0.038668,15.704279,0.007212,0.987369,0.345774,0.770206,,
sh.600000,2017-08-30,2017-06-30,0.074617,15.594453,0.014161,0.987483,0.342179,0.776088,,
sh.600000,2017-10-28,2017-09-30,0.106690,15.180217,0.020932,0.988112,0.339799,0.774455,,
sh.600000,2018-04-28,2017-12-31,0.136782,15.118785,0.028116,0.986473,0.326191,0.787678,,
sh.600000,2018-04-28,2018-03-31,0.033516,14.374283,0.006459,0.989349,0.364859,0.845259,,
sh.600000,2018-08-30,2018-06-30,0.065959,14.117024,0.013453,0.988547,0.351342,0.845994,,
sh.600000,2018-10-31,2018-09-30,0.098112,13.881491,0.020792,0.989534,0.343516,0.857957,,
sh.600000,2019-03-26,2018-12-31,0.124674,13.854311,,0.989366,0.329453,0.865679,,
sh.600004,2016-04-29,2016-03-31,0.034820,1.432952,0.101382,1.001350,0.239361,0.746853,1.019137,0.314474
sh.600004,2016-08-31,2016-06-30,0.070052,1.458161,0.206305,0.995629,0.233889,0.743854,1.016347,0.309372
sh.600004,2016-10-29,2016-09-30,0.104616,1.448530,0.309857,0.997394,0.233691,0.745796,1.014480,0.308872
sh.600004,2017-04-29,2016-12-31,0.137068,1.478416,0.410179,1.001373,0.225720,0.730790,1.008414,0.306294
sh.600004,2017-04-29,2017-03-31,0.037044,1.650853,0.087135,0.992872,0.259369,0.752025,1.003863,0.343567
sh.600004,2017-08-31,2017-06-30,0.062604,1.487809,0.173163,0.992945,0.244721,0.748142,1.004136,0.325758
sh.600004,2017-10-31,2017-09-30,0.092911,1.496859,0.259448,0.997162,0.239921,0.748149,1.001462,0.320218
sh.600004,2018-04-21,2017-12-31,0.123834,1.562219,0.335869,0.996590,0.236816,0.739338,0.989060,0.323852
sh.600004,2018-04-21,2018-03-31,0.028433,1.510720,0.074956,0.991729,0.253183,0.731798,1.008726,0.342981
sh.600004,2018-08-18,2018-06-30,0.045822,1.647366,0.147200,0.982202,0.192385,0.749548,0.968816,0.264930
sh.600004,2018-10-31,2018-09-30,0.059817,1.642523,0.230063,0.977661,0.161911,0.750190,0.945295,0.228316
sh.600005,2016-04-26,2016-03-31,0.001069,3.378888,0.134753,0.933904,0.002514,0.249537,0.217857,0.046237
sh.600005,2016-08-30,2016-06-30,0.009577,3.367478,0.300801,0.998188,0.009472,0.759500,0.347101,0.035929
sh.600005,2016-10-31,2016-09-30,0.012973,3.348469,0.448990,0.995168,0.008671,0.655426,0.306253,0.043196
sh.600006,2016-04-30,2016-03-31,0.018804,3.115776,0.164723,1.221127,0.030004,1.094389,1.042933,0.026288
sh.600006,2016-08-30,2016-06-30,0.034489,3.109277,0.343437,1.431458,0.022563,1.081720,1.193435,0.017478
