2011-04-26,股票具体名称,价格,指标,ROE,roe,PE,pe,板块
2010-06-26,新和成,6.154112854999999,3.3947960666666717,ROE,42.32846666666667,PE,11.798082,医药生物
2010-07-06,新和成,6.154112854999999,9.674422166666673,ROE,42.32846666666667,PE,9.895165,医药生物
2010-07-16,新和成,5.325357525,6.32528846666667,ROE,42.32846666666667,PE,10.910054,医药生物
2010-08-05,新和成,5.66059675,-6.13627713333333,ROE,42.32846666666667,PE,14.686286,医药生物
2010-08-25,新和成,7.70500645,-6.0804576333333245,ROE,42.32846666666667,PE,14.669371,医药生物
2010-09-04,新和成,7.49836719,-3.063022833333328,ROE,43.09346666666667,PE,13.986815,医药生物
2010-09-14,新和成,7.664338085,-4.637291133333321,ROE,43.09346666666667,PE,14.463866,医药生物
2010-10-14,新和成,7.93143032,-2.7587496333333235,ROE,43.09346666666667,PE,13.894611,医药生物
2010-11-03,新和成,7.644553475,-16.922629488888887,ROE,42.464111111111116,PE,17.995982,医药生物
2010-11-13,新和成,9.3070244,-12.982865088888879,ROE,42.464111111111116,PE,16.802114,医药生物
2010-11-23,新和成,9.232832,-12.962131188888883,ROE,42.464111111111116,PE,16.795831,医药生物
2010-12-03,新和成,8.64259024,-13.750082088888888,ROE,42.464111111111116,PE,17.034604,医药生物
2010-12-23,新和成,8.9195752,-13.314633888888885,ROE,42.464111111111116,PE,16.90265,医药生物
2011-01-12,新和成,8.78273144,-10.784893488888876,ROE,42.464111111111116,PE,16.136062,医药生物
2011-01-22,新和成,8.6063184,-7.9648520888888825,ROE,42.464111111111116,PE,15.281504,医药生物
2011-02-01,新和成,8.045753600000001,-8.732069088888885,ROE,42.464111111111116,PE,15.513994,医药生物
2011-02-11,新和成,8.141379359999998,-8.89795348888888,ROE,42.464111111111116,PE,15.564262,医药生物
2011-03-03,新和成,8.317792399999998,-15.657155388888874,ROE,42.464111111111116,PE,17.612505,医药生物
2011-03-23,新和成,8.7052416,-23.646930588888885,ROE,42.464111111111116,PE,20.033649,医药生物
2011-04-02,新和成,10.20392808,-25.261300488888885,ROE,42.464111111111116,PE,20.522852,医药生物
2011-04-12,新和成,10.0407048,-24.477339288888878,ROE,42.464111111111116,PE,20.285288,医药生物
2011-04-22,新和成,10.2962564,-28.331808588888883,ROE,42.464111111111116,PE,21.453309,医药生物
2011-05-12,新和成,10.52872592,-41.42216629999999,ROE,24.3241,PE,19.923111,医药生物
2011-06-01,新和成,10.06708432,-34.133459599999995,ROE,24.3241,PE,17.714412,医药生物
2011-06-11,新和成,9.21275215,-36.2249996,ROE,24.3241,PE,18.348212,医药生物
2011-06-21,新和成,9.61345238,-32.16867589999999,ROE,24.3241,PE,17.119023,医药生物
2011-07-01,新和成,8.94450095,-37.8940109,ROE,24.3241,PE,18.853973,医药生物
2011-07-21,新和成,9.87332073,-38.69682499999999,ROE,24.3241,PE,19.09725,医药生物
2011-08-10,新和成,10.04097773,-33.394025299999996,ROE,24.3241,PE,17.490341,医药生物
2011-08-20,新和成,9.18089732,-31.661634199999995,ROE,24.3241,PE,16.965374,医药生物
2011-08-30,新和成,8.795286220000001,-28.3640069,ROE,24.3241,PE,15.966093,医药生物
2011-09-09,新和成,8.85396617,-24.521352833333335,ROE,25.037766666666666,PE,15.017915,医药生物
2011-09-29,新和成,8.18501474,-19.41403853333333,ROE,25.037766666666666,PE,13.470244,医药生物
2011-10-19,新和成,7.32493433,-17.395339433333337,ROE,25.037766666666666,PE,12.858517,医药生物
2011-10-29,新和成,6.99632661,-17.339968733333333,ROE,25.037766666666666,PE,12.841738,医药生物
2011-11-08,新和成,7.30313892,-19.773188299999997,ROE,24.6925,PE,13.474451,医药生物
2011-11-18,新和成,7.82790533,-19.347864500000004,ROE,24.6925,PE,13.345565,医药生物
2011-12-08,新和成,7.50265075,-15.809944399999996,ROE,24.6925,PE,12.273468,医药生物
2011-12-28,新和成,6.996326610000001,-11.750033599999998,ROE,24.6925,PE,11.043192,医药生物
2012-01-07,新和成,6.32234547,-9.526747699999998,ROE,24.6925,PE,10.369469,医药生物
2012-01-17,新和成,5.9182921,-10.880051299999995,ROE,24.6925,PE,10.779561,医药生物
2012-02-16,新和成,6.33575803,-17.356575199999998,ROE,24.6925,PE,12.742144,医药生物
