2011-04-26,万方发展,90.1344688111111,4.4325,综合
2014-03-11,保利地产,0.07208483333333326,3.85108425,房地产
2014-03-12,保利地产,-0.5621883666666676,3.85108425,房地产
2014-03-13,保利地产,-0.977747466666667,3.9937169999999997,房地产
2014-03-14,保利地产,-1.0871061666666684,4.0507700999999985,房地产
2014-03-15,保利地产,-0.8246472666666662,4.03365417,房地产
2014-03-18,保利地产,-1.0214922666666677,4.03365417,房地产
2014-03-19,保利地产,-0.5840607666666671,3.973748415,房地产
2014-03-20,保利地产,-0.3434742666666661,3.85108425,房地产
2014-03-21,保利地产,-0.2778603666666655,3.928105935,房地产
2014-03-22,保利地产,-1.283947866666665,3.973748415,房地产
2014-03-25,保利地产,-1.830734766666668,3.973748415,房地产
2014-03-26,保利地产,-1.918221066666666,4.296098430000002,房地产
2014-03-27,保利地产,-1.7651208666666651,4.236192675,房地产
2014-03-28,保利地产,-1.7432517666666651,4.264719225,房地产
2014-03-29,保利地产,-2.399394066666668,4.31891967,房地产
2014-04-01,保利地产,-2.1806799666666685,4.31891967,房地产
2014-04-02,保利地产,-2.413148466666668,4.39879401,房地产
2014-04-03,保利地产,-3.596709966666664,4.584216585,房地产
2014-04-04,保利地产,-3.3117780666666667,4.67264889,房地产
2014-04-05,保利地产,-3.4213677666666644,4.629859065,房地产
2014-04-09,保利地产,-3.881638566666664,4.629859065,房地产
2014-04-10,保利地产,-3.574791366666668,4.721144025,房地产
2014-04-11,保利地产,-3.3117780666666667,4.59277455,房地产
2014-04-12,保利地产,-3.092601966666665,4.55854269,房地产
2014-04-15,保利地产,-3.2241069666666657,4.55854269,房地产
2014-04-16,保利地产,-2.6104092666666663,4.498636935,房地产
2014-04-17,保利地产,-2.7419175666666664,4.464405075,房地产
2014-04-18,保利地产,-2.4789042666666656,4.447289145,房地产
2014-04-19,保利地产,-2.4569856666666663,4.395941355,房地产
2014-04-22,保利地产,-2.106301266666668,4.395941355,房地产
2014-04-23,保利地产,-2.347395966666665,4.3246249799999985,房地产
2014-04-24,保利地产,-2.3693145666666684,4.3788254250000005,房地产
2014-04-25,保利地产,-2.8295886666666643,4.46725773,房地产
2014-04-26,保利地产,-2.588490666666667,4.490078970000001,房地产
2014-04-29,保利地产,-2.588490666666667,4.490078970000001,房地产
2014-04-30,保利地产,-2.018630166666666,4.2846878099999985,房地产
2014-05-01,保利地产,-2.158777866666666,4.31321436,房地产
2014-05-06,保利地产,-3.5508784666666653,4.31321436,房地产
2014-05-07,保利地产,-3.333309466666666,4.19340285,房地产
2014-05-08,保利地产,-3.1374973666666666,4.133497095,房地产
2014-05-09,保利地产,-3.1374973666666666,4.133497095,房地产
2014-05-10,保利地产,-2.9416852666666653,4.05647541,房地产
2014-05-13,保利地产,-3.1374973666666666,4.05647541,房地产
2014-05-14,保利地产,-3.5943922666666652,4.162023645,房地产
2014-05-15,保利地产,-3.855475066666665,4.34174091,房地产
2014-05-16,保利地产,-3.529121566666665,4.236192675,房地产
2014-05-17,保利地产,-3.7902043666666665,4.2846878099999985,房地产
2014-05-20,保利地产,-3.6379060666666683,4.2846878099999985,房地产
2014-05-21,保利地产,-3.703176766666667,4.24475064,房地产
2014-05-22,保利地产,-3.898988866666668,4.264719225,房地产
2014-05-23,保利地产,-3.3550663666666662,4.40868285,房地产
2014-05-24,保利地产,-4.040410366666665,4.42649571,房地产
2014-05-27,保利地产,-3.909868966666666,4.42649571,房地产
2014-05-28,保利地产,-4.073044066666666,4.511106795,房地产
2014-05-29,保利地产,-4.366763866666668,4.555638945,房地产
2014-05-30,保利地产,-4.1383147666666655,4.609077525,房地产
2014-05-31,保利地产,-3.877231966666665,4.4932939350000005,房地产
2014-06-04,保利地产,-3.8119612666666662,4.4932939350000005,房地产
2014-06-05,保利地产,-3.3550663666666662,4.377510345,房地产
2014-06-06,保利地产,-3.583512166666667,4.359697485,房地产
2014-06-07,保利地产,-3.616149166666665,4.39086999,房地产
2014-06-10,保利地产,-4.2688561666666685,4.39086999,房地产
2014-06-11,保利地产,-4.693117366666668,4.653609675,房地产
2014-06-12,保利地产,-4.693117366666668,4.6936886100000015,房地产
2014-06-13,保利地产,-4.301493166666669,4.617983955,房地产
2014-06-14,保利地产,-3.7229008666666648,4.5912646650000015,房地产
2014-06-17,保利地产,-4.236222466666666,4.5912646650000015,房地产
2014-06-18,保利地产,-3.6814198666666673,4.484387505,房地产
2014-06-19,保利地产,-3.6487861666666657,4.426495709999998,房地产
2014-06-20,保利地产,-3.518241466666668,4.3908699900000006,房地产
2014-06-21,保利地产,-3.5508784666666653,4.38196356,房地产
2014-06-24,保利地产,-3.5508784666666653,4.38196356,房地产
2014-06-25,保利地产,-3.6814198666666673,4.39977642,房地产
2014-06-26,保利地产,-3.452970766666665,4.359697485,房地产
2014-06-27,保利地产,-3.518241466666668,4.3730571299999985,房地产
2014-06-28,保利地产,-3.5508784666666653,4.38196356,房地产
2014-07-01,保利地产,-3.6814198666666673,4.38196356,房地产
2014-07-02,保利地产,-3.6487861666666657,4.40868285,房地产
2014-07-03,保利地产,-3.6487861666666657,4.39977642,房地产
2014-07-04,保利地产,-3.616149166666665,4.40868285,房地产
2014-07-05,保利地产,-3.909868966666666,4.4443085700000005,房地产
2014-07-08,保利地产,-4.301493166666669,4.4443085700000005,房地产
2014-07-09,保利地产,-4.301493166666669,4.5957178800000005,房地产
2014-07-10,保利地产,-3.9751396666666654,4.537826085,房地产
2014-07-11,保利地产,-4.1383147666666655,4.528919654999998,房地产
2014-07-12,保利地产,-4.562575966666668,4.64025003,房地产
2014-07-15,保利地产,-4.693117366666668,4.64025003,房地产
2014-07-16,保利地产,-4.497305266666666,4.64915646,房地产
2014-07-17,保利地产,-4.954203466666668,4.7204079000000005,房地产
2014-07-18,保利地产,-4.9215664666666665,4.75603362,房地产
2014-07-19,保利地产,-5.639547466666665,4.93416222,房地产
2014-07-22,保利地产,-6.129076066666667,4.93416222,房地产
2014-07-23,保利地产,-6.390162166666667,5.14791654,房地产
2014-07-24,保利地产,-6.390162166666667,5.205808335,房地产
2014-07-25,保利地产,-7.826120866666665,5.38839015,房地产
2014-07-26,保利地产,-7.728213166666665,5.47745445,房地产
2014-07-29,保利地产,-7.956662266666667,5.47745445,房地产
2014-07-30,保利地产,-7.956662266666667,5.521986599999999,房地产
2014-07-31,保利地产,-6.716515666666668,5.366124075,房地产
2014-08-01,保利地产,-7.108139866666662,5.259246915,房地产
2014-08-02,保利地产,-6.716515666666668,5.27260656,房地产
2014-08-05,保利地产,-6.716515666666668,5.27260656,房地产
2014-08-06,保利地产,-6.944961466666664,5.312685495,房地产
2014-08-07,保利地产,-6.944961466666664,5.21916798,房地产
2014-08-08,保利地产,-6.683878666666668,5.27260656,房地产
2014-08-09,保利地产,-6.226983766666665,5.15682297,房地产
2014-08-12,保利地产,-6.422795866666666,5.15682297,房地产
2014-08-13,保利地产,-6.422795866666666,5.1657294,房地产
2014-08-14,保利地产,-6.357525166666668,5.143463325,房地产
2014-08-15,保利地产,-6.0964423666666665,5.116744035,房地产
2014-08-16,保利地产,-6.0964423666666665,5.13010368,房地产
2014-08-19,保利地产,-6.292254466666668,5.13010368,房地产
2014-08-20,保利地产,-6.292254466666668,5.04103938,房地产
2014-08-21,保利地产,-5.998534666666666,4.992054015000001,房地产
2014-08-22,保利地产,-5.9659009666666645,4.992054015,房地产
2014-08-23,保利地产,-5.9659009666666645,5.027679735,房地产
2014-08-26,保利地产,-5.867993266666668,5.027679735,房地产
2014-08-27,保利地产,-5.536534666666666,5.0499458100000005,房地产
2014-08-28,保利地产,-5.536534666666666,5.054399025,房地产
2014-08-29,保利地产,-5.346613066666665,5.027679735,房地产
2014-08-30,保利地产,-5.441573866666664,5.045492595000002,房地产
2014-09-02,保利地产,-2.7475477333333314,5.045492595000002,房地产
2014-09-03,保利地产,-2.937466033333333,5.072211885,房地产
2014-09-04,保利地产,-2.937466033333333,5.17463583,房地产
2014-09-05,保利地产,-3.443917033333335,5.285966205,房地产
2014-09-06,保利地产,-3.443917033333335,5.277059775,房地产
2014-09-10,保利地产,-3.0957307333333333,5.277059775,房地产
2014-09-11,保利地产,-2.810851633333332,5.08557153,房地产
2014-09-12,保利地产,-2.7475477333333314,5.0811183149999986,房地产
2014-09-13,保利地产,-3.4755706333333336,5.045492595,房地产
2014-09-16,保利地产,-2.5576294333333323,5.045492595,房地产
2014-09-17,保利地产,-2.3993614333333326,5.00541366,房地产
2014-09-18,保利地产,-2.5576294333333323,4.9876008,房地产
2014-09-19,保利地产,-2.5576294333333323,4.96978794,房地产
2014-09-20,保利地产,-2.4310150333333347,4.956428295,房地产
2014-09-23,保利地产,-2.4310150333333347,4.956428295,房地产
2014-09-24,保利地产,-2.2414828333333325,4.9876008,房地产
2014-09-25,保利地产,-2.6537287333333346,4.983147584999998,房地产
2014-09-26,保利地产,-2.5903060333333308,5.027679735,房地产
2014-09-27,保利地产,-2.5903060333333308,4.95197508,房地产
2014-09-30,保利地产,-2.368328233333333,4.95197508,房地产
2014-10-01,保利地产,-2.368328233333333,4.93416222,房地产
2014-10-09,保利地产,-2.8439968333333354,4.93416222,房地产
2014-10-10,保利地产,-2.812283833333332,5.10338439,房地产
2014-10-11,保利地产,-2.812283833333332,5.143463325,房地产
2014-10-14,保利地产,-3.446507533333332,5.143463325,房地产
2014-10-15,保利地产,-3.1928167333333337,5.214714765,房地产
2014-10-16,保利地产,-3.1611070333333338,5.1345568949999985,房地产
2014-10-17,保利地产,-2.780574133333332,5.11229082,房地产
2014-10-18,保利地产,-2.6854384333333314,5.045492595000002,房地产
2014-10-21,保利地产,-2.6537287333333346,5.045492595000002,房地产
2014-10-22,保利地产,-2.46346063333333,4.992054015,房地产
2014-10-23,保利地产,-2.4317509333333334,4.9876008,房地产
2014-10-24,保利地产,-2.209773133333336,4.94306865,房地产
2014-10-25,保利地产,-2.2414828333333325,4.91634936,房地产
2014-10-28,保利地产,-1.7341045333333334,4.91634936,房地产
2014-10-29,保利地产,-0.8205589333333343,4.876270425,房地产
2014-10-30,保利地产,-1.1393323333333356,5.0009604450000005,房地产
2014-10-31,保利地产,-1.0234132333333328,4.992054015,房地产
2014-11-01,保利地产,-1.4581090333333329,5.0766651,房地产
2014-11-04,保利地产,-1.2194395444444428,5.0766651,房地产
2014-11-05,保利地产,-1.4802550444444424,5.15682297,房地产
2014-11-06,保利地产,-1.2484201444444434,5.17463583,房地产
2014-11-07,保利地产,-1.3933165444444435,5.214714765,房地产
2014-11-08,保利地产,-1.3933165444444435,5.205808335,房地产
2014-11-11,保利地产,-1.943928144444444,5.205808335,房地产
2014-11-12,保利地产,-2.291682144444442,5.446281945,房地产
2014-11-13,保利地产,-2.4945397444444435,5.517533385,房地产
2014-11-14,保利地产,-2.233724244444444,5.521986599999999,房地产
2014-11-15,保利地产,-2.2627015444444414,5.4062030100000005,房地产
2014-11-18,保利地产,-1.7410705444444419,5.4062030100000005,房地产
2014-11-19,保利地产,-1.277397444444441,5.2013551200000006,房地产
2014-11-20,保利地产,-1.2484201444444434,5.13901011,房地产
