2011-04-26,股票具体名称,价格,指标,ROE,roe,PE,pe,板块
2016-05-05,雅戈尔,9.38408796,3.2730661000000048,ROE,26.730400000000003,PE,7.108283,房地产
2016-05-25,雅戈尔,9.38408796,4.221307900000006,ROE,26.730400000000003,PE,6.820937,房地产
2016-06-04,雅戈尔,9.0231615,2.884441600000006,ROE,26.730400000000003,PE,7.226048,房地产
2016-06-14,雅戈尔,9.536548275000001,5.511538600000005,ROE,26.730400000000003,PE,6.429958,房地产
2016-06-24,雅戈尔,8.98360036,5.340542500000005,ROE,26.730400000000003,PE,6.481775,房地产
2016-07-14,雅戈尔,8.93764844,4.3612114000000055,ROE,26.730400000000003,PE,6.778542,房地产
2016-08-03,雅戈尔,9.40044992,3.475148200000003,ROE,26.730400000000003,PE,7.047046,房地产
2016-08-13,雅戈尔,9.7976058,3.1020700000000048,ROE,26.730400000000003,PE,7.1601,房地产
2016-08-23,雅戈尔,9.88950964,2.837806000000004,ROE,26.730400000000003,PE,7.24018,房地产
2016-09-02,雅戈尔,10.122551519999998,-7.778067866666664,ROE,20.061933333333332,PE,8.436364,房地产
2016-09-22,雅戈尔,9.85012228,-7.015579766666665,ROE,20.061933333333332,PE,8.205307,房地产
2016-10-12,雅戈尔,9.6334918,-6.792413966666668,ROE,20.061933333333332,PE,8.137681,房地产
2016-10-22,雅戈尔,9.44311956,-6.792413966666668,ROE,20.061933333333332,PE,8.137681,房地产
2016-11-01,雅戈尔,9.46609552,-7.143804566666667,ROE,20.061933333333332,PE,8.244163,房地产
2016-11-11,雅戈尔,9.364344840000001,-9.948341633333332,ROE,17.371866666666666,PE,8.278851,房地产
2016-12-01,雅戈尔,9.42670816,-11.226593333333334,ROE,17.371866666666666,PE,8.6662,房地产
2016-12-21,雅戈尔,9.85996912,-9.337835033333334,ROE,17.371866666666666,PE,8.093849,房地产
2016-12-31,雅戈尔,9.20351312,-9.299677133333333,ROE,17.371866666666666,PE,8.082286,房地产
2017-01-10,雅戈尔,9.12802068,-9.12797153333333,ROE,17.371866666666666,PE,8.030254,房地产
2017-01-20,雅戈尔,9.13786752,-9.28059983333333,ROE,17.371866666666666,PE,8.076505,房地产
2017-02-09,雅戈尔,9.17725488,-9.490463333333334,ROE,17.371866666666666,PE,8.1401,房地产
2017-03-01,雅戈尔,9.262594159999999,-9.643088333333331,ROE,17.371866666666666,PE,8.18635,房地产
2017-03-11,雅戈尔,9.305263799999999,-9.108894233333334,ROE,17.371866666666666,PE,8.024473,房地产
2017-03-21,雅戈尔,9.150996639999999,-9.299677133333333,ROE,17.371866666666666,PE,8.082286,房地产
2017-03-31,雅戈尔,9.17725488,-9.242441933333335,ROE,17.371866666666666,PE,8.064942,房地产
2017-04-20,雅戈尔,9.14771436,-13.998510833333334,ROE,17.371866666666666,PE,9.506175,房地产
2017-05-10,雅戈尔,8.94093072,-30.41864946666666,ROE,16.705073333333335,PE,14.279916,房地产
2017-05-20,雅戈尔,9.13458524,-30.31730646666666,ROE,16.705073333333335,PE,14.249206,房地产
2017-06-09,雅戈尔,9.13458524,-32.242793766666665,ROE,16.705073333333335,PE,14.832687,房地产
2017-06-29,雅戈尔,9.71046879,-31.34423346666666,ROE,16.705073333333335,PE,14.560396,房地产
2017-07-19,雅戈尔,9.69140997,-31.296941166666667,ROE,16.705073333333335,PE,14.546065,房地产
2017-07-29,雅戈尔,9.700939380000001,-33.66157266666666,ROE,16.705073333333335,PE,15.26262,房地产
2017-08-08,雅戈尔,10.18693929,-32.66842776666667,ROE,16.705073333333335,PE,14.961667,房地产
2017-08-18,雅戈尔,9.996351090000001,-31.34423346666666,ROE,16.705073333333335,PE,14.560396,房地产
2017-09-07,雅戈尔,9.705704085,-29.5785682,ROE,15.275540000000001,PE,13.592154,房地产
2017-09-27,雅戈尔,9.648527625,-28.9568284,ROE,15.275540000000001,PE,13.403748,房地产
2017-10-17,雅戈尔,9.41505708,-28.601550399999994,ROE,15.275540000000001,PE,13.296088,房地产
2017-10-27,雅戈尔,9.391233555,-28.3795,ROE,15.275540000000001,PE,13.2288,房地产
2017-11-16,雅戈尔,9.362645324999999,-22.439853699999993,ROE,14.484140000000002,PE,11.189089,房地产
2017-12-06,雅戈尔,9.081527730000001,-21.395928399999995,ROE,14.484140000000002,PE,10.872748,房地产
2017-12-16,雅戈尔,8.819468955000001,-21.20261109999999,ROE,14.484140000000002,PE,10.814167,房地产
2017-12-26,雅戈尔,8.78611602,-20.04269409999999,ROE,14.484140000000002,PE,10.462677,房地产
2018-01-05,雅戈尔,8.519292539999999,-21.859895199999997,ROE,14.484140000000002,PE,11.013344,房地产
2018-01-25,雅戈尔,9.048174795000001,-24.60502989999999,ROE,14.484140000000002,PE,11.845203,房地产
2018-02-14,雅戈尔,9.581821755,-285.1468081,ROE,14.484140000000002,PE,90.797257,房地产
2018-02-24,雅戈尔,8.26199847,-276.15787869999997,ROE,14.484140000000002,PE,88.073339,房地产
2018-03-06,雅戈尔,8.32870434,-282.81634479999997,ROE,14.484140000000002,PE,90.091056,房地产
2018-03-16,雅戈尔,8.55741018,-279.4871134,ROE,14.484140000000002,PE,89.082198,房地产
2018-04-05,雅戈尔,8.3858808,-264.50556549999993,ROE,14.484140000000002,PE,84.542335,房地产
2018-04-25,雅戈尔,8.028527924999999,-327.65452059999996,ROE,14.484140000000002,PE,103.678382,房地产
2018-05-05,雅戈尔,8.095233795,-1002,ROE,0,PE,0,房地产
2018-05-15,雅戈尔,7.790292675,-1002,ROE,0,PE,0,房地产
