2011-04-26,万方发展,90.1344688111111,4.4325,综合
2011-04-26,闻泰科技,3.213569077777791,9.43380736,电子
2011-04-27,闻泰科技,2.995379677777791,9.43380736,电子
2011-04-28,闻泰科技,5.395439977777784,9.2938992,电子
2011-04-29,闻泰科技,8.668247977777796,8.9691124,电子
2011-04-30,闻泰科技,7.359124777777794,8.76424688,电子
2011-05-04,闻泰科技,-161.25638976666662,8.76424688,电子
2011-05-05,闻泰科技,-157.59589116666666,8.80422064,电子
2011-05-06,闻泰科技,-159.7151280666666,8.72926984,电子
2011-05-07,闻泰科技,-164.33891976666666,8.949125519999997,电子
2011-05-10,闻泰科技,-163.56828726666663,8.949125519999997,电子
2011-05-11,闻泰科技,-162.99031206666666,8.98909928,电子
2011-05-12,闻泰科技,-163.56828726666663,9.00908616,电子
2011-05-13,闻泰科技,-169.73334066666666,9.17897464,电子
2011-05-14,闻泰科技,-172.23789546666663,9.40382704,电子
2011-05-17,闻泰科技,-167.61410376666663,9.40382704,电子
2011-05-18,闻泰科技,-163.56828726666663,9.10902056,电子
2011-05-19,闻泰科技,-165.30220956666662,9.07404352,电子
2011-05-20,闻泰科技,-164.53157706666667,9.22394512,电子
2011-05-21,闻泰科技,-164.72423436666662,9.08403696,电子
2011-05-24,闻泰科技,-164.72423436666662,9.08403696,电子
2011-05-25,闻泰科技,-153.1647567666666,8.3944896,电子
2011-05-26,闻泰科技,-157.59589116666666,8.67930264,电子
2011-05-27,闻泰科技,-174.35713236666663,9.11401728,电子
2011-05-28,闻泰科技,-174.54978966666664,9.47877784,电子
2011-05-31,闻泰科技,-174.54978966666664,9.47877784,电子
2011-06-01,闻泰科技,-175.70573676666663,9.62368272,电子
2011-06-02,闻泰科技,-181.67813286666663,9.77858104,电子
2011-06-03,闻泰科技,-175.70573676666663,9.63367616,电子
2011-06-04,闻泰科技,-175.32042216666665,9.65865976,电子
2011-06-08,闻泰科技,-171.08194506666666,9.65865976,电子
2011-06-09,闻泰科技,-167.61410376666663,9.17397792,电子
2011-06-10,闻泰科技,-156.63260136666662,8.95412224,电子
2011-06-11,闻泰科技,-154.89867906666666,8.644325599999998,电子
2011-06-14,闻泰科技,-150.46754796666661,8.644325599999998,电子
2011-06-15,闻泰科技,-155.86196886666661,8.489427280000001,电子
2011-06-16,闻泰科技,-150.08223006666663,8.474437120000001,电子
2011-06-17,闻泰科技,-141.99059706666662,8.10467984,电子
2011-06-18,闻泰科技,-136.40351556666667,7.78488976,电子
2011-06-21,闻泰科技,-137.17414806666665,7.78488976,电子
2011-06-22,闻泰科技,-140.06401746666666,7.794883199999999,电子
2011-06-23,闻泰科技,-140.44933206666667,7.85984056,电子
2011-06-24,闻泰科技,-142.95388686666666,7.82986024,电子
2011-06-25,闻泰科技,-158.3665236666666,8.30454864,电子
2011-06-28,闻泰科技,-168.9627081666667,8.30454864,电子
2011-06-29,闻泰科技,-164.33891976666666,9.119014,电子
2011-06-30,闻泰科技,-157.78854846666667,8.87417472,电子
2011-07-01,闻泰科技,-160.29309996666666,8.80422064,电子
2011-07-02,闻泰科技,-159.13715286666667,8.869178000000002,电子
2011-07-05,闻泰科技,-161.06373246666664,8.869178000000002,电子
2011-07-06,闻泰科技,-167.22878916666667,9.12401072,电子
2011-07-07,闻泰科技,-164.72423436666662,9.11401728,电子
2011-07-08,闻泰科技,-160.87107516666669,8.98410256,电子
2011-07-09,闻泰科技,-165.1095489666666,9.02407632,电子
2011-07-12,闻泰科技,-166.26549936666663,9.02407632,电子
2011-07-13,闻泰科技,-162.02702226666668,8.98410256,电子
2011-07-14,闻泰科技,-163.56828726666663,8.90415504,电子
2011-07-15,闻泰科技,-164.33891976666666,9.0440632,电子
2011-07-16,闻泰科技,-161.06373246666664,8.919145199999997,电子
2011-07-19,闻泰科技,-158.75183826666662,8.919145199999997,电子
2011-07-20,闻泰科技,-152.77944216666668,8.62433872,电子
2011-07-21,闻泰科技,-154.70602176666662,8.504417440000001,电子
2011-07-22,闻泰科技,-153.74273196666667,8.60435184,电子
2011-07-23,闻泰科技,-157.40323386666662,8.61434528,电子
2011-07-26,闻泰科技,-143.53185876666663,8.61434528,电子
2011-07-27,闻泰科技,-144.30249126666666,7.959774960000002,电子
2011-07-28,闻泰科技,-153.1647567666666,8.24958472,电子
2011-07-29,闻泰科技,-153.55007466666666,8.45445024,电子
2011-07-30,闻泰科技,-150.2748873666667,8.414476480000001,电子
2011-08-02,闻泰科技,-150.2748873666667,8.414476480000001,电子
2011-08-03,闻泰科技,-147.57767856666663,8.24958472,电子
2011-08-04,闻泰科技,-157.01791596666664,8.474437120000001,电子
2011-08-05,闻泰科技,-173.77915716666664,9.08903368,电子
2011-08-06,闻泰科技,-172.62321006666667,9.50376144,电子
2011-08-09,闻泰科技,-168.9627081666667,9.50376144,电子
2011-08-10,闻泰科技,-169.34802606666662,9.2189484,电子
2011-08-11,闻泰科技,-172.04523486666665,9.47877784,电子
2011-08-12,闻泰科技,-172.04523486666665,9.28390576,电子
2011-08-13,闻泰科技,-180.32952846666663,9.768587599999998,电子
2011-08-16,闻泰科技,-549.8462892666666,9.768587599999998,电子
2011-08-17,闻泰科技,-526.8373098666667,9.73361056,电子
2011-08-18,闻泰科技,-545.9179263666666,9.85353184,电子
2011-08-19,闻泰科技,-512.8074423666667,9.6686532,电子
2011-08-20,闻泰科技,-497.6551887666667,9.0690468,电子
2011-08-23,闻泰科技,-490.9208523666666,9.0690468,电子
2011-08-24,闻泰科技,-499.89996756666665,9.03906648,电子
2011-08-25,闻泰科技,-496.53279936666667,9.13400416,电子
2011-08-26,闻泰科技,-514.4910264666668,9.17397792,电子
2011-08-27,闻泰科技,-517.2969999666666,9.33886968,电子
2011-08-30,闻泰科技,-504.38952186666666,9.33886968,电子
2011-08-31,闻泰科技,-493.72682586666673,9.11401728,电子
2011-09-01,闻泰科技,-475.7685954666666,8.854187840000002,电子
2011-09-02,闻泰科技,-473.6588833333333,8.62433872,电子
2011-09-03,闻泰科技,-479.8320250333333,8.65431904,电子
2011-09-06,闻泰科技,-461.87379793333326,8.65431904,电子
2011-09-07,闻泰科技,-464.11857673333327,8.39948632,电子
2011-09-08,闻泰科技,-475.9036621333333,8.6443256,电子
2011-09-09,闻泰科技,-475.9036621333333,8.98909928,电子
2011-09-10,闻泰科技,-473.09768863333335,8.55438464,电子
2011-09-14,闻泰科技,-459.62901913333326,8.55438464,电子
2011-09-15,闻泰科技,-468.6081343333333,8.40947976,电子
2011-09-16,闻泰科技,-464.11857673333327,8.479433839999999,电子
2011-09-17,闻泰科技,-438.30362383333335,8.1946208,电子
2011-09-20,闻泰科技,-433.8140662333333,8.1946208,电子
2011-09-21,闻泰科技,-436.0588450333333,8.01473888,电子
2011-09-22,闻泰科技,-451.77229333333327,8.12966344,电子
2011-09-23,闻泰科技,-471.4141078333333,8.494424,电子
2011-09-24,闻泰科技,-471.4141078333333,8.58936168,电子
2011-09-27,闻泰科技,-454.57826683333326,8.58936168,电子
2011-09-28,闻泰科技,-501.1574236333333,8.67930264,电子
2011-09-29,闻泰科技,-495.54547663333335,9.08403696,电子
2011-09-30,闻泰科技,-485.44397203333335,8.7692436,电子
2011-10-01,闻泰科技,-478.14844093333335,8.71427968,电子
2011-10-11,闻泰科技,-498.9126448333333,8.71427968,电子
2011-10-12,闻泰科技,-505.0857832333333,9.21395168,电子
2011-10-13,闻泰科技,-510.1365355333333,9.18896808,电子
2011-10-14,闻泰科技,-493.8618925333333,9.16398448,电子
2011-10-15,闻泰科技,-459.06782443333327,8.5943584,电子
2011-10-18,闻泰科技,-483.19919323333335,8.5943584,电子
2011-10-19,闻泰科技,-477.02605153333326,8.669309199999999,电子
2011-10-20,闻泰科技,-525.8499871333332,9.00408944,电子
2011-10-21,闻泰科技,-52.99997323333332,9.46378768,电子
2011-10-22,闻泰科技,-51.91768543333333,9.37884344,电子
2011-10-25,闻泰科技,-53.54111713333332,9.37884344,电子
2011-10-26,闻泰科技,-55.57040593333333,9.393833599999999,电子
2011-10-27,闻泰科技,-52.93232983333332,9.5187516,电子
2011-10-28,闻泰科技,-54.48811813333332,9.50875816,电子
2011-10-29,闻泰科技,-54.48811813333332,9.69863352,电子
2011-11-01,闻泰科技,-54.48811813333332,9.69863352,电子
2011-11-02,闻泰科技,-42.00273087777777,9.43880408,电子
2011-11-03,闻泰科技,-42.20565777777777,9.27391232,电子
2011-11-04,闻泰科技,-44.573163577777756,9.743604,电子
2011-11-05,闻泰科技,-43.42323237777778,9.68864008,电子
2011-11-08,闻泰科技,-43.829092777777774,9.68864008,电子
2011-11-09,闻泰科技,-44.843737177777776,9.86352528,电子
2011-11-10,闻泰科技,-45.65545137777778,9.73860728,电子
2011-11-11,闻泰科技,-43.085018677777775,9.69863352,电子
2011-11-12,闻泰科技,-43.42323237777778,9.58370896,电子
2011-11-15,闻泰科技,-43.96437627777776,9.58370896,电子
2011-11-16,闻泰科技,-42.00273087777777,9.493768,电子
2011-11-17,闻泰科技,-42.138017677777775,9.36385328,电子
2011-11-18,闻泰科技,-40.17636897777777,9.25392544,电子
2011-11-19,闻泰科技,-36.86186217777778,8.90415504,电子
2011-11-22,闻泰科技,-37.26771927777777,8.90415504,电子
2011-11-23,闻泰科技,-36.86186217777778,8.59935512,电子
2011-11-24,闻泰科技,-37.876506577777775,8.74426,电子
2011-11-25,闻泰科技,-36.929505577777775,8.62433872,电子
2011-11-26,闻泰科技,-37.13243577777777,8.674305919999998,电子
2011-11-29,闻泰科技,-35.779574377777784,8.674305919999998,电子
2011-11-30,闻泰科技,-36.117791377777785,8.45445024,电子
2011-12-01,闻泰科技,-33.547355377777784,8.27956504,电子
2011-12-02,闻泰科技,-34.29142947777777,8.389492879999999,电子
2011-12-03,闻泰科技,-34.426716277777764,8.23459456,电子
2011-12-06,闻泰科技,-36.18543147777777,8.23459456,电子
2011-12-07,闻泰科技,-37.26771927777777,8.5943584,电子
2011-12-08,闻泰科技,-37.13243577777777,8.60934856,电子
2011-12-09,闻泰科技,-35.982504577777775,8.469440400000002,电子
2011-12-10,闻泰科技,-36.52364847777777,8.58436496,电子
2011-12-13,闻泰科技,-32.465067577777766,8.58436496,电子
2011-12-14,闻泰科技,-27.730059277777766,7.60001112,电子
2011-12-15,闻泰科技,-26.783054977777766,7.195276799999999,电子
2011-12-16,闻泰科技,-26.850698377777768,7.17528992,电子
2011-12-17,闻泰科技,-28.47413007777777,7.24024728,电子
2011-12-20,闻泰科技,-26.038984177777767,7.24024728,电子
2011-12-21,闻泰科技,-25.49784027777777,6.945440799999999,电子
2011-12-22,闻泰科技,-22.18333347777777,6.75556544,电子
2011-12-23,闻泰科技,-20.356971577777774,6.185939360000001,电子
2011-12-24,闻泰科技,-20.627545177777776,6.1709492,电子
2011-12-27,闻泰科技,-19.409970577777774,6.1709492,电子
2011-12-28,闻泰科技,-16.501320877777776,5.8211788,电子
2011-12-29,闻泰科技,-16.230750577777773,5.49139528,电子
2011-12-30,闻泰科技,-16.366034077777773,5.55635264,电子
2011-12-31,闻泰科技,-19.071753577777773,5.86115256,电子
2012-01-05,闻泰科技,-17.651252077777773,5.86115256,电子
2012-01-06,闻泰科技,-15.960176977777774,5.6562870400000005,电子
2012-01-07,闻泰科技,-17.448321877777776,5.60132312,电子
2012-01-10,闻泰科技,-19.071753577777773,5.60132312,电子
2012-01-11,闻泰科技,-20.49225837777777,6.0959984,电子
2012-01-12,闻泰科技,-19.951114477777764,6.10599184,电子
2012-01-13,闻泰科技,-20.96575887777777,6.3358409600000005,电子
2012-01-14,闻泰科技,-22.453903777777768,6.50572944,电子
2012-01-17,闻泰科技,-18.462969577777773,6.50572944,电子
2012-01-18,闻泰科技,-21.03340227777777,6.0959984,电子
2012-01-19,闻泰科技,-20.356971577777774,6.2958672,电子
2012-01-20,闻泰科技,-20.762828677777765,6.25089672,电子
2012-01-21,闻泰科技,-20.830472077777774,6.28087704,电子
