2011-04-26,万方发展,90.1344688111111,4.4325,综合
2012-06-09,招商银行,0.10486810000000446,8.39427562,银行
2012-06-12,招商银行,0.05004520000000312,8.39427562,银行
2012-06-13,招商银行,0.30589420000000445,8.238120765,银行
2012-06-14,招商银行,0.15969430000000528,8.280015970000001,银行
2012-06-15,招商银行,0.21451720000000665,8.25716404,银行
2012-06-16,招商银行,-0.1327054999999966,8.390466965,银行
2012-06-19,招商银行,-0.1327054999999966,8.390466965,银行
2012-06-20,招商银行,-0.023056399999997982,8.405701585,银行
2012-06-21,招商银行,-0.09615469999999604,8.413318895,银行
2012-06-22,招商银行,0.141418900000005,8.337145795000001,银行
2012-06-26,招商银行,-0.023056399999997982,8.337145795000001,银行
2012-06-27,招商银行,-0.023056399999997982,8.382849655000001,银行
2012-06-28,招商银行,0.15969430000000528,8.329528485,银行
2012-06-29,招商银行,0.28761880000000417,8.28763328,银行
2012-06-30,招商银行,0.10486810000000446,8.29525059,银行
2012-07-03,招商银行,0.2327926000000033,8.29525059,银行
2012-07-04,招商银行,0.15969430000000528,8.302867899999999,银行
2012-07-05,招商银行,0.08659270000000419,8.333337140000001,银行
2012-07-06,招商银行,0.2327926000000033,8.283824625000001,银行
2012-07-07,招商银行,0.7444906000000024,8.036262050000001,银行
2012-07-10,招商银行,1.5120376000000029,8.036262050000001,银行
2012-07-11,招商银行,1.4937655000000056,7.720143685,银行
2012-07-12,招商银行,1.6765129000000023,7.67063117,银行
2012-07-13,招商银行,1.6216900000000043,7.62492731,银行
2012-07-14,招商银行,1.4754901000000054,7.704909065,银行
2012-07-17,招商银行,1.6399621000000018,7.704909065,银行
2012-07-18,招商银行,1.4754901000000054,7.712526374999999,银行
2012-07-19,招商银行,1.5851392000000042,7.689674445,银行
2012-07-20,招商银行,1.6034146000000042,7.689674445,银行
2012-07-21,招商银行,1.8044374000000047,7.64016193,银行
2012-07-24,招商银行,2.3526862000000044,7.64016193,银行
2012-07-25,招商银行,2.5354369000000037,7.331660875,银行
2012-07-26,招商银行,2.553709000000005,7.308808945,银行
2012-07-27,招商银行,2.5354369000000037,7.32785222,银行
2012-07-28,招商银行,2.243037100000006,7.41925994,银行
2012-07-31,招商银行,2.133388000000004,7.41925994,银行
2012-08-01,招商银行,1.932361900000004,7.544945555,银行
2012-08-02,招商银行,1.8409882000000053,7.563988829999999,银行
2012-08-03,招商银行,1.7678866000000042,7.617310000000001,银行
2012-08-04,招商银行,1.7861620000000045,7.6287359650000015,银行
