2011-04-26,股票具体名称,价格,指标,ROE,roe,PE,pe,板块
2012-06-15,招商银行,8.390466965,0.21451720000000662,ROE,20.061100000000003,PE,6.014116,银行
2012-07-05,招商银行,8.390466965,0.08659270000000419,ROE,20.061100000000003,PE,6.052881,银行
2012-07-25,招商银行,8.283824625000001,2.535436900000004,ROE,20.061100000000003,PE,5.310807,银行
2012-08-04,招商银行,7.308808945,1.7861620000000045,ROE,20.061100000000003,PE,5.53786,银行
2012-08-14,招商银行,7.628735965000001,1.5120376000000029,ROE,20.061100000000003,PE,5.620928,银行
2012-08-24,招商银行,7.758230235,2.7590911000000062,ROE,20.061100000000003,PE,5.243033,银行
2012-09-13,招商银行,7.5639888299999996,2.373575900000006,ROE,19.988900000000005,PE,5.337977,银行
2012-10-13,招商银行,7.697291755,1.9558223000000048,ROE,19.988900000000005,PE,5.464569,银行
2012-10-23,招商银行,7.85344661,1.6947263000000063,ROE,19.988900000000005,PE,5.543689,银行
2012-11-02,招商银行,8.009601465,2.435290322222226,ROE,19.678922222222223,PE,5.225343,银行
2012-11-22,招商银行,7.861063919999999,3.054720122222225,ROE,19.678922222222223,PE,5.037637,银行
2012-12-12,招商银行,7.537328245,1.2801352222222242,ROE,19.678922222222223,PE,5.57539,银行
2012-12-22,招商银行,8.443788135,-0.24333287777777812,ROE,19.678922222222223,PE,6.037047,银行
2013-01-01,招商银行,9.114111415,-3.3404917777777747,ROE,19.678922222222223,PE,6.97558,银行
2013-01-11,招商银行,10.19196078,-2.9889196777777762,ROE,19.678922222222223,PE,6.869043,银行
2013-01-31,招商银行,10.2071954,-4.395198177777775,ROE,19.678922222222223,PE,7.295188,银行
2013-02-20,招商银行,10.86228406,-3.4744222777777765,ROE,19.678922222222223,PE,7.016165,银行
2013-03-02,招商银行,10.41286277,-2.2020742777777755,ROE,19.678922222222223,PE,6.630605,银行
2013-03-12,招商银行,9.97105879,-0.9554695777777766,ROE,19.678922222222223,PE,6.252846,银行
2013-03-22,招商银行,9.921546275,-0.9711973777777771,ROE,19.678922222222223,PE,6.257612,银行
2013-04-11,招商银行,10.01676265,0.11399442222222333,ROE,19.678922222222223,PE,5.928766,银行
2013-05-11,招商银行,9.5216375,0.3508105666666701,ROE,19.81096666666667,PE,5.897017,银行
2013-05-21,招商银行,9.578767325000001,-1.3433698333333304,ROE,19.81096666666667,PE,6.410405,银行
2013-05-31,招商银行,10.386202185,-0.9160099333333314,ROE,19.81096666666667,PE,6.280902,银行
2013-06-20,招商银行,10.416671425,1.5260494666666702,ROE,19.81096666666667,PE,5.540884,银行
2013-07-10,招商银行,9.344,2.77760416666667,ROE,19.81096666666667,PE,5.161625,银行
2013-07-20,招商银行,8.964,3.143914066666671,ROE,19.81096666666667,PE,5.050622,银行
2013-07-30,招商银行,8.864,3.8002180666666696,ROE,19.81096666666667,PE,4.851742,银行
2013-08-09,招商银行,8.524000000000001,3.4033831666666714,ROE,19.81096666666667,PE,4.971995,银行
2013-08-29,招商银行,8.58,4.053816466666671,ROE,19.81096666666667,PE,4.774894,银行
2013-09-18,招商银行,8.528,1.1147754333333353,ROE,19.926633333333335,PE,5.700563,银行
2013-09-28,招商银行,9.1313152,1.7704161333333346,ROE,19.926633333333335,PE,5.501884,银行
2013-10-18,招商银行,8.76850848,1.612534233333335,ROE,19.926633333333335,PE,5.549727,银行
2013-11-07,招商银行,8.69105536,1.4314556555555562,ROE,19.113855555555556,PE,5.358303,银行
2013-11-27,招商银行,8.69105536,1.081804155555556,ROE,19.113855555555556,PE,5.464258,银行
2013-12-07,招商银行,8.87042048,0.8320535555555573,ROE,19.113855555555556,PE,5.53994,银行
2013-12-17,招商银行,8.91933824,1.4314556555555562,ROE,19.113855555555556,PE,5.358303,银行
2013-12-27,招商银行,8.7032848,2.214011055555556,ROE,19.113855555555556,PE,5.121165,银行
2014-01-16,招商银行,8.38531936,1.4814077555555585,ROE,19.113855555555556,PE,5.343166,银行
2014-02-15,招商银行,8.6217552,1.5979571555555587,ROE,19.113855555555556,PE,5.307848,银行
2014-02-25,招商银行,8.57283744,2.9170628555555567,ROE,19.113855555555556,PE,4.908119,银行
2014-03-07,招商银行,8.16111296,3.4794488555555567,ROE,19.113855555555556,PE,4.737699,银行
2014-03-27,招商银行,7.94505952,3.366971655555556,ROE,19.113855555555556,PE,4.771783,银行
2014-04-16,招商银行,7.9899008,2.932952355555557,ROE,19.113855555555556,PE,4.903304,银行
2014-04-26,招商银行,8.230413120000001,2.916868155555555,ROE,19.113855555555556,PE,4.908178,银行
2014-05-06,招商银行,8.24671904,2.7259608333333336,ROE,18.140673333333332,PE,4.671125,银行
2014-05-16,招商银行,8.0918128,2.6639307333333324,ROE,18.140673333333332,PE,4.689922,银行
2014-06-05,招商银行,8.1733424,2.477837133333333,ROE,18.140673333333332,PE,4.746314,银行
2014-06-25,招商银行,8.23856608,2.353773633333331,ROE,18.140673333333332,PE,4.783909,银行
2014-07-05,招商银行,8.2752544,2.105649933333332,ROE,18.140673333333332,PE,4.859098,银行
2014-07-15,招商银行,8.43016064,3.0206079333333324,ROE,18.140673333333332,PE,4.581838,银行
2014-07-25,招商银行,8.460396750000001,2.105649933333332,ROE,18.140673333333332,PE,4.859098,银行
2014-08-14,招商银行,9.054793855,1.3457688333333344,ROE,18.140673333333332,PE,5.089365,银行
2014-09-03,招商银行,9.3715164,2.3373209333333325,ROE,18.244073333333333,PE,4.820228,银行
2014-09-13,招商银行,9.32812975,1.9802015333333323,ROE,18.244073333333333,PE,4.928446,银行
2014-09-23,招商银行,9.23267912,2.4414821333333343,ROE,18.244073333333333,PE,4.788664,银行
2014-10-23,招商银行,8.99839121,2.828364233333332,ROE,18.244073333333333,PE,4.671427,银行
2014-11-12,招商银行,9.020084535,2.2552219777777793,ROE,18.05471777777778,PE,4.787726,银行
2014-11-22,招商银行,9.462628365,2.5706392777777793,ROE,18.05471777777778,PE,4.692145,银行
2014-12-02,招商银行,9.289081764999999,0.6924772777777797,ROE,18.05471777777778,PE,5.261285,银行
2014-12-12,招商银行,10.816291844999999,-2.361326222222221,ROE,18.05471777777778,PE,6.18668,银行
2015-01-01,招商银行,12.174293989999999,-5.730547022222222,ROE,18.05471777777778,PE,7.207656,银行
2015-01-21,招商银行,13.918437319999999,-2.9348101222222205,ROE,18.05471777777778,PE,6.360463,银行
2015-01-31,招商银行,13.04202699,-2.5046980222222217,ROE,18.05471777777778,PE,6.230126,银行
2015-02-10,招商银行,12.50403253,-2.6050576222222226,ROE,18.05471777777778,PE,6.260538,银行
2015-03-12,招商银行,12.61683782,-3.4546162222222208,ROE,18.05471777777778,PE,6.51798,银行
2015-04-01,招商银行,13.02467233,-5.12177622222222,ROE,18.05471777777778,PE,7.02318,银行
2015-04-11,招商银行,13.649440089999999,-5.2557430222222195,ROE,18.05471777777778,PE,7.063776,银行
2015-04-21,招商银行,13.58869878,-8.456092922222219,ROE,18.05471777777778,PE,8.033579,银行
2015-05-01,招商银行,15.619194,-8.00599272222222,ROE,18.05471777777778,PE,7.897185,银行
2015-05-21,招商银行,16.048721835000002,-9.106961133333332,ROE,16.696286666666666,PE,7.819166,银行
2015-06-10,招商银行,15.7927406,-13.09759833333333,ROE,16.696286666666666,PE,9.02845,银行
2015-06-20,招商银行,18.018475745,-9.049749033333331,ROE,16.696286666666666,PE,7.801829,银行
2015-06-30,招商银行,16.048721835000002,-8.234457633333331,ROE,16.696286666666666,PE,7.554771,银行
2015-07-10,招商银行,15.879513900000001,-10.480084533333336,ROE,16.696286666666666,PE,8.235264,银行
2015-07-30,招商银行,17.348791425,-7.848268533333336,ROE,16.696286666666666,PE,7.437744,银行
2015-08-19,招商银行,15.440649385,-7.3333464333333325,ROE,16.696286666666666,PE,7.281707,银行
2015-08-29,招商银行,15.233633975,-7.946024433333335,ROE,16.696286666666666,PE,7.467367,银行
2015-09-08,招商银行,15.706169150000001,-6.632530066666668,ROE,16.385953333333333,PE,6.975298,银行
2015-09-18,招商银行,14.86010617,-8.626703566666666,ROE,16.385953333333333,PE,7.579593,银行
2015-10-28,招商银行,15.96718858,-9.310423966666665,ROE,16.385953333333333,PE,7.786781,银行
