2011-04-26,股票具体名称,价格,指标,ROE,roe,PE,pe,板块
2018-07-04,西藏珠峰,20.178496000000003,6.339264600000007,ROE,49.729440000000004,PE,13.148538,有色金属
2018-07-14,西藏珠峰,20.178496000000003,6.94509510000001,ROE,49.729440000000004,PE,12.964953,有色金属
2018-07-24,西藏珠峰,19.6837348,3.644352600000005,ROE,49.729440000000004,PE,13.965178,有色金属
2018-08-03,西藏珠峰,22.0168734,4.876909200000007,ROE,49.729440000000004,PE,13.591676,有色金属
2018-08-23,西藏珠峰,20.6781078,4.030818900000007,ROE,49.729440000000004,PE,13.848067,有色金属
2018-09-12,西藏珠峰,21.434801399999998,7.440044666666665,ROE,51.19190666666666,PE,13.25814,有色金属
2018-09-22,西藏珠峰,21.2019726,5.593635266666666,ROE,51.19190666666666,PE,13.817658,有色金属
2018-10-12,西藏珠峰,21.919861400000002,3.867642866666664,ROE,51.19190666666666,PE,14.340686,有色金属
2018-11-01,西藏珠峰,21.5075604,8.455292966666669,ROE,51.19190666666666,PE,12.950489,有色金属
2018-11-21,西藏珠峰,20.3773706,5.602734777777783,ROE,49.52081777777778,PE,13.30851,有色金属
2018-12-01,西藏珠峰,20.954591999999998,6.193471077777787,ROE,49.52081777777778,PE,13.129499,有色金属
2018-12-11,西藏珠峰,20.571394599999998,3.8101582777777807,ROE,49.52081777777778,PE,13.851715,有色金属
2018-12-21,西藏珠峰,21.7840446,3.6675685777777858,ROE,49.52081777777778,PE,13.894924,有色金属
2019-01-10,西藏珠峰,21.434801399999998,9.636027777777784,ROE,49.52081777777778,PE,12.0863,有色金属
2019-01-30,西藏珠峰,19.545,11.856376677777781,ROE,49.52081777777778,PE,11.413467,有色金属
2019-02-19,西藏珠峰,18.34,9.676769577777783,ROE,49.52081777777778,PE,12.073954,有色金属
2019-03-01,西藏珠峰,20.46,0.12316067777778272,ROE,49.52081777777778,PE,14.968987,有色金属
2019-03-21,西藏珠峰,24.27,-2.687924522222218,ROE,49.52081777777778,PE,15.820831,有色金属
2019-04-10,西藏珠峰,25.36,-6.110113622222215,ROE,49.52081777777778,PE,16.857858,有色金属
2019-04-20,西藏珠峰,27.064999999999998,-8.248978922222214,ROE,49.52081777777778,PE,17.505999,有色金属
2019-04-30,西藏珠峰,28.25,-18.646902722222208,ROE,49.52081777777778,PE,20.656885,有色金属
