2011-04-26,股票具体名称,价格,指标,ROE,roe,PE,pe,板块
2013-05-11,华夏幸福,8.254275865,9.411099533333335,ROE,44.895293333333335,PE,10.752786,房地产
2013-05-21,华夏幸福,8.254275865,4.4589116333333365,ROE,44.895293333333335,PE,12.253449,房地产
2013-05-31,华夏幸福,9.30542158,-0.8312226666666618,ROE,44.895293333333335,PE,13.85652,房地产
2013-06-20,华夏幸福,10.4061922,4.016982233333337,ROE,44.895293333333335,PE,12.387367,房地产
2013-07-10,华夏幸福,9.49199625,1.5473876333333365,ROE,44.895293333333335,PE,13.135729,房地产
2013-07-20,华夏幸福,10.353391125,2.27526863333334,ROE,44.895293333333335,PE,12.915159,房地产
2013-07-30,华夏幸福,10.080893625000002,4.264195133333338,ROE,44.895293333333335,PE,12.312454,房地产
2013-08-09,华夏幸福,9.7432995,0.6085376333333343,ROE,44.895293333333335,PE,13.420229,房地产
2013-08-29,华夏幸福,10.746998625,-1.8228990666666647,ROE,44.895293333333335,PE,14.157028,房地产
2013-09-18,华夏幸福,11.14212,9.217812700000003,ROE,54.22216,PE,13.637681,房地产
2013-09-28,华夏幸福,10.719748875,12.683591500000006,ROE,54.22216,PE,12.587445,房地产
2013-10-18,华夏幸福,9.918909,8.081596300000001,ROE,54.22216,PE,13.981989,房地产
2013-11-07,华夏幸福,10.904217939999999,10.369623888888889,ROE,49.94404888888889,PE,11.99225,房地产
2013-11-27,华夏幸福,10.3545596,14.805437688888887,ROE,49.94404888888889,PE,10.648064,房地产
2013-12-07,华夏幸福,9.12524074,13.90088128888889,ROE,49.94404888888889,PE,10.922172,房地产
2013-12-17,华夏幸福,9.51524728,13.361624988888892,ROE,49.94404888888889,PE,11.085583,房地产
2013-12-27,华夏幸福,9.89385012,15.518646888888888,ROE,49.94404888888889,PE,10.43194,房地产
2014-01-16,华夏幸福,9.14348666,19.11948478888889,ROE,49.94404888888889,PE,9.340777,房地产
2014-02-15,华夏幸福,8.26084028,14.405345688888886,ROE,49.94404888888889,PE,10.769304,房地产
2014-02-25,华夏幸福,9.3966488,20.05883638888889,ROE,49.94404888888889,PE,9.056125,房地产
2014-03-07,华夏幸福,7.9483789,12.439670988888892,ROE,49.94404888888889,PE,11.364963,房地产
2014-03-27,华夏幸福,9.91437678,0.5412503888888907,ROE,49.94404888888889,PE,14.970545,房地产
