2011-04-26,万方发展,90.1344688111111,4.4325,综合
2013-05-03,华夏幸福,10.21696943333334,8.17758283,房地产
2013-05-04,华夏幸福,9.00816623333334,8.17758283,房地产
2013-05-07,华夏幸福,9.242126333333333,8.17758283,房地产
2013-05-08,华夏幸福,8.904183233333336,8.33999161,房地产
2013-05-09,华夏幸福,8.488251233333337,8.421196,房地产
2013-05-10,华夏幸福,9.255125033333336,8.35202189,房地产
2013-05-11,华夏幸福,9.411099533333337,8.254275865,房地产
2013-05-14,华夏幸福,9.801037433333342,8.254275865,房地产
2013-05-15,华夏幸福,10.645896833333339,8.022692975,房地产
2013-05-16,华夏幸福,10.801871333333333,7.933969660000002,房地产
2013-05-17,华夏幸福,8.81319893333334,8.111416290000001,房地产
2013-05-18,华夏幸福,5.199788033333341,8.720449214999999,房地产
2013-05-21,华夏幸福,4.4589116333333365,8.720449214999999,房地产
2013-05-22,华夏幸福,4.913836433333337,9.30542158,房地产
2013-05-23,华夏幸福,3.2761025333333365,9.505424985,房地产
2013-05-24,华夏幸福,3.7180319333333434,9.687382970000002,房地产
2013-05-25,华夏幸福,3.0551411333333363,9.35655027,房地产
2013-05-28,华夏幸福,3.562057433333337,9.35655027,房地产
2013-05-29,华夏幸福,1.0144739333333348,9.79565549,房地产
2013-05-30,华夏幸福,-0.6102612666666616,10.594165325,房地产
2013-05-31,华夏幸福,-0.8312226666666618,10.606195605,房地产
2013-06-01,华夏幸福,1.0144739333333348,10.4061922,房地产
2013-06-04,华夏幸福,0.05263283333334101,10.4061922,房地产
2013-06-05,华夏幸福,1.352420333333335,10.276183499999998,房地产
2013-06-06,华夏幸福,1.2484373333333425,10.153559625,房地产
2013-06-07,华夏幸福,2.7171947333333364,10.050616125,房地产
2013-06-08,华夏幸福,3.900000533333341,9.490482375,房地产
2013-06-14,华夏幸福,6.785530433333335,9.490482375,房地产
2013-06-15,华夏幸福,5.472744233333337,9.12261075,房地产
2013-06-18,华夏幸福,6.1876265333333365,9.12261075,房地产
2013-06-19,华夏幸福,3.6660404333333365,9.363316875,房地产
2013-06-20,华夏幸福,4.016982233333337,9.393594375,房地产
2013-06-21,华夏幸福,4.172956733333336,9.49199625,房地产
2013-06-22,华夏幸福,4.510903133333336,9.293678625,房地产
2013-06-25,华夏幸福,7.279448033333337,9.293678625,房地产
2013-06-26,华夏幸福,6.902512133333339,8.64422625,房地产
2013-06-27,华夏幸福,5.927669033333338,9.1014165,房地产
2013-06-28,华夏幸福,3.977989433333335,9.399649875,房地产
2013-06-29,华夏幸福,2.600216333333336,9.93102,房地产
2013-07-02,华夏幸福,1.98931373333334,9.93102,房地产
2013-07-03,华夏幸福,1.781347733333341,9.956755875,房地产
2013-07-04,华夏幸福,1.6383719333333389,9.97643625,房地产
2013-07-05,华夏幸福,0.28659293333333835,10.407890625,房地产
2013-07-06,华夏幸福,-0.9352056666666612,10.73942925,房地产
2013-07-09,华夏幸福,-0.8182272666666606,10.73942925,房地产
2013-07-10,华夏幸福,1.5473876333333365,10.37609925,房地产
2013-07-11,华夏幸福,0.06562823333333513,10.353391125,房地产
2013-07-12,华夏幸福,-2.1310101666666625,10.81209525,房地产
2013-07-13,华夏幸福,-0.9092115666666628,10.859025375,房地产
2013-07-16,华夏幸福,-1.0131945666666624,10.859025375,房地产
2013-07-17,华夏幸福,-0.8702187666666674,10.56987525,房地产
2013-07-18,华夏幸福,-0.4412880666666652,10.6152915,房地产
2013-07-19,华夏幸福,0.9754811333333322,10.438168125,房地产
2013-07-20,华夏幸福,2.27526863333334,10.080893625000002,房地产
2013-07-23,华夏幸福,2.6775386333333344,10.080893625000002,房地产
2013-07-24,华夏幸福,0.9893345333333344,10.258017,房地产
2013-07-25,华夏幸福,2.3348204333333413,10.13993475,房地产
2013-07-26,华夏幸福,2.779082933333342,10.165670625,房地产
2013-07-27,华夏幸福,2.8679354333333364,10.03699125,房地产
2013-07-30,华夏幸福,4.264195133333338,10.03699125,房地产
2013-07-31,华夏幸福,3.7183850333333415,9.7432995,房地产
2013-08-01,华夏幸福,2.6775386333333344,10.43059875,房地产
2013-08-02,华夏幸福,1.24320023333334,10.311002625,房地产
2013-08-03,华夏幸福,0.6593114333333361,10.734887625,房地产
2013-08-06,华夏幸福,-0.4069218666666643,10.734887625,房地产
2013-08-07,华夏幸福,-0.12767256666666782,10.698554625,房地产
2013-08-08,华夏幸福,-0.5846268666666603,10.9422885,房地产
2013-08-09,华夏幸福,0.6085376333333343,10.753054125,房地产
2013-08-10,华夏幸福,-1.1685189666666602,10.746998625,房地产
2013-08-13,华夏幸福,-2.044352166666662,10.746998625,房地产
2013-08-14,华夏幸福,-3.1613592666666577,11.2692855,房地产
2013-08-15,华夏幸福,-2.1966702666666578,11.4146175,房地产
2013-08-16,华夏幸福,-1.422381366666663,11.182994625,房地产
2013-08-17,华夏幸福,-1.9935783666666609,11.426728500000001,房地产
2013-08-20,华夏幸福,-2.1078177666666638,11.426728500000001,房地产
2013-08-21,华夏幸福,-2.6663229666666624,11.37525675,房地产
2013-08-22,华夏幸福,-0.9019581666666596,11.18753625,房地产
2013-08-23,华夏幸福,-0.5592432666666625,10.946830125,房地产
2013-08-24,华夏幸福,-1.8158733666666649,10.94531625,房地产
2013-08-27,华夏幸福,-1.8158733666666649,10.94531625,房地产
2013-08-28,华夏幸福,-1.822899066666665,11.14212,房地产
2013-08-29,华夏幸福,-1.822899066666665,11.14212,房地产
2013-08-30,华夏幸福,-1.822899066666665,11.14212,房地产
2013-08-31,华夏幸福,-1.822899066666665,11.14212,房地产
2013-09-03,华夏幸福,8.608444600000006,11.14212,房地产
2013-09-04,华夏幸福,7.821345100000002,10.889302874999998,房地产
2013-09-05,华夏幸福,7.834040200000004,11.07853725,房地产
2013-09-06,华夏幸福,7.7578696000000065,11.134550625,房地产
2013-09-07,华夏幸福,9.07816660000001,10.912011,房地产
2013-09-10,华夏幸福,7.338931300000006,10.912011,房地产
2013-09-11,华夏幸福,6.513743200000008,11.195105625,房地产
2013-09-12,华夏幸福,6.691477900000002,11.4025065,房地产
