2011-04-26,万方发展,90.1344688111111,4.4325,综合
2018-09-04,台海核电,0.18876213333333425,9.577719585,机械设备
2018-09-05,台海核电,-0.5370068666666654,9.577719585,机械设备
2018-09-06,台海核电,-0.2578664666666626,9.706146975,机械设备
2018-09-07,台海核电,-0.2857778666666668,9.607356675,机械设备
2018-09-08,台海核电,-0.5370068666666654,9.617235705,机械设备
2018-09-11,台海核电,0.6633021333333318,9.617235705,机械设备
2018-09-12,台海核电,0.2445882333333316,9.360380925,机械设备
2018-09-13,台海核电,-0.6486623666666631,9.755542125,机械设备
2018-09-14,台海核电,-0.8998913666666688,9.765421155,机械设备
2018-09-15,台海核电,2.1706662333333315,9.17,机械设备
2018-09-18,台海核电,3.761771133333333,9.17,机械设备
2018-09-19,台海核电,2.8126911333333315,8.455,机械设备
2018-09-20,台海核电,1.8915225333333328,8.825,机械设备
2018-09-21,台海核电,1.6402968333333303,9.145,机械设备
2018-09-22,台海核电,1.0820127333333325,9.29,机械设备
2018-09-26,台海核电,1.0820127333333325,9.29,机械设备
2018-09-27,台海核电,0.5237319333333339,9.4,机械设备
2018-09-28,台海核电,0.8307870333333334,9.39,机械设备
2018-09-29,台海核电,0.9703572333333312,9.25,机械设备
2018-10-09,台海核电,0.3004176333333355,9.25,机械设备
2018-10-10,台海核电,-0.5649215666666656,9.715,机械设备
2018-10-11,台海核电,-0.0624668666666679,9.68,机械设备
2018-10-12,台海核电,2.477721333333335,9.055,机械设备
2018-10-13,台海核电,0.049191933333332834,9.14,机械设备
2018-10-16,台海核电,-0.5370068666666654,9.14,机械设备
2018-10-17,台海核电,1.2215829333333341,9.41,机械设备
2018-10-18,台海核电,3.510542133333334,8.855,机械设备
2018-10-19,台海核电,4.934165433333334,7.84,机械设备
2018-10-20,台海核电,4.906250733333334,7.689999999999999,机械设备
2018-10-23,台海核电,3.594286233333332,7.689999999999999,机械设备
2018-10-24,台海核电,3.622200933333332,8.425,机械设备
2018-10-25,台海核电,3.1476609333333307,8.355,机械设备
2018-10-26,台海核电,3.733856433333333,8.165,机械设备
2018-10-27,台海核电,-6.647521166666667,8.02,机械设备
2018-10-30,台海核电,-6.236225666666666,8.02,机械设备
2018-10-31,台海核电,-4.632168266666668,7.695,机械设备
2018-11-01,台海核电,-7.758023966666666,7.99,机械设备
2018-11-02,台海核电,-12.14881192222222,8.455,机械设备
2018-11-03,台海核电,-15.274670922222226,8.760000000000002,机械设备
2018-11-06,台海核电,-16.30291462222222,8.760000000000002,机械设备
2018-11-07,台海核电,-20.08684642222222,9.705,机械设备
2018-11-08,台海核电,-19.79893792222222,10.175,机械设备
2018-11-09,台海核电,-18.852956622222226,10.085,机械设备
2018-11-10,台海核电,-18.56504812222222,9.725,机械设备
2018-11-13,台海核电,-19.922328222222227,9.725,机械设备
2018-11-14,台海核电,-20.498145222222213,10.3,机械设备
2018-11-15,台海核电,-19.840069122222218,10.355,机械设备
2018-11-16,台海核电,-23.048187222222218,10.6,机械设备
2018-11-17,台海核电,-22.71914752222222,10.96,机械设备
2018-11-20,台海核电,-21.855425322222217,10.96,机械设备
2018-11-21,台海核电,-20.333627022222217,10.41,机械设备
2018-11-22,台海核电,-20.827181622222227,10.245,机械设备
2018-11-23,台海核电,-20.08684642222222,10.29,机械设备
2018-11-24,台海核电,-19.46990152222222,10.12,机械设备
2018-11-27,台海核电,-19.511032722222218,10.12,机械设备
2018-11-28,台海核电,-21.896556522222227,10.45,机械设备
2018-11-29,台海核电,-21.855425322222217,10.485,机械设备
2018-11-30,台海核电,-23.17157752222222,10.915,机械设备
2018-12-01,台海核电,-26.338564422222213,11.315,机械设备
2018-12-04,台海核电,-26.708732022222215,11.315,机械设备
2018-12-05,台海核电,-28.107140022222218,11.985,机械设备
2018-12-06,台海核电,-26.79099112222222,12.11,机械设备
2018-12-07,台海核电,-25.18693042222223,11.625,机械设备
2018-12-08,台海核电,-25.14580252222223,11.62,机械设备
2018-12-11,台海核电,-24.48772642222222,11.62,机械设备
2018-12-12,台海核电,-25.14580252222223,11.5,机械设备
2018-12-13,台海核电,-25.35145192222221,11.805,机械设备
2018-12-14,台海核电,-25.721619522222227,11.605,机械设备
2018-12-15,台海核电,-25.59822922222222,11.760000000000002,机械设备
2018-12-18,台海核电,-21.238480422222217,11.760000000000002,机械设备
2018-12-19,台海核电,-20.950571922222217,10.41,机械设备
2018-12-20,台海核电,-20.37475492222222,10.385,机械设备
2018-12-21,台海核电,-20.04571852222222,10.225,机械设备
2018-12-22,台海核电,-19.716678822222214,10.15,机械设备
2018-12-25,台海核电,-20.08684642222222,10.15,机械设备
2018-12-26,台海核电,-19.099733922222224,9.91,机械设备
2018-12-27,台海核电,-17.865844122222224,9.905,机械设备
2018-12-28,台海核电,-16.30291462222222,9.635000000000002,机械设备
2018-12-29,台海核电,-16.54969192222222,9.47,机械设备
2019-01-03,台海核电,-16.796469222222218,9.47,机械设备
2019-01-04,台海核电,-17.41341742222222,9.385000000000002,机械设备
2019-01-05,台海核电,-19.675550922222214,9.82,机械设备
2019-01-08,台海核电,-23.82965032222223,9.82,机械设备
2019-01-09,台海核电,-23.212705422222214,11.125,机械设备
2019-01-10,台海核电,-22.760278722222218,11.07,机械设备
2019-01-11,台海核电,-22.71914752222222,11.02,机械设备
2019-01-12,台海核电,-22.55462932222221,10.864999999999998,机械设备
2019-01-15,台海核电,-23.58287302222222,10.864999999999998,机械设备
