2011-04-26,万方发展,90.1344688111111,4.4325,综合
2013-06-25,民生银行,0.02246486666666669,4.82152992,银行
2013-06-26,民生银行,0.1887452666666718,4.82152992,银行
2013-06-27,民生银行,0.5213093666666708,4.91103852,银行
2013-06-28,民生银行,0.7350965666666696,4.98015067,银行
2013-06-29,民生银行,-0.12005883333333145,5.08953775,银行
2013-07-02,民生银行,-0.16756893333333167,5.08953775,银行
2013-07-03,民生银行,0.09372836666667084,5.141192759999999,银行
2013-07-04,民生银行,0.1887452666666718,5.0743450999999995,银行
2013-07-05,民生银行,0.09372836666667084,5.12296158,银行
2013-07-06,民生银行,0.06997496666667047,5.165501,银行
2013-07-09,民生银行,0.30751886666666906,5.165501,银行
2013-07-10,民生银行,0.2837654666666687,5.1047304,银行
2013-07-11,民生银行,-0.19132233333333204,5.16246247,银行
2013-07-12,民生银行,-2.2104438333333327,5.517970480000002,银行
2013-07-13,民生银行,-1.402795233333329,5.60608785,银行
2013-07-16,民生银行,-1.5215655333333302,5.60608785,银行
2013-07-17,民生银行,-1.5928290333333308,5.52708607,银行
2013-07-18,民生银行,-1.2365148333333311,5.55139431,银行
2013-07-19,民生银行,-0.5001297333333312,5.38731369,银行
2013-07-20,民生银行,0.26000876666666883,5.22019454,银行
2013-07-23,民生银行,0.2362553666666685,5.22019454,银行
2013-07-24,民生银行,-0.286339233333333,5.22323307,银行
2013-07-25,民生银行,0.11748506666667068,5.16246247,银行
2013-07-26,民生银行,0.2837654666666687,5.16246247,银行
2013-07-27,民生银行,0.2837654666666687,5.09865334,银行
2013-07-30,民生银行,0.8776235666666672,5.09865334,银行
2013-07-31,民生银行,0.5925695666666684,5.05611392,银行
2013-08-01,民生银行,0.568816166666668,5.1199230500000015,银行
2013-08-02,民生银行,0.1412384666666675,5.10776893,银行
2013-08-03,民生银行,0.2362553666666685,5.18373218,银行
2013-08-06,民生银行,0.04622156666666655,5.18373218,银行
2013-08-07,民生银行,0.06997496666667047,5.13815423,银行
2013-08-08,民生银行,-0.04879533333333086,5.22019454,银行
2013-08-09,民生银行,0.06997496666667047,5.1958863,银行
2013-08-10,民生银行,0.2362553666666685,5.129038639999999,银行
2013-08-13,民生银行,-0.8802006333333309,5.129038639999999,银行
2013-08-14,民生银行,-1.2602682333333313,5.45112282,银行
2013-08-15,民生银行,-1.189004733333331,5.56962549,银行
2013-08-16,民生银行,-0.8802006333333309,5.49062371,银行
2013-08-17,民生银行,-1.189004733333331,5.61520344,银行
2013-08-20,民生银行,-2.044163433333331,5.61520344,银行
2013-08-21,民生银行,-1.996653333333331,5.73674464,银行
2013-08-22,民生银行,-1.7828661333333322,5.657742860000001,银行
2013-08-23,民生银行,-1.8541296333333293,5.6942052200000015,银行
2013-08-24,民生银行,-1.5215655333333302,5.60608785,银行
2013-08-27,民生银行,-1.9253898333333304,5.60608785,银行
2013-08-28,民生银行,-1.7591094333333324,5.65470433,银行
2013-08-29,民生银行,-1.474058733333333,5.5422787200000005,银行
2013-08-30,民生银行,-0.35576133333333004,5.57874108,银行
2013-08-31,民生银行,-0.15254073333333196,5.51189342,银行
2013-09-03,民生银行,-0.16058273333333162,5.51189342,银行
2013-09-04,民生银行,-0.6121877333333323,5.65470433,银行
2013-09-05,民生银行,-0.679926833333333,5.72155199,银行
2013-09-06,民生银行,-0.7250873333333309,5.67597404,银行
2013-09-07,民生银行,-0.8605688333333319,5.7124364000000005,银行
2013-09-10,民生银行,-2.621828333333333,5.7124364000000005,银行
2013-09-11,民生银行,-2.305704833333333,6.15538827,银行
2013-09-12,民生银行,-2.1702233333333325,6.29121429,银行
2013-09-13,民生银行,-2.712149333333329,6.28504038,银行
2013-09-14,民生银行,-1.8089393333333312,6.13069263,银行
2013-09-17,民生银行,-2.576667833333332,6.13069263,银行
2013-09-18,民生银行,-2.734731233333335,6.491866365,银行
2013-09-19,民生银行,-2.5315073333333302,6.25417083,银行
2013-09-24,民生银行,-2.508928733333331,6.25417083,银行
2013-09-25,民生银行,-1.5605582333333317,6.124518719999998,银行
2013-09-26,民生银行,-1.402494833333332,6.0164752949999984,银行
2013-09-27,民生银行,-1.0186322333333315,5.886823185,银行
2013-09-28,民生银行,-0.9960503333333328,5.85286668,银行
2013-10-01,民生银行,-1.177144433333332,5.85286668,银行
2013-10-09,民生银行,-1.3577897333333304,5.859040589999998,银行
2013-10-10,民生银行,-1.6061774333333323,6.00104052,银行
2013-10-11,民生银行,-1.0416596333333317,5.97017097,银行
2013-10-12,民生银行,-1.470692633333332,5.93930142,银行
2013-10-15,民生银行,-0.9513353333333328,5.93930142,银行
2013-10-16,民生银行,-0.6352052333333305,5.794214535,银行
2013-10-17,民生银行,-0.2513327333333315,5.683084155,银行
2013-10-18,民生银行,-0.09326933333333187,5.6491276500000005,银行
2013-10-19,民生银行,-0.2061722333333336,5.6429537399999985,银行
2013-10-22,民生银行,-0.3416570333333304,5.6429537399999985,银行
2013-10-23,民生银行,0.08737596666666647,5.590475505,银行
2013-10-24,民生银行,-0.07068743333333316,5.6182581,银行
2013-10-25,民生银行,0.2906031666666671,5.547258135,银行
2013-10-26,民生银行,0.13253976666666745,5.556519000000001,银行
2013-10-29,民生银行,0.35834556666667083,5.556519000000001,银行
2013-10-30,民生银行,-0.2513327333333315,5.62443201,银行
2013-10-31,民生银行,-0.3190751333333317,5.630605920000002,银行
2013-11-01,民生银行,0.4720437666666655,5.51330163,银行
2013-11-02,民生银行,-0.3912305111111074,5.602823325,银行
2013-11-05,民生银行,-0.32447151111110983,5.602823325,银行
2013-11-06,民生银行,-0.16870821111110598,5.556519000000001,银行
