2011-04-26,股票具体名称,价格,指标,ROE,roe,PE,pe,板块
2010-05-07,闻泰科技,7.54005048,17.39676583333334,ROE,79.96435333333334,PE,18.959875,电子
2010-05-27,闻泰科技,7.54005048,20.702847733333343,ROE,79.96435333333334,PE,17.958032,电子
2010-06-26,闻泰科技,7.21526368,20.454889033333338,ROE,79.96435333333334,PE,18.033171,电子
2010-07-06,闻泰科技,7.25024072,24.25688503333334,ROE,79.96435333333334,PE,16.881051,电子
2010-07-16,闻泰科技,6.7055982400000005,22.107931633333337,ROE,79.96435333333334,PE,17.532249,电子
2010-08-05,闻泰科技,6.970424400000001,15.413116033333338,ROE,79.96435333333334,PE,19.560981,电子
2010-08-25,闻泰科技,7.744916,10.206039433333345,ROE,79.96435333333334,PE,21.138883,电子
2010-09-04,闻泰科技,8.20461424,14.86391823333333,ROE,76.43415333333333,PE,18.657647,电子
2010-09-14,闻泰科技,8.76424688,14.86391823333333,ROE,76.43415333333333,PE,18.657647,电子
2010-10-14,闻泰科技,8.72427312,10.632288633333332,ROE,76.43415333333333,PE,19.939959,电子
2010-11-03,闻泰科技,9.30389264,8.231875777777795,ROE,72.08799777777779,PE,19.35034,电子
2010-11-13,闻泰科技,8.824207520000002,7.2863960777777805,ROE,72.08799777777779,PE,19.636849,电子
2010-11-23,闻泰科技,8.70428624,14.341116277777793,ROE,72.08799777777779,PE,17.499055,电子
2010-12-03,闻泰科技,7.84984712,13.759283377777791,ROE,72.08799777777779,PE,17.675368,电子
2010-12-23,闻泰科技,8.4694404,6.777291877777799,ROE,72.08799777777779,PE,19.791123,电子
2011-01-12,闻泰科技,8.92414192,10.413746677777787,ROE,72.08799777777779,PE,18.689167,电子
2011-01-22,闻泰科技,8.46444368,20.01398457777779,ROE,72.08799777777779,PE,15.780004,电子
2011-02-01,闻泰科技,7.14031288,18.559400677777788,ROE,72.08799777777779,PE,16.220787,电子
2011-02-11,闻泰科技,7.4201292,15.795696877777793,ROE,72.08799777777779,PE,17.058273,电子
2011-03-03,闻泰科技,7.7698996,10.05009987777779,ROE,72.08799777777779,PE,18.799363,电子
2011-03-23,闻泰科技,8.43946008,-4.932088222222205,ROE,72.08799777777779,PE,23.33942,电子
2011-04-02,闻泰科技,10.493112,-11.84134772222221,ROE,72.08799777777779,PE,25.433135,电子
2011-04-12,闻泰科技,11.17266592,-8.495811022222213,ROE,72.08799777777779,PE,24.419336,电子
2011-04-22,闻泰科技,11.182659359999999,-2.6774853222222106,ROE,72.08799777777779,PE,22.656207,电子
2011-05-12,闻泰科技,10.0683908,-163.56828726666663,ROE,10.787153333333336,PE,52.834982,电子
2011-06-01,闻泰科技,9.17897464,-175.70573676666663,ROE,10.787153333333336,PE,56.512997,电子
2011-06-11,闻泰科技,9.778581039999999,-154.89867906666666,ROE,10.787153333333336,PE,50.207828,电子
2011-06-21,闻泰科技,8.644325599999998,-137.17414806666665,ROE,10.787153333333336,PE,44.836758,电子
2011-07-01,闻泰科技,7.7948832,-160.29309996666666,ROE,10.787153333333336,PE,51.842501,电子
2011-07-21,闻泰科技,8.869178000000002,-154.70602176666665,ROE,10.787153333333336,PE,50.149447,电子
2011-08-10,闻泰科技,8.60435184,-169.34802606666665,ROE,10.787153333333336,PE,54.586418,电子
2011-08-20,闻泰科技,9.47877784,-497.6551887666667,ROE,10.787153333333336,PE,154.073437,电子
2011-08-30,闻泰科技,9.069046799999999,-504.38952186666666,ROE,10.787153333333336,PE,156.114144,电子
2011-09-09,闻泰科技,9.11401728,-475.9036621333333,ROE,10.652086666666667,PE,147.441136,电子
2011-09-29,闻泰科技,8.55438464,-495.54547663333335,ROE,10.652086666666667,PE,153.393201,电子
2011-10-19,闻泰科技,8.7692436,-477.02605153333326,ROE,10.652086666666667,PE,147.781254,电子
2011-10-29,闻泰科技,9.00408944,-54.48811813333332,ROE,10.652086666666667,PE,19.739456,电子
2011-11-08,闻泰科技,9.698633520000001,-43.829092777777774,ROE,21.514042222222226,PE,19.80095,电子
2011-11-18,闻泰科技,9.863525280000001,-40.17636897777777,ROE,21.514042222222226,PE,18.694064,电子
2011-12-08,闻泰科技,8.90415504,-37.13243577777777,ROE,21.514042222222226,PE,17.77166,电子
2011-12-28,闻泰科技,8.4694404,-16.501320877777776,ROE,21.514042222222226,PE,11.519807,电子
2012-01-07,闻泰科技,5.49139528,-17.448321877777776,ROE,21.514042222222226,PE,11.806777,电子
2012-01-17,闻泰科技,5.60132312,-18.462969577777773,ROE,21.514042222222226,PE,12.114246,电子
2012-02-16,闻泰科技,6.0959984,-24.55083597777777,ROE,21.514042222222226,PE,13.959054,电子
2012-03-07,闻泰科技,7.120326,-21.875756977777773,ROE,21.514042222222226,PE,13.148424,电子
2012-03-17,闻泰科技,7.13531616,-18.17396877777777,ROE,21.514042222222226,PE,12.02667,电子
2012-03-27,闻泰科技,6.53570976,-29.582755177777774,ROE,21.514042222222226,PE,15.483878,电子
2012-04-06,闻泰科技,8.76424688,-34.80166887777777,ROE,21.514042222222226,PE,17.065367,电子
2012-04-26,闻泰科技,9.763590879999999,-44.45058837777776,ROE,21.514042222222226,PE,19.989282,电子
2012-05-16,闻泰科技,10.3182268,-61.971210033333335,ROE,10.159526666666668,PE,21.857799,电子
2012-05-26,闻泰科技,11.017767599999999,-64.04691333333332,ROE,10.159526666666668,PE,22.4868,电子
2012-06-05,闻泰科技,11.53242976,-59.37657843333332,ROE,10.159526666666668,PE,21.071547,电子
2012-06-15,闻泰科技,10.46313168,-60.479296533333326,ROE,10.159526666666668,PE,21.405704,电子
2012-07-05,闻泰科技,11.12769544,-63.13879293333332,ROE,10.159526666666668,PE,22.211612,电子
2012-07-25,闻泰科技,11.2925872,-55.74409683333333,ROE,10.159526666666668,PE,19.970795,电子
2012-08-04,闻泰科技,10.12835144,-49.84131093333333,ROE,10.159526666666668,PE,18.182072,电子
2012-08-14,闻泰科技,9.168981200000001,-58.468458033333334,ROE,10.159526666666668,PE,20.796359,电子
2012-08-24,闻泰科技,10.61303328,-31.789763133333334,ROE,10.159526666666668,PE,12.711906,电子
2012-09-13,闻泰科技,9.58870568,-24.575208433333326,ROE,19.12552666666667,PE,13.242647,电子
2012-10-13,闻泰科技,10.0184236,-22.09755193333333,ROE,19.12552666666667,PE,12.491842,电子
2012-10-23,闻泰科技,9.70862696,-22.09755193333333,ROE,19.12552666666667,PE,12.491842,电子
2012-11-02,闻泰科技,9.793571199999999,-77.48144156666666,ROE,17.150193333333334,PE,28.676253,电子
2012-11-22,闻泰科技,10.11336128,-71.40332336666667,ROE,17.150193333333334,PE,26.834399,电子
2012-12-12,闻泰科技,9.32887624,-64.39011056666666,ROE,17.150193333333334,PE,24.709183,电子
2012-12-22,闻泰科技,8.83420096,-67.28890646666666,ROE,17.150193333333334,PE,25.587606,电子
