2011-04-26,万方发展,90.1344688111111,4.4325,综合
2018-10-17,金禾实业,1.2478772000000014,13.614629605,化工
2018-10-18,金禾实业,0.3572963000000051,13.614629605,化工
2018-10-19,金禾实业,0.44293130000000497,13.757114,化工
2018-10-20,金禾实业,-1.1327064999999943,14.03225628,化工
2018-10-23,金禾实业,-2.0232873999999974,14.03225628,化工
2018-10-24,金禾实业,-1.6978809999999953,15.127912145,化工
2018-10-25,金禾实业,-1.3724778999999965,14.911728925,化工
2018-10-26,金禾实业,-1.3553508999999977,14.479362485,化工
2018-10-27,金禾实业,-1.2354684999999959,14.79872406,化工
2018-10-30,金禾实业,-0.3620145999999949,14.79872406,化工
2018-10-31,金禾实业,-0.4305225999999962,14.10104185,化工
2018-11-01,金禾实业,-0.8415573999999957,14.351617855,化工
2018-11-02,金禾实业,-1.9133985777777769,14.68080594,化工
2018-11-03,金禾实业,-2.8724841777777748,14.90681567,化工
2018-11-06,金禾实业,-2.5813350777777764,14.90681567,化工
2018-11-07,金禾实业,-2.1874239777777795,14.65132641,化工
2018-11-08,金禾实业,-1.827766877777776,14.636586645,化工
2018-11-09,金禾实业,-1.7421351777777758,14.56288782,化工
2018-11-10,金禾实业,-1.7250081777777773,14.449882955,化工
2018-11-13,金禾实业,-2.170296977777774,14.449882955,化工
2018-11-14,金禾实业,-2.735471477777775,14.803637315,化工
2018-11-15,金禾实业,-3.1122555777777765,15.157391675,化工
2018-11-16,金禾实业,-3.4205316777777814,15.314615835,化工
2018-11-17,金禾实业,-4.105591877777774,15.717502745,化工
2018-11-20,金禾实业,-4.088464877777779,15.717502745,化工
2018-11-21,金禾实业,-3.2663952777777787,15.45710023,化工
2018-11-22,金禾实业,-3.934328477777776,15.38831466,化工
2018-11-23,金禾实业,-4.0370871777777735,15.717502745,化工
2018-11-24,金禾实业,-3.0266238777777765,15.422707445,化工
2018-11-27,金禾实业,-3.0266238777777765,15.422707445,化工
2018-11-28,金禾实业,-3.1293825777777755,15.24091701,化工
2018-11-29,金禾实业,-3.9685791777777766,15.43744721,化工
2018-11-30,金禾实业,-2.9409888777777766,15.49640627,化工
2018-12-01,金禾实业,-3.7116840777777753,15.33918211,化工
2018-12-04,金禾实业,-4.670766377777773,15.33918211,化工
2018-12-05,金禾实业,-4.670766377777773,16.051604085,化工
2018-12-06,金禾实业,-4.824906077777776,16.179348715,化工
2018-12-07,金禾实业,-4.448121977777773,16.090910125,化工
2018-12-08,金禾实业,-4.1398458777777805,15.923859455,化工
2018-12-11,金禾实业,-4.533753677777779,15.923859455,化工
2018-12-12,金禾实业,-4.4995029777777775,16.00738479,化工
2018-12-13,金禾实业,-4.722147377777778,16.199001735,化工
2018-12-14,金禾实业,-4.842033077777779,16.26287405,化工
2018-12-15,金禾实业,-4.448121977777773,16.24322103,化工
2018-12-18,金禾实业,-4.122718877777778,16.24322103,化工
2018-12-19,金禾实业,-3.626049077777776,15.63397741,化工
2018-12-20,金禾实业,-3.3348999777777766,15.49640627,化工
2018-12-21,金禾实业,-3.540417377777775,15.412880935,化工
2018-12-22,金禾实业,-3.38628097777778,15.383401405,化工
2018-12-25,金禾实业,-4.088464877777779,15.383401405,化工
2018-12-26,金禾实业,-3.7973157777777793,15.47675325,化工
2018-12-27,金禾实业,-3.917201477777773,15.67328345,化工
2018-12-28,金禾实业,-3.5232903777777764,15.727329255,化工
2018-12-29,金禾实业,-3.7801887777777767,15.648717175,化工
2019-01-03,金禾实业,-2.512830377777778,15.648717175,化工
2019-01-04,金禾实业,-1.502367077777777,14.69063245,化工
2019-01-05,金禾实业,-2.3415636777777777,14.444969699999998,化工
2019-01-08,金禾实业,-2.855360477777776,14.444969699999998,化工
2019-01-09,金禾实业,-3.0266238777777765,15.08369285,化工
2019-01-10,金禾实业,-2.8724874777777787,15.2310905,化工
2019-01-11,金禾实业,-2.5299573777777766,15.059126575,化工
2019-01-12,金禾实业,-2.8724874777777787,14.901902415,化工
2019-01-15,金禾实业,-2.375817677777775,14.901902415,化工
2019-01-16,金禾实业,-2.6327160777777796,14.84785661,化工
2019-01-17,金禾实业,-2.7526017777777767,15.098432615,化工
2019-01-18,金禾实业,-2.5470843777777747,14.96577473,化工
2019-01-19,金禾实业,-2.9581191777777747,15.00508077,化工
2019-01-22,金禾实业,-3.7630650777777785,15.00508077,化工
2019-01-23,金禾实业,-4.2597348777777775,15.697849725,化工
2019-01-24,金禾实业,-4.2597348777777775,15.88946667,化工
2019-01-25,金禾实业,-4.3624935777777765,15.95825224,化工
2019-01-26,金禾实业,-4.842033077777779,16.154782439999998,化工
2019-01-29,金禾实业,-4.756401377777773,16.154782439999998,化工
2019-01-30,金禾实业,-5.047553777777775,16.1154764,化工
2019-01-31,金禾实业,-4.430998277777776,16.248134285,化工
2019-02-01,金禾实业,-4.653642677777776,16.24322103,化工
2019-02-02,金禾实业,-5.5270932777777775,16.488883780000002,化工
2019-02-12,金禾实业,-5.6812329777777775,16.488883780000002,化工
2019-02-13,金禾实业,-5.6812329777777775,16.78367908,化工
2019-02-14,金禾实业,-6.023763077777777,16.82298512,化工
2019-02-15,金禾实业,-6.33203917777778,16.95072975,化工
2019-02-16,金禾实业,-6.33203917777778,16.778765825,化工
2019-02-19,金禾实业,-5.492842577777775,16.778765825,化工
