2011-04-26,万方发展,90.1344688111111,4.4325,综合
2013-09-28,贵州茅台,0.2391255000000072,101.4266938,食品饮料
2013-10-01,贵州茅台,-0.23585669999999226,101.4266938,食品饮料
2013-10-09,贵州茅台,-0.42029039999999895,101.38160692,食品饮料
2013-10-10,贵州茅台,-0.5011371000000011,102.6477968,食品饮料
2013-10-11,贵州茅台,-0.5137695000000022,102.80935812,食品饮料
2013-10-12,贵州茅台,-0.6350411999999963,102.62149612,食品饮料
2013-10-15,贵州茅台,-1.1731820999999982,102.62149612,食品饮料
2013-10-16,贵州茅台,-2.335366199999996,106.66052912,食品饮料
2013-10-17,贵州茅台,-1.2939719999999966,108.8848152,食品饮料
2013-10-18,贵州茅台,-1.2816992999999923,108.69695320000001,食品饮料
2013-10-19,贵州茅台,-0.9847091999999976,107.79897284,食品饮料
2013-10-22,贵州茅台,-1.5026012999999951,107.79897284,食品饮料
2013-10-23,贵州茅台,-1.0927082999999982,108.0394362,食品饮料
2013-10-24,贵州茅台,-1.158978900000001,107.79145836,食品饮料
2013-10-25,贵州茅台,-1.163885999999998,107.70879908,食品饮料
2013-10-26,贵州茅台,0.549328800000005,104.68046364,食品饮料
2013-10-29,贵州茅台,1.226762700000002,104.68046364,食品饮料
2013-10-30,贵州茅台,1.5139353000000002,100.00269984,食品饮料
2013-10-31,贵州茅台,1.565478000000006,99.66454824,食品饮料
2013-11-01,贵州茅台,0.9469524000000008,101.07351324,食品饮料
2013-11-02,贵州茅台,0.43555037777777983,101.31021936,食品饮料
2013-11-05,贵州茅台,0.1508329777777817,101.31021936,食品饮料
2013-11-06,贵州茅台,-0.2836087222222119,102.60646716,食品饮料
2013-11-07,贵州茅台,-0.6615973222222138,104.64289124,食品饮料
2013-11-08,贵州茅台,-0.4946932222222173,103.91774392,食品饮料
2013-11-09,贵州茅台,0.19992047777778052,103.69982399999999,食品饮料
2013-11-12,贵州茅台,-0.63705192222222,103.69982399999999,食品饮料
2013-11-13,贵州茅台,-1.935463322222219,106.85590559999999,食品饮料
2013-11-14,贵州茅台,-1.9060108222222207,108.7908842,食品饮料
2013-11-15,贵州茅台,-1.7464690222222146,107.71631356,食品饮料
2013-11-16,贵州茅台,-1.5918376222222153,107.72758528,食品饮料
2013-11-19,贵州茅台,-1.604110322222219,107.72758528,食品饮料
2013-11-20,贵州茅台,-1.4396614222222155,107.269202,食品饮料
2013-11-21,贵州茅台,-1.253122322222218,106.82584768,食品饮料
2013-11-22,贵州茅台,-0.4186051222222176,105.51832816,食品饮料
2013-11-23,贵州茅台,-0.3719695222222157,104.19953692,食品饮料
2013-11-26,贵州茅台,-0.9757672222222168,104.19953692,食品饮料
2013-11-27,贵州茅台,-0.7425925222222176,105.81139288,食品饮料
2013-11-28,贵州茅台,-0.7352302222222207,105.12381796,食品饮料
2013-11-29,贵州茅台,-1.1966692222222193,106.19087412,食品饮料
2013-11-30,贵州茅台,-1.1009461222222183,105.79260668,食品饮料
2013-12-03,贵州茅台,0.04283387777778103,105.79260668,食品饮料
2013-12-04,贵州茅台,-0.1535227222222133,102.67034024,食品饮料
2013-12-05,贵州茅台,-0.3744247222222157,103.54577716,食品饮料
2013-12-06,贵州茅台,-0.008708822222217805,103.47063236,食品饮料
2013-12-07,贵州茅台,-0.4406953222222185,103.3616724,食品饮料
2013-12-10,贵州茅台,-0.2418835222222171,103.3616724,食品饮料
2013-12-11,贵州茅台,0.0011086777777862267,102.98594840000001,食品饮料
2013-12-12,贵州茅台,0.1385602777777848,102.86195948,食品饮料
2013-12-13,贵州茅台,0.1361050777777848,102.77554296,食品饮料
2013-12-14,贵州茅台,0.1361050777777848,102.80184364,食品饮料
2013-12-17,贵州茅台,0.9779845777777822,102.80184364,食品饮料
2013-12-18,贵州茅台,0.9190795777777794,100.36715212,食品饮料
2013-12-19,贵州茅台,1.09580117777778,99.87119644,食品饮料
2013-12-20,贵州茅台,1.4246989777777868,99.378998,食品饮料
2013-12-21,贵州茅台,2.529208977777781,96.842861,食品饮料
2013-12-24,贵州茅台,2.5635685777777835,96.842861,食品饮料
2013-12-25,贵州茅台,2.5390264777777816,95.46395392,食品饮料
2013-12-26,贵州茅台,2.624932077777782,95.15586024,食品饮料
2013-12-27,贵州茅台,2.998010277777784,94.07001788,食品饮料
2013-12-28,贵州茅台,2.6396599777777823,94.67117628,食品饮料
2013-12-31,贵州茅台,3.0667360777777835,94.67117628,食品饮料
2014-01-01,贵州茅台,2.104584777777781,94.61106044,食品饮料
2014-01-03,贵州茅台,2.693657877777781,94.61106044,食品饮料
2014-01-04,贵州茅台,3.1845493777777816,93.56654772,食品饮料
2014-01-07,贵州茅台,3.98225177777778,93.56654772,食品饮料
2014-01-08,贵州茅台,4.023976977777778,90.3804082,食品饮料
2014-01-09,贵州茅台,4.30869437777778,89.86942356,食品饮料
2014-01-10,贵州茅台,4.323422277777784,90.3240496,食品饮料
2014-01-11,贵州茅台,4.340602077777781,89.60265952,食品饮料
2014-01-14,贵州茅台,4.188425877777785,89.60265952,食品饮料
2014-01-15,贵州茅台,3.8398930777777807,90.43300956,食品饮料
2014-01-16,贵州茅台,4.465780977777784,89.8731808,食品饮料
2014-01-17,贵州茅台,3.6729889777777838,90.62087156,食品饮料
2014-01-18,贵州茅台,4.0877923777777845,91.21451548,食品饮料
2014-01-21,贵州茅台,2.494846077777783,91.21451548,食品饮料
2014-01-22,贵州茅台,2.4457552777777813,95.45643944,食品饮料
2014-01-23,贵州茅台,0.6834496777777801,98.10529364,食品饮料
2014-01-24,贵州茅台,0.703084677777781,100.37842384,食品饮料
2014-01-25,贵州茅台,0.3570070777777801,100.7691768,食品饮料
2014-01-28,贵州茅台,-0.9315868222222149,100.7691768,食品饮料
2014-01-29,贵州茅台,-0.5560534222222131,105.014858,食品饮料
2014-01-30,贵州茅台,-0.013615922222214749,104.2821962,食品饮料
2014-01-31,贵州茅台,1.1669788777777867,100.6752458,食品饮料
2014-02-08,贵州茅台,0.7521754777777829,100.6752458,食品饮料
2014-02-11,贵州茅台,0.7521754777777829,99.82235232,食品饮料
2014-02-12,贵州茅台,0.7153573777777851,100.57380032,食品饮料
2014-02-13,贵州茅台,0.6883600777777801,100.79923472,食品饮料
2014-02-14,贵州茅台,0.6883600777777801,102.3472176,食品饮料
2014-02-15,贵州茅台,-1.4592964222222164,104.59780436,食品饮料
2014-02-18,贵州茅台,-3.197056622222213,104.59780436,食品饮料
2014-02-19,贵州茅台,-2.468080022222217,111.04898544,食品饮料
2014-02-20,贵州茅台,-3.086605622222216,112.35274772,食品饮料
2014-02-21,贵州茅台,-2.9540644222222165,112.55939592,食品饮料
2014-02-22,贵州茅台,-2.9761546222222184,111.93945132,食品饮料
2014-02-25,贵州茅台,-2.6178043222222205,111.93945132,食品饮料
2014-02-26,贵州茅台,-2.6178043222222205,108.73452560000001,食品饮料
2014-02-27,贵州茅台,-1.2457600222222212,106.71688772,食品饮料
2014-02-28,贵州茅台,-1.9624606222222167,107.38567644,食品饮料
2014-03-01,贵州茅台,-3.206874122222217,111.120373,食品饮料
2014-03-04,贵州茅台,-4.412017622222223,111.120373,食品饮料
