2011-04-26,股票具体名称,价格,指标,ROE,roe,PE,pe,板块
2013-09-28,贵州茅台,101.42669380000001,0.2391255000000072,ROE,34.10922,PE,10.263665,食品饮料
2013-10-18,贵州茅台,101.42669380000001,-1.2816992999999925,ROE,34.10922,PE,10.724521,食品饮料
2013-11-07,贵州茅台,107.79897284,-0.6615973222222138,ROE,33.61499777777778,PE,10.386847,食品饮料
2013-11-27,贵州茅台,103.91774391999999,-0.7425925222222176,ROE,33.61499777777778,PE,10.411391,食品饮料
2013-12-07,贵州茅台,105.12381796,-0.4406953222222185,ROE,33.61499777777778,PE,10.319907,食品饮料
2013-12-17,贵州茅台,103.3616724,0.9779845777777822,ROE,33.61499777777778,PE,9.890004,食品饮料
2013-12-27,贵州茅台,100.36715212,2.9980102777777837,ROE,33.61499777777778,PE,9.277875,食品饮料
2014-01-16,贵州茅台,94.67117628,4.465780977777783,ROE,33.61499777777778,PE,8.833096,食品饮料
2014-02-15,贵州茅台,90.62087156,-1.4592964222222164,ROE,33.61499777777778,PE,10.628574,食品饮料
2014-02-25,贵州茅台,104.59780436,-2.61780432222222,ROE,33.61499777777778,PE,10.979637,食品饮料
2014-03-07,贵州茅台,108.7345256,-6.147322622222212,ROE,33.61499777777778,PE,12.049188,食品饮料
2014-03-27,贵州茅台,122.95192176,-2.2572826222222204,ROE,33.61499777777778,PE,10.870388,食品饮料
2014-04-16,贵州茅台,119.1796528,-5.878689422222216,ROE,33.61499777777778,PE,11.967784,食品饮料
2014-04-26,贵州茅台,129.530849,-3.400656722222216,ROE,33.61499777777778,PE,11.216865,食品饮料
2014-05-06,贵州茅台,123.91001796,-5.405767966666666,ROE,30.611953333333332,PE,10.914461,食品饮料
2014-05-16,贵州茅台,121.2461348,-4.484252866666665,ROE,30.611953333333332,PE,10.635214,食品饮料
2014-06-05,贵州茅台,117.13947148,-3.360457666666669,ROE,30.611953333333332,PE,10.29467,食品饮料
2014-06-25,贵州茅台,114.34408492,-6.151970566666662,ROE,30.611953333333332,PE,11.140583,食品饮料
2014-07-05,贵州茅台,121.805944875,-4.821842866666664,ROE,30.611953333333332,PE,10.737514,食品饮料
2014-07-15,贵州茅台,121.83567125,-6.416511766666666,ROE,30.611953333333332,PE,11.220747,食品饮料
2014-07-25,贵州茅台,130.418100375,-9.81847186666667,ROE,30.611953333333332,PE,12.251644,食品饮料
2014-08-14,贵州茅台,138.91135037499998,-9.561349066666665,ROE,30.611953333333332,PE,12.173728,食品饮料
2014-09-03,贵州茅台,137.896407,-10.038034399999994,ROE,30.483220000000003,PE,12.279168,食品饮料
2014-09-13,贵州茅台,140.13013175,-11.271917599999995,ROE,30.483220000000003,PE,12.653072,食品饮料
2014-09-23,贵州茅台,137.153247625,-9.611783299999992,ROE,30.483220000000003,PE,12.150001,食品饮料
2014-10-23,贵州茅台,133.28457225,-9.170573299999994,ROE,30.483220000000003,PE,12.016301,食品饮料
2014-11-12,贵州茅台,135.114867625,-9.234517388888893,ROE,29.920131111111107,PE,11.865045,食品饮料
2014-11-22,贵州茅台,129.008220875,-9.17834478888889,ROE,29.920131111111107,PE,11.848023,食品饮料
2014-12-02,贵州茅台,128.8426025,-10.947775088888893,ROE,29.920131111111107,PE,12.384214,食品饮料
2014-12-12,贵州茅台,135.65843562499998,-14.989624988888888,ROE,29.920131111111107,PE,13.609017,食品饮料
2015-01-01,贵州茅台,151.600265875,-18.49528758888889,ROE,29.920131111111107,PE,14.671339,食品饮料
2015-01-21,贵州茅台,159.2484375,-15.54879678888889,ROE,29.920131111111107,PE,13.778463,食品饮料
2015-01-31,贵州茅台,152.92096625,-15.319001288888895,ROE,29.920131111111107,PE,13.708828,食品饮料
2015-02-10,贵州茅台,151.81684375,-17.13694158888889,ROE,29.920131111111107,PE,14.259719,食品饮料
2015-03-12,贵州茅台,155.70250562500001,-19.09786428888889,ROE,29.920131111111107,PE,14.853938,食品饮料
2015-04-01,贵州茅台,164.510005875,-20.114072888888888,ROE,29.920131111111107,PE,15.16188,食品饮料
2015-04-11,贵州茅台,166.4846865,-21.20177268888889,ROE,29.920131111111107,PE,15.491486,食品饮料
2015-04-21,贵州茅台,170.9691225,-29.834434088888894,ROE,29.920131111111107,PE,18.107444,食品饮料
2015-05-01,贵州茅台,211.23986737500002,-29.432560088888888,ROE,29.920131111111107,PE,17.985664,食品饮料
2015-05-21,贵州茅台,213.456605625,-32.882012966666665,ROE,26.875413333333338,PE,18.108311,食品饮料
2015-06-10,贵州茅台,218.832832875,-34.07739836666666,ROE,26.875413333333338,PE,18.470549,食品饮料
2015-06-20,贵州茅台,221.1132705,-28.49580146666666,ROE,26.875413333333338,PE,16.779156,食品饮料
2015-06-30,贵州茅台,204.903902875,-31.161884666666662,ROE,26.875413333333338,PE,17.58706,食品饮料
2015-07-10,贵州茅台,214.80278575,-33.82090586666666,ROE,26.875413333333338,PE,18.392824,食品饮料
2015-07-30,贵州茅台,227.177451,-26.896621466666662,ROE,26.875413333333338,PE,16.294556,食品饮料
2015-08-19,贵州茅台,196.781287175,-25.16755016666666,ROE,26.875413333333338,PE,15.770595,食品饮料
2015-08-29,贵州茅台,190.32063515,-23.012914166666658,ROE,26.875413333333338,PE,15.117675,食品饮料
2015-09-08,贵州茅台,181.80151195,-23.291553500000003,ROE,25.57648,PE,14.808495,食品饮料
2015-09-18,贵州茅台,178.497499325,-25.6972766,ROE,25.57648,PE,15.537502,食品饮料
2015-10-28,贵州茅台,189.63130877499998,-29.9115152,ROE,25.57648,PE,16.814544,食品饮料
2015-11-07,贵州茅台,202.942438775,-30.93077978888889,ROE,25.37439111111111,PE,17.062173,食品饮料
2015-11-17,贵州茅台,206.3985786,-29.734661788888886,ROE,25.37439111111111,PE,16.699713,食品饮料
2015-11-27,贵州茅台,204.7251794,-29.49234278888889,ROE,25.37439111111111,PE,16.626283,食品饮料
2015-12-17,贵州茅台,199.272370075,-29.76817328888889,ROE,25.37439111111111,PE,16.709868,食品饮料
2016-01-06,贵州茅台,204.8392748,-29.487188188888894,ROE,25.37439111111111,PE,16.624721,食品饮料
2016-01-16,贵州茅台,201.0741266,-25.92461378888889,ROE,25.37439111111111,PE,15.545153,食品饮料
2016-01-26,贵州茅台,192.14616155,-26.896460488888884,ROE,25.37439111111111,PE,15.839652,食品饮料
2016-02-05,贵州茅台,191.570930575,-27.468739888888884,ROE,25.37439111111111,PE,16.01307,食品饮料
2016-02-25,贵州茅台,193.82431472500002,-30.755487088888884,ROE,25.37439111111111,PE,17.009054,食品饮料
