2011-04-26,万方发展,90.1344688111111,4.4325,综合
2014-01-21,格力电器,0.1148205555555606,11.59229854,家用电器
2014-01-22,格力电器,0.04138565555555829,11.59229854,家用电器
2014-01-23,格力电器,-0.6470570444444448,11.74526746,家用电器
2014-01-24,格力电器,-0.5369063444444464,11.94530374,家用电器
2014-01-25,格力电器,-0.2798858444444434,11.7766457,家用电器
2014-01-28,格力电器,0.638035555555561,11.7766457,家用电器
2014-01-29,格力电器,0.4544532555555598,11.43540734,家用电器
2014-01-30,格力电器,0.9317718555555564,11.35892288,家用电器
2014-01-31,格力电器,1.2255081555555591,11.12554722,家用电器
2014-02-08,格力电器,0.8675175555555583,11.12554722,家用电器
2014-02-11,格力电器,0.8675175555555583,11.09220784,家用电器
2014-02-12,格力电器,-0.20645424444444416,11.63740476,家用电器
2014-02-13,格力电器,-1.2712454444444423,12.02571048,家用电器
2014-02-14,格力电器,-1.2712454444444423,12.4042105,家用电器
2014-02-15,格力电器,-1.7761025444444414,12.36302656,家用电器
2014-02-18,格力电器,-1.7118482444444432,12.36302656,家用电器
2014-02-19,格力电器,-1.5190820444444417,12.117884060000002,家用电器
2014-02-20,格力电器,-2.069838844444444,12.38263796,家用电器
2014-02-21,格力电器,-1.1519141444444436,12.570907400000001,家用电器
2014-02-22,格力电器,-0.7388498444444451,11.9139255,家用电器
2014-02-25,格力电器,1.2163275555555586,11.9139255,家用电器
2014-02-26,格力电器,1.2163275555555586,11.0216068,家用电器
2014-02-27,格力电器,1.4917059555555559,10.96473374,家用电器
2014-02-28,格力电器,3.0613542555555564,10.69017414,家用电器
2014-03-01,格力电器,1.785442255555559,10.57446688,家用电器
2014-03-04,格力电器,1.4366289555555591,10.57446688,家用电器
2014-03-05,格力电器,1.5559602555555578,10.94904462,家用电器
2014-03-06,格力电器,2.1250716555555584,10.84118192,家用电器
2014-03-07,格力电器,1.6110339555555555,10.78823114,家用电器
2014-03-08,格力电器,1.776261655555558,10.93139436,家用电器
2014-03-11,格力电器,2.290299355555557,10.93139436,家用电器
2014-03-12,格力电器,1.7487231555555596,10.7666586,家用电器
2014-03-13,格力电器,1.4090904555555568,10.99807312,家用电器
2014-03-14,格力电器,1.5834987555555564,11.04906276,家用电器
2014-03-15,格力电器,1.9323087555555567,10.85883218,家用电器
2014-03-18,格力电器,1.7028267555555594,10.85883218,家用电器
2014-03-19,格力电器,2.106713755555557,10.83333736,家用电器
2014-03-20,格力电器,2.565674455555559,10.5607389,家用电器
2014-03-21,格力电器,2.9695614555555565,10.47640988,家用电器
2014-03-22,格力电器,2.363730955555557,10.45091506,家用电器
2014-03-25,格力电器,2.6482899555555584,10.45091506,家用电器
2014-03-26,格力电器,2.3453730555555588,10.62545652,家用电器
2014-03-27,格力电器,2.354553655555556,10.7078244,家用电器
2014-03-28,格力电器,2.71254425555556,10.5705446,家用电器
2014-03-29,格力电器,1.92312815555556,10.68036844,家用电器
2014-04-01,格力电器,1.5559602555555578,10.68036844,家用电器
2014-04-02,格力电器,1.2622239555555588,11.04317934,家用电器
2014-04-03,格力电器,1.3631973555555559,11.09416898,家用电器
2014-04-04,格力电器,1.6477530555555582,11.09220784,家用电器
2014-04-05,格力电器,1.1245347555555585,11.0608296,家用电器
2014-04-09,格力电器,0.18825545555555576,11.0608296,家用电器
2014-04-10,格力电器,-0.23398944444444325,11.73153948,家用电器
2014-04-11,格力电器,-0.4726520444444411,12.0021768,家用电器
2014-04-12,格力电器,-1.4823662444444423,12.0413996,家用电器
2014-04-15,格力电器,-1.289603344444444,12.0413996,家用电器
2014-04-16,格力电器,-0.39003654444444535,11.9923711,家用电器
2014-04-17,格力电器,-0.6837728444444409,11.849207880000002,家用电器
2014-04-18,格力电器,-0.15137724444444345,11.87274156,家用电器
2014-04-19,格力电器,0.013847155555556157,11.51385294,家用电器
2014-04-22,格力电器,0.6196776555555594,11.51385294,家用电器
2014-04-23,格力电器,0.1790748555555588,11.46090216,家用电器
2014-04-24,格力电器,-0.5277257444444388,11.71388922,家用电器
2014-04-25,格力电器,-0.1421999444444424,11.73546176,家用电器
2014-04-26,格力电器,0.34890935555555913,11.67466642,家用电器
2014-04-29,格力电器,0.34890935555555913,11.67466642,家用电器
2014-04-30,格力电器,1.605546055555557,11.75115088,家用电器
2014-05-01,格力电器,1.908624655555556,11.84724674,家用电器
2014-05-06,格力电器,-0.7688327333333298,11.84724674,家用电器
2014-05-07,格力电器,-0.6593849333333317,11.78841254,家用电器
2014-05-08,格力电器,-0.09532253333333074,11.55895916,家用电器
2014-05-09,格力电器,-0.05322773333332975,11.56484258,家用电器
2014-05-10,格力电器,-0.3057932333333291,11.51973636,家用电器
2014-05-13,格力电器,-0.4741724333333295,11.51973636,家用电器
2014-05-14,格力电器,-0.24686183333333034,11.61779336,家用电器
2014-05-15,格力电器,-0.20476703333332932,11.570725999999999,家用电器
2014-05-16,格力电器,-0.07848593333333298,11.50404724,家用电器
2014-05-17,格力电器,-0.23002523333333255,11.47463014,家用电器
2014-05-20,格力电器,0.04779846666666998,11.47463014,家用电器
2014-05-21,格力电器,-0.06164603333333218,11.47855242,家用电器
2014-05-22,格力电器,-0.12057743333333093,11.44129076,家用电器
2014-05-23,格力电器,-0.07848593333333298,11.54327004,家用电器
2014-05-24,格力电器,-0.12899903333333285,11.45109646,家用电器
2014-05-27,格力电器,-0.6172901333333307,11.45109646,家用电器
2014-05-28,格力电器,-0.6088718333333318,11.76291772,家用电器
2014-05-29,格力电器,-1.4339213333333305,11.94530374,家用电器
2014-05-30,格力电器,-1.4760161333333317,12.16691256,家用电器
2014-05-31,格力电器,-1.5265292333333311,12.14534002,家用电器
2014-06-04,格力电器,-1.58546063333333,12.14534002,家用电器
2014-06-05,格力电器,-1.1308427333333313,12.0021768,家用电器
2014-06-06,格力电器,-1.6612319333333296,12.0904281,家用电器
2014-06-07,格力电器,-0.2552801333333292,12.16904723,家用电器
2014-06-10,格力电器,0.022540266666670302,12.16904723,家用电器
2014-06-11,格力电器,-0.22160363333333066,12.07838721,家用电器
2014-06-12,格力电器,-0.2552801333333292,12.105173125,家用电器
2014-06-13,格力电器,-0.044809433333330866,12.033057199999998,家用电器
2014-06-14,格力电器,-0.3649952333333317,12.17728905,家用电器
2014-06-17,格力电器,-0.558358733333332,12.17728905,家用电器
2014-06-18,格力电器,-0.2973749333333302,12.20201451,家用电器
2014-06-19,格力电器,-0.15425393333332948,12.113414945,家用电器
2014-06-20,格力电器,-0.12899903333333285,12.072205845,家用电器
2014-06-21,格力电器,0.08147496666666854,12.02481538,家用电器
2014-06-24,格力电器,0.24985086666666945,12.02481538,家用电器
2014-06-25,格力电器,-0.02797283333332956,11.927973995,家用电器
2014-06-26,格力电器,0.04779846666666998,11.9918481,家用电器
2014-06-27,格力电器,-0.21318533333333176,12.096931305,家用电器
2014-06-28,格力电器,-0.1795121333333327,12.11135449,家用电器
2014-07-01,格力电器,-0.2552801333333292,12.11135449,家用电器
2014-07-02,格力电器,0.7128870666666707,11.882643985,家用电器
2014-07-03,格力电器,0.9486159666666688,11.4973389,家用电器
2014-07-04,格力电器,0.8812662666666711,11.540608455,家用电器
2014-07-05,格力电器,0.9401976666666698,11.50145981,家用电器
2014-07-08,格力电器,1.302207666666671,11.50145981,家用电器
2014-07-09,格力电器,0.973874166666672,11.445827525,家用电器
2014-07-10,格力电器,1.4369103666666696,11.408739335,家用电器
2014-07-11,格力电器,1.4369103666666696,11.29953522,家用电器
2014-07-12,格力电器,1.23485796666667,11.379892965,家用电器
2014-07-15,格力电器,0.8560080666666714,11.379892965,家用电器
2014-07-16,格力电器,0.9654558666666696,11.50970163,家用电器
2014-07-17,格力电器,1.0243872666666718,11.51382254,家用电器
2014-07-18,格力电器,0.9065211666666712,11.528245725,家用电器
2014-07-19,格力电器,0.4266483666666723,11.71162622,家用电器
2014-07-22,格力电器,0.3845535666666677,11.71162622,家用电器
2014-07-23,格力电器,0.3172005666666706,11.829072155,家用电器
2014-07-24,格力电器,0.2666874666666708,11.868220800000001,家用电器
2014-07-25,格力电器,-0.2973749333333302,12.043359475,家用电器
2014-07-26,格力电器,-0.4489142333333298,12.22261906,家用电器
2014-07-29,格力电器,-1.1560976333333317,12.22261906,家用电器
2014-07-30,格力电器,-1.1560976333333317,12.463692295,家用电器
2014-07-31,格力电器,-0.7183163333333304,12.35036727,家用电器
2014-08-01,格力电器,-0.9203720333333294,12.39981819,家用电器
2014-08-02,格力电器,-0.9203720333333294,12.504901395,家用电器
2014-08-05,格力电器,-0.9203720333333294,12.504901395,家用电器
2014-08-06,格力电器,-1.16451923333333,12.60586369,家用电器
2014-08-07,格力电器,-1.16451923333333,12.37509273,家用电器
2014-08-08,格力电器,-0.3310514333333323,12.25558634,家用电器
2014-08-09,格力电器,-0.4489142333333298,12.21025633,家用电器
2014-08-12,格力电器,-0.6593849333333317,12.21025633,家用电器
2014-08-13,格力电器,-0.6593849333333317,12.204074965,家用电器
2014-08-14,格力电器,-0.3226331333333299,12.088689485,家用电器
2014-08-15,格力电器,-0.16267223333333192,12.11959631,家用电器
2014-08-16,格力电器,-0.16267223333333192,12.1566845,家用电器
2014-08-19,格力电器,-0.3984011333333299,12.1566845,家用电器
2014-08-20,格力电器,-0.3984011333333299,12.1566845,家用电器
2014-08-21,格力电器,-0.1795121333333327,12.08662903,家用电器
2014-08-22,格力电器,-0.0869042333333283,12.04541993,家用电器
2014-08-23,格力电器,-0.4152377333333313,12.125777674999998,家用电器
2014-08-26,格力电器,-0.15425393333332948,12.125777674999998,家用电器
2014-08-27,格力电器,2.1419751666666684,11.874402165,家用电器
2014-08-28,格力电器,2.1419751666666684,11.676598485,家用电器
2014-08-29,格力电器,2.323544466666668,11.63744984,家用电器
2014-08-30,格力电器,2.086713366666672,11.676598485,家用电器
2014-09-02,格力电器,4.192530166666671,11.676598485,家用电器
2014-09-03,格力电器,3.924121366666668,11.923853085,家用电器
2014-09-04,格力电器,3.924121366666668,12.14020086,家用电器
2014-09-05,格力电器,3.5294017666666697,12.187591325,家用电器
2014-09-06,格力电器,3.5294017666666697,12.237042245,家用电器
2014-09-10,格力电器,3.332045266666668,12.237042245,家用电器
2014-09-11,格力电器,3.5688730666666686,12.22261906,家用电器
2014-09-12,格力电器,4.192530166666671,12.19377269,家用电器
2014-09-13,格力电器,3.5925571666666687,12.033057199999998,家用电器
2014-09-16,格力电器,4.105690666666668,12.033057199999998,家用电器
2014-09-17,格力电器,4.43725486666667,11.833193065,家用电器
2014-09-18,格力电器,4.2556822666666685,11.820830335,家用电器
2014-09-19,格力电器,4.2556822666666685,11.816709425,家用电器
2014-09-20,格力电器,4.2951568666666695,11.8270117,家用电器
2014-09-23,格力电器,4.2951568666666695,11.8270117,家用电器
2014-09-24,格力电器,4.784606266666668,11.62920802,家用电器
2014-09-25,格力电器,4.381993066666666,11.69514258,家用电器
2014-09-26,格力电器,4.50041026666667,11.7858026,家用电器
2014-09-27,格力电器,4.50041026666667,11.631268475,家用电器
2014-09-30,格力电器,4.903020166666671,11.631268475,家用电器
2014-10-01,格力电器,4.903020166666671,11.445827525,家用电器
2014-10-09,格力电器,4.79249986666667,11.445827525,家用电器
2014-10-10,格力电器,4.626717766666669,11.651873025,家用电器
