2011-04-26,股票具体名称,价格,指标,ROE,roe,PE,pe,板块
2014-02-25,格力电器,11.0216068,1.2163275555555586,ROE,27.257815555555556,PE,7.89136,家用电器
2014-03-07,格力电器,11.0216068,1.6110339555555555,ROE,27.257815555555556,PE,7.771752,家用电器
2014-03-27,格力电器,10.931394359999999,2.3545536555555557,ROE,27.257815555555556,PE,7.546443,家用电器
2014-04-16,格力电器,10.5705446,-0.39003654444444535,ROE,27.257815555555556,PE,8.378137,家用电器
2014-04-26,格力电器,11.849207880000002,0.34890935555555913,ROE,27.257815555555556,PE,8.154214,家用电器
2014-05-06,格力电器,11.674666420000001,-0.7688327333333298,ROE,24.53826666666667,PE,7.668818,家用电器
2014-05-16,格力电器,11.78841254,-0.07848593333333298,ROE,24.53826666666667,PE,7.459622,家用电器
2014-06-05,格力电器,11.47463014,-1.1308427333333313,ROE,24.53826666666667,PE,7.778518,家用电器
2014-06-25,格力电器,12.0904281,-0.02797283333332956,ROE,24.53826666666667,PE,7.444315,家用电器
2014-07-05,格力电器,11.9918481,0.9401976666666698,ROE,24.53826666666667,PE,7.15093,家用电器
2014-07-15,格力电器,11.50145981,0.8560080666666714,ROE,24.53826666666667,PE,7.176442,家用电器
2014-07-25,格力电器,11.509701629999999,-0.2973749333333302,ROE,24.53826666666667,PE,7.525952,家用电器
2014-08-14,格力电器,12.22261906,-0.3226331333333299,ROE,24.53826666666667,PE,7.533606,家用电器
2014-09-03,格力电器,12.11959631,3.924121366666668,ROE,26.944066666666668,PE,6.975741,家用电器
2014-09-13,格力电器,12.14020086,3.592557166666669,ROE,26.944066666666668,PE,7.076215,家用电器
2014-09-23,格力电器,12.0330572,4.2951568666666695,ROE,26.944066666666668,PE,6.863306,家用电器
2014-10-23,格力电器,11.62920802,5.218793866666669,ROE,26.944066666666668,PE,6.583416,家用电器
2014-11-12,格力电器,11.41079979,6.14904863333334,ROE,27.847733333333338,PE,6.575359,家用电器
2014-11-22,格力电器,11.96300173,6.1566122333333375,ROE,27.847733333333338,PE,6.573067,家用电器
2014-12-02,格力电器,11.71986804,3.7885223333333364,ROE,27.847733333333338,PE,7.29067,家用电器
2014-12-12,格力电器,13.378534315,-0.22134726666666182,ROE,27.847733333333338,PE,8.505782,家用电器
2015-01-01,格力电器,15.4534125,-0.2364777666666633,ROE,27.847733333333338,PE,8.510367,家用电器
2015-01-21,格力电器,14.99599149,-2.6166357666666578,ROE,27.847733333333338,PE,9.231627,家用电器
2015-01-31,格力电器,17.90123304,-0.5631744666666592,ROE,27.847733333333338,PE,8.609366,家用电器
2015-02-10,格力电器,16.838038259999998,0.3862025333333392,ROE,27.847733333333338,PE,8.321676,家用电器
2015-03-12,格力电器,16.279654954999998,0.11896853333333723,ROE,27.847733333333338,PE,8.402656,家用电器
2015-04-01,格力电器,16.193115845,-2.940124866666661,ROE,27.847733333333338,PE,9.329654,家用电器
2015-04-11,格力电器,18.28447767,-3.6996231666666617,ROE,27.847733333333338,PE,9.559805,家用电器
2015-04-21,格力电器,18.27623585,-4.3677015666666605,ROE,27.847733333333338,PE,9.762253,家用电器
2015-05-01,格力电器,19.654680245,-10.703968866666663,ROE,27.847733333333338,PE,11.682334,家用电器
2015-05-21,格力电器,23.318169235,-11.779569333333328,ROE,24.803966666666668,PE,11.08592,家用电器
2015-06-10,格力电器,23.447977899999998,-16.642495533333324,ROE,24.803966666666668,PE,12.559534,家用电器
2015-06-20,格力电器,25.362140595,-11.04235263333333,ROE,24.803966666666668,PE,10.862521,家用电器
2015-06-30,格力电器,22.54961952,-14.870468133333333,ROE,24.803966666666668,PE,12.022556,家用电器
2015-07-10,格力电器,25.176699645,-4.414164033333332,ROE,24.803966666666668,PE,8.853979,家用电器
2015-07-30,格力电器,20.007855475,-5.753330433333328,ROE,24.803966666666668,PE,9.259787,家用电器
2015-08-19,格力电器,19.2652153,-3.5754954333333338,ROE,24.803966666666668,PE,8.599837,家用电器
2015-08-29,格力电器,17.944966100000002,-1.5735141333333296,ROE,24.803966666666668,PE,7.993176,家用电器
