2011-04-26,万方发展,90.1344688111111,4.4325,综合
2018-05-03,万华化学,10.860972700000005,36.44,化工
2018-05-04,万华化学,10.860972700000005,36.44,化工
2018-05-05,万华化学,10.860972700000005,36.44,化工
2018-05-08,万华化学,10.860972700000005,36.44,化工
2018-05-09,万华化学,10.860972700000005,36.44,化工
2018-05-10,万华化学,10.860972700000005,36.44,化工
2018-05-11,万华化学,10.860972700000005,36.44,化工
2018-05-12,万华化学,10.860972700000005,36.44,化工
2018-05-15,万华化学,10.860972700000005,36.44,化工
2018-05-16,万华化学,10.860972700000005,36.44,化工
2018-05-17,万华化学,10.860972700000005,36.44,化工
2018-05-18,万华化学,10.860972700000005,36.44,化工
2018-05-19,万华化学,10.860972700000005,36.44,化工
2018-05-22,万华化学,10.860972700000005,36.44,化工
2018-05-23,万华化学,10.860972700000005,36.44,化工
2018-05-24,万华化学,10.860972700000005,36.44,化工
2018-05-25,万华化学,10.860972700000005,36.44,化工
2018-05-26,万华化学,10.860972700000005,36.44,化工
2018-05-29,万华化学,10.860972700000005,36.44,化工
2018-05-30,万华化学,10.860972700000005,36.44,化工
2018-05-31,万华化学,10.860972700000005,36.44,化工
2018-06-01,万华化学,10.860972700000005,36.44,化工
2018-06-02,万华化学,10.860972700000005,36.44,化工
2018-06-05,万华化学,8.230635100000004,36.44,化工
2018-06-06,万华化学,5.332928200000005,43.205,化工
2018-06-07,万华化学,4.299582700000002,46.05,化工
2018-06-08,万华化学,2.5291624000000037,47.24,化工
2018-06-09,万华化学,2.9121505000000028,47.685,化工
2018-06-12,万华化学,1.5680770000000024,47.685,化工
2018-06-13,万华化学,1.3946487999999988,48.925,化工
2018-06-14,万华化学,1.5753040000000027,49.65,化工
2018-06-15,万华化学,2.6881366,48.345,化工
2018-06-16,万华化学,2.5363861000000014,48.05,化工
2018-06-20,万华化学,2.9627329000000064,48.05,化工
2018-06-21,万华化学,3.403533700000004,46.735,化工
2018-06-22,万华化学,2.464126000000008,47.89,化工
2018-06-23,万华化学,2.045006200000003,47.94,化工
2018-06-26,万华化学,4.003308700000005,47.94,化工
2018-06-27,万华化学,3.707031400000005,46.12000000000001,化工
2018-06-28,万华化学,4.776511900000003,45.675,化工
2018-06-29,万华化学,6.019417300000003,43.83,化工
2018-06-30,万华化学,6.019417300000003,44.475,化工
2018-07-03,万华化学,5.007749500000003,44.475,化工
2018-07-04,万华化学,4.877676700000009,44.39,化工
2018-07-05,万华化学,5.108917600000005,44.49,化工
2018-07-06,万华化学,4.6536661000000015,44.215,化工
2018-07-07,万华化学,5.4051916000000055,44.445,化工
2018-07-10,万华化学,4.1044735000000045,44.445,化工
2018-07-11,万华化学,3.996081700000005,45.71,化工
2018-07-12,万华化学,4.6753438000000065,44.82,化工
2018-07-13,万华化学,3.8587819000000043,45.605,化工
2018-07-14,万华化学,0.7153834000000003,48.27,化工
2018-07-17,万华化学,0.2601352000000077,48.27,化工
2018-07-18,万华化学,-0.4408078999999958,51.56999999999999,化工
2018-07-19,万华化学,-1.250142799999999,53.375,化工
2018-07-20,万华化学,0.07225300000000345,52.32,化工
2018-07-21,万华化学,0.4118824000000032,51.075,化工
2018-07-24,万华化学,-1.3224061999999959,51.075,化工
2018-07-25,万华化学,-1.0333558999999966,53.68,化工
2018-07-26,万华化学,-0.6937264999999968,53.175,化工
2018-07-27,万华化学,-1.0767145999999954,52.565,化工
2018-07-28,万华化学,0.5202775000000059,51.78,化工
2018-07-31,万华化学,-0.10117520000000013,51.78,化工
2018-08-01,万华化学,2.4243280000000027,51.515,化工
2018-08-02,万华化学,1.612415800000008,52.27,化工
2018-08-03,万华化学,2.3902159000000083,50.86,化工
2018-08-04,万华化学,4.095910000000004,49.84,化工
2018-08-07,万华化学,5.092038100000004,49.84,化工
2018-08-08,万华化学,4.034506900000004,48.045,化工
2018-08-09,万华化学,4.054973500000003,48.6,化工
2018-08-10,万华化学,3.154367200000003,49.035,化工
2018-08-11,万华化学,3.154367200000003,49.89,化工
2018-08-14,万华化学,3.154367200000003,49.89,化工
2018-08-15,万华化学,3.154367200000003,49.89,化工
2018-08-16,万华化学,3.154367200000003,49.89,化工
2018-08-17,万华化学,3.154367200000003,49.89,化工
2018-08-18,万华化学,4.7713672,49.325,化工
2018-08-21,万华化学,4.785012700000003,49.325,化工
2018-08-22,万华化学,4.3210624000000095,48.09,化工
2018-08-23,万华化学,4.3210624000000095,48.405,化工
2018-08-24,万华化学,4.4575207000000026,47.89,化工
2018-08-25,万华化学,4.730430700000007,47.645,化工
2018-08-28,万华化学,3.352228600000004,47.645,化工
2018-08-29,万华化学,3.352228600000004,50.055,化工
2018-08-30,万华化学,3.2635312000000027,49.64,化工
2018-08-31,万华化学,2.8678084000000013,50.485,化工
2018-09-01,万华化学,3.5569111000000007,49.445,化工
2018-09-04,万华化学,3.0176688000000027,49.445,化工
2018-09-05,万华化学,3.4406826000000024,47.43,化工
2018-09-06,万华化学,4.1775429000000015,47.035,化工
2018-09-07,万华化学,5.160025500000003,45.68,化工
2018-09-08,万华化学,4.812063599999998,45.525,化工
2018-09-11,万华化学,6.0401652000000015,45.525,化工
2018-09-12,万华化学,7.663986300000001,42.02500000000001,化工
2018-09-13,万华化学,7.548001199999997,41.23,化工
2018-09-14,万华化学,7.172748300000002,41.885,化工
2018-09-15,万华化学,7.0431144,42.27,化工
2018-09-18,万华化学,8.619177900000004,42.27,化工
2018-09-19,万华化学,7.438837199999997,40.47,化工
2018-09-20,万华化学,7.268266799999999,41.71,化工
2018-09-21,万华化学,6.899835000000002,42.375,化工
2018-09-22,万华化学,6.0401652000000015,42.925,化工
2018-09-26,万华化学,6.429063599999999,42.925,化工
2018-09-27,万华化学,5.303301600000001,43.925,化工
2018-09-28,万华化学,5.303301600000001,44.74,化工
2018-09-29,万华化学,6.852077399999999,42.49500000000001,化工
2018-10-09,万华化学,8.209809600000002,42.49500000000001,化工
2018-10-10,万华化学,9.1035948,39.85,化工
