2011-04-26,万方发展,90.1344688111111,4.4325,综合
2016-01-29,建投能源,0.6178073555555592,7.13702662,公用事业
2016-01-30,建投能源,-0.02476534444444312,7.13702662,公用事业
2016-02-02,建投能源,0.2965193555555565,7.13702662,公用事业
2016-02-03,建投能源,-0.2121822444444419,7.20573997,公用事业
2016-02-04,建投能源,-0.6137922444444435,7.31568133,公用事业
2016-02-05,建投能源,-0.8279820444444432,7.508078709999999,公用事业
2016-02-06,建投能源,-0.587016044444443,7.48517426,公用事业
2016-02-16,建投能源,-0.2657313444444433,7.48517426,公用事业
2016-02-17,建投能源,-1.015398944444442,7.43936536,公用事业
2016-02-18,建投能源,-1.0957209444444445,7.53556405,公用事业
2016-02-19,建投能源,-1.3366836444444417,7.7187996499999985,公用事业
2016-02-20,建投能源,-1.2028158444444408,7.63634363,公用事业
2016-02-23,建投能源,-1.7918394444444417,7.63634363,公用事业
2016-02-24,建投能源,-2.2469952444444417,8.00739572,公用事业
2016-02-25,建投能源,-2.9163441444444445,8.057785509999999,公用事业
2016-02-26,建投能源,-0.908304044444442,7.77377033,公用事业
2016-02-27,建投能源,-1.3099107444444409,7.64092452,公用事业
2016-03-01,建投能源,-0.34605334444444225,7.64092452,公用事业
2016-03-02,建投能源,-0.8012091444444422,7.39813735,公用事业
2016-03-03,建投能源,-2.032805444444442,7.7187996499999985,公用事业
2016-03-04,建投能源,-1.818615644444442,7.89287347,公用事业
2016-03-05,建投能源,-1.7650665444444442,7.755446770000002,公用事业
2016-03-08,建投能源,-2.1131274444444443,7.755446770000002,公用事业
2016-03-09,建投能源,-2.006032544444441,7.79667478,公用事业
2016-03-10,建投能源,-1.363459844444442,7.73712321,公用事业
2016-03-11,建投能源,-1.068944744444444,7.65924808,公用事业
2016-03-12,建投能源,-0.961849844444444,7.55388761,公用事业
2016-03-15,建投能源,-1.497327644444443,7.55388761,公用事业
2016-03-16,建投能源,-1.4705547444444418,7.695895200000002,公用事业
2016-03-17,建投能源,-1.3366836444444417,7.71421876,公用事业
2016-03-18,建投能源,-1.898934344444445,7.79209389,公用事业
2016-03-19,建投能源,-2.3273172444444405,7.9570059299999985,公用事业
2016-03-22,建投能源,-2.6218290444444428,7.9570059299999985,公用事业
2016-03-23,建投能源,-2.5950561444444418,8.1081753,公用事业
2016-03-24,建投能源,-2.461188344444441,8.03946195,公用事业
2016-03-25,建投能源,-2.006032544444441,7.9570059299999985,公用事业
2016-03-26,建投能源,-2.6753781444444407,8.03030017,公用事业
2016-03-29,建投能源,-2.8627950444444394,8.03030017,公用事业
2016-03-30,建投能源,-2.7021510444444448,8.18146954,公用事业
2016-03-31,建投能源,-3.3447237444444404,8.250182890000001,公用事业
2016-04-01,建投能源,-3.4250457444444438,8.36928603,公用事业
2016-04-02,建投能源,-3.9605235444444418,8.53877896,公用事业
2016-04-06,建投能源,-4.870835144444441,8.53877896,公用事业
2016-04-07,建投能源,-4.736964044444441,8.8869266,公用事业
2016-04-08,建投能源,-4.442452244444444,8.82279414,公用事业
2016-04-09,建投能源,-4.683418244444444,8.731176340000001,公用事业
2016-04-12,建投能源,-5.1852921444444435,8.731176340000001,公用事业
2016-04-13,建投能源,-4.746283244444445,8.66246299,公用事业
2016-04-14,建投能源,-5.459673944444443,8.7953088,公用事业
2016-04-15,建投能源,-5.5694286444444385,8.90066927,公用事业
2016-04-16,建投能源,-5.377362044444438,8.86402215,公用事业
2016-04-19,建投能源,-5.075540744444441,8.86402215,公用事业
2016-04-20,建投能源,-5.240171144444441,8.772404349999999,公用事业
2016-04-21,建投能源,-4.444461944444441,8.61665409,公用事业
2016-04-22,建投能源,-4.362150044444443,8.538778959999998,公用事业
2016-04-23,建投能源,-4.663968044444442,8.5662643,公用事业
2016-04-26,建投能源,-4.773719444444441,8.5662643,公用事业
2016-04-27,建投能源,-4.993225544444441,8.64413943,公用事业
2016-04-28,建投能源,-5.679180044444441,8.86402215,公用事业
2016-04-29,建投能源,-5.898686144444443,8.91899283,公用事业
2016-04-30,建投能源,-5.5419891444444405,8.946478169999997,公用事业
2016-05-04,建投能源,-6.870359333333332,8.946478169999997,公用事业
2016-05-05,建投能源,-6.952674533333332,8.969382620000003,公用事业
2016-05-06,建投能源,-6.8977955333333325,8.98770618,公用事业
2016-05-07,建投能源,-7.22705633333333,9.2075889,公用事业
2016-05-10,建投能源,-7.33680773333333,9.2075889,公用事业
2016-05-11,建投能源,-7.39168343333333,9.04267686,公用事业
2016-05-12,建投能源,-7.14474113333333,9.15261822,公用事业
2016-05-13,建投能源,-5.03200193333333,8.834581595,公用事业
2016-05-14,建投能源,-4.867371533333333,8.796191235,公用事业
2016-05-17,建投能源,-4.812495833333333,8.796191235,公用事业
2016-05-18,建投能源,-4.922247233333334,8.68581895,公用事业
2016-05-19,建投能源,-4.4009231333333325,8.604239435,公用事业
2016-05-20,建投能源,-4.181417033333332,8.50346474,公用事业
2016-05-21,建投能源,-3.989350433333332,8.373897275000001,公用事业
2016-05-24,建投能源,-4.2362927333333324,8.373897275000001,公用事业
2016-05-25,建投能源,-3.660092933333331,8.36909848,公用事业
2016-05-26,建投能源,-3.687529133333332,8.3499033,公用事业
2016-05-27,建投能源,-3.879599033333331,8.306714145,公用事业
2016-05-28,建投能源,-3.907035233333332,8.354702095,公用事业
2016-05-31,建投能源,-3.824720033333332,8.354702095,公用事业
2016-06-01,建投能源,-4.922247233333334,8.53225751,公用事业
2016-06-02,建投能源,-4.894811033333333,8.74340449,公用事业
2016-06-03,建投能源,-5.1143171333333335,8.748203284999999,公用事业
2016-06-04,建投能源,-5.224068533333334,8.824984005000003,公用事业
2016-06-07,建投能源,-5.169192833333334,8.824984005000003,公用事业
2016-06-08,建投能源,-5.05943813333333,8.79139244,公用事业
2016-06-09,建投能源,-4.949686733333333,8.75300208,公用事业
