2011-04-26,万方发展,90.1344688111111,4.4325,综合
2013-12-21,广宇发展,0.00799705555555974,5.7063844600000015,房地产
2013-12-24,广宇发展,0.5738447555555588,5.7063844600000015,房地产
2013-12-25,广宇发展,0.35620975555556106,5.63272201,房地产
2013-12-26,广宇发展,0.35620975555556106,5.57379205,房地产
2013-12-27,广宇发展,0.92205745555556,5.55414873,房地产
2013-12-28,广宇发展,0.6608954555555577,5.52959458,房地产
2013-12-31,广宇发展,0.7044224555555587,5.52959458,房地产
2014-01-01,广宇发展,0.3997367555555584,5.55905956,房地产
2014-01-03,广宇发展,0.5738447555555588,5.55905956,房地产
2014-01-04,广宇发展,1.009108155555559,5.5099512599999985,房地产
2014-01-07,广宇发展,1.6620098555555565,5.5099512599999985,房地产
2014-01-08,广宇发展,1.4008478555555577,5.303696400000001,房地产
2014-01-09,广宇发展,2.0102225555555577,5.31351806,房地产
2014-01-10,广宇发展,2.5760669555555573,5.18092565,房地产
2014-01-11,广宇发展,3.4901273555555576,5.0090466,房地产
2014-01-14,广宇发展,2.8807559555555606,5.0090466,房地产
2014-01-15,广宇发展,2.445489255555561,5.03851158,房地产
2014-01-16,广宇发展,2.7937019555555587,5.10235237,房地产
2014-01-17,广宇发展,2.445489255555561,5.10235237,房地产
2014-01-18,广宇发展,2.9242796555555586,5.05324407,房地产
2014-01-21,广宇发展,3.2724956555555598,5.05324407,房地产
2014-01-22,广宇发展,2.8807559555555606,5.00413577,房地产
2014-01-23,广宇发展,1.444374855555559,5.21530146,房地产
2014-01-24,广宇发展,1.6620098555555565,5.32825055,房地产
2014-01-25,广宇发展,1.0526351555555564,5.4117346600000005,房地产
2014-01-28,广宇发展,1.5314288555555606,5.4117346600000005,房地产
2014-01-29,广宇发展,1.618482855555559,5.33807221,房地产
2014-01-30,广宇发展,1.4879018555555596,5.33316138,房地产
2014-01-31,广宇发展,1.8361145555555571,5.31842889,房地产
2014-02-08,广宇发展,1.4008478555555577,5.31842889,房地产
2014-02-11,广宇发展,1.4008478555555577,5.29878557,房地产
2014-02-12,广宇发展,0.5738447555555588,5.5492379000000005,房地产
2014-02-13,广宇发展,-0.38374264444443895,5.70147363,房地产
2014-02-14,广宇发展,-0.38374264444443895,5.83897687,房地产
2014-02-15,广宇发展,-0.2966886444444405,5.765314419999998,房地产
2014-02-18,广宇发展,-0.3402156444444415,5.765314419999998,房地产
2014-02-19,广宇发展,-1.2542760444444383,5.82424438,房地产
2014-02-20,广宇发展,-1.2978030444444393,5.9470151300000005,房地产
2014-02-21,广宇发展,-0.6013743444444408,5.91263932,房地产
2014-02-22,广宇发展,0.1821050555555601,5.76040359,房地产
2014-02-25,广宇发展,1.2702701555555578,5.76040359,房地产
2014-02-26,广宇发展,1.2702701555555578,5.60325703,房地产
2014-02-27,广宇发展,-2.03581834444444,5.73584944,房地产
2014-02-28,广宇发展,-0.9103467444444426,5.62290035,房地产
2014-03-01,广宇发展,-1.6137648444444397,5.5492379000000005,房地产
2014-03-04,广宇发展,-1.7544504444444406,5.5492379000000005,房地产
2014-03-05,广宇发展,-2.410972244444441,5.73584944,房地产
2014-03-06,广宇发展,-1.7544504444444406,5.73093861,房地产
2014-03-07,广宇发展,-3.114390344444441,5.87826351,房地产
2014-03-08,广宇发展,-2.410972244444441,5.83897687,房地产
2014-03-11,广宇发展,-1.5199755444444385,5.83897687,房地产
2014-03-12,广宇发展,-1.8951327444444424,5.63272201,房地产
2014-03-13,广宇发展,-3.0674973444444404,5.745671099999999,房地产
2014-03-14,广宇发展,-2.9268150444444423,5.88808517,房地产
2014-03-15,广宇发展,-2.129607644444441,5.72111695,房地产
2014-03-18,广宇发展,-2.598550844444439,5.72111695,房地产
2014-03-19,广宇发展,-2.31718294444444,5.80460106,房地产
2014-03-20,广宇发展,-2.129607644444441,5.6818303100000005,房地产
2014-03-21,广宇发展,-4.849490744444445,6.02067758,房地产
2014-03-22,广宇发展,-6.162537644444442,6.4872064300000005,房地产
2014-03-25,广宇发展,-8.507263544444436,6.4872064300000005,房地产
2014-03-26,广宇发展,-7.850741744444437,6.95864611,房地产
2014-03-27,广宇发展,-7.288005944444438,6.81132121,房地产
2014-03-28,广宇发展,-6.5845878444444415,6.7671237400000015,房地产
2014-03-29,广宇发展,-6.678377144444441,6.81132121,房地产
2014-04-01,广宇发展,-7.803845444444446,6.81132121,房地产
2014-04-02,广宇发展,-7.194216644444442,6.77203457,房地产
2014-04-03,广宇发展,-8.554159844444445,7.1108818399999985,房地产
2014-04-04,广宇发展,-7.616266844444442,7.09123852,房地产
2014-04-05,广宇发展,-6.772166444444442,6.65908548,房地产
2014-04-09,广宇发展,-6.725273444444441,6.65908548,房地产
2014-04-10,广宇发展,-6.303219944444442,6.65417465,房地产
2014-04-11,广宇发展,-6.209430644444439,6.61979884,房地产
2014-04-12,广宇发展,-6.772166444444442,6.73274793,房地产
2014-04-15,广宇发展,-6.9128487444444415,6.73274793,房地产
2014-04-16,广宇发展,-6.490798544444441,6.69837212,房地产
2014-04-17,广宇发展,-5.928066044444442,6.565779709999998,房地产
2014-04-18,广宇发展,-5.037069344444443,6.45283062,房地产
2014-04-19,广宇发展,-5.083962344444443,6.33005987,房地产
2014-04-22,广宇发展,-4.052283344444444,6.33005987,房地产
2014-04-23,广宇发展,-4.474333544444441,6.14835916,房地产
2014-04-24,广宇发展,-3.9584940444444423,6.14835916,房地产
2014-04-25,广宇发展,-4.286754944444444,6.19255663,房地产
2014-04-26,广宇发展,-0.011651144444439154,6.20237829,房地产
2014-04-29,广宇发展,-0.011651144444439154,6.20237829,房地产
2014-04-30,广宇发展,1.086707655555557,5.80951189,房地产
2014-05-01,广宇发展,1.086707655555557,5.81442272,房地产
2014-05-06,广宇发展,-5.571853966666663,5.81442272,房地产
2014-05-07,广宇发展,-5.653215466666663,5.79969023,房地产
2014-05-08,广宇发展,-4.758255466666661,5.71129529,房地产
2014-05-09,广宇发展,-5.0836948666666615,5.70638446,房地产
2014-05-10,广宇发展,-5.124377266666663,5.6818303100000005,房地产
2014-05-13,广宇发展,-5.571853966666663,5.6818303100000005,房地产
2014-05-14,广宇发展,-5.77525606666666,5.81442272,房地产
2014-05-15,广宇发展,-5.897293366666659,5.9568367900000005,房地产
2014-05-16,广宇发展,-5.0836948666666615,5.76040359,房地产
2014-05-17,广宇发展,-5.3277760666666625,5.721116950000001,房地产
2014-05-20,广宇发展,-5.0836948666666615,5.721116950000001,房地产
2014-05-21,广宇发展,-5.653215466666663,5.765314419999998,房地产
2014-05-22,广宇发展,-5.897293366666659,5.7849577399999985,房地产
2014-05-23,广宇发展,-6.182053666666661,5.9421043,房地产
2014-05-24,广宇发展,-6.7108951666666625,5.981390940000002,房地产
2014-05-27,广宇发展,-6.548175466666662,5.981390940000002,房地产
2014-05-28,广宇发展,-6.182053666666661,5.976480110000002,房地产
2014-05-29,广宇发展,-6.3447733666666615,5.92737181,房地产
2014-05-30,广宇发展,-5.9379757666666615,5.93228264,房地产
2014-05-31,广宇发展,-5.734573666666663,5.87826351,房地产
2014-06-04,广宇发展,-5.124377266666663,5.87826351,房地产
2014-06-05,广宇发展,-4.758255466666661,5.60816786,房地产
2014-06-06,广宇发展,-4.880296066666664,5.57870288,房地产
2014-06-07,广宇发展,-4.554856666666662,5.58361371,房地产
2014-06-10,广宇发展,-4.595535766666661,5.58361371,房地产
2014-06-11,广宇发展,-4.758255466666661,5.56888122,房地产
2014-06-12,广宇发展,-4.595535766666661,5.56888122,房地产
2014-06-13,广宇发展,-4.7175763666666635,5.58361371,房地产
2014-06-14,广宇发展,-14.06860816666666,5.60325703,房地产
2014-06-17,广宇发展,-4.961657566666664,5.60325703,房地产
2014-06-18,广宇发展,-5.368455166666664,5.68674114,房地产
2014-06-19,广宇发展,-5.205735466666663,5.73584944,房地产
2014-06-20,广宇发展,-4.148055766666662,5.56397039,房地产
2014-06-21,广宇发展,-4.595535766666661,5.54432707,房地产
2014-06-24,广宇发展,-4.554856666666662,5.54432707,房地产
2014-06-25,广宇发展,-4.473495166666663,5.5148620899999985,房地产
2014-06-26,广宇发展,-4.229417266666662,5.495218769999998,房地产
2014-06-27,广宇发展,-4.473495166666663,5.5099512599999985,房地产
2014-06-28,广宇发展,-4.7175763666666635,5.56888122,房地产
2014-07-01,广宇发展,-4.880296066666664,5.56888122,房地产
2014-07-02,广宇发展,-5.002336666666665,5.61307869,房地产
2014-07-03,广宇发展,-5.043015766666663,5.63272201,房地产
2014-07-04,广宇发展,-5.287096966666663,5.7014736300000015,房地产
2014-07-05,广宇发展,-5.0836948666666615,5.745671099999999,房地产
2014-07-08,广宇发展,-5.409134266666663,5.745671099999999,房地产
2014-07-09,广宇发展,-5.246414566666662,5.6965628000000015,房地产
2014-07-10,广宇发展,-4.473495166666663,5.62290035,房地产
2014-07-11,广宇发展,-4.636214866666664,5.57870288,房地产
2014-07-12,广宇发展,-4.961657566666664,5.62781118,房地产
2014-07-15,广宇发展,-5.368455166666664,5.62781118,房地产
2014-07-16,广宇发展,-5.4498166666666625,5.760403589999999,房地产
2014-07-17,广宇发展,-5.815935166666662,5.8438877,房地产
2014-07-18,广宇发展,-5.490495766666663,5.83406604,房地产
2014-07-19,广宇发展,-6.2227327666666605,5.86353102,房地产
