2011-04-26,股票具体名称,价格,指标,ROE,roe,PE,pe,板块
2011-10-19,阳光城,1.18488381,1.3407645666666674,ROE,20.166066666666666,PE,5.704637,房地产
2011-10-29,阳光城,1.18488381,-3.8718923333333315,ROE,20.166066666666666,PE,7.28423,房地产
2011-11-08,阳光城,1.24442571,-5.687414455555555,ROE,19.364644444444444,PE,7.591533,房地产
2011-11-18,阳光城,1.3138912600000001,-4.973789455555554,ROE,19.364644444444444,PE,7.375283,房地产
2011-12-08,阳光城,1.28412031,-5.837653555555555,ROE,19.364644444444444,PE,7.63706,房地产
2011-12-28,阳光城,1.3654942399999999,-4.1099253555555535,ROE,19.364644444444444,PE,7.113506,房地产
2012-01-07,阳光城,1.243433345,-2.795347255555555,ROE,19.364644444444444,PE,6.715149,房地产
2012-01-17,阳光城,1.168013605,-2.795347255555555,ROE,19.364644444444444,PE,6.715149,房地产
2012-02-16,阳光城,1.195799825,-6.4386033555555535,ROE,19.364644444444444,PE,7.819166,房地产
2012-03-07,阳光城,1.34564694,-11.509109455555556,ROE,19.364644444444444,PE,9.355683,房地产
2012-03-17,阳光城,1.60564657,-9.142870855555554,ROE,19.364644444444444,PE,8.638641,房地产
2012-03-27,阳光城,1.5133566250000001,-9.631142155555555,ROE,19.364644444444444,PE,8.786602,房地产
2012-04-06,阳光城,1.545112305,-11.696905855555556,ROE,19.364644444444444,PE,9.412591,房地产
2012-04-26,阳光城,1.640379345,-32.84644415555556,ROE,19.364644444444444,PE,15.821542,房地产
2012-05-16,阳光城,1.805111935,-36.50940663333333,ROE,14.315546666666668,PE,15.401501,房地产
2012-05-26,阳光城,1.733661655,-38.24207493333333,ROE,14.315546666666668,PE,15.926552,房地产
2012-06-05,阳光城,1.78228754,-38.12656503333333,ROE,14.315546666666668,PE,15.891549,房地产
2012-06-15,阳光城,1.7664097,-39.10841073333332,ROE,14.315546666666668,PE,16.189078,房地产
2012-07-05,阳光城,1.828928695,-40.55229933333332,ROE,14.315546666666668,PE,16.62662,房地产
2012-07-25,阳光城,1.8636614699999998,-37.20247263333333,ROE,14.315546666666668,PE,15.611521,房地产
2012-08-04,阳光城,1.747310145,-41.07209883333332,ROE,14.315546666666668,PE,16.784135,房地产
2012-08-14,阳光城,1.868637315,-38.53085133333333,ROE,14.315546666666668,PE,16.01406,房地产
2012-08-24,阳光城,1.797034395,-37.08696273333333,ROE,14.315546666666668,PE,15.576518,房地产
2012-09-13,阳光城,1.7652108750000002,-36.837122966666655,ROE,17.042013333333333,PE,16.327011,房地产
2012-10-13,阳光城,1.95714648,-37.39257896666666,ROE,17.042013333333333,PE,16.495331,房地产
2012-10-23,阳光城,1.9491906,-41.891762666666665,ROE,17.042013333333333,PE,17.85872,房地产
2012-11-02,阳光城,2.111291655,-23.01751754444444,ROE,19.962035555555556,PE,13.024107,房地产
2012-11-22,阳光城,2.3817915750000003,-26.707679844444446,ROE,19.962035555555556,PE,14.142338,房地产
2012-12-12,阳光城,2.511074625,-31.22994044444444,ROE,19.962035555555556,PE,15.51272,房地产
2012-12-22,阳光城,2.773618665,-31.374652044444442,ROE,19.962035555555556,PE,15.556572,房地产
2013-01-01,阳光城,2.90190723,-36.113980044444446,ROE,19.962035555555556,PE,16.992732,房地产
2013-01-11,阳光城,3.0809145300000003,-39.22529264444444,ROE,19.962035555555556,PE,17.935554,房地产
2013-01-31,阳光城,3.2778225599999997,-49.174264644444435,ROE,19.962035555555556,PE,20.950394,房地产
2013-02-20,阳光城,3.66368274,-38.248486044444434,ROE,19.962035555555556,PE,17.639552,房地产
