2011-04-26,股票具体名称,价格,指标,ROE,roe,PE,pe,板块
2013-05-11,深物业A,6.88664405,6.5123355000000025,ROE,32.1816,PE,7.778565,房地产
2013-05-21,深物业A,6.88664405,5.212627200000004,ROE,32.1816,PE,8.172416,房地产
2013-05-31,深物业A,7.28079924,3.6204828000000084,ROE,32.1816,PE,8.654884,房地产
2013-06-20,深物业A,7.78124347,4.920191100000007,ROE,32.1816,PE,8.261033,房地产
2013-07-10,深物业A,7.33394376,8.299437300000005,ROE,32.1816,PE,7.237019,房地产
2013-07-20,深物业A,6.65635113,6.739784700000005,ROE,32.1816,PE,7.709641,房地产
2013-07-30,深物业A,7.14350923,7.0972044000000025,ROE,32.1816,PE,7.601332,房地产
2013-08-09,深物业A,6.85121437,4.302830400000005,ROE,32.1816,PE,8.448112,房地产
2013-08-29,深物业A,7.5022347400000005,5.348508000000006,ROE,32.1816,PE,8.13124,房地产
2013-09-18,深物业A,7.74138508,-0.8959259000000017,ROE,26.7796,PE,8.386523,房地产
2013-09-28,深物业A,7.8388167,0.6017329000000018,ROE,26.7796,PE,7.932687,房地产
2013-10-18,深物业A,7.4535189299999995,-0.3343055000000028,ROE,26.7796,PE,8.216335,房地产
2013-11-07,深物业A,7.69709798,-5.884252677777777,ROE,22.162622222222222,PE,8.499053,房地产
2013-11-27,深物业A,7.03279148,-5.636986977777781,ROE,22.162622222222222,PE,8.424124,房地产
2013-12-07,深物业A,6.92650244,-6.2728111777777755,ROE,22.162622222222222,PE,8.616798,房地产
2013-12-17,深物业A,7.09922213,-6.166838277777778,ROE,22.162622222222222,PE,8.584685,房地产
2013-12-27,深物业A,7.07707858,-4.789223577777776,ROE,22.162622222222222,PE,8.167226,房地产
2014-01-16,深物业A,6.78478372,-2.563842177777776,ROE,22.162622222222222,PE,7.492868,房地产
2014-02-15,深物业A,6.24005239,-4.012106577777775,ROE,22.162622222222222,PE,7.931736,房地产
2014-02-25,深物业A,6.52348983,-1.9986643777777786,ROE,22.162622222222222,PE,7.321602,房地产
2014-03-07,深物业A,6.04076044,-3.1643398777777776,ROE,22.162622222222222,PE,7.674837,房地产
2014-03-27,深物业A,6.22676626,-4.506634677777775,ROE,22.162622222222222,PE,8.081593,房地产
2014-04-16,深物业A,6.9973618,-26.541401277777776,ROE,22.162622222222222,PE,14.758795,房地产
2014-04-26,深物业A,6.62092145,-23.403424677777775,ROE,22.162622222222222,PE,13.807893,房地产
2014-05-06,深物业A,6.28433949,-132.66443223333334,ROE,12.592106666666668,PE,44.017133,房地产
2014-05-16,深物业A,6.05847528,-129.46494693333332,ROE,12.592106666666668,PE,43.047592,房地产
2014-06-05,深物业A,5.89904172,-131.17134063333333,ROE,12.592106666666668,PE,43.564681,房地产
2014-06-25,深物业A,5.99204463,-127.33195893333334,ROE,12.592106666666668,PE,42.401232,房地产
2014-07-05,深物业A,6.005577375,-132.23783463333334,ROE,12.592106666666668,PE,43.887861,房地产
2014-07-15,深物业A,6.240278099999999,-133.09102983333332,ROE,12.592106666666668,PE,44.146405,房地产
