2011-04-26,万方发展,90.1344688111111,4.4325,综合
2013-05-03,深物业A,6.999725700000006,6.88221534,房地产
2013-05-04,深物业A,6.642306000000005,6.88221534,房地产
2013-05-07,深物业A,6.284886300000004,6.88221534,房地产
2013-05-08,深物业A,6.739784700000005,6.95750341,房地产
2013-05-09,深物业A,6.869755200000004,6.93093115,房地产
2013-05-10,深物业A,7.162191300000004,6.83349953,房地产
2013-05-11,深物业A,6.5123355000000025,6.88664405,房地产
2013-05-14,深物业A,6.674797800000004,6.88664405,房地产
2013-05-15,深物业A,7.2596700000000025,6.85121437,房地产
2013-05-16,深物业A,7.292161800000006,6.80249856,房地产
2013-05-17,深物业A,5.602538700000004,7.08150729,房地产
2013-05-18,深物业A,5.277610800000009,7.38708828,房地产
2013-05-21,深物业A,5.2126272000000045,7.38708828,房地产
2013-05-22,深物业A,5.2451190000000025,7.28079924,房地产
2013-05-23,深物业A,4.822712400000008,7.391516989999999,房地产
2013-05-24,深物业A,5.537551800000003,7.364944729999999,房地产
2013-05-25,深物业A,5.180132100000002,7.28522795,房地产
2013-05-28,深物业A,5.180132100000002,7.28522795,房地产
2013-05-29,深物业A,3.360538500000004,7.63952475,房地产
2013-05-30,深物业A,3.2955549000000066,7.8388167,房地产
2013-05-31,深物业A,3.620482800000008,7.77681476,房地产
2013-06-01,深物业A,3.9779025000000026,7.78124347,房地产
2013-06-04,深物业A,3.1330893000000053,7.78124347,房地产
2013-06-05,深物业A,2.9706270000000043,7.945105740000002,房地产
2013-06-06,深物业A,3.263059800000004,7.909676060000002,房地产
2013-06-07,深物业A,2.4507417000000022,8.02925123,房地产
2013-06-08,深物业A,2.0608302000000047,8.25068673,房地产
2013-06-14,深物业A,4.985178000000007,8.25068673,房地产
2013-06-15,深物业A,4.302830400000005,7.53766442,房地产
2013-06-18,深物业A,4.010394300000005,7.53766442,房地产
2013-06-19,深物业A,3.9779025000000026,7.67938314,房地产
2013-06-20,深物业A,4.9201911000000065,7.48009119,房地产
2013-06-21,深物业A,5.959958400000005,7.33394376,房地产
2013-06-22,深物业A,5.959958400000005,7.085936,房地产
2013-06-25,深物业A,8.591870100000005,7.085936,房地产
2013-06-26,深物业A,8.104479900000005,6.20905142,房地产
2013-06-27,深物业A,7.974509400000006,6.55891951,房地产
2013-06-28,深物业A,7.487119200000002,6.83349953,房地产
2013-06-29,深物业A,6.414856800000003,6.98850438,房地产
2013-07-02,深物业A,6.5123355000000025,6.98850438,房地产
2013-07-03,深物业A,6.219899400000006,6.96193212,房地产
2013-07-04,深物业A,6.869755200000004,6.86892921,房地产
2013-07-05,深物业A,6.479843700000004,6.91764502,房地产
2013-07-06,深物业A,6.739784700000005,7.11693697,房地产
2013-07-09,深物业A,8.461899600000002,7.11693697,房地产
2013-07-10,深物业A,8.299437300000005,6.49248886,房地产
2013-07-11,深物业A,7.194683100000002,6.65635113,房地产
2013-07-12,深物业A,5.894974800000004,7.03279148,房地产
2013-07-13,深物业A,6.544827300000005,7.09036471,房地产
2013-07-16,深物业A,6.154915800000005,7.09036471,房地产
2013-07-17,深物业A,5.959958400000005,7.04607761,房地产
2013-07-18,深物业A,5.505060000000004,7.263084399999999,房地产
2013-07-19,深物业A,5.700017400000004,7.21436859,房地产
2013-07-20,深物业A,6.739784700000005,7.14350923,房地产
2013-07-23,深物业A,6.707292900000006,7.14350923,房地产
2013-07-24,深物业A,5.700017400000004,7.12136568,房地产
2013-07-25,深物业A,6.057437100000005,7.09036471,房地产
2013-07-26,深物业A,5.8299879000000026,7.14350923,房地产
2013-07-27,深物业A,5.959958400000005,7.1302231,房地产
2013-07-30,深物业A,7.0972044000000025,7.1302231,房地产
2013-07-31,深物业A,7.0972044000000025,6.85121437,房地产
2013-08-01,深物业A,6.804771600000002,7.04607761,房地产
2013-08-02,深物业A,6.252394500000005,6.98850438,房地产
2013-08-03,深物业A,6.057437100000005,7.1745102,房地产
2013-08-06,深物业A,5.8299879000000026,7.1745102,房地产
2013-08-07,深物业A,4.952682900000006,7.29851408,房地产
2013-08-08,深物业A,5.2126272000000045,7.50666345,房地产
2013-08-09,深物业A,4.302830400000005,7.444661509999999,房地产
2013-08-10,深物业A,4.335322200000004,7.50223474,房地产
2013-08-13,深物业A,5.348508000000006,7.50223474,房地产
2013-08-14,深物业A,5.691721200000004,7.52437829,房地产
2013-08-15,深物业A,5.972531400000005,7.4845199,房地产
2013-08-16,深物业A,6.6277596000000045,7.34722989,房地产
2013-08-17,深物业A,6.783767100000006,7.32508634,房地产
2013-08-20,深物业A,6.690162600000003,7.32508634,房地产
2013-08-21,深物业A,6.690162600000003,7.24979827,房地产
2013-08-22,深物业A,6.721364100000006,7.20108246,房地产
2013-08-23,深物业A,6.378150900000005,7.33394376,房地产
2013-08-24,深物业A,7.002174300000004,7.15236665,房地产
2013-08-27,深物业A,6.5965581000000055,7.15236665,房地产
2013-08-28,深物业A,5.972531400000005,7.45794764,房地产
2013-08-29,深物业A,5.348508000000006,7.48894861,房地产
2013-08-30,深物业A,4.474872600000005,7.74138508,房地产
2013-08-31,深物业A,3.882047400000008,8.077967039999999,房地产
2013-09-03,深物业A,-0.5839141999999988,8.077967039999999,房地产
2013-09-04,深物业A,-1.7695612999999994,7.936248320000002,房地产
2013-09-05,深物业A,-0.8335229000000021,7.953963160000002,房地产
2013-09-06,深物业A,-0.14709650000000352,7.73695637,房地产
2013-09-07,深物业A,-0.4591081999999993,7.69709798,房地产
2013-09-10,深物业A,-1.5199525999999963,7.69709798,房地产
2013-09-11,深物业A,-1.8007628000000009,8.14439769,房地产
2013-09-12,深物业A,-0.9271273999999998,7.96724929,房地产
2013-09-13,深物业A,-0.7711231999999981,7.794529600000001,房地产
2013-09-14,深物业A,-2.2999835,8.060252199999999,房地产
2013-09-17,深物业A,-1.8319642999999992,8.060252199999999,房地产
2013-09-18,深物业A,-0.8959259000000017,8.08239575,房地产
2013-09-19,深物业A,-1.083134900000001,7.8388167,房地产
2013-09-24,深物业A,-1.4575495999999966,7.8388167,房地产
2013-09-25,深物业A,-1.0519333999999994,7.86981767,房地产
2013-09-26,深物业A,-0.4279067000000012,7.794529600000001,房地产
2013-09-27,深物业A,0.4145271999999984,7.64395346,房地产
2013-09-28,深物业A,0.6017329000000018,7.453518929999999,房地产
2013-10-01,深物业A,0.04011250000000288,7.453518929999999,房地产
2013-10-09,深物业A,-0.5215111999999991,7.49780603,房地产
2013-10-10,深物业A,-0.7087201999999984,7.794529600000001,房地产
2013-10-11,深物业A,-1.0519333999999994,7.962820580000002,房地产
2013-10-12,深物业A,-0.9895303999999996,7.84767412,房地产
2013-10-15,深物业A,-0.6463171999999986,7.84767412,房地产
2013-10-16,深物业A,-1.4575495999999966,7.8211018600000015,房地产
2013-10-17,深物业A,-0.6463171999999986,7.85653154,房地产
2013-10-18,深物业A,-0.3343055000000028,7.80338702,房地产
2013-10-19,深物业A,-0.20949950000000328,7.69709798,房地产
2013-10-22,深物业A,-0.5527127000000007,7.69709798,房地产
2013-10-23,深物业A,-0.05349199999999854,7.69266927,房地产
2013-10-24,深物业A,0.7265389000000013,7.54209313,房地产
2013-10-25,深物业A,0.8825464000000025,7.38708828,房地产
2013-10-26,深物业A,1.5065698000000012,7.28522795,房地产
2013-10-29,深物业A,1.3817671000000011,7.28522795,房地产
2013-10-30,深物业A,-0.7727435000000007,7.01950535,房地产
2013-10-31,深物业A,-1.1613019999999992,6.93535986,房地产
2013-11-01,深物业A,-1.4792140999999963,7.20108246,房地产
2013-11-02,深物业A,-5.8489294777777765,6.9973618,房地产
2013-11-05,深物业A,-6.096191877777772,6.9973618,房地产
2013-11-06,深物业A,-6.272811177777776,7.05050632,房地产
2013-11-07,深物业A,-5.884252677777778,7.11693697,房地产
2013-11-08,深物业A,-5.8489294777777765,7.03279148,房地产
2013-11-09,深物业A,-5.1071356777777766,6.95750341,房地产
2013-11-12,深物业A,-4.859869977777778,6.95750341,房地产
2013-11-13,深物业A,-4.965839577777778,6.78478372,房地产
2013-11-14,深物业A,-4.683250677777779,6.74935404,房地产
2013-11-15,深物业A,-4.6479274777777775,6.71392436,房地产
2013-11-16,深物业A,-5.31907487777778,6.84235695,房地产
2013-11-19,深物业A,-6.166838277777778,6.84235695,房地产
2013-11-20,深物业A,-6.308134377777777,7.13908052,房地产
2013-11-21,深物业A,-6.272811177777776,7.10807955,房地产
2013-11-22,深物业A,-6.202164777777778,7.10807955,房地产
2013-11-23,深物业A,-5.990222277777775,7.06379245,房地产
2013-11-26,深物业A,-6.202164777777778,7.06379245,房地产
2013-11-27,深物业A,-5.636986977777782,7.05493503,房地产
2013-11-28,深物业A,-5.636986977777782,6.92650244,房地产
2013-11-29,深物业A,-5.9548990777777755,7.0416489,房地产
2013-11-30,深物业A,-5.8489294777777765,7.05050632,房地产
2013-12-03,深物业A,-4.294692177777776,7.05050632,房地产
2013-12-04,深物业A,-4.895193177777773,6.71392436,房地产
2013-12-05,深物业A,-5.389721277777778,6.84678566,房地产
2013-12-06,深物业A,-6.555400077777778,7.311800209999999,房地产
2013-12-07,深物业A,-6.272811177777776,7.09922213,房地产
2013-12-10,深物业A,-6.3434575777777775,7.09922213,房地产
2013-12-11,深物业A,-6.802662477777781,7.24094085,房地产
2013-12-12,深物业A,-6.6613696777777776,7.29408537,房地产
2013-12-13,深物业A,-7.685752377777778,7.3516585999999995,房地产
2013-12-14,深物业A,-7.120574577777782,7.400374409999999,房地产
2013-12-17,深物业A,-6.166838277777778,7.400374409999999,房地产
2013-12-18,深物业A,-5.884252677777778,7.07707858,房地产
2013-12-19,深物业A,-6.025545477777777,7.09036471,房地产
2013-12-20,深物业A,-5.460370977777778,7.01950535,房地产
2013-12-21,深物业A,-4.895193177777773,6.87335792,房地产
2013-12-24,深物业A,-4.7892235777777765,6.87335792,房地产
2013-12-25,深物业A,-5.1777820777777785,6.91321631,房地产
2013-12-26,深物业A,-5.425044477777778,6.85564308,房地产
2013-12-27,深物业A,-4.7892235777777765,6.83349953,房地产
2013-12-28,深物业A,-5.142458877777777,6.78478372,房地产
2013-12-31,深物业A,-5.142458877777777,6.78478372,房地产
2014-01-01,深物业A,-5.425044477777778,6.87335792,房地产
2014-01-03,深物业A,-5.460370977777778,6.87335792,房地产
2014-01-04,深物业A,-4.824546777777776,6.81578469,房地产
2014-01-07,深物业A,-3.835487277777776,6.81578469,房地产
2014-01-08,深物业A,-3.8708104777777765,6.51463241,房地产
2014-01-09,深物业A,-3.305635977777776,6.47034531,房地产
2014-01-10,深物业A,-2.9877238777777784,6.36405627,房地产
2014-01-11,深物业A,-2.1046339777777767,6.19133658,房地产
2014-01-14,深物业A,-1.9986643777777784,6.19133658,房地产
2014-01-15,深物业A,-2.4931924777777787,6.1116198,房地产
2014-01-16,深物业A,-2.563842177777776,6.19133658,房地产
2014-01-17,深物业A,-2.669811777777777,6.24005239,房地产
2014-01-18,深物业A,-2.1752836777777773,6.14704948,房地产
2014-01-21,深物业A,-1.6454290777777771,6.14704948,房地产
2014-01-22,深物业A,-2.1752836777777773,6.03633173,房地产
2014-01-23,深物业A,-3.4116055777777774,6.28433949,房地产
2014-01-24,深物业A,-3.1290166777777766,6.37291369,房地产
2014-01-25,深物业A,-3.5882215777777766,6.45705918,房地产
2014-01-28,深物业A,-3.7295176777777774,6.45705918,房地产
2014-01-29,深物业A,-3.4116055777777774,6.47034531,房地产
2014-01-30,深物业A,-3.3409591777777763,6.41277208,房地产
2014-01-31,深物业A,-3.2349862777777787,6.38177111,房地产
2014-02-08,深物业A,-3.305635977777776,6.38177111,房地产
2014-02-11,深物业A,-3.305635977777776,6.33748401,房地产
2014-02-12,深物业A,-3.976780077777778,6.53677596,房地产
2014-02-13,深物业A,-4.259368977777779,6.56777693,房地产
2014-02-14,深物业A,-4.259368977777779,6.53234725,房地产
2014-02-15,深物业A,-4.012106577777775,6.52348983,房地产
2014-02-18,深物业A,-4.1533993777777765,6.52348983,房地产
2014-02-19,深物业A,-3.7648408777777753,6.52791854,房地产
2014-02-20,深物业A,-3.8708104777777765,6.53677596,房地产
2014-02-21,深物业A,-3.6235480777777767,6.52348983,房地产
2014-02-22,深物业A,-2.9877238777777784,6.34634143,房地产
2014-02-25,深物业A,-1.9986643777777784,6.34634143,房地产
2014-02-26,深物业A,-1.9986643777777784,6.04076044,房地产
2014-02-27,深物业A,-1.7160754777777782,5.92118527,房地产
2014-02-28,深物业A,-1.2568705777777749,5.96104366,房地产
2014-03-01,深物业A,-1.9986643777777784,6.02747431,房地产
2014-03-04,深物业A,-2.4225460777777776,6.02747431,房地产
2014-03-05,深物业A,-2.2459300777777784,6.11604851,房地产
2014-03-06,深物业A,-2.2106068777777783,6.12490593,房地产
2014-03-07,深物业A,-3.1643398777777776,6.21790884,房地产
2014-03-08,深物业A,-2.316576477777776,6.22676626,房地产
2014-03-11,深物业A,-1.504136277777775,6.22676626,房地产
2014-03-12,深物业A,-2.1752836777777773,6.03190302,房地产
