2011-04-26,股票具体名称,价格,指标,ROE,roe,PE,pe,板块
2013-12-27,广宇发展,5.5295945799999995,0.9220574555555601,ROE,25.209915555555558,PE,7.359957,房地产
2014-01-16,广宇发展,5.5295945799999995,2.7937019555555587,ROE,25.209915555555558,PE,6.792792,房地产
2014-02-15,广宇发展,5.10235237,-0.29668864444444054,ROE,25.209915555555558,PE,7.729274,房地产
2014-02-25,广宇发展,5.765314419999999,1.2702701555555578,ROE,25.209915555555558,PE,7.254438,房地产
2014-03-07,广宇发展,5.60325703,-3.114390344444441,ROE,25.209915555555558,PE,8.583123,房地产
2014-03-27,广宇发展,5.83897687,-7.288005944444439,ROE,25.209915555555558,PE,9.847855,房地产
2014-04-16,广宇发展,6.767123740000001,-6.490798544444441,ROE,25.209915555555558,PE,9.606277,房地产
2014-04-26,广宇发展,6.565779709999999,-0.011651144444439154,ROE,25.209915555555558,PE,7.642899,房地产
2014-05-06,广宇发展,6.20237829,-5.571853966666662,ROE,18.429313333333337,PE,7.273081,房地产
2014-05-16,广宇发展,5.7996902299999995,-5.0836948666666615,ROE,18.429313333333337,PE,7.125154,房地产
2014-06-05,广宇发展,5.721116950000001,-4.758255466666661,ROE,18.429313333333337,PE,7.026536,房地产
2014-06-25,广宇发展,5.57870288,-4.4734951666666625,ROE,18.429313333333337,PE,6.940245,房地产
2014-07-05,广宇发展,5.495218769999999,-5.0836948666666615,ROE,18.429313333333337,PE,7.125154,房地产
2014-07-15,广宇发展,5.7456711,-5.368455166666664,ROE,18.429313333333337,PE,7.211445,房地产
2014-07-25,广宇发展,5.760403589999999,-7.117692766666661,ROE,18.429313333333337,PE,7.741517,房地产
2014-08-14,广宇发展,6.15818082,-8.175372466666659,ROE,18.429313333333337,PE,8.062026,房地产
2014-09-03,广宇发展,6.36934651,-10.152635933333325,ROE,19.99524666666667,PE,9.135722,房地产
2014-09-13,广宇发展,6.4773847700000005,-11.860864433333326,ROE,19.99524666666667,PE,9.653367,房地产
2014-09-23,广宇发展,6.82114287,-11.95319843333333,ROE,19.99524666666667,PE,9.681347,房地产
2014-10-23,广宇发展,6.7573020800000005,-11.999368733333327,ROE,19.99524666666667,PE,9.695338,房地产
2014-11-12,广宇发展,6.70328295,-20.274219911111107,ROE,19.19686888888889,PE,11.960936,房地产
2014-11-22,广宇发展,6.79167789,-22.970646611111103,ROE,19.19686888888889,PE,12.778035,房地产
2014-12-02,广宇发展,7.22383093,-25.32284701111111,ROE,19.19686888888889,PE,13.490823,房地产
2014-12-12,广宇发展,7.64125148,-28.248755711111105,ROE,19.19686888888889,PE,14.377462,房地产
2015-01-01,广宇发展,8.12742365,-30.428844611111106,ROE,19.19686888888889,PE,15.038095,房地产
2015-01-21,广宇发展,8.23055108,-27.388194911111103,ROE,19.19686888888889,PE,14.116686,房地产
2015-01-31,广宇发展,8.12742365,-31.404149711111106,ROE,19.19686888888889,PE,15.333642,房地产
2015-02-10,广宇发展,8.67743661,-30.54160231111111,ROE,19.19686888888889,PE,15.072264,房地产
2015-03-12,广宇发展,8.225640250000001,-39.46437991111111,ROE,19.19686888888889,PE,17.776136,房地产
2015-04-01,广宇发展,9.54174269,-43.92577201111111,ROE,19.19686888888889,PE,19.128073,房地产
2015-04-11,广宇发展,10.361851300000001,-47.362246811111106,ROE,19.19686888888889,PE,20.169429,房地产
2015-04-21,广宇发展,10.76453936,-45.79473361111111,ROE,19.19686888888889,PE,19.694425,房地产
2015-05-01,广宇发展,10.5582845,-60.55802611111112,ROE,19.19686888888889,PE,24.16815,房地产
2015-05-21,广宇发展,11.785992,-70.66869893333332,ROE,13.369206666666665,PE,25.466032,房地产
2015-06-10,广宇发展,12.75342551,-87.80075123333333,ROE,13.369206666666665,PE,30.657563,房地产
2015-06-20,广宇发展,15.262859639999999,-76.89853793333333,ROE,13.369206666666665,PE,27.353862,房地产
2015-06-30,广宇发展,14.40837522,-59.31222743333334,ROE,13.369206666666665,PE,22.024677,房地产
2015-07-10,广宇发展,10.833290980000001,-32.05668923333334,ROE,13.369206666666665,PE,13.765423,房地产
2015-07-30,广宇发展,7.30240421,-65.84147213333333,ROE,13.369206666666665,PE,24.003236,房地产
2015-08-19,广宇发展,8.80020736,-73.44068903333331,ROE,13.369206666666665,PE,26.306029,房地产
2015-08-29,广宇发展,9.49263439,-55.470773333333334,ROE,13.369206666666665,PE,20.8606,房地产
2015-09-08,广宇发展,7.2876717200000005,-47.41539729999999,ROE,13.020740000000002,PE,18.313981,房地产
2015-09-18,广宇发展,6.79658872,-45.269737299999996,ROE,13.020740000000002,PE,17.663781,房地产
2015-10-28,广宇发展,6.50193892,-62.52443409999999,ROE,13.020740000000002,PE,22.892477,房地产
2015-11-07,广宇发展,8.323856849999999,-84.17056784444443,ROE,12.855695555555556,PE,29.401898,房地产
2015-11-17,广宇发展,9.16851961,-89.38703624444443,ROE,12.855695555555556,PE,30.982646,房地产
2015-11-27,广宇发展,9.81674917,-90.63898694444444,ROE,12.855695555555556,PE,31.362025,房地产
2015-12-17,广宇发展,9.36004198,-95.54246354444443,ROE,12.855695555555556,PE,32.847927,房地产
