2011-04-26,股票具体名称,价格,指标,ROE,roe,PE,pe,板块
2018-11-01,华联控股,4.865,7.251699466666672,ROE,25.02478666666667,PE,5.385784,房地产
2018-11-21,华联控股,4.865,4.941804300000005,ROE,26.442720000000005,PE,6.515429,房地产
2018-12-01,华联控股,5.71,5.054769900000007,ROE,26.442720000000005,PE,6.481197,房地产
2018-12-11,华联控股,5.68,5.544282000000006,ROE,26.442720000000005,PE,6.33286,房地产
2018-12-21,华联控股,5.62,4.6405671000000055,ROE,26.442720000000005,PE,6.606713,房地产
2019-01-10,华联控股,5.66,5.017113600000005,ROE,26.442720000000005,PE,6.492608,房地产
2019-01-30,华联控股,5.699999999999999,5.393663400000005,ROE,26.442720000000005,PE,6.378502,房地产
2019-02-19,华联控股,5.6,3.1720275000000058,ROE,26.442720000000005,PE,7.051725,房地产
2019-03-01,华联控股,6.49,2.004725100000009,ROE,26.442720000000005,PE,7.405453,房地产
2019-03-21,华联控股,6.42,-2.554284299999992,ROE,26.442720000000005,PE,8.786971,房地产
2019-04-10,华联控股,7.565,-4.060622099999993,ROE,26.442720000000005,PE,9.243437,房地产
2019-04-20,华联控股,8.055,-3.3451127999999954,ROE,26.442720000000005,PE,9.026616,房地产
2019-04-30,华联控股,7.88,-1.8011153999999934,ROE,26.442720000000005,PE,8.558738,房地产
