2011-04-26,万方发展,90.1344688111111,4.4325,综合
2011-09-02,英特集团,2.6802919000000074,12.785,医药生物
2011-09-03,英特集团,1.5559522000000072,12.785,医药生物
2011-09-06,英特集团,-1.5711112999999912,12.785,医药生物
2011-09-07,英特集团,-0.37650469999999103,13.64,医药生物
2011-09-08,英特集团,-3.960331099999991,14.265,医药生物
2011-09-09,英特集团,-4.1360098999999915,14.54,医药生物
2011-09-10,英特集团,-2.3792317999999923,14.489999999999998,医药生物
2011-09-14,英特集团,0.7478350000000091,14.489999999999998,医药生物
2011-09-15,英特集团,-3.9251959999999926,13.989999999999998,医药生物
2011-09-16,英特集团,-6.279277399999998,15.18,医药生物
2011-09-17,英特集团,-5.084670799999998,15.215,医药生物
2011-09-20,英特集团,-4.979262199999994,15.215,医药生物
2011-09-21,英特集团,-6.244142299999987,14.935,医药生物
2011-09-22,英特集团,-6.841448899999996,15.115,医药生物
2011-09-23,英特集团,-2.9413999999999945,14.73,医药生物
2011-09-24,英特集团,-1.4657059999999902,13.865,医药生物
2011-09-27,英特集团,-1.5359761999999932,13.865,医药生物
2011-09-28,英特集团,-1.6413847999999902,13.945,医药生物
2011-09-29,英特集团,0.3964774000000091,13.665,医药生物
2011-09-30,英特集团,3.980307100000012,12.76,医药生物
2011-10-01,英特集团,3.6992230000000106,12.36,医药生物
2011-10-11,英特集团,3.6640879000000055,12.36,医药生物
2011-10-12,英特集团,4.19112100000001,12.51,医药生物
2011-10-13,英特集团,1.3802734000000072,12.73,医药生物
2011-10-14,英特集团,0.9937840000000122,13.15,医药生物
2011-10-15,英特集团,0.8532403000000031,13.27,医药生物
2011-10-18,英特集团,0.7478350000000091,13.27,医药生物
2011-10-19,英特集团,3.5235442000000106,12.85,医药生物
2011-10-20,英特集团,3.5938144000000065,12.71,医药生物
2011-10-21,英特集团,2.7505621000000104,12.555,医药生物
2011-10-22,英特集团,4.331661400000009,12.489999999999998,医药生物
2011-10-25,英特集团,4.998700300000003,12.489999999999998,医药生物
2011-10-26,英特集团,3.636292000000005,12.34,医药生物
2011-10-27,英特集团,3.461623000000003,12.535,医药生物
2011-10-28,英特集团,3.6013582000000066,12.73,医药生物
2011-10-29,英特集团,2.7280165000000096,12.705,医药生物
2011-11-01,英特集团,2.623218400000006,12.705,医药生物
2011-11-02,英特集团,-8.291356144444435,12.755,医药生物
2011-11-03,英特集团,-8.291356144444435,12.385000000000002,医药生物
2011-11-04,英特集团,-8.99002884444444,12.88,医药生物
2011-11-05,英特集团,-9.548966344444436,12.875,医药生物
2011-11-08,英特集团,-9.304433044444435,12.875,医药生物
2011-11-09,英特集团,-8.500958944444433,12.91,医药生物
2011-11-10,英特集团,-9.024962644444436,12.705,医药生物
2011-11-11,英特集团,-7.907087644444437,12.68,医药生物
2011-11-12,英特集团,-7.767352444444442,12.555,医药生物
2011-11-15,英特集团,-9.51403254444444,12.555,医药生物
2011-11-16,英特集团,-9.758569144444436,12.99,医药生物
2011-11-17,英特集团,-8.221491844444436,12.895,医药生物
2011-11-18,英特集团,-8.326289944444433,12.735,医药生物
2011-11-19,英特集团,-8.116690444444437,12.77,医药生物
2011-11-22,英特集团,-7.278282544444437,12.77,医药生物
2011-11-23,英特集团,-6.404944144444442,12.155,医药生物
2011-11-24,英特集团,-6.439877944444441,12.18,医药生物
2011-11-25,英特集团,-6.509745544444442,12.02,医药生物
2011-11-26,英特集团,-6.300142744444442,12.13,医药生物
2011-11-29,英特集团,-6.090543244444441,12.13,医药生物
2011-11-30,英特集团,-6.754278844444436,12.185,医药生物
2011-12-01,英特集团,-3.505458544444437,11.66,医药生物
2011-12-02,英特集团,-3.7499918444444376,11.585,医药生物
2011-12-03,英特集团,-1.688910844444436,11.01,医药生物
2011-12-06,英特集团,0.4071039555555629,11.01,医药生物
2011-12-07,英特集团,-0.2915687444444401,10.28,医药生物
2011-12-08,英特集团,-0.2915687444444401,10.355,医药生物
2011-12-09,英特集团,-0.7457048444444396,10.4,医药生物
2011-12-10,英特集团,-0.11689974444443862,10.395,医药生物
2011-12-13,英特集团,0.1975011555555639,10.395,医药生物
2011-12-14,英特集团,1.000975255555559,10.1,医药生物
2011-12-15,英特集团,1.9092474555555652,9.945,医药生物
2011-12-16,英特集团,4.599133555555562,9.35,医药生物
2011-12-17,英特集团,3.86552705555556,9.05,医药生物
2011-12-20,英特集团,4.144997455555565,9.05,医药生物
2011-12-21,英特集团,0.966041455555562,9.525,医药生物
2011-12-22,英特集团,1.385243755555564,10.18,医药生物
2011-12-23,英特集团,1.5599127555555583,9.425,医药生物
2011-12-24,英特集团,0.8612400555555624,9.89,医药生物
2011-12-27,英特集团,1.7695122555555614,9.89,医药生物
2011-12-28,英特集团,3.7607289555555643,9.44,医药生物
2011-12-29,英特集团,2.8873872555555598,9.3,医药生物
2011-12-30,英特集团,1.804446055555566,9.655,医药生物
2011-12-31,英特集团,1.9441812555555629,9.77,医药生物
2012-01-05,英特集团,3.690861355555562,9.77,医药生物
2012-01-06,英特集团,4.249798855555564,9.035,医药生物
2012-01-07,英特集团,3.86552705555556,9.035,医药生物
2012-01-10,英特集团,2.5031187555555623,9.035,医药生物
2012-01-11,英特集团,1.1756442555555608,9.82,医药生物
2012-01-12,英特集团,1.4201775555555614,9.865,医药生物
2012-01-13,英特集团,0.02283545555555833,10.28,医药生物
2012-01-14,英特集团,1.4900451555555634,10.065,医药生物
2012-01-17,英特集团,2.3284497555555603,10.065,医药生物
2012-01-18,英特集团,0.4071039555555629,9.84,医药生物
2012-01-19,英特集团,0.5817729555555644,10.265,医药生物
2012-01-20,英特集团,0.5817729555555644,10.155,医药生物
2012-01-21,英特集团,0.057769255555562886,10.25,医药生物
2012-01-31,英特集团,1.1057766555555588,10.25,医药生物
2012-02-01,英特集团,1.1407104555555565,9.97,医药生物
2012-02-02,英特集团,1.804446055555566,9.92,医药生物
2012-02-03,英特集团,1.2105747555555624,9.86,医药生物
2012-02-04,英特集团,0.5119053555555624,10.09,医药生物
2012-02-07,英特集团,0.3023025555555634,10.09,医药生物
2012-02-08,英特集团,1.2804423555555644,10.02,医药生物
2012-02-09,英特集团,0.16256735555556645,10.065,医药生物
2012-02-10,英特集团,-0.012098344444439135,10.365,医药生物
2012-02-11,英特集团,-0.8854400444444366,10.415,医药生物
2012-02-14,英特集团,-1.2697085444444411,10.415,医药生物
2012-02-15,英特集团,-1.1998409444444391,10.635,医药生物
2012-02-16,英特集团,-1.7937122444444356,10.67,医药生物
2012-02-17,英特集团,-2.6670506444444437,10.93,医药生物
2012-02-18,英特集团,-2.108113144444438,10.925,医药生物
2012-02-21,英特集团,-1.5142418444444343,10.925,医药生物
2012-02-22,英特集团,-2.1430469444444427,10.87,医药生物
2012-02-23,英特集团,-2.7019844444444416,11.0,医药生物
2012-02-24,英特集团,-2.7019844444444416,11.11,医药生物
2012-02-25,英特集团,-4.4486645444444415,11.335,医药生物
2012-02-28,英特集团,-4.832933044444438,11.335,医药生物
2012-02-29,英特集团,-3.365723344444433,11.415,医药生物
2012-03-01,英特集团,-2.52731544444444,11.18,医药生物
2012-03-02,英特集团,-2.52731544444444,11.03,医药生物
2012-03-03,英特集团,-3.295855744444438,11.15,医药生物
2012-03-06,英特集团,-2.946521044444438,11.15,医药生物
2012-03-07,英特集团,-3.47052474444444,11.25,医药生物
2012-03-08,英特集团,-2.9115872444444406,11.239999999999998,医药生物
2012-03-09,英特集团,-3.5403890444444386,11.305,医药生物
2012-03-10,英特集团,-3.959594644444437,11.385,医药生物
2012-03-13,英特集团,-4.413730744444444,11.385,医药生物
2012-03-14,英特集团,-4.3089293444444365,11.510000000000002,医药生物
2012-03-15,英特集团,-1.8635798444444376,11.18,医药生物
2012-03-16,英特集团,-1.8635798444444376,10.85,医药生物
2012-03-17,英特集团,-2.52731544444444,10.84,医药生物
2012-03-20,英特集团,-2.9115872444444406,10.84,医药生物
2012-03-21,英特集团,-1.2697085444444411,10.88,医药生物
2012-03-22,英特集团,-1.5841094444444366,10.615,医药生物
2012-03-23,英特集团,-1.1649071444444346,10.695,医药生物
2012-03-24,英特集团,-0.18676734444444065,10.545,医药生物
2012-03-27,英特集团,-0.15183354444443609,10.545,医药生物
2012-03-28,英特集团,-0.0470321444444366,10.375,医药生物
2012-03-29,英特集团,1.804446055555566,10.07,医药生物
2012-03-30,英特集团,3.27165905555556,9.55,医药生物
2012-03-31,英特集团,3.2017914555555578,9.39,医药生物
2012-04-06,英特集团,2.1887178555555598,9.39,医药生物
2012-04-07,英特集团,0.6516405555555664,10.175,医药生物
2012-04-10,英特集团,1.1407104555555565,10.175,医药生物
2012-04-11,英特集团,0.4071039555555629,9.989999999999998,医药生物
2012-04-12,英特集团,-0.2915687444444401,10.185,医药生物
2012-04-13,英特集团,-1.9784033444444376,10.305,医药生物
2012-04-14,英特集团,-1.4300687444444409,10.36,医药生物
2012-04-17,英特集团,-1.0279571444444358,10.36,医药生物
2012-04-18,英特集团,-1.1010686444444389,10.215,医药生物
2012-04-19,英特集团,-1.4666228444444442,10.15,医药生物
2012-04-20,英特集团,-1.1010686444444389,10.204999999999998,医药生物
2012-04-21,英特集团,0.7852080555555574,9.87,医药生物
2012-04-24,英特集团,1.863314755555564,9.87,医药生物
2012-04-25,英特集团,1.5758187555555594,9.46,医药生物
2012-04-26,英特集团,1.216448755555561,9.635,医药生物
2012-04-27,英特集团,1.7914407555555627,9.615,医药生物
2012-04-28,英特集团,2.0429997555555635,9.48,医药生物
2012-05-03,英特集团,-9.376175800000002,9.48,医药生物
2012-05-04,英特集团,-9.699608800000004,9.685,医药生物
2012-05-05,英特集团,-9.699608800000004,9.75,医药生物
2012-05-08,英特集团,-9.7355458,9.75,医药生物
2012-05-09,英特集团,-10.8136525,9.955,医药生物
2012-05-10,英特集团,-10.2027235,9.905,医药生物
2012-05-11,英特集团,-9.663671800000001,9.815,医药生物
2012-05-12,英特集团,-9.196490799999996,9.66,医药生物
2012-05-15,英特集团,-9.8433568,9.66,医药生物
2012-05-16,英特集团,-9.8433568,9.79,医药生物
2012-05-17,英特集团,-8.5496248,9.6,医药生物
2012-05-18,英特集团,-8.873057800000002,9.455,医药生物
2012-05-19,英特集团,-8.873057800000002,9.495,医药生物
2012-05-22,英特集团,-8.082443800000004,9.495,医药生物
2012-05-23,英特集团,-8.657435799999998,9.4,医药生物
2012-05-24,英特集团,-8.513687800000003,9.38,医药生物
2012-05-25,英特集团,-7.651199800000003,9.27,医药生物
2012-05-26,英特集团,-6.716841099999999,9.05,医药生物
2012-05-29,英特集团,-6.573093099999998,9.05,医药生物
2012-05-30,英特集团,-7.327770099999999,8.98,医药生物
2012-05-31,英特集团,-7.399644099999999,9.13,医药生物
2012-06-01,英特集团,-7.399644099999999,9.09,医药生物
2012-06-02,英特集团,-7.507451800000003,9.155,医药生物
2012-06-05,英特集团,-6.105912099999998,9.155,医药生物
2012-06-06,英特集团,-6.034038099999999,8.765,医药生物
2012-06-07,英特集团,-5.6027941000000006,8.69,医药生物
2012-06-08,英特集团,-5.818416100000004,8.675,医药生物
2012-06-09,英特集团,-6.034038099999999,8.675,医药生物
2012-06-12,英特集团,-6.2855970999999995,8.675,医药生物
2012-06-13,英特集团,-5.854353100000001,8.7,医药生物
2012-06-14,英特集团,-6.968400099999999,8.835,医药生物
2012-06-15,英特集团,-6.573093099999998,8.905000000000003,医药生物
2012-06-16,英特集团,-6.644967100000002,8.965,医药生物
2012-06-19,英特集团,-7.004337099999997,8.965,医药生物
