2011-04-26,股票具体名称,价格,指标,ROE,roe,PE,pe,板块
2011-09-29,英特集团,12.62835508,0.3964774000000091,ROE,47.443000000000005,PE,14.256522,医药生物
2011-10-19,英特集团,12.62835508,3.5235442000000106,ROE,47.443000000000005,PE,13.308926,医药生物
2011-10-29,英特集团,12.57887093,2.7280165000000096,ROE,47.443000000000005,PE,13.549995,医药生物
2011-11-08,英特集团,12.573922515,-9.304433044444437,ROE,36.03935555555556,PE,13.740542,医药生物
2011-11-18,英特集团,12.77680753,-8.326289944444433,ROE,36.03935555555556,PE,13.444135,医药生物
2011-12-08,英特集团,12.638251910000001,-0.29156874444444014,ROE,36.03935555555556,PE,11.009371,医药生物
2011-12-28,英特集团,10.2927032,3.760728955555564,ROE,36.03935555555556,PE,9.781402,医药生物
2012-01-07,英特集团,9.2040519,3.8655270555555603,ROE,36.03935555555556,PE,9.749645,医药生物
2012-01-17,英特集团,8.941785905,2.3284497555555603,ROE,36.03935555555556,PE,10.215426,医药生物
2012-02-16,英特集团,9.73848072,-1.7937122444444356,ROE,36.03935555555556,PE,11.464566,医药生物
2012-03-07,英特集团,10.81723519,-3.4705247444444396,ROE,36.03935555555556,PE,11.972691,医药生物
2012-03-17,英特集团,11.12403692,-2.52731544444444,ROE,36.03935555555556,PE,11.68687,医药生物
2012-03-27,英特集团,10.72816372,-0.15183354444443609,ROE,36.03935555555556,PE,10.967027,医药生物
2012-04-06,英特集团,10.267961125,2.1887178555555593,ROE,36.03935555555556,PE,10.257769,医药生物
2012-04-26,英特集团,10.070024525000001,1.216448755555561,ROE,36.03935555555556,PE,10.552396,医药生物
2012-05-16,英特集团,9.515802045000001,-9.843356799999999,ROE,25.338919999999998,PE,10.661296,医药生物
2012-05-26,英特集团,9.5009568,-6.7168411,ROE,25.338919999999998,PE,9.713867,医药生物
2012-06-05,英特集团,8.95663115,-6.105912099999998,ROE,25.338919999999998,PE,9.528737,医药生物
2012-06-15,英特集团,8.674571495,-6.573093099999998,ROE,25.338919999999998,PE,9.670307,医药生物
2012-07-05,英特集团,8.872508095,-5.4949831000000025,ROE,25.338919999999998,PE,9.343607,医药生物
2012-07-25,英特集团,8.338079275,-4.380939399999999,ROE,25.338919999999998,PE,9.006018,医药生物
2012-08-04,英特集团,8.13519426,-1.7575416999999973,ROE,25.338919999999998,PE,8.211049,医药生物
2012-08-14,英特集团,7.37313835,-1.7934787000000014,ROE,25.338919999999998,PE,8.221939,医药生物
2012-08-24,英特集团,7.447364575,-87.94658859999998,ROE,25.338919999999998,PE,34.328942,医药生物
2012-09-13,英特集团,7.49190031,-94.68942793333332,ROE,25.363786666666666,PE,36.379762,医药生物
2012-10-13,英特集团,7.98674181,-87.62747413333332,ROE,25.363786666666666,PE,34.239776,医药生物
2012-10-23,英特集团,7.625507515,-75.09943333333332,ROE,25.363786666666666,PE,30.4434,医药生物
2012-11-02,英特集团,7.7591147199999995,-70.83907916666666,ROE,25.443453333333334,PE,29.176525,医药生物
2012-11-22,英特集团,7.516642385,-68.30532596666666,ROE,25.443453333333334,PE,28.408721,医药生物
2012-12-12,英特集团,7.28406688,-70.96576616666667,ROE,25.443453333333334,PE,29.214915,医药生物
2012-12-22,英特集团,7.467158234999999,-73.75289006666667,ROE,25.443453333333334,PE,30.059498,医药生物
2013-01-01,英特集团,7.754166305,-81.35414306666665,ROE,25.443453333333334,PE,32.362908,医药生物
2013-01-11,英特集团,8.29354354,-81.60752036666666,ROE,25.443453333333334,PE,32.439689,医药生物
2013-01-31,英特集团,8.26385305,-78.44033216666666,ROE,25.443453333333334,PE,31.479935,医药生物
2013-02-20,英特集团,8.258904635,-88.57533506666665,ROE,25.443453333333334,PE,34.551148,医药生物
2013-03-02,英特集团,8.931889075,-92.24927126666665,ROE,25.443453333333334,PE,35.664462,医药生物
2013-03-12,英特集团,8.892301755,-90.47564666666666,ROE,25.443453333333334,PE,35.127,医药生物
2013-03-22,英特集团,8.763642964999999,-91.10908496666666,ROE,25.443453333333334,PE,35.318951,医药生物
2013-04-11,英特集团,9.06549628,-84.52133126666666,ROE,25.443453333333334,PE,33.322662,医药生物
2013-05-11,英特集团,8.56075795,-53.96836043333333,ROE,23.859126666666665,PE,23.584087,医药生物
2013-05-21,英特集团,8.981373225,-57.125836733333315,ROE,23.859126666666665,PE,24.540898,医药生物
2013-05-31,英特集团,9.426730575,-61.47803183333333,ROE,23.859126666666665,PE,25.859745,医药生物
2013-06-20,英特集团,9.89683,-61.47803183333333,ROE,23.859126666666665,PE,25.859745,医药生物
2013-07-10,英特集团,9.89683,-51.15223613333333,ROE,23.859126666666665,PE,22.730716,医药生物
2013-07-20,英特集团,8.758694550000001,-60.966010433333324,ROE,23.859126666666665,PE,25.704587,医药生物
2013-07-30,英特集团,9.980953055,-63.35544803333333,ROE,23.859126666666665,PE,26.428659,医药生物
2013-08-09,英特集团,10.48074297,-72.57186293333334,ROE,23.859126666666665,PE,29.221512,医药生物
2013-08-29,英特集团,11.183417899999998,-61.033825433333334,ROE,23.859126666666665,PE,25.725137,医药生物
2013-09-18,英特集团,10.416413575,-66.41993863333333,ROE,22.805926666666664,PE,27.038141,医药生物
2013-09-28,英特集团,11.025068619999999,-64.25348203333333,ROE,22.805926666666664,PE,26.381639,医药生物
2013-10-18,英特集团,10.604453345,-75.24623743333333,ROE,22.805926666666664,PE,29.712777,医药生物
2013-11-07,英特集团,12.20279139,-68.57984638888888,ROE,21.65197111111111,PE,27.342975,医药生物
2013-11-27,英特集团,10.381774669999999,-70.02016768888889,ROE,21.65197111111111,PE,27.779436,医药生物
2013-12-07,英特集团,10.84692568,-68.91874648888889,ROE,21.65197111111111,PE,27.445672,医药生物
2013-12-17,英特集团,10.441155649999999,-67.39370098888888,ROE,21.65197111111111,PE,26.983537,医药生物
2013-12-27,英特集团,10.421361990000001,-66.63117658888889,ROE,21.65197111111111,PE,26.752469,医药生物
2014-01-16,英特集团,10.38177467,-61.124070588888884,ROE,21.65197111111111,PE,25.083649,医药生物
2014-02-15,英特集团,9.72858389,-68.91874648888889,ROE,21.65197111111111,PE,27.445672,医药生物
2014-02-25,英特集团,10.495588215,-78.40791298888888,ROE,21.65197111111111,PE,30.321177,医药生物
2014-03-07,英特集团,11.806918190000001,-78.57736138888889,ROE,21.65197111111111,PE,30.372525,医药生物
2014-03-27,英特集团,11.549600609999999,-73.40915548888889,ROE,21.65197111111111,PE,28.806402,医药生物
2014-04-16,英特集团,11.0844496,-74.59530088888889,ROE,21.65197111111111,PE,29.16584,医药生物
2014-04-26,英特集团,11.21310839,-74.16554518888888,ROE,21.65197111111111,PE,29.035611,医药生物
2014-05-06,英特集团,10.456000894999999,-108.6957427,ROE,10.584800000000001,PE,36.145619,医药生物
2014-05-16,英特集团,10.50053663,-109.4827036,ROE,10.584800000000001,PE,36.384092,医药生物
2014-06-05,英特集团,10.465897725000001,-112.8553861,ROE,10.584800000000001,PE,37.406117,医药生物
2014-06-25,英特集团,10.960739225000001,-113.1926527,ROE,10.584800000000001,PE,37.508319,医药生物
2014-07-05,英特集团,10.87661617,-118.3641025,ROE,10.584800000000001,PE,39.075425,医药生物
2014-07-15,英特集团,11.312076690000001,-118.13925699999999,ROE,10.584800000000001,PE,39.00729,医药生物
2014-07-25,英特集团,11.53970378,-118.81379349999997,ROE,10.584800000000001,PE,39.211695,医药生物
2014-08-14,英特集团,11.549600609999999,-139.6120006,ROE,10.584800000000001,PE,45.514182,医药生物
2014-09-03,英特集团,13.098454505,-145.4059471,ROE,10.962200000000001,PE,47.384287,医药生物
2014-09-13,英特集团,13.12319658,-143.6344048,ROE,10.962200000000001,PE,46.847456,医药生物
2014-09-23,英特集团,13.840716754999999,-154.9722775,ROE,10.962200000000001,PE,50.283175,医药生物
2014-10-23,英特集团,13.939685055,-195.71775369999997,ROE,10.962200000000001,PE,62.630289,医药生物
2014-11-12,英特集团,16.948321375,-186.0502471222222,ROE,11.100177777777779,PE,59.742553,医药生物
2014-11-22,英特集团,18.19037354,-178.80755232222222,ROE,11.100177777777779,PE,57.547797,医药生物
2014-12-02,英特集团,17.77470668,-216.5121742222222,ROE,11.100177777777779,PE,68.97344,医药生物
2014-12-12,英特集团,21.14952571,-216.5121742222222,ROE,11.100177777777779,PE,68.97344,医药生物
2015-01-01,英特集团,21.14952571,-216.5121742222222,ROE,11.100177777777779,PE,68.97344,医药生物
2015-01-21,英特集团,21.14952571,-216.5121742222222,ROE,11.100177777777779,PE,68.97344,医药生物
2015-01-31,英特集团,21.14952571,-216.5121742222222,ROE,11.100177777777779,PE,68.97344,医药生物
2015-02-10,英特集团,21.14952571,-216.5121742222222,ROE,11.100177777777779,PE,68.97344,医药生物
2015-03-12,英特集团,21.14952571,-216.5121742222222,ROE,11.100177777777779,PE,68.97344,医药生物
2015-04-01,英特集团,21.14952571,-216.5121742222222,ROE,11.100177777777779,PE,68.97344,医药生物
2015-04-11,英特集团,21.14952571,-216.5121742222222,ROE,11.100177777777779,PE,68.97344,医药生物
2015-04-21,英特集团,21.14952571,-212.43255582222218,ROE,11.100177777777779,PE,67.737192,医药生物
2015-05-01,英特集团,21.14952571,-205.42865232222218,ROE,11.100177777777779,PE,65.614797,医药生物
2015-05-21,英特集团,21.14952571,-206.93331676666662,ROE,9.595513333333333,PE,65.614797,医药生物
2015-06-10,英特集团,21.14952571,-206.93331676666662,ROE,9.595513333333333,PE,65.614797,医药生物
2015-06-20,英特集团,21.14952571,-412.51918516666666,ROE,9.595513333333333,PE,127.913545,医药生物
2015-06-30,英特集团,38.42939089,-319.20002296666667,ROE,9.595513333333333,PE,99.635011,医药生物
2015-07-10,英特集团,32.120161765,-200.54992216666665,ROE,9.595513333333333,PE,63.680435,医药生物
2015-07-30,英特集团,21.25839084,-236.31720316666667,ROE,9.595513333333333,PE,74.519005,医药生物
2015-08-19,英特集团,22.8616773,-236.92514566666665,ROE,9.595513333333333,PE,74.70323,医药生物
2015-08-29,英特集团,23.14868537,-169.14895696666665,ROE,9.595513333333333,PE,54.164991,医药生物
2015-09-08,英特集团,16.85430149,-143.68140553333333,ROE,9.702046666666666,PE,46.479834,医药生物
2015-09-18,英特集团,15.592455665,-140.43519223333334,ROE,9.702046666666666,PE,45.496133,医药生物
2015-10-28,英特集团,14.944213300000001,-223.92367423333332,ROE,9.702046666666666,PE,70.795673,医药生物
2015-11-07,英特集团,22.32724848,-219.7549306,ROE,9.84218,PE,69.574882,医药生物
2015-11-17,英特集团,22.67363753,-215.8515784,ROE,9.84218,PE,68.392048,医药生物
2015-11-27,英特集团,22.213434935,-278.4052828,ROE,9.84218,PE,87.347716,医药生物
2015-12-17,英特集团,27.102468955,-256.486465,ROE,9.84218,PE,80.70565,医药生物
2016-01-06,英特集团,26.31567097,-238.67117079999997,ROE,9.84218,PE,75.307076,医药生物
2016-01-16,英特集团,24.281872405,-188.7282943,ROE,9.84218,PE,60.172871,医药生物
2016-01-26,英特集团,20.52602542,-170.61274299999997,ROE,9.84218,PE,54.68331,医药生物
2016-02-05,英特集团,17.1215159,-170.01222549999997,ROE,9.84218,PE,54.501335,医药生物
2016-02-25,英特集团,17.67573838,-180.12090429999998,ROE,9.84218,PE,57.564571,医药生物
2016-03-16,英特集团,17.938004375,-168.31076529999996,ROE,9.84218,PE,53.985741,医药生物
2016-03-26,英特集团,17.472853365,-194.33310669999997,ROE,9.84218,PE,61.871299,医药生物
2016-04-15,英特集团,19.857989395,-205.24247109999996,ROE,9.84218,PE,65.177167,医药生物
2016-05-05,英特集团,21.13962888,-212.08544676666665,ROE,8.727113333333334,PE,66.912897,医药生物
2016-05-25,英特集团,22.68353436,-177.23055636666666,ROE,8.727113333333334,PE,56.350809,医药生物
2016-06-04,英特集团,18.83366749,-177.03583656666666,ROE,8.727113333333334,PE,56.291803,医药生物
2016-06-14,英特集团,18.635730889999998,-169.44175116666665,ROE,8.727113333333334,PE,53.990565,医药生物
2016-06-24,英特集团,17.65594472,-164.47638966666665,ROE,8.727113333333334,PE,52.48591,医药生物
2016-07-14,英特集团,17.517389100000003,-183.07215696666665,ROE,8.727113333333334,PE,58.120991,医药生物
2016-08-03,英特集团,19.283973255,-180.44343636666667,ROE,8.727113333333334,PE,57.324409,医药生物
2016-08-13,英特集团,19.96190611,-184.53255876666665,ROE,8.727113333333334,PE,58.563537,医药生物
2016-08-23,英特集团,19.47696144,-190.47363126666664,ROE,8.727113333333334,PE,60.363862,医药生物
2016-09-02,英特集团,21.04066058,-195.75917603333335,ROE,9.003246666666666,PE,62.049219,医药生物
2016-09-22,英特集团,21.510760005,-194.73953213333334,ROE,9.003246666666666,PE,61.740236,医药生物
2016-10-12,英特集团,21.847252225,-203.7309134333333,ROE,9.003246666666666,PE,64.464897,医药生物
2016-10-22,英特集团,22.84188364,-208.82911643333333,ROE,9.003246666666666,PE,66.009807,医药生物
2016-11-01,英特集团,23.158582199999998,-204.96803393333334,ROE,9.003246666666666,PE,64.839782,医药生物
2016-11-11,英特集团,22.90126462,-207.77975642222222,ROE,8.904757777777776,PE,65.661974,医药生物
2016-12-01,英特集团,23.53466174,-207.1248384222222,ROE,8.904757777777776,PE,65.463514,医药生物
2016-12-21,英特集团,22.25797067,-188.78711462222222,ROE,8.904757777777776,PE,59.906628,医药生物
2016-12-31,英特集团,21.21880352,-197.8624182222222,ROE,8.904757777777776,PE,62.65672,医药生物
2017-01-10,英特集团,21.8719943,-197.8624182222222,ROE,8.904757777777776,PE,62.65672,医药生物
2017-01-20,英特集团,21.8719943,-201.60480962222223,ROE,8.904757777777776,PE,63.790778,医药生物
2017-02-09,英特集团,22.233228595,-206.0021190222222,ROE,8.904757777777776,PE,65.123296,医药生物
2017-03-01,英特集团,23.01012975,-215.26454252222223,ROE,8.904757777777776,PE,67.930091,医药生物
2017-03-11,英特集团,23.76228883,-208.15399622222222,ROE,8.904757777777776,PE,65.77538,医药生物
2017-03-21,英特集团,23.14868537,-209.1831540222222,ROE,8.904757777777776,PE,66.087246,医药生物
2017-03-31,英特集团,23.321879895000002,-203.94380342222223,ROE,8.904757777777776,PE,64.499564,医药生物
2017-04-20,英特集团,22.762709,-204.87940292222223,ROE,8.904757777777776,PE,64.783079,医药生物
2017-05-10,英特集团,22.619204965,-160.4071797,ROE,9.06336,PE,51.354709,医药生物
2017-05-20,英特集团,21.916530035,-153.00571860000002,ROE,9.06336,PE,49.111842,医药生物
2017-06-09,英特集团,20.842723980000002,-158.0417628,ROE,9.06336,PE,50.637916,医药生物
2017-06-29,英特集团,21.55529574,-150.0298743,ROE,9.06336,PE,48.210071,医药生物
2017-07-19,英特集团,20.52602542,-147.6644607,ROE,9.06336,PE,47.493279,医药生物
2017-07-29,英特集团,20.26870784,-150.4113939,ROE,9.06336,PE,48.325683,医药生物
2017-08-08,英特集团,20.74375568,-150.2587854,ROE,9.06336,PE,48.279438,医药生物
2017-08-18,英特集团,20.44685078,-148.351194,ROE,9.06336,PE,47.70138,医药生物
