2011-04-26,股票具体名称,价格,指标,ROE,roe,PE,pe,板块
2014-05-16,滨江集团,2.86491003,0.05467823333333399,ROE,16.851173333333332,PE,5.089847,房地产
2014-06-05,滨江集团,2.86491003,0.46568663333333404,ROE,16.851173333333332,PE,4.965299,房地产
2014-06-25,滨江集团,2.79252844,1.479502733333332,ROE,16.851173333333332,PE,4.658082,房地产
2014-07-05,滨江集团,2.6491532700000002,1.013694533333334,ROE,16.851173333333332,PE,4.799236,房地产
2014-07-15,滨江集团,2.756165745,0.7396922333333329,ROE,16.851173333333332,PE,4.882267,房地产
2014-07-25,滨江集团,2.798970735,-0.38373006666666853,ROE,16.851173333333332,PE,5.222698,房地产
2014-08-14,滨江集团,2.984459025,-13.999394766666665,ROE,16.851173333333332,PE,9.348657,房地产
2014-09-03,滨江集团,3.0415323450000002,-16.026255366666668,ROE,14.343773333333331,PE,9.203039,房地产
2014-09-13,滨江集团,3.03439818,-17.323709766666667,ROE,14.343773333333331,PE,9.596207,房地产
2014-09-23,滨江集团,3.236532855,-18.284788566666663,ROE,14.343773333333331,PE,9.887443,房地产
2014-10-23,滨江集团,3.336411165,-19.149758166666665,ROE,14.343773333333331,PE,10.149555,房地产
2014-11-12,滨江集团,3.2603134049999998,-25.120351711111113,ROE,13.680328888888889,PE,11.757782,房地产
2014-11-22,滨江集团,3.274581735,-25.34692311111111,ROE,13.680328888888889,PE,11.82644,房地产
2014-12-02,滨江集团,3.2579353500000003,-28.518949111111112,ROE,13.680328888888889,PE,12.78766,房地产
2014-12-12,滨江集团,3.5670825,-29.935035211111114,ROE,13.680328888888889,PE,13.216777,房地产
2015-01-01,滨江集团,3.636046095,-31.86090531111111,ROE,13.680328888888889,PE,13.800374,房地产
2015-01-21,滨江集团,3.716899965,-28.065803011111107,ROE,13.680328888888889,PE,12.650343,房地产
2015-01-31,滨江集团,3.58135083,-29.821746211111112,ROE,13.680328888888889,PE,13.182447,房地产
2015-02-10,滨江集团,3.6170216550000003,-28.122447511111112,ROE,13.680328888888889,PE,12.667508,房地产
2015-03-12,滨江集团,3.5385458400000003,-43.603450411111105,ROE,13.680328888888889,PE,17.358721,房地产
2015-04-01,滨江集团,5.01769605,-57.278336911111104,ROE,13.680328888888889,PE,21.502626,房地产
2015-04-11,滨江集团,6.2305041,-59.32418511111111,ROE,13.680328888888889,PE,22.12258,房地产
2015-04-21,滨江集团,6.52538292,-52.59441921111111,ROE,13.680328888888889,PE,20.083257,房地产
2015-05-01,滨江集团,5.8500153,-77.0619326111111,ROE,13.680328888888889,PE,27.497655,房地产
2015-05-21,滨江集团,7.24831164,-83.71303619999999,ROE,11.8989,PE,28.973314,房地产
2015-06-10,滨江集团,7.987886745000001,-97.8469758,ROE,11.8989,PE,33.256326,房地产
2015-06-20,滨江集团,9.405207525,-102.41971980000001,ROE,11.8989,PE,34.642006,房地产
2015-06-30,滨江集团,9.562159155,-91.7301849,ROE,11.8989,PE,31.402753,房地产
2015-07-10,滨江集团,8.149594485,-80.0904711,ROE,11.8989,PE,27.875567,房地产
2015-07-30,滨江集团,7.75142061,-80.2686315,ROE,11.8989,PE,27.929555,房地产
2015-08-19,滨江集团,7.319185259999999,-103.3105152,ROE,11.8989,PE,34.911944,房地产
2015-08-29,滨江集团,9.254639104999999,-63.4146075,ROE,11.8989,PE,22.822275,房地产
2015-09-08,滨江集团,7.055041435,-49.3839493,ROE,11.4041,PE,18.420621,房地产
2015-09-18,滨江集团,5.83997984,-67.4910262,ROE,11.4041,PE,23.907614,房地产
2015-10-28,滨江集团,7.275961725,-64.0088959,ROE,11.4041,PE,22.852423,房地产
2015-11-07,滨江集团,7.251948649999999,-61.878399244444445,ROE,10.860055555555554,PE,22.041956,房地产
2015-11-17,滨江集团,7.319185259999999,-66.69613854444444,ROE,10.860055555555554,PE,23.501877,房地产
2015-11-27,滨江集团,8.00115659,-67.16846754444444,ROE,10.860055555555554,PE,23.645007,房地产
