2011-04-26,万方发展,90.1344688111111,4.4325,综合
2014-05-16,滨江集团,0.054678233333333985,2.90451759,房地产
2014-05-17,滨江集团,0.08207813333333291,2.90451759,房地产
2014-05-20,滨江集团,0.10948133333333132,2.90451759,房地产
2014-05-21,滨江集团,0.08207813333333291,2.89268174,房地产
2014-05-22,滨江集团,-0.00012156666666740534,2.89504891,房地产
2014-05-23,滨江集团,-0.027521466666666328,2.92818929,房地产
2014-05-24,滨江集团,-0.3837300666666685,2.97079835,房地产
2014-05-27,滨江集团,-0.4659297666666689,2.97079835,房地产
2014-05-28,滨江集团,-0.2741271666666698,2.97789986,房地产
2014-05-29,滨江集团,-0.2193273666666684,2.95659533,房地产
2014-05-30,滨江集团,-0.00012156666666740534,2.94002514,房地产
2014-05-31,滨江集团,0.10948133333333132,2.90215042,房地产
2014-06-04,滨江集团,0.16428113333333272,2.90215042,房地产
2014-06-05,滨江集团,0.4656866333333341,2.84533834,房地产
2014-06-06,滨江集团,0.3834836333333307,2.83113532,房地产
2014-06-07,滨江集团,0.493086533333333,2.83350249,房地产
2014-06-10,滨江集团,0.19168103333333164,2.83350249,房地产
2014-06-11,滨江集团,0.24648083333333304,2.86664287,房地产
2014-06-12,滨江集团,0.24648083333333304,2.8642757000000003,房地产
2014-06-13,滨江集团,0.6848891333333321,2.8569520500000003,房地产
2014-06-14,滨江集团,-4.384201266666665,2.8569520500000003,房地产
2014-06-17,滨江集团,0.5752895333333328,2.8569520500000003,房地产
2014-06-18,滨江集团,0.7670921333333318,2.84248647,房地产
2014-06-19,滨江集团,0.9314948333333336,2.8207881,房地产
2014-06-20,滨江集团,1.5617057333333315,2.74604927,房地产
2014-06-21,滨江集团,1.6165055333333331,2.68336509,房地产
2014-06-24,滨江集团,1.4521028333333332,2.68336509,房地产
2014-06-25,滨江集团,1.4795027333333317,2.71229625,房地产
2014-06-26,滨江集团,1.6165055333333331,2.68577602,房地产
2014-06-27,滨江集团,1.506905933333332,2.70265253,房地产
2014-06-28,滨江集团,1.424702933333334,2.71470718,房地产
2014-07-01,滨江集团,1.3151000333333336,2.71470718,房地产
2014-07-02,滨江集团,1.287700133333331,2.73399462,房地产
2014-07-03,滨江集团,1.1780972333333324,2.7436383400000004,房地产
2014-07-04,滨江集团,0.9862946333333316,2.78462415,房地产
2014-07-05,滨江集团,1.0136945333333343,2.79426787,房地产
2014-07-08,滨江集团,0.8766917333333328,2.79426787,房地产
