2011-04-26,万方发展,90.1344688111111,4.4325,综合
2011-09-30,建发股份,0.2384233000000009,5.963383,交通运输
2011-10-01,建发股份,0.034760499999997314,5.963383,交通运输
2011-10-11,建发股份,0.2384233000000009,5.963383,交通运输
2011-10-12,建发股份,0.5099704000000003,5.995881,交通运输
2011-10-13,建发股份,0.10264809999999967,5.939009499999999,交通运输
2011-10-14,建发股份,0.034760499999997314,6.04869025,交通运输
2011-10-15,建发股份,-0.13495849999999976,6.01213,交通运输
2011-10-18,建发股份,-0.06707090000000092,6.01213,交通运输
2011-10-19,建发股份,0.8833521999999974,5.91869825,交通运输
2011-10-20,建发股份,1.256733999999998,5.77245725,交通运输
2011-10-21,建发股份,2.7502578999999976,5.52466,交通运输
2011-10-22,建发股份,3.0557520999999994,5.3459210000000015,交通运输
2011-10-25,建发股份,2.1732166,5.3459210000000015,交通运输
2011-10-26,建发股份,1.5961719999999993,5.5490335,交通运输
2011-10-27,建发股份,1.5961719999999993,5.67496325,交通运输
2011-10-28,建发股份,1.1209588000000004,5.74808375,交通运输
2011-10-29,建发股份,0.20447950000000148,5.98369425,交通运输
2011-11-01,建发股份,0.7879953999999998,5.98369425,交通运输
2011-11-02,建发股份,-1.4661509666666641,5.85370225,交通运输
2011-11-03,建发股份,-2.041443266666665,5.8983870000000005,交通运输
2011-11-04,建发股份,-2.007601766666664,6.03244125,交通运输
2011-11-05,建发股份,-2.1768026666666667,6.05681475,交通运输
2011-11-08,建发股份,-2.1768026666666667,6.05681475,交通运输
2011-11-09,建发股份,-1.6691933666666652,5.9999432499999985,交通运输
2011-11-10,建发股份,-1.7368763666666671,5.914636,交通运输
2011-11-11,建发股份,-1.026224666666664,5.82120425,交通运输
2011-11-12,建发股份,-0.9585416666666652,5.7765195,交通运输
2011-11-15,建发股份,-1.4323094666666627,5.7765195,交通运输
2011-11-16,建发股份,-1.3984712666666643,5.8740135,交通运输
2011-11-17,建发股份,-0.5186153666666655,5.7358970000000005,交通运输
2011-11-18,建发股份,-0.04484426666666508,5.605905,交通运输
2011-11-19,建发股份,0.3950820333333347,5.4637262500000014,交通运输
2011-11-22,建发股份,0.3950820333333347,5.4637262500000014,交通运输
2011-11-23,建发股份,0.19203963333333365,5.43122825,交通运输
2011-11-24,建发股份,0.5304447333333364,5.443415,交通运输
2011-11-25,建发股份,1.0042125333333374,5.31748525,交通运输
2011-11-26,建发股份,0.9365328333333344,5.313423,交通运输
2011-11-29,建发股份,1.2749379333333335,5.313423,交通运输
2011-11-30,建发股份,0.7673286333333351,5.280925,交通运输
2011-12-01,建发股份,1.3426209333333359,5.16311975,交通运输
2011-12-02,建发股份,0.5304447333333364,5.39873025,交通运输
2011-12-03,建发股份,0.36124053333333705,5.39873025,交通运输
2011-12-06,建发股份,0.15819813333333602,5.39873025,交通运输
2011-12-07,建发股份,-0.1463687666666651,5.492162,交通运输
2011-12-08,建发股份,-0.4847738666666643,5.5815315000000005,交通运输
2011-12-09,建发股份,-0.5186153666666655,5.622154,交通运输
2011-12-10,建发股份,-0.6878162666666654,5.6790255,交通运输
2011-12-13,建发股份,0.5304447333333364,5.6790255,交通运输
2011-12-14,建发股份,1.308779433333335,5.30936075,交通运输
2011-12-15,建发股份,1.782547233333336,5.150933,交通运输
2011-12-16,建发股份,1.8840684333333364,5.09812375,交通运输
2011-12-17,建发股份,1.1057370333333338,5.17124425,交通运输
2011-12-20,建发股份,1.2749379333333335,5.17124425,交通运输
2011-12-21,建发股份,1.4779836333333345,5.2240535,交通运输
2011-12-22,建发股份,1.917909933333334,5.1428085,交通运输
2011-12-23,建发股份,1.9517514333333352,5.08187475,交通运输
2011-12-24,建发股份,1.2410964333333359,5.12249725,交通运输
2011-12-27,建发股份,1.2410964333333359,5.12249725,交通运输
2011-12-28,建发股份,2.0871141333333334,5.11437275,交通运输
2011-12-29,建发股份,2.0194311333333346,4.98438075,交通运输
2011-12-30,建发股份,1.8502302333333347,5.037190000000002,交通运输
2011-12-31,建发股份,1.410300633333332,5.16311975,交通运输
2012-01-05,建发股份,2.188635333333334,5.16311975,交通运输
2012-01-06,建发股份,2.2563150333333333,4.99250525,交通运输
2012-01-07,建发股份,2.2901565333333345,4.955945,交通运输
2012-01-10,建发股份,1.6471845333333377,4.955945,交通运输
2012-01-11,建发股份,0.9026913333333332,5.20374225,交通运输
2012-01-12,建发股份,1.308779433333335,5.2565515000000005,交通运输
2012-01-13,建发股份,1.038054033333335,5.27686275,交通运输
2012-01-14,建发股份,1.5456633333333336,5.23624025,交通运输
2012-01-17,建发股份,2.120952333333335,5.23624025,交通运输
2012-01-18,建发股份,1.0042125333333374,5.134684,交通运输
2012-01-19,建发股份,-0.04484426666666508,5.56122025,交通运输
2012-01-20,建发股份,-0.6539780666666672,5.63434075,交通运输
2012-01-21,建发股份,-1.0600628666666658,5.73183475,交通运输
2012-01-31,建发股份,-0.5524535666666637,5.73183475,交通运输
2012-02-01,建发股份,-0.6878162666666654,5.6709010000000015,交通运输
2012-02-02,建发股份,-0.4847738666666643,5.6790255,交通运输
2012-02-03,建发股份,-0.8570204666666648,5.670901000000001,交通运输
2012-02-04,建发股份,-0.9923831666666628,5.76433275,交通运输
2012-02-07,建发股份,-0.5862950666666649,5.76433275,交通运输
2012-02-08,建发股份,0.1243566333333348,5.53684675,交通运输
2012-02-09,建发股份,-1.093904366666667,5.65058975,交通运输
2012-02-10,建发股份,-1.195425566666664,5.82120425,交通运输
2012-02-11,建发股份,-1.2631085666666628,5.8983870000000005,交通运输
2012-02-14,建发股份,-1.026224666666664,5.8983870000000005,交通运输
2012-02-15,建发股份,-0.9923831666666628,5.73995925,交通运输
2012-02-16,建发股份,-1.3307882666666655,5.77245725,交通运输
2012-02-17,建发股份,-1.3307882666666655,5.8374532499999985,交通运输
2012-02-18,建发股份,-1.1277458666666649,5.833391000000001,交通运输
2012-02-21,建发股份,-1.3646297666666634,5.833391000000001,交通运输
2012-02-22,建发股份,-1.9399187666666649,5.9065115000000015,交通运输
2012-02-23,建发股份,-2.718253466666664,6.093375,交通运输
2012-02-24,建发股份,-2.4136898666666653,6.1502465,交通运输
2012-02-25,建发股份,-3.158183066666666,6.2152425,交通运输
2012-02-28,建发股份,-2.7520949666666645,6.2152425,交通运输
2012-02-29,建发股份,-2.582890766666665,6.1827445,交通运输
2012-03-01,建发股份,-2.2106441666666647,6.05681475,交通运输
2012-03-02,建发股份,-2.4813695666666646,6.077126,交通运输
2012-03-03,建发股份,-3.6657923666666647,6.255865,交通运输
2012-03-06,建发股份,-3.7673135666666617,6.255865,交通运输
2012-03-07,建发股份,-3.3950669666666653,6.37367025,交通运输
2012-03-08,建发股份,-3.3273839666666665,6.35742125,交通运输
2012-03-09,建发股份,-4.3764440666666635,6.4752265,交通运输
2012-03-10,建发股份,-4.3764440666666635,6.64177875,交通运输
2012-03-13,建发股份,-4.3764440666666635,6.64177875,交通运输
2012-03-14,建发股份,-4.444123766666664,6.548347,交通运输
2012-03-15,建发股份,-3.124341566666665,6.44679075,交通运输
2012-03-16,建发股份,-2.8874576666666663,6.2599272500000005,交通运输
2012-03-17,建发股份,-3.6657923666666647,6.30054975,交通运输
2012-03-20,建发股份,-3.902676266666664,6.30054975,交通运输
2012-03-21,建发股份,-3.4965881666666654,6.4224172500000005,交通运输
2012-03-22,建发股份,-3.158183066666666,6.3046120000000005,交通运输
2012-03-23,建发股份,-3.225862766666665,6.3289855,交通运输
2012-03-24,建发股份,-2.3121653666666653,6.17868225,交通运输
2012-03-27,建发股份,-2.1768026666666667,6.17868225,交通运输
