2011-04-26,万方发展,90.1344688111111,4.4325,综合
2018-05-03,方大特钢,18.79004290000001,11.8740633,钢铁
2018-05-04,方大特钢,18.79004290000001,11.8740633,钢铁
2018-05-05,方大特钢,19.368526300000006,11.7336457,钢铁
2018-05-08,方大特钢,19.266440800000005,11.7336457,钢铁
2018-05-09,方大特钢,18.773031400000008,11.768750099999998,钢铁
2018-05-10,方大特钢,19.317481900000008,11.7424218,钢铁
2018-05-11,方大特钢,19.164355300000008,11.7248696,钢铁
2018-05-12,方大特钢,18.892128400000008,11.73803375,钢铁
2018-05-15,方大特钢,18.909143200000013,11.73803375,钢铁
2018-05-16,方大特钢,19.028243500000013,11.7424218,钢铁
2018-05-17,方大特钢,19.572697300000012,11.5668998,钢铁
2018-05-18,方大特钢,20.032077100000013,11.400153900000001,钢铁
2018-05-19,方大特钢,19.912980100000006,11.25534825,钢铁
2018-05-22,方大特钢,19.589708800000007,11.25534825,钢铁
2018-05-23,方大特钢,19.844920900000012,11.3826017,钢铁
2018-05-24,方大特钢,20.763687100000006,11.114930650000002,钢铁
2018-05-25,方大特钢,21.035914000000012,10.84287155,钢铁
2018-05-26,方大特钢,21.818565100000008,10.5576483,钢铁
2018-05-29,方大特钢,22.32898930000001,10.5576483,钢铁
2018-05-30,方大特钢,21.120984700000008,10.3119175,钢铁
2018-05-31,方大特钢,22.20989230000001,10.3470219,钢铁
2018-06-01,方大特钢,22.10780680000001,10.16711185,钢铁
2018-06-02,方大特钢,21.76752400000001,10.3996785,钢铁
2018-06-05,方大特钢,21.64842370000001,10.3996785,钢铁
2018-06-06,方大特钢,21.733494400000005,10.3119175,钢铁
2018-06-07,方大特钢,21.52932340000001,10.45672315,钢铁
2018-06-08,方大特钢,20.814728200000012,10.7858269,钢铁
2018-06-09,方大特钢,21.001884400000012,10.7770508,钢铁
2018-06-12,方大特钢,20.423404300000012,10.7770508,钢铁
2018-06-13,方大特钢,20.270277700000012,11.0929904,钢铁
2018-06-14,方大特钢,20.576530900000012,11.1544231,钢铁
2018-06-15,方大特钢,20.219233300000006,10.99206525,钢铁
2018-06-16,方大特钢,20.712646000000007,11.00961745,钢铁
2018-06-20,方大特钢,22.82240200000001,11.00961745,钢铁
2018-06-21,方大特钢,22.14183310000001,9.99158985,钢铁
2018-06-22,方大特钢,22.02273610000001,10.35140995,钢铁
2018-06-23,方大特钢,21.93766540000001,10.1451716,钢铁
2018-06-26,方大特钢,22.49913070000001,10.1451716,钢铁
2018-06-27,方大特钢,23.19671440000001,9.49135215,钢铁
2018-06-28,方大特钢,23.82623560000001,9.495740199999998,钢铁
2018-06-29,方大特钢,24.18353320000001,9.32460625,钢铁
2018-06-30,方大特钢,24.18353320000001,9.1885767,钢铁
2018-07-03,方大特钢,24.21756280000001,9.1885767,钢铁
2018-07-04,方大特钢,24.26860390000001,8.991114450000003,钢铁
2018-07-05,方大特钢,24.11547730000001,9.2938899,钢铁
2018-07-06,方大特钢,24.93215800000001,8.9077415,钢铁
2018-07-07,方大特钢,24.79604290000001,8.780488049999999,钢铁
2018-07-10,方大特钢,24.21756280000001,8.780488049999999,钢铁
2018-07-11,方大特钢,23.60505310000001,9.33338235,钢铁
2018-07-12,方大特钢,23.86026520000001,9.16663645,钢铁
2018-07-13,方大特钢,23.50296760000001,9.48257605,钢铁
2018-07-14,方大特钢,22.49913070000001,9.89505275,钢铁
2018-07-17,方大特钢,22.46510440000001,9.89505275,钢铁
2018-07-18,方大特钢,22.856428300000008,9.8731125,钢铁
2018-07-19,方大特钢,23.009558200000008,9.82484395,钢铁
2018-07-20,方大特钢,23.06059930000001,9.84239615,钢铁
2018-07-21,方大特钢,22.87344310000001,9.68442635,钢铁
2018-07-24,方大特钢,22.17586270000001,9.68442635,钢铁
2018-07-25,方大特钢,21.546338200000008,10.66734955,钢铁
2018-07-26,方大特钢,21.035914000000012,10.6015288,钢铁
2018-07-27,方大特钢,21.359182000000008,10.5839766,钢铁
2018-07-28,方大特钢,20.933828500000008,10.794603,钢铁
2018-07-31,方大特钢,20.440419100000007,10.794603,钢铁
2018-08-01,方大特钢,20.780701900000007,10.93940865,钢铁
2018-08-02,方大特钢,21.614394100000005,10.73755835,钢铁
2018-08-03,方大特钢,21.308140900000005,10.41284265,钢铁
2018-08-04,方大特钢,21.47828230000001,10.59714075,钢铁
2018-08-07,方大特钢,22.02273610000001,10.59714075,钢铁
2018-08-08,方大特钢,21.308140900000005,10.364574099999999,钢铁
2018-08-09,方大特钢,21.172025800000007,10.7507225,钢铁
2018-08-10,方大特钢,21.103969900000006,10.64979735,钢铁
2018-08-11,方大特钢,21.240085000000008,10.733170300000001,钢铁
2018-08-14,方大特钢,20.899802200000007,10.733170300000001,钢铁
2018-08-15,方大特钢,21.189040600000006,10.72000615,钢铁
2018-08-16,方大特钢,21.66543850000001,10.575200500000001,钢铁
2018-08-17,方大特钢,22.38003370000001,10.2417087,钢铁
2018-08-18,方大特钢,22.34600410000001,10.162723800000002,钢铁
2018-08-21,方大特钢,24.34634530000001,10.162723800000002,钢铁
2018-08-22,方大特钢,24.422512600000008,10.06179865,钢铁
2018-08-23,方大特钢,24.422512600000008,10.1451716,钢铁
2018-08-24,方大特钢,24.66624730000001,9.93015715,钢铁
2018-08-25,方大特钢,24.83381470000001,9.85117225,钢铁
2018-08-28,方大特钢,24.52914550000001,9.85117225,钢铁
2018-08-29,方大特钢,24.52914550000001,10.092514999999999,钢铁
2018-08-30,方大特钢,24.49867990000001,10.0837389,钢铁
2018-08-31,方大特钢,24.77288020000001,9.93893325,钢铁
2018-09-01,方大特钢,24.97091650000001,9.84239615,钢铁
2018-09-04,方大特钢,26.084581033333336,9.84239615,钢铁
2018-09-05,方大特钢,25.779915133333336,9.83362005,钢铁
2018-09-06,方大特钢,26.09981713333333,9.802903700000002,钢铁
2018-09-07,方大特钢,26.13028273333333,9.7502471,钢铁
2018-09-08,方大特钢,25.85607913333333,9.85994835,钢铁
2018-09-11,方大特钢,25.99318093333334,9.85994835,钢铁
2018-09-12,方大特钢,26.907188533333336,9.3992031,钢铁
2018-09-13,方大特钢,26.86149013333333,9.2412333,钢铁
2018-09-14,方大特钢,26.83102123333333,9.29827795,钢铁
2018-09-15,方大特钢,26.785322833333336,9.29827795,钢铁
2018-09-18,方大特钢,27.013824733333333,9.29827795,钢铁
2018-09-19,方大特钢,26.374017433333336,9.32460625,钢铁
2018-09-20,方大特钢,26.41971913333333,9.53523265,钢铁
2018-09-21,方大特钢,26.434951933333334,9.539620699999999,钢铁
2018-09-22,方大特钢,26.13028273333333,9.574725099999998,钢铁
2018-09-26,方大特钢,26.282617333333334,9.574725099999998,钢铁
2018-09-27,方大特钢,26.038882633333333,9.78096345,钢铁
2018-09-28,方大特钢,26.389250233333332,9.47379995,钢铁
2018-09-29,方大特钢,26.404486333333335,9.4869641,钢铁
2018-10-09,方大特钢,26.724388333333334,9.4869641,钢铁
2018-10-10,方大特钢,26.572053733333334,9.4606358,钢铁
2018-10-11,方大特钢,26.389250233333332,9.47379995,钢铁
2018-10-12,方大特钢,27.303257833333333,9.0569352,钢铁
2018-10-13,方大特钢,27.120457633333334,8.95601005,钢铁
2018-10-16,方大特钢,27.36419233333333,8.95601005,钢铁
2018-10-17,方大特钢,27.92782903333334,8.833144650000003,钢铁
2018-10-18,方大特钢,27.65362873333334,8.780488049999999,钢铁
2018-10-19,方大特钢,28.21726543333334,8.644458499999999,钢铁
