2011-04-26,万方发展,90.1344688111111,4.4325,综合
2011-08-10,潍柴动力,0.08500220000000525,7.19135858,汽车
2011-08-11,潍柴动力,-0.009087399999998523,7.19135858,汽车
2011-08-12,潍柴动力,0.03795740000000691,7.034449799999999,汽车
2011-08-13,潍柴动力,-0.4481622999999928,7.16138724,汽车
2011-08-16,潍柴动力,-1.530166299999994,7.16138724,汽车
2011-08-17,潍柴动力,-0.8715555999999971,7.3606085000000006,汽车
2011-08-18,潍柴动力,-0.9029154999999952,7.327992630000002,汽车
2011-08-19,潍柴动力,-0.07965129999999833,7.20634425,汽车
2011-08-20,潍柴动力,0.4064651000000019,7.02739772,汽车
2011-08-23,潍柴动力,0.3672644000000034,7.02739772,汽车
2011-08-24,潍柴动力,-0.28350879999999634,7.07588077,汽车
2011-08-25,潍柴动力,-0.21294159999999707,7.1534536499999986,汽车
2011-08-26,潍柴动力,-0.8872371999999977,7.2275004900000015,汽车
2011-08-27,潍柴动力,-0.9264378999999928,7.2944952500000015,汽车
2011-08-30,潍柴动力,-0.3070311999999937,7.2944952500000015,汽车
2011-08-31,潍柴动力,-0.428715399999998,7.30948092,汽车
2011-09-01,潍柴动力,-1.0526793999999915,7.351793400000001,汽车
2011-09-02,潍柴动力,-1.7878226333333311,7.35267491,汽车
2011-09-03,潍柴动力,-1.546038233333331,7.2548273000000005,汽车
2011-09-06,潍柴动力,-0.6724886333333302,7.2548273000000005,汽车
2011-09-07,潍柴动力,-0.37610573333333264,7.03973886,汽车
2011-09-08,潍柴动力,-1.0234700333333286,7.101444559999999,汽车
2011-09-09,潍柴动力,-0.563294933333335,7.12524533,汽车
2011-09-10,潍柴动力,-0.7738844333333326,7.11466721,汽车
2011-09-14,潍柴动力,-0.009528533333330813,7.11466721,汽车
2011-09-15,潍柴动力,-0.3059114333333284,6.95423239,汽车
2011-09-16,潍柴动力,-0.3293084333333276,7.02827923,汽车
2011-09-17,潍柴动力,-0.2903123333333326,7.03356829,汽车
2011-09-20,潍柴动力,0.07626816666667224,7.03356829,汽车
2011-09-21,潍柴动力,0.0684669666666693,6.9198535,汽车
2011-09-22,潍柴动力,-0.7738844333333326,7.0097675200000005,汽车
2011-09-23,潍柴动力,0.14646246666666585,6.9718625900000015,汽车
2011-09-24,潍柴动力,0.6924309666666666,6.78850851,汽车
2011-09-27,潍柴动力,1.324192866666671,6.78850851,汽车
2011-09-28,潍柴动力,1.02001206666667,6.68096429,汽车
2011-09-29,潍柴动力,1.1760030666666663,6.71798771,汽车
2011-09-30,潍柴动力,1.2383994666666671,6.6157325500000015,汽车
2011-10-01,潍柴动力,1.5815796666666664,6.63336275,汽车
2011-10-11,潍柴动力,1.838963166666666,6.63336275,汽车
2011-10-12,潍柴动力,1.9013595666666705,6.58928725,汽车
2011-10-13,潍柴动力,1.0356111666666656,6.593694800000001,汽车
2011-10-14,潍柴动力,0.8796201666666691,6.70917261,汽车
2011-10-15,潍柴动力,1.2149991666666686,6.65892654,汽车
2011-10-18,潍柴动力,1.2773955666666694,6.65892654,汽车
2011-10-19,潍柴动力,2.4083286666666734,6.48879511,汽车
2011-10-20,潍柴动力,3.2038827666666663,6.307204049999998,汽车
2011-10-21,潍柴动力,3.656256666666668,6.05332917,汽车
2011-10-22,潍柴动力,4.194423966666669,6.02247632,汽车
2011-10-25,潍柴动力,3.7342521666666713,6.02247632,汽车
2011-10-26,潍柴动力,3.266279166666667,6.10710128,汽车
2011-10-27,潍柴动力,3.0322926666666667,6.24637986,汽车
2011-10-28,潍柴动力,2.751508866666665,6.26841761,汽车
2011-10-29,潍柴动力,1.7453685666666665,6.45794226,汽车
2011-11-01,潍柴动力,0.1970877666666695,6.45794226,汽车
2011-11-02,潍柴动力,-2.400111477777777,6.48615058,汽车
2011-11-03,潍柴动力,-2.9027872777777723,6.59810235,汽车
2011-11-04,潍柴动力,-3.2630416777777747,6.7937975700000015,汽车
2011-11-05,潍柴动力,-3.1457497777777697,6.78145643,汽车
2011-11-08,潍柴动力,-2.7436084777777765,6.78145643,汽车
