2011-04-26,股票具体名称,价格,指标,ROE,roe,PE,pe,板块
2011-10-19,建发股份,5.77245725,0.8833521999999974,ROE,25.187079999999998,PE,7.364766,交通运输
2011-10-29,建发股份,5.77245725,0.20447950000000148,ROE,25.187079999999998,PE,7.570485,交通运输
2011-11-08,建发股份,5.98369425,-2.176802666666667,ROE,23.000613333333334,PE,7.62952,交通运输
2011-11-18,建发股份,5.999943249999999,-0.04484426666666508,ROE,23.000613333333334,PE,6.983472,交通运输
2011-12-08,建发股份,5.463726250000001,-0.48477386666666433,ROE,23.000613333333334,PE,7.116784,交通运输
2011-12-28,建发股份,5.622154,2.0871141333333334,ROE,23.000613333333334,PE,6.337424,交通运输
2012-01-07,建发股份,4.98438075,2.2901565333333345,ROE,23.000613333333334,PE,6.275896,交通运输
2012-01-17,建发股份,4.955945,2.120952333333335,ROE,23.000613333333334,PE,6.32717,交通运输
2012-02-16,建发股份,5.134684,-1.3307882666666657,ROE,23.000613333333334,PE,7.373152,交通运输
2012-03-07,建发股份,5.837453249999999,-3.395066966666665,ROE,23.000613333333334,PE,7.998691,交通运输
2012-03-17,建发股份,6.35742125,-3.6657923666666647,ROE,23.000613333333334,PE,8.080729,交通运输
2012-03-27,建发股份,6.30054975,-2.176802666666667,ROE,23.000613333333334,PE,7.62952,交通运输
2012-04-06,建发股份,5.97556975,-2.549049266666664,ROE,23.000613333333334,PE,7.742322,交通运输
2012-04-26,建发股份,6.255865,-4.401900266666665,ROE,23.000613333333334,PE,8.303792,交通运输
2012-05-16,建发股份,6.73114825,-6.990158900000001,ROE,21.17974,PE,8.536333,交通运输
2012-05-26,建发股份,6.418355,-6.151351699999999,ROE,21.17974,PE,8.282149,交通运输
2012-06-05,建发股份,6.38179475,-5.312547799999997,ROE,21.17974,PE,8.027966,交通运输
2012-06-15,建发股份,6.0243167500000006,-5.731948099999997,ROE,21.17974,PE,8.155057,交通运输
2012-07-05,建发股份,6.255865,-3.0407816000000025,ROE,21.17974,PE,7.339552,交通运输
