2011-04-26,股票具体名称,价格,指标,ROE,roe,PE,pe,板块
2013-05-11,光大银行,2.43654054,2.068731133333337,ROE,19.035133333333334,PE,5.141334,银行
2013-05-21,光大银行,2.43654054,1.744532533333338,ROE,19.035133333333334,PE,5.239576,银行
2013-05-31,光大银行,2.4834723,2.014696933333333,ROE,19.035133333333334,PE,5.157708,银行
2013-06-20,光大银行,2.4678283800000003,3.095361133333336,ROE,19.035133333333334,PE,4.830234,银行
2013-07-10,光大银行,2.32510311,4.0139227333333345,ROE,19.035133333333334,PE,4.551882,银行
2013-07-20,光大银行,2.2373633699999997,4.284090433333336,ROE,19.035133333333334,PE,4.470013,银行
2013-07-30,光大银行,2.20545801,4.878453433333336,ROE,19.035133333333334,PE,4.289903,银行
2013-08-09,光大银行,2.1217064399999996,4.5002206333333366,ROE,19.035133333333334,PE,4.404519,银行
2013-08-29,光大银行,2.14962363,4.955330233333337,ROE,19.035133333333334,PE,4.266607,银行
2013-09-18,光大银行,2.16158814,3.2920115666666696,ROE,18.310466666666667,PE,4.551047,银行
2013-09-28,光大银行,2.32111494,3.604894466666666,ROE,18.310466666666667,PE,4.456234,银行
2013-10-18,光大银行,2.2373633699999997,3.657044366666666,ROE,18.310466666666667,PE,4.440431,银行
2013-11-07,光大银行,2.25331605,3.4255221111111123,ROE,17.877311111111112,PE,4.37933,银行
2013-11-27,光大银行,2.2692687300000003,3.4764081111111143,ROE,17.877311111111112,PE,4.36391,银行
2013-12-07,光大银行,2.26129239,3.2219748111111137,ROE,17.877311111111112,PE,4.441011,银行
2013-12-17,光大银行,2.29718592,3.578180111111113,ROE,17.877311111111112,PE,4.33307,银行
2013-12-27,光大银行,2.2373633699999997,2.6770227111111122,ROE,17.877311111111112,PE,4.606148,银行
2014-01-16,光大银行,2.09777742,2.9560938111111117,ROE,17.877311111111112,PE,4.521581,银行
2014-02-15,光大银行,2.0259903599999998,2.838603911111111,ROE,17.877311111111112,PE,4.557184,银行
2014-02-25,光大银行,2.04194304,3.308563511111112,ROE,17.877311111111112,PE,4.414772,银行
2014-03-07,光大银行,1.96217964,3.6610332111111124,ROE,17.877311111111112,PE,4.307963,银行
2014-03-27,光大银行,1.9342624499999999,3.484796711111114,ROE,17.877311111111112,PE,4.361368,银行
2014-04-16,光大银行,1.96616781,3.289110011111113,ROE,17.877311111111112,PE,4.420667,银行
2014-04-26,光大银行,2.01801402,3.5774145111111135,ROE,17.877311111111112,PE,4.333302,银行
2014-05-06,光大银行,1.98610866,2.8017238666666646,ROE,16.707646666666665,PE,4.213916,银行
2014-05-16,光大银行,1.94223879,2.5728193666666677,ROE,16.707646666666665,PE,4.283281,银行
2014-06-05,光大银行,1.97015598,2.6300446666666666,ROE,16.707646666666665,PE,4.26594,银行
2014-06-25,光大银行,1.9741441499999999,2.2294609666666645,ROE,16.707646666666665,PE,4.387329,银行
2014-07-05,光大银行,2.01003768,2.057785066666664,ROE,16.707646666666665,PE,4.439352,银行
2014-07-15,光大银行,2.03795487,2.115010366666665,ROE,16.707646666666665,PE,4.422011,银行
2014-07-25,光大银行,2.02997853,2.5728193666666677,ROE,16.707646666666665,PE,4.283281,银行
2014-08-14,光大银行,2.12310945,1.027716466666666,ROE,16.707646666666665,PE,4.751494,银行
2014-09-03,光大银行,2.32815825,1.5384419000000005,ROE,16.47278,PE,4.525557,银行
2014-09-13,光大银行,2.3153427,1.1483654000000012,ROE,16.47278,PE,4.643762,银行
2014-09-23,光大银行,2.32815825,0.9811907000000009,ROE,16.47278,PE,4.694421,银行
2014-10-23,光大银行,2.31107085,1.4827181000000031,ROE,16.47278,PE,4.542443,银行
2014-11-12,光大银行,2.2897116,-0.5316178444444439,ROE,16.190135555555557,PE,5.067198,银行
2014-11-22,光大银行,2.6058285000000003,0.2827528555555574,ROE,16.190135555555557,PE,4.820419,银行
2014-12-02,光大银行,2.4776730000000002,-5.0378041444444435,ROE,16.190135555555557,PE,6.432709,银行
2014-12-12,光大银行,3.4431111,-5.3092621444444426,ROE,16.190135555555557,PE,6.514969,银行
2015-01-01,光大银行,3.3747615,-10.304072844444445,ROE,16.190135555555557,PE,8.028548,银行
2015-01-21,光大银行,4.1095197,-7.046586744444443,ROE,16.190135555555557,PE,7.041431,银行
2015-01-31,光大银行,3.7464124500000002,-6.449382444444442,ROE,16.190135555555557,PE,6.86046,银行
2015-02-10,光大银行,3.5798103,-5.363553744444442,ROE,16.190135555555557,PE,6.531421,银行
2015-03-12,光大银行,3.46447035,-5.68930334444444,ROE,16.190135555555557,PE,6.630133,银行
2015-04-01,光大银行,3.5627229,-9.036259044444442,ROE,16.190135555555557,PE,7.644362,银行
2015-04-11,光大银行,4.1095197,-12.28955744444444,ROE,16.190135555555557,PE,8.63021,银行
2015-04-21,光大银行,4.4683551,-12.39622334444444,ROE,16.190135555555557,PE,8.662533,银行
2015-05-01,光大银行,4.5794232,-13.215091944444438,ROE,16.190135555555557,PE,8.910675,银行
2015-05-21,光大银行,4.81437495,-12.825458633333334,ROE,14.725386666666665,PE,8.348741,银行
2015-06-10,光大银行,4.44699585,-18.388608533333333,ROE,14.725386666666665,PE,10.034544,银行
2015-06-20,光大银行,5.39890598,-13.408265033333333,ROE,14.725386666666665,PE,8.525349,银行
2015-06-30,光大银行,4.83780855,-12.030722933333337,ROE,14.725386666666665,PE,8.107912,银行
2015-07-10,光大银行,4.60806787,-15.527561333333331,ROE,14.725386666666665,PE,9.16756,银行
2015-07-30,光大银行,5.0896396799999994,-10.176337433333334,ROE,14.725386666666665,PE,7.545977,银行
2015-08-19,光大银行,4.11324179,-7.739148833333335,ROE,14.725386666666665,PE,6.807435,银行
2015-08-29,光大银行,3.68910515,-5.619852533333333,ROE,14.725386666666665,PE,6.165224,银行
2015-09-08,光大银行,3.34891222,-6.960954266666667,ROE,14.241453333333334,PE,6.424972,银行
2015-09-18,光大银行,3.63166998,-7.592290466666663,ROE,14.241453333333334,PE,6.616286,银行
2015-10-28,光大银行,3.6670147,-7.539678566666664,ROE,14.241453333333334,PE,6.600343,银行
2015-11-07,光大银行,3.65817852,-8.64665873333333,ROE,14.012586666666666,PE,6.866438,银行
2015-11-17,光大银行,3.7730488600000003,-9.169969433333334,ROE,14.012586666666666,PE,7.025017,银行
2015-11-27,光大银行,3.9718629099999996,-9.222300833333334,ROE,14.012586666666666,PE,7.040875,银行
2015-12-17,光大银行,3.7951393099999997,-8.175682733333334,ROE,14.012586666666666,PE,6.723718,银行
2016-01-06,光大银行,3.77304886,-7.3383902333333335,ROE,14.012586666666666,PE,6.469993,银行
2016-01-16,光大银行,3.6228338,-5.349816833333334,ROE,14.012586666666666,PE,5.867395,银行
2016-01-26,光大银行,3.31798559,-5.4021482333333335,ROE,14.012586666666666,PE,5.883253,银行
2016-02-05,光大银行,3.1766067099999997,-4.407864833333333,ROE,14.012586666666666,PE,5.581955,银行
2016-02-25,光大银行,3.11033536,-4.617187133333333,ROE,14.012586666666666,PE,5.645386,银行
2016-03-16,光大银行,3.05290019,-5.245157333333333,ROE,14.012586666666666,PE,5.83568,银行
2016-03-26,光大银行,3.27380469,-5.349816833333334,ROE,14.012586666666666,PE,5.867395,银行
2016-04-15,光大银行,3.26055042,-5.759000333333335,ROE,14.012586666666666,PE,5.99139,银行
2016-05-05,光大银行,3.35333031,-6.8044595999999995,ROE,12.336239999999998,PE,5.800212,银行
2016-05-25,光大银行,3.24729615,-6.024267,ROE,12.336239999999998,PE,5.56379,银行
2016-06-04,光大银行,3.1368438999999997,-7.0125081,ROE,12.336239999999998,PE,5.863257,银行
2016-06-14,光大银行,3.26055042,-6.5443932,ROE,12.336239999999998,PE,5.721404,银行
2016-06-24,光大银行,3.2163695199999998,-6.752445,ROE,12.336239999999998,PE,5.78445,银行
2016-07-14,光大银行,3.18544289,-7.168548600000003,ROE,12.336239999999998,PE,5.910542,银行
2016-08-03,光大银行,3.48326625,-7.636663499999999,ROE,12.336239999999998,PE,6.052395,银行
2016-08-13,光大银行,3.5482872199999997,-8.780945100000002,ROE,12.336239999999998,PE,6.399147,银行
2016-08-23,光大银行,3.715484,-8.624904599999999,ROE,12.336239999999998,PE,6.351862,银行
2016-09-02,光大银行,3.747994485,-8.1303358,ROE,12.23504,PE,6.171326,银行
2016-09-22,光大银行,3.645818675,-7.301210799999998,ROE,12.23504,PE,5.920076,银行
2016-10-12,光大银行,3.525065445,-7.456673799999999,ROE,12.23504,PE,5.967186,银行
2016-10-22,光大银行,3.5111323800000003,-7.560313599999999,ROE,12.23504,PE,5.998592,银行
2016-11-01,光大银行,3.534354155,-7.269656199999998,ROE,12.23504,PE,5.910514,银行
2016-11-11,光大银行,3.562220285,-7.963995599999999,ROE,12.00144,PE,6.050132,银行
2016-12-01,光大银行,3.627241255,-9.295024199999999,ROE,12.00144,PE,6.453474,银行
2016-12-21,光大银行,3.81765981,-7.963995599999999,ROE,12.00144,PE,6.050132,银行
2016-12-31,光大银行,3.64117432,-8.015188499999999,ROE,12.00144,PE,6.065645,银行
2017-01-10,光大银行,3.6133081899999997,-8.0663814,ROE,12.00144,PE,6.081158,银行
2017-01-20,光大银行,3.6365299650000003,-8.373542099999996,ROE,12.00144,PE,6.174237,银行
2017-02-09,光大银行,3.70619529,-8.7318957,ROE,12.00144,PE,6.282829,银行
2017-03-01,光大银行,3.7572831950000003,-9.192638399999998,ROE,12.00144,PE,6.422448,银行
2017-03-11,光大银行,3.896613845,-9.192638399999998,ROE,12.00144,PE,6.422448,银行
2017-03-21,光大银行,3.84552594,-9.090249299999998,ROE,12.00144,PE,6.391421,银行
2017-03-31,光大银行,3.79908239,-8.936670599999998,ROE,12.00144,PE,6.344882,银行
2017-04-20,光大银行,3.78979368,-7.7050842,ROE,12.00144,PE,5.971674,银行
2017-05-10,光大银行,3.59473077,-8.767614099999998,ROE,10.8023,PE,5.930277,银行
2017-05-20,光大银行,3.6225969,-8.666478999999997,ROE,10.8023,PE,5.89963,银行
2017-06-09,光大银行,3.580797705,-9.273296199999999,ROE,10.8023,PE,6.083514,银行
2017-06-29,光大银行,3.70619529,-9.627273999999998,ROE,10.8023,PE,6.19078,银行
2017-07-19,光大银行,3.7619275500000002,-10.942050100000001,ROE,10.8023,PE,6.589197,银行
2017-07-29,光大银行,4.100542635,-10.588072299999999,ROE,10.8023,PE,6.481931,银行
2017-08-08,光大银行,4.01957954,-10.3352296,ROE,10.8023,PE,6.405312,银行
2017-08-18,光大银行,3.9862417949999998,-9.930682599999995,ROE,10.8023,PE,6.282722,银行
2017-09-07,光大银行,3.8957536299999997,-10.26106523333333,ROE,10.724766666666667,PE,6.359343,银行
2017-09-27,光大银行,3.9862417949999998,-9.861336233333333,ROE,10.724766666666667,PE,6.238213,银行
2017-10-17,光大银行,3.8909910950000004,-9.911314733333334,ROE,10.724766666666667,PE,6.253358,银行
2017-10-27,光大银行,3.9243288400000003,-9.561547733333331,ROE,10.724766666666667,PE,6.147368,银行
2017-11-16,光大银行,3.881466025,-9.107346944444446,ROE,10.661055555555555,PE,5.990425,银行
2017-12-06,光大银行,3.81955307,-10.238375744444442,ROE,10.661055555555555,PE,6.333161,银行
2017-12-16,光大银行,4.024342075,-9.304050044444443,ROE,10.661055555555555,PE,6.050032,银行
2017-12-26,光大银行,3.900516165,-11.789042444444446,ROE,10.661055555555555,PE,6.80306,银行
2018-01-05,光大银行,3.881466025,-12.010224944444447,ROE,10.661055555555555,PE,6.870085,银行
2018-01-25,光大银行,3.9052787,-15.880933544444444,ROE,10.661055555555555,PE,8.043027,银行
2018-02-14,光大银行,4.5053581099999995,-13.226756744444442,ROE,10.661055555555555,PE,7.238731,银行
2018-02-24,光大银行,4.091017565,-14.111490044444446,ROE,10.661055555555555,PE,7.506832,银行
2018-03-06,光大银行,4.22913108,-13.005577544444444,ROE,10.661055555555555,PE,7.171707,银行
2018-03-16,光大银行,4.07672996,-12.784391744444443,ROE,10.661055555555555,PE,7.104681,银行
2018-04-05,光大银行,4.014817005,-11.467767644444445,ROE,10.661055555555555,PE,6.705704,银行
2018-04-25,光大银行,3.8528908150000003,-11.577588344444445,ROE,10.661055555555555,PE,6.738983,银行
2018-05-05,光大银行,3.8338406750000003,-12.206208233333335,ROE,9.542286666666666,PE,6.590453,银行
2018-05-15,光大银行,3.83860321,-12.747216833333333,ROE,9.542286666666666,PE,6.754395,银行
2018-05-25,光大银行,3.91480377,-12.206208233333335,ROE,9.542286666666666,PE,6.590453,银行
2018-06-14,光大银行,3.810028,-11.394708533333333,ROE,9.542286666666666,PE,6.344544,银行
2018-07-04,光大银行,3.68620209,-9.555281933333333,ROE,9.542286666666666,PE,5.787142,银行
2018-07-14,光大银行,3.367112245,-10.312694633333333,ROE,9.542286666666666,PE,6.016661,银行
2018-07-24,光大银行,3.500463225,-10.961916833333333,ROE,9.542286666666666,PE,6.213395,银行
2018-08-03,光大银行,3.633814205,-9.555295133333335,ROE,9.542286666666666,PE,5.787146,银行
2018-08-23,光大银行,3.55,-9.555295133333335,ROE,9.542286666666666,PE,5.787146,银行
2018-09-12,光大银行,3.535,-10.0629732,ROE,9.54762,PE,5.942604,银行
2018-09-22,光大银行,3.71,-11.282009699999998,ROE,9.54762,PE,6.312009,银行
2018-10-12,光大银行,3.91,-10.115977799999998,ROE,9.54762,PE,5.958666,银行
2018-11-01,光大银行,3.755,-10.958711999999997,ROE,9.54762,PE,6.21404,银行
2018-11-21,光大银行,4.015000000000001,-10.265250433333334,ROE,9.576286666666666,PE,6.012587,银行
2018-12-01,光大银行,3.875,-10.111836733333332,ROE,9.576286666666666,PE,5.966098,银行
2018-12-11,光大银行,3.84,-9.907286233333332,ROE,9.576286666666666,PE,5.904113,银行
2018-12-21,光大银行,3.815,-9.344768233333335,ROE,9.576286666666666,PE,5.733653,银行
