2011-04-26,万方发展,90.1344688111111,4.4325,综合
2013-05-03,光大银行,2.5550290333333336,2.4248076000000003,银行
2013-05-04,光大银行,2.230830433333334,2.4248076000000003,银行
2013-05-07,光大银行,1.960666033333336,2.4248076000000003,银行
2013-05-08,光大银行,2.068731133333337,2.46000642,银行
2013-05-09,光大银行,2.068731133333337,2.47565034,银行
2013-05-10,光大银行,2.230830433333334,2.4443625,银行
2013-05-11,光大银行,2.068731133333337,2.43654054,银行
2013-05-14,光大银行,2.1767962333333344,2.43654054,银行
2013-05-15,光大银行,2.284864633333335,2.41698564,银行
2013-05-16,光大银行,2.230830433333334,2.42089662,银行
2013-05-17,光大银行,2.014696933333333,2.43654054,银行
2013-05-18,光大银行,1.8525976333333356,2.47173936,银行
2013-05-21,光大银行,1.7445325333333381,2.47173936,银行
2013-05-22,光大银行,1.8525976333333356,2.4834723,银行
2013-05-23,光大银行,1.8525976333333356,2.47956132,银行
2013-05-24,光大银行,2.1767962333333344,2.4639174,银行
2013-05-25,光大银行,2.014696933333333,2.45609544,银行
2013-05-28,光大银行,2.122765333333337,2.45609544,银行
2013-05-29,光大银行,1.8525976333333356,2.46000642,银行
2013-05-30,光大银行,1.960666033333336,2.4834723,银行
2013-05-31,光大银行,2.014696933333333,2.47173936,银行
2013-06-01,光大银行,2.122765333333337,2.4678283800000003,银行
2013-06-04,光大银行,2.014696933333333,2.4678283800000003,银行
2013-06-05,光大银行,2.1767962333333344,2.44827348,银行
2013-06-06,光大银行,2.284864633333335,2.43262956,银行
2013-06-07,光大银行,2.8251967333333354,2.41683102,银行
2013-06-08,光大银行,2.9332618333333333,2.3929020000000003,银行
2013-06-14,光大银行,3.3655255333333365,2.3929020000000003,银行
2013-06-15,光大银行,3.203426233333333,2.32111494,银行
2013-06-18,光大银行,2.8792276333333366,2.32111494,银行
2013-06-19,光大银行,2.8251967333333354,2.38891383,银行
2013-06-20,光大银行,3.095361133333337,2.3490321300000003,银行
2013-06-21,光大银行,3.419559733333335,2.32510311,银行
2013-06-22,光大银行,3.311494633333336,2.3131386000000003,银行
2013-06-25,光大银行,4.230056233333337,2.3131386000000003,银行
2013-06-26,光大银行,4.121991133333335,2.1137301,银行
2013-06-27,光大银行,4.338121333333335,2.17355265,银行
2013-06-28,光大银行,4.121991133333335,2.18950533,银行
2013-06-29,光大银行,3.419559733333335,2.24533971,银行
2013-07-02,光大银行,3.311494633333336,2.24533971,银行
2013-07-03,光大银行,3.5276248333333338,2.30117409,银行
2013-07-04,光大银行,3.959891833333336,2.24533971,银行
2013-07-05,光大银行,3.851823433333333,2.23736337,银行
2013-07-06,光大银行,3.959891833333336,2.24533971,银行
2013-07-09,光大银行,4.013922733333335,2.24533971,银行
2013-07-10,光大银行,4.013922733333335,2.22141069,银行
2013-07-11,光大银行,3.743758333333336,2.23736337,银行
2013-07-12,光大银行,2.987296033333333,2.33706762,银行
2013-07-13,光大银行,3.4735939333333348,2.32909128,银行
2013-07-16,光大银行,3.3655255333333365,2.32909128,银行
2013-07-17,光大银行,3.311494633333336,2.30915043,银行
2013-07-18,光大银行,3.635693233333337,2.30117409,银行
2013-07-19,光大银行,3.959891833333336,2.24533971,银行
2013-07-20,光大银行,4.284090433333336,2.20545801,银行
2013-07-23,光大银行,4.392155533333334,2.20545801,银行
2013-07-24,光大银行,4.176022033333337,2.18950533,银行
2013-07-25,光大银行,4.446189733333334,2.15759997,银行
2013-07-26,光大银行,4.446189733333334,2.15759997,银行
2013-07-27,光大银行,4.554254833333337,2.14962363,银行
2013-07-30,光大银行,4.878453433333336,2.14962363,银行
2013-07-31,光大银行,4.716354133333335,2.12170644,银行
2013-08-01,光大银行,4.662319933333333,2.12968278,银行
2013-08-02,光大银行,4.392155533333334,2.1456354600000003,银行
2013-08-03,光大银行,4.392155533333334,2.1735526500000004,银行
2013-08-06,光大银行,4.284090433333336,2.1735526500000004,银行
2013-08-07,光大银行,4.338121333333335,2.17355265,银行
2013-08-08,光大银行,4.446189733333334,2.16956448,银行
2013-08-09,光大银行,4.5002206333333366,2.15759997,银行
2013-08-10,光大银行,4.446189733333334,2.14962363,银行
2013-08-13,光大银行,3.959891833333336,2.14962363,银行
2013-08-14,光大银行,3.959891833333336,2.22141069,银行
2013-08-15,光大银行,4.013922733333335,2.22938703,银行
2013-08-16,光大银行,4.176022033333337,2.20944618,银行
2013-08-17,光大银行,4.121991133333335,2.29718592,银行
2013-08-20,光大银行,4.121991133333335,2.29718592,银行
2013-08-21,光大银行,4.176022033333337,2.20944618,银行
2013-08-22,光大银行,4.284090433333336,2.17754082,银行
2013-08-23,光大银行,4.392155533333334,2.17754082,银行
2013-08-24,光大银行,4.554254833333337,2.13765912,银行
2013-08-27,光大银行,4.338121333333335,2.13765912,银行
2013-08-28,光大银行,4.851037033333334,2.16956448,银行
2013-08-29,光大银行,4.955330233333337,2.15759997,银行
2013-08-30,光大银行,4.955330233333337,2.16158814,银行
2013-08-31,光大银行,4.903183633333335,2.15759997,银行
2013-09-03,光大银行,4.178516966666667,2.15759997,银行
2013-09-04,光大银行,3.969927266666668,2.1815289900000003,银行
2013-09-05,光大银行,3.969927266666668,2.18551716,银行
2013-09-06,光大银行,4.1263703666666665,2.17754082,银行
2013-09-07,光大银行,4.022073866666666,2.17754082,银行
2013-09-10,光大银行,2.874832166666668,2.17754082,银行
2013-09-11,光大银行,3.083421866666667,2.32111494,银行
2013-09-12,光大银行,3.1355684666666668,2.33307945,银行
2013-09-13,光大银行,2.6140958666666663,2.37296115,银行
2013-09-14,光大银行,2.7705356666666687,2.3929020000000003,银行
2013-09-17,光大银行,2.874832166666668,2.3929020000000003,银行
2013-09-18,光大银行,3.2920115666666696,2.33706762,银行
2013-09-19,光大银行,3.031275266666668,2.32111494,银行
2013-09-24,光大银行,2.926978766666668,2.32111494,银行
2013-09-25,光大银行,3.2398649666666657,2.31712677,银行
2013-09-26,光大银行,3.344158166666668,2.3051622600000004,银行
2013-09-27,光大银行,3.6570443666666663,2.25730422,银行
2013-09-28,光大银行,3.6048944666666665,2.23736337,银行
2013-10-01,光大银行,3.4484546666666684,2.23736337,银行
2013-10-09,光大银行,3.3963047666666686,2.26129239,银行
2013-10-10,光大银行,3.344158166666668,2.28522141,银行
2013-10-11,光大银行,3.5527478666666674,2.2692687300000003,银行
2013-10-12,光大银行,3.344158166666668,2.28123324,银行
2013-10-15,光大银行,3.4484546666666684,2.28123324,银行
2013-10-16,光大银行,3.5527478666666674,2.2692687300000003,银行
2013-10-17,光大银行,3.6570443666666663,2.24533971,银行
2013-10-18,光大银行,3.6570443666666663,2.24932788,银行
2013-10-19,光大银行,3.5527478666666674,2.25331605,银行
2013-10-22,光大银行,3.3963047666666686,2.25331605,银行
2013-10-23,光大银行,3.5527478666666674,2.26528056,银行
2013-10-24,光大银行,3.5527478666666674,2.27724507,银行
2013-10-25,光大银行,3.6570443666666663,2.24932788,银行
2013-10-26,光大银行,3.6570443666666663,2.25331605,银行
2013-10-29,光大银行,3.5527478666666674,2.25331605,银行
2013-10-30,光大银行,3.706016366666669,2.28123324,银行
2013-10-31,光大银行,3.655130366666669,2.28522141,银行
2013-11-01,光大银行,3.8077883666666668,2.28123324,银行
2013-11-02,光大银行,3.2219748111111137,2.28920958,银行
2013-11-05,光大银行,3.2219748111111137,2.28920958,银行
2013-11-06,光大银行,3.2219748111111137,2.28123324,银行
2013-11-07,光大银行,3.4255221111111123,2.27724507,银行
2013-11-08,光大银行,3.374632811111113,2.2692687300000003,银行
2013-11-09,光大银行,3.4255221111111123,2.2692687300000003,银行
2013-11-12,光大银行,3.4255221111111123,2.2692687300000003,银行
2013-11-13,光大银行,3.3237468111111124,2.2732569,银行
2013-11-14,光大银行,3.5781801111111133,2.24932788,银行
2013-11-15,光大银行,3.679952111111113,2.23736337,银行
2013-11-16,光大银行,3.5272941111111127,2.24932788,银行
2013-11-19,光大银行,3.2219748111111137,2.24932788,银行
2013-11-20,光大银行,3.3237468111111124,2.28522141,银行
2013-11-21,光大银行,3.272860811111114,2.28522141,银行
2013-11-22,光大银行,3.374632811111113,2.2692687300000003,银行
2013-11-23,光大银行,3.4255221111111123,2.2732569,银行
2013-11-26,光大银行,3.4764081111111143,2.2732569,银行
2013-11-27,光大银行,3.4764081111111143,2.25730422,银行
2013-11-28,光大银行,3.4255221111111123,2.26129239,银行
2013-11-29,光大银行,3.374632811111113,2.27724507,银行
2013-11-30,光大银行,3.374632811111113,2.2732569,银行
2013-12-03,光大银行,3.3237468111111124,2.2732569,银行
2013-12-04,光大银行,3.3237468111111124,2.27724507,银行
2013-12-05,光大银行,3.2219748111111137,2.29319775,银行
2013-12-06,光大银行,3.2219748111111137,2.29718592,银行
2013-12-07,光大银行,3.2219748111111137,2.29718592,银行
2013-12-10,光大银行,3.272860811111114,2.29718592,银行
2013-12-11,光大银行,3.171088811111112,2.29718592,银行
2013-12-12,光大银行,3.4255221111111123,2.28522141,银行
2013-12-13,光大银行,3.4764081111111143,2.26528056,银行
2013-12-14,光大银行,3.5272941111111127,2.25331605,银行
2013-12-17,光大银行,3.5781801111111133,2.25331605,银行
2013-12-18,光大银行,3.6290661111111113,2.23736337,银行
2013-12-19,光大银行,3.6290661111111113,2.23736337,银行
2013-12-20,光大银行,3.7308414111111134,2.22938703,银行
2013-12-21,光大银行,2.327589011111113,2.16158814,银行
2013-12-24,光大银行,2.211112211111113,2.16158814,银行
2013-12-25,光大银行,2.327589011111113,2.14164729,银行
2013-12-26,光大银行,2.3858274111111117,2.12569461,银行
2013-12-27,光大银行,2.677022711111112,2.1017655900000003,银行
2013-12-28,光大银行,2.502304211111112,2.09777742,银行
2013-12-31,光大银行,2.5605426111111136,2.09777742,银行
2014-01-01,光大银行,2.3858274111111117,2.11771827,银行
2014-01-03,光大银行,2.502304211111112,2.11771827,银行
2014-01-04,光大银行,2.677022711111112,2.08980108,银行
2014-01-07,光大银行,2.909976311111114,2.08980108,银行
2014-01-08,光大银行,2.909976311111114,2.04593121,银行
2014-01-09,光大银行,2.909976311111114,2.04991938,银行
2014-01-10,光大银行,3.0264531111111133,2.04194304,银行
2014-01-11,光大银行,3.1429299111111124,2.02997853,银行
2014-01-14,光大银行,3.0264531111111133,2.02997853,银行
2014-01-15,光大银行,2.9682147111111132,2.03795487,银行
2014-01-16,光大银行,2.956093811111112,2.02997853,银行
2014-01-17,光大银行,3.0148371111111136,2.02599036,银行
2014-01-18,光大银行,3.1910736111111118,2.00604951,银行
2014-01-21,光大银行,3.367306811111113,2.00604951,银行
2014-01-22,光大银行,3.2498169111111133,1.98212049,银行
2014-01-23,光大银行,3.132327011111114,1.99807317,银行
2014-01-24,光大银行,3.3085635111111116,1.9940849999999999,银行
2014-01-25,光大银行,3.2498169111111133,1.97813232,银行
2014-01-28,光大银行,3.367306811111113,1.97813232,银行
2014-01-29,光大银行,3.1910736111111118,1.98610866,银行
2014-01-30,光大银行,3.0735837111111124,2.00206134,银行
2014-01-31,光大银行,3.2498169111111133,1.9940849999999999,银行
2014-02-08,光大银行,3.3085635111111116,1.9940849999999999,银行
2014-02-11,光大银行,3.3085635111111116,1.97813232,银行
2014-02-12,光大银行,2.7211140111111116,2.02997853,银行
2014-02-13,光大银行,2.838603911111111,2.05390755,银行
2014-02-14,光大银行,2.838603911111111,2.05789572,银行
2014-02-15,光大银行,2.838603911111111,2.04194304,银行
2014-02-18,光大银行,2.8973472111111125,2.04194304,银行
2014-02-19,光大银行,3.1910736111111118,2.0140258500000003,银行
2014-02-20,光大银行,2.7798573111111136,2.02997853,银行
2014-02-21,光大银行,2.956093811111112,2.04593121,银行
2014-02-22,光大银行,3.0735837111111124,2.01003768,银行
2014-02-25,光大银行,3.3085635111111116,2.01003768,银行
2014-02-26,光大银行,3.3085635111111116,1.96217964,银行
2014-02-27,光大银行,3.6022866111111136,1.93825062,银行
2014-02-28,光大银行,3.4260534111111127,1.95819147,银行
2014-03-01,光大银行,3.484796711111114,1.94622696,银行
2014-03-04,光大银行,3.543543311111113,1.94622696,银行
2014-03-05,光大银行,3.543543311111113,1.93825062,银行
2014-03-06,光大银行,3.6022866111111136,1.93825062,银行
2014-03-07,光大银行,3.661033211111112,1.93027428,银行
2014-03-08,光大银行,3.661033211111112,1.93426245,银行
2014-03-11,光大银行,3.954756311111112,1.93426245,银行
2014-03-12,光大银行,4.013502911111114,1.88640441,银行
2014-03-13,光大银行,3.954756311111112,1.88640441,银行
2014-03-14,光大银行,3.7785231111111135,1.92229794,银行
2014-03-15,光大银行,3.8960130111111138,1.89039258,银行
2014-03-18,光大银行,3.8960130111111138,1.89039258,银行
2014-03-19,光大银行,3.954756311111112,1.89438075,银行
2014-03-20,光大银行,4.013502911111114,1.87842807,银行
2014-03-21,光大银行,4.130992811111113,1.88241624,银行
2014-03-22,光大银行,3.661033211111112,1.89836892,银行
2014-03-25,光大银行,3.367306811111113,1.89836892,银行
2014-03-26,光大银行,3.543543311111113,1.9542032999999999,银行
2014-03-27,光大银行,3.484796711111114,1.9542032999999999,银行
2014-03-28,光大银行,3.484796711111114,1.96616781,银行
2014-03-29,光大银行,3.3085635111111116,1.97414415,银行
2014-04-01,光大银行,3.577414511111113,1.97414415,银行
2014-04-02,光大银行,3.577414511111113,1.97414415,银行
2014-04-03,光大银行,3.404431811111112,1.99807317,银行
2014-04-04,光大银行,3.6927363111111116,1.98610866,银行
2014-04-05,光大银行,3.5197536111111134,1.97015598,银行
2014-04-09,光大银行,3.1737882111111144,1.97015598,银行
2014-04-10,光大银行,3.1737882111111144,2.02997853,银行
2014-04-11,光大银行,3.0584664111111124,2.0499193800000004,银行
2014-04-12,光大银行,2.943144611111114,2.0578957200000003,银行
2014-04-15,光大银行,3.0008055111111123,2.0578957200000003,银行
2014-04-16,光大银行,3.2891100111111133,2.02599036,银行
2014-04-17,光大银行,3.2891100111111133,2.01801402,银行
2014-04-18,光大银行,3.404431811111112,2.0140258500000003,银行
2014-04-19,光大银行,3.404431811111112,1.99807317,银行
2014-04-22,光大银行,3.6350754111111137,1.99807317,银行
2014-04-23,光大银行,3.577414511111113,1.97015598,银行
2014-04-24,光大银行,3.6350754111111137,1.97414415,银行
2014-04-25,光大银行,3.6350754111111137,1.97015598,银行
2014-04-26,光大银行,3.577414511111113,1.98610866,银行
2014-04-29,光大银行,3.577414511111113,1.98610866,银行
2014-04-30,光大银行,3.856934411111114,1.93426245,银行
