2011-04-26,万方发展,90.1344688111111,4.4325,综合
2018-10-13,华联控股,0.8543062666666721,4.300000000000002,房地产
2018-10-16,华联控股,1.4711884666666712,4.300000000000002,房地产
2018-10-17,华联控股,2.761026466666671,4.13,房地产
2018-10-18,华联控股,1.9759069666666704,4.09,房地产
2018-10-19,华联控股,2.4245485666666724,4.07,房地产
2018-10-20,华联控股,1.639429066666672,4.105,房地产
2018-10-23,华联控股,0.5739085666666739,4.105,房地产
2018-10-24,华联控股,0.5739085666666739,4.43,房地产
2018-10-25,华联控股,0.7421491666666746,4.365,房地产
2018-10-26,华联控股,0.013106566666671426,4.33,房地产
2018-10-27,华联控股,-0.3794515333333273,4.574999999999998,房地产
2018-10-30,华联控股,-0.32337133333332696,4.574999999999998,房地产
2018-10-31,华联控股,-0.4355317333333275,4.475,房地产
2018-11-01,华联控股,7.251699466666674,4.6850000000000005,房地产
2018-11-02,华联控股,8.180120700000009,4.865,房地产
2018-11-03,华联控股,7.803570900000004,4.925000000000002,房地产
2018-11-06,华联控股,6.9751653000000085,4.925000000000002,房地产
2018-11-07,华联控股,6.335034600000004,5.255000000000001,房地产
2018-11-08,华联控股,5.996141100000006,5.43,房地产
2018-11-09,华联控股,6.2973783000000045,5.41,房地产
2018-11-10,华联控股,6.222069000000008,5.385,房地产
2018-11-13,华联控股,5.9584848000000035,5.385,房地产
2018-11-14,华联控股,4.602910800000006,5.575,房地产
2018-11-15,华联控股,5.205388500000005,5.715,房地产
2018-11-16,华联控股,4.904148000000006,5.7,房地产
2018-11-17,华联控股,4.000433100000007,5.915,房地产
2018-11-20,华联控股,4.226361000000004,5.915,房地产
2018-11-21,华联控股,4.941804300000005,5.785,房地产
2018-11-22,华联控股,4.376982900000005,5.71,房地产
2018-11-23,华联控股,4.1887080000000045,5.885,房地产
2018-11-24,华联控股,5.4689727000000055,5.75,房地产
2018-11-27,华联控股,4.753529400000005,5.75,房地产
2018-11-28,华联控股,4.414635900000008,5.835,房地产
2018-11-29,华联控股,4.489945200000005,5.855,房地产
2018-11-30,华联控股,5.280697800000006,5.74,房地产
2018-12-01,华联控股,5.054769900000006,5.68,房地产
2018-12-04,华联控股,4.264017300000006,5.68,房地产
2018-12-05,华联控股,4.527601500000007,5.835,房地产
2018-12-06,华联控股,4.264017300000006,5.805,房地产
2018-12-07,华联控股,5.054769900000006,5.75,房地产
2018-12-08,华联控股,5.167732200000007,5.675,房地产
2018-12-11,华联控股,5.544282000000006,5.675,房地产
2018-12-12,华联控股,5.130079200000004,5.62,房地产
2018-12-13,华联控股,5.130079200000004,5.695,房地产
2018-12-14,华联控股,4.715876400000006,5.73,房地产
2018-12-15,华联控股,5.0171136000000045,5.74,房地产
2018-12-18,华联控股,4.904148000000006,5.74,房地产
2018-12-19,华联控股,4.828838700000006,5.68,房地产
2018-12-20,华联控股,5.318354100000008,5.665,房地产
2018-12-21,华联控股,4.6405671000000055,5.725,房地产
2018-12-22,华联控股,5.5819350000000085,5.66,房地产
2018-12-25,华联控股,5.318354100000008,5.66,房地产
2018-12-26,华联控股,5.431316400000004,5.525,房地产
2018-12-27,华联控股,5.5819350000000085,5.555,房地产
2018-12-28,华联控股,5.619591300000007,5.575,房地产
2018-12-29,华联控股,5.694900600000004,5.47,房地产
2019-01-03,华联控股,6.259725300000008,5.47,房地产
2019-01-04,华联控股,6.4103439000000035,5.35,房地产
2019-01-05,华联控股,5.883175500000004,5.3599999999999985,房地产
2019-01-08,华联控股,4.904148000000006,5.3599999999999985,房地产
2019-01-09,华联控股,4.678220100000004,5.74,房地产
2019-01-10,华联控股,5.0171136000000045,5.755,房地产
2019-01-11,华联控股,5.130079200000004,5.699999999999998,房地产
2019-01-12,华联控股,4.941804300000005,5.68,房地产
2019-01-15,华联控股,5.130079200000004,5.68,房地产
2019-01-16,华联控股,4.941804300000005,5.65,房地产
2019-01-17,华联控股,4.979460600000007,5.7349999999999985,房地产
2019-01-18,华联控股,4.979460600000007,5.7349999999999985,房地产
2019-01-19,华联控股,4.904148000000006,5.68,房地产
2019-01-22,华联控股,5.205388500000005,5.68,房地产
2019-01-23,华联控股,5.243041500000004,5.67,房地产
2019-01-24,华联控股,5.243041500000004,5.63,房地产
2019-01-25,华联控股,4.979460600000007,5.705,房地产
2019-01-26,华联控股,4.979460600000007,5.705,房地产
2019-01-29,华联控股,5.243041500000004,5.705,房地产
2019-01-30,华联控股,5.393663400000005,5.565,房地产
2019-01-31,华联控股,5.506625700000003,5.6,房地产
2019-02-01,华联控股,5.9208318000000055,5.52,房地产
2019-02-02,华联控股,5.054769900000006,5.605,房地产
2019-02-12,华联控股,4.565254500000004,5.605,房地产
2019-02-13,华联控股,3.0967182000000086,6.065,房地产
2019-02-14,华联控股,3.0967182000000086,6.15,房地产
2019-02-15,华联控股,2.9837526000000065,6.21,房地产
2019-02-16,华联控股,2.9837526000000065,6.265,房地产
2019-02-19,华联控股,3.1720275000000058,6.265,房地产
2019-02-20,华联控股,2.8331340000000047,6.49,房地产
2019-02-21,华联控股,2.7201684000000057,6.315,房地产
2019-02-22,华联控股,3.4356117000000066,6.19,房地产
2019-02-23,华联控股,3.2473368000000065,6.13,房地产
2019-02-26,华联控股,2.3812749000000046,6.13,房地产
2019-02-27,华联控股,2.3812749000000046,6.44,房地产
2019-02-28,华联控股,2.230656300000007,6.455,房地产
2019-03-01,华联控股,2.004725100000009,6.4849999999999985,房地产
2019-03-02,华联控股,2.3059656000000075,6.42,房地产
2019-03-05,华联控股,1.8917628000000055,6.42,房地产
2019-03-06,华联控股,1.7411409000000084,6.535,房地产
2019-03-07,华联控股,1.3645944000000048,6.565,房地产
2019-03-08,华联控股,1.1763195000000053,6.745,房地产
2019-03-09,华联控股,2.5695498000000043,6.49,房地产
2019-03-12,华联控股,2.5695498000000043,6.49,房地产
2019-03-13,华联控股,1.8164535000000048,6.5299999999999985,房地产
2019-03-14,华联控股,0.6868074000000064,6.83,房地产
2019-03-15,华联控股,1.5905223000000068,6.7650000000000015,房地产
2019-03-16,华联控股,0.0843297000000085,6.805,房地产
2019-03-19,华联控股,-0.6311135999999955,6.805,房地产
2019-03-20,华联控股,-2.0619968999999934,7.325,房地产
2019-03-21,华联控股,-2.5542842999999915,7.595,房地产
2019-03-22,华联控股,-1.9140908999999944,7.565,房地产
2019-03-23,华联控股,-1.951750499999996,7.51,房地产
2019-03-26,华联控股,-1.650483599999994,7.51,房地产
2019-03-27,华联控股,-0.9349709999999938,7.3900000000000015,房地产
2019-03-28,华联控股,-1.085606099999996,7.285,房地产
2019-03-29,华联控股,-0.6713636999999935,7.27,房地产
2019-03-30,华联控股,-1.4998484999999917,7.31,房地产
2019-04-02,华联控股,-1.4998484999999917,7.31,房地产
2019-04-03,华联控股,-2.6296034999999907,7.705,房地产
2019-04-04,华联控股,-3.6087233999999953,7.85,房地产
2019-04-05,华联控股,-3.6087233999999953,8.0,房地产
2019-04-09,华联控股,-3.872330699999996,8.0,房地产
2019-04-10,华联控股,-4.060622099999994,8.075,房地产
2019-04-11,华联控股,-3.721698899999996,8.055,房地产
2019-04-12,华联控股,-3.3074531999999937,7.9700000000000015,房地产
2019-04-13,华联控股,-3.3074531999999937,7.905,房地产
2019-04-16,华联控股,-3.1191617999999903,7.905,房地产
2019-04-17,华联控股,-3.797014799999992,7.899999999999999,房地产
2019-04-18,华联控股,-3.4957478999999907,8.0,房地产
2019-04-19,华联控股,-3.1944776999999935,7.92,房地产
2019-04-20,华联控股,-3.3451127999999954,7.88,房地产
2019-04-23,华联控股,-2.7425789999999917,7.88,房地产
2019-04-24,华联控股,-2.780235299999997,7.79,房地产
2019-04-25,华联控股,-3.3074531999999937,7.82,房地产
2019-04-26,华联控股,-2.4789683999999963,7.79,房地产
2019-04-27,华联控股,-1.6881398999999924,7.595,房地产
2019-04-30,华联控股,-1.8011153999999934,7.595,房地产
