2011-04-26,万方发展,90.1344688111111,4.4325,综合
2018-10-17,新城控股,1.6129268666666654,20.525,房地产
2018-10-18,新城控股,0.8005988666666681,20.525,房地产
2018-10-19,新城控股,0.810627566666664,20.87,房地产
2018-10-20,新城控股,-0.8541465333333349,21.79,房地产
2018-10-23,新城控股,-1.8068763333333349,21.79,房地产
2018-10-24,新城控股,-1.335527433333333,23.01,房地产
2018-10-25,新城控股,-1.5962736333333325,23.185,房地产
2018-10-26,新城控股,-2.348429433333333,23.275,房地产
2018-10-27,新城控股,-2.9000112333333306,24.69,房地产
2018-10-30,新城控股,-3.114920433333332,24.69,房地产
2018-10-31,新城控股,-4.311728133333332,24.435,房地产
2018-11-01,新城控股,-4.322133033333333,24.865,房地产
2018-11-02,新城控股,-6.171390477777778,25.6,房地产
2018-11-03,新城控股,-6.389936277777778,25.295,房地产
2018-11-06,新城控股,-5.8383643777777765,25.295,房地产
2018-11-07,新城控股,-6.129760977777778,24.975,房地产
2018-11-08,新城控股,-5.775921777777776,25.135,房地产
2018-11-09,新城控股,-5.734295577777775,24.995,房地产
2018-11-10,新城控股,-5.619818577777778,24.625,房地产
2018-11-13,新城控股,-6.015283977777778,24.625,房地产
2018-11-14,新城控股,-6.150574077777777,24.795,房地产
2018-11-15,新城控股,-6.618890277777781,25.715,房地产
2018-11-16,新城控股,-6.663120177777781,25.49,房地产
2018-11-17,新城控股,-6.985645677777775,25.655,房地产
2018-11-20,新城控股,-8.26533287777778,25.655,房地产
2018-11-21,新城控股,-7.755538977777778,26.92,房地产
2018-11-22,新城控股,-8.275737777777778,27.07,房地产
2018-11-23,新城控股,-8.379776877777777,27.225,房地产
2018-11-24,新城控股,-7.838771577777774,26.955,房地产
2018-11-27,新城控股,-7.703521077777778,26.955,房地产
2018-11-28,新城控股,-7.911599277777776,26.845,房地产
2018-11-29,新城控股,-8.338163877777777,27.105,房地产
2018-11-30,新城控股,-8.098870977777775,27.49,房地产
2018-12-01,新城控股,-8.442202977777779,27.01,房地产
2018-12-04,新城控股,-7.817961777777778,27.01,房地产
2018-12-05,新城控股,-6.850391877777778,26.07,房地产
2018-12-06,新城控股,-7.2769564777777775,25.94,房地产
2018-12-07,新城控股,-7.027261977777781,26.16,房地产
2018-12-08,新城控股,-7.360189077777778,26.395,房地产
2018-12-11,新城控股,-6.455041977777776,26.395,房地产
2018-12-12,新城控股,-7.443421677777778,25.925,房地产
2018-12-13,新城控股,-7.651499877777778,26.705,房地产
