2011-04-26,万方发展,90.1344688111111,4.4325,综合
2013-05-16,海信家电,0.14680186666667794,7.174533599999999,家用电器
2013-05-17,海信家电,-0.17893453333332587,7.174533599999999,家用电器
2013-05-18,海信家电,-1.7533315333333237,7.335500700000001,家用电器
2013-05-21,海信家电,-2.07906793333332,7.335500700000001,家用电器
2013-05-22,海信家电,-2.404804333333324,7.57465182,家用电器
2013-05-23,海信家电,-1.3190152333333245,7.473472500000001,家用电器
2013-05-24,海信家电,-0.667542433333324,7.37689224,家用电器
2013-05-25,海信家电,-0.9389872333333216,7.2435195000000006,家用电器
2013-05-28,海信家电,-1.9161997333333216,7.2435195000000006,家用电器
2013-05-29,海信家电,-1.8076198333333195,7.50106686,家用电器
2013-05-30,海信家电,-1.3190152333333245,7.41368472,家用电器
2013-05-31,海信家电,-0.667542433333324,7.30330728,家用电器
2013-06-01,海信家电,-0.7761190333333232,7.3125054,家用电器
2013-06-04,海信家电,-1.3733035333333206,7.3125054,家用电器
2013-06-05,海信家电,-1.5904633333333251,7.39528848,家用电器
2013-06-06,海信家电,-3.110568733333324,7.55165652,家用电器
2013-06-07,海信家电,-2.2419361333333256,7.62984054,家用电器
2013-06-08,海信家电,-1.4818834333333228,7.39068942,家用电器
2013-06-14,海信家电,0.4182499666666786,7.39068942,家用电器
2013-06-15,海信家电,0.20109016666667398,7.2389204399999985,家用电器
2013-06-18,海信家电,1.2325909666666774,7.2389204399999985,家用电器
2013-06-19,海信家电,1.1783026666666745,6.89399094,家用电器
2013-06-20,海信家电,0.8525662666666776,6.91238718,家用电器
2013-06-21,海信家电,2.2098034666666777,6.9215853,家用电器
2013-06-22,海信家电,1.9926436666666727,6.65483982,家用电器
2013-06-25,海信家电,3.5127490666666787,6.65483982,家用电器
2013-06-26,海信家电,3.3498808666666733,6.44788212,家用电器
2013-06-27,海信家电,3.458460766666676,6.56745768,家用电器
2013-06-28,海信家电,3.5670406666666783,6.62724546,家用电器
2013-06-29,海信家电,2.8612762666666782,6.6456417000000005,家用电器
2013-07-02,海信家电,2.4269599666666792,6.6456417000000005,家用电器
2013-07-03,海信家电,2.6984080666666728,6.72382572,家用电器
2013-07-04,海信家电,2.1012235666666754,6.7606182,家用电器
2013-07-05,海信家电,0.7439863666666753,6.9261843600000015,家用电器
2013-07-06,海信家电,0.5811181666666769,7.1377411199999985,家用电器
2013-07-09,海信家电,1.7754871666666787,7.1377411199999985,家用电器
2013-07-10,海信家电,1.8840637666666782,6.83420316,家用电器
2013-07-11,海信家电,0.6896947666666762,6.9445806,家用电器
2013-07-12,海信家电,0.09251026666667883,7.12394394,家用电器
2013-07-13,海信家电,-0.6132508333333249,7.2389204399999985,家用电器
2013-07-16,海信家电,-0.7218307333333198,7.2389204399999985,家用电器
2013-07-17,海信家电,-1.5904633333333251,7.317104459999999,家用电器
2013-07-18,海信家电,0.14680186666667794,7.27571292,家用电器
2013-07-19,海信家电,0.4182499666666786,7.13314206,家用电器
2013-07-20,海信家电,1.6669072666666764,6.99517026,家用电器
2013-07-23,海信家电,1.7211955666666725,6.99517026,家用电器
2013-07-24,海信家电,0.8525662666666776,6.97677402,家用电器
2013-07-25,海信家电,0.5811181666666769,7.0365617999999985,家用电器
2013-07-26,海信家电,1.9926436666666727,6.9261843600000015,家用电器
2013-07-27,海信家电,2.3183800666666765,6.76521726,家用电器
2013-07-30,海信家电,3.0241444666666766,6.76521726,家用电器
2013-07-31,海信家电,2.8069879666666746,6.65024076,家用电器
2013-08-01,海信家电,2.3726716666666756,6.76981632,家用电器
2013-08-02,海信家电,1.6669072666666764,6.8250050400000015,家用电器
2013-08-03,海信家电,1.8840637666666782,6.91698624,家用电器
2013-08-06,海信家电,1.2325909666666774,6.91698624,家用电器
2013-08-07,海信家电,0.8525662666666776,6.98137308,家用电器
2013-08-08,海信家电,0.7439863666666753,7.06875522,家用电器
2013-08-09,海信家电,1.015434466666676,7.01816556,家用电器
2013-08-10,海信家电,0.14680186666667794,7.07335428,家用电器
2013-08-13,海信家电,-2.78483233333332,7.07335428,家用电器
2013-08-14,海信家电,-2.621964133333321,7.648236779999999,家用电器
2013-08-15,海信家电,-3.8163331333333232,7.7402179800000015,家用电器
2013-08-16,海信家电,-3.4363051333333203,7.76781234,家用电器
2013-08-17,海信家电,-1.4275951333333268,7.6114443,家用电器
2013-08-20,海信家电,-4.196357833333323,7.6114443,家用电器
2013-08-21,海信家电,-4.902122233333323,7.99316628,家用电器
2013-08-22,海信家电,-4.087777933333321,7.89198696,家用电器
2013-08-23,海信家电,-3.4363051333333203,7.7264208,家用电器
2013-08-24,海信家电,-2.6762524333333246,7.616043360000001,家用电器
2013-08-27,海信家电,-3.8706214333333193,7.616043360000001,家用电器
2013-08-28,海信家电,-3.4905934333333235,7.76321328,家用电器
2013-08-29,海信家电,6.21896026666667,7.75401516,家用电器
2013-08-30,海信家电,6.21896026666667,7.75401516,家用电器
2013-08-31,海信家电,6.21896026666667,7.75401516,家用电器
2013-09-03,海信家电,12.484960266666667,7.75401516,家用电器
2013-09-04,海信家电,12.484960266666667,7.75401516,家用电器
2013-09-05,海信家电,12.484960266666667,7.75401516,家用电器
2013-09-06,海信家电,12.484960266666667,7.75401516,家用电器
2013-09-07,海信家电,12.484960266666667,7.75401516,家用电器
2013-09-10,海信家电,12.185561166666671,7.75401516,家用电器
2013-09-11,海信家电,11.201811366666675,7.87818978,家用电器
2013-09-12,海信家电,11.201811366666675,8.020760639999999,家用电器
2013-09-13,海信家电,11.415671166666675,8.0023644,家用电器
2013-09-14,海信家电,10.08975096666667,8.17712868,家用电器
2013-09-17,海信家电,10.474695966666673,8.17712868,家用电器
2013-09-18,海信家电,11.501213766666671,8.09894466,家用电器
2013-09-19,海信家电,11.116268766666673,7.95177474,家用电器
2013-09-24,海信家电,10.08975096666667,7.95177474,家用电器
2013-09-25,海信家电,10.474695966666673,8.278307999999999,家用电器
2013-09-26,海信家电,10.560238566666676,8.16793056,家用电器
2013-09-27,海信家电,11.928930066666672,8.04375594,家用电器
2013-09-28,海信家电,12.955451166666675,7.77701046,家用电器
2013-10-01,海信家电,12.100018566666675,7.77701046,家用电器
2013-10-09,海信家电,11.629527666666675,7.76781234,家用电器
2013-10-10,海信家电,11.800616166666671,7.92877944,家用电器
2013-10-11,海信家电,10.603009866666676,8.08054842,家用电器
2013-10-12,海信家电,10.731323766666677,8.12653902,家用电器
2013-10-15,海信家电,8.721059466666674,8.12653902,家用电器
2013-10-16,海信家电,7.0957368666666785,8.75661024,家用电器
2013-10-17,海信家电,7.566224466666674,8.7612093,家用电器
2013-10-18,海信家电,8.293343166666673,8.74741212,家用电器
2013-10-19,海信家电,8.50719966666668,8.69682246,家用电器
2013-10-22,海信家电,6.1119903666666735,8.69682246,家用电器
2013-10-23,海信家电,6.796334466666679,9.07854444,家用电器
2013-10-24,海信家电,8.635513566666674,8.80260084,家用电器
2013-10-25,海信家电,8.336114466666674,8.614039380000001,家用电器
2013-10-26,海信家电,9.020458566666667,8.59104408,家用电器
2013-10-29,海信家电,6.796334466666679,8.59104408,家用电器
2013-10-30,海信家电,6.625249266666671,8.866987680000003,家用电器
2013-10-31,海信家电,13.714424766666674,9.29470026,家用电器
2013-11-01,海信家电,14.676117366666675,9.1751247,家用电器
2013-11-02,海信家电,13.197448322222213,9.234912479999998,家用电器
2013-11-05,海信家电,13.403526722222226,9.234912479999998,家用电器
2013-11-06,海信家电,12.85398762222222,9.280903080000002,家用电器
2013-11-07,海信家电,13.815680222222221,9.3130965,家用电器
2013-11-08,海信家电,14.193487322222216,9.16132752,家用电器
2013-11-09,海信家电,15.086490422222221,8.917577340000003,家用电器
2013-11-12,海信家电,15.63602622222222,8.917577340000003,家用电器
2013-11-13,海信家电,15.326911922222227,8.765808360000001,家用电器
2013-11-14,海信家电,16.082529422222226,8.67842622,家用电器
2013-11-15,海信家电,16.082529422222226,8.4852657,家用电器
2013-11-16,海信家电,14.77737282222222,8.81179896,家用电器
2013-11-19,海信家电,14.571297722222221,8.81179896,家用电器
2013-11-20,海信家电,15.326911922222227,8.871586740000003,家用电器
2013-11-21,海信家电,14.674333622222221,8.834794259999997,家用电器
2013-11-22,海信家电,15.464297522222227,8.82559614,家用电器
2013-11-23,海信家电,15.395604722222226,8.84399238,家用电器
2013-11-26,海信家电,13.88437302222222,8.84399238,家用电器
2013-11-27,海信家电,13.437873122222221,9.39587958,家用电器
