2011-04-26,股票具体名称,价格,指标,ROE,roe,PE,pe,板块
2012-06-15,交通银行,3.31281482,0.03511063333332842,ROE,17.07439333333333,PE,5.163419,银行
2012-07-05,交通银行,3.31281482,-0.19463206666666721,ROE,17.07439333333333,PE,5.233038,银行
2012-07-25,交通银行,3.309138,1.1455375333333286,ROE,17.07439333333333,PE,4.826926,银行
2012-08-04,交通银行,3.0664678800000003,0.07340053333333074,ROE,17.07439333333333,PE,5.151816,银行
2012-08-14,交通银行,3.26869298,-0.04146916666666911,ROE,17.07439333333333,PE,5.186625,银行
2012-08-24,交通银行,3.2944307200000003,-1.4697124666666674,ROE,17.07439333333333,PE,5.619426,银行
2012-09-13,交通银行,3.21354068,-1.8296572666666648,ROE,16.784593333333333,PE,5.640682,银行
2012-10-13,交通银行,3.1032360800000003,-2.3160145666666665,ROE,16.784593333333333,PE,5.788063,银行
2012-10-23,交通银行,3.18412612,-2.6255149666666675,ROE,16.784593333333333,PE,5.881851,银行
2012-11-02,交通银行,3.20986386,-2.701202166666665,ROE,15.711593333333333,PE,5.579635,银行
2012-11-22,交通银行,3.1657420199999997,-2.4424755666666655,ROE,15.711593333333333,PE,5.501233,银行
2012-12-12,交通银行,3.08117516,-3.3911430666666647,ROE,15.711593333333333,PE,5.788708,银行
2012-12-22,交通银行,3.26869298,-4.0810839666666645,ROE,15.711593333333333,PE,5.997781,银行
2013-01-01,交通银行,3.39002804,-5.590332366666669,ROE,15.711593333333333,PE,6.455129,银行
2013-01-11,交通银行,3.61431406,-5.417844666666667,ROE,15.711593333333333,PE,6.40286,银行
2013-01-31,交通银行,3.58857632,-7.099577466666666,ROE,15.711593333333333,PE,6.912476,银行
2013-02-20,交通银行,3.94522786,-6.7977264666666635,ROE,15.711593333333333,PE,6.821006,银行
2013-03-02,交通银行,3.80183188,-5.762816766666667,ROE,15.711593333333333,PE,6.507397,银行
2013-03-12,交通银行,3.66946636,-4.7279037666666675,ROE,15.711593333333333,PE,6.193787,银行
2013-03-22,交通银行,3.48930218,-5.245360266666665,ROE,15.711593333333333,PE,6.350592,银行
2013-04-11,交通银行,3.57019222,-3.894439266666666,ROE,15.711593333333333,PE,5.941222,银行
2013-05-11,交通银行,3.44518034,-4.349210999999999,ROE,14.946120000000002,PE,5.84707,银行
2013-05-21,交通银行,3.47827172,-4.5120428999999955,ROE,14.946120000000002,PE,5.896413,银行
2013-05-31,交通银行,3.50400946,-4.349210999999999,ROE,14.946120000000002,PE,5.84707,银行
2013-06-20,交通银行,3.48194854,-3.046572299999996,ROE,14.946120000000002,PE,5.452331,银行
2013-07-10,交通银行,3.2025102199999997,-1.581104999999999,ROE,14.946120000000002,PE,5.00825,银行
2013-07-20,交通银行,2.9966083,-0.6855410999999982,ROE,14.946120000000002,PE,4.736867,银行
2013-07-30,交通银行,3.0271693749999997,-0.07492889999999797,ROE,14.946120000000002,PE,4.551833,银行
2013-08-09,交通银行,2.9217067,-0.7262498999999956,ROE,14.946120000000002,PE,4.749203,银行
2013-08-29,交通银行,3.00763925,-0.5602037999999965,ROE,14.946120000000002,PE,4.698886,银行
2013-09-18,交通银行,3.074041675,-2.538173466666663,ROE,14.862053333333336,PE,5.272796,银行
2013-09-28,交通银行,3.437302,-1.788502566666665,ROE,14.862053333333336,PE,5.045623,银行
2013-10-18,交通银行,3.2849670250000003,-1.6701348666666647,ROE,14.862053333333336,PE,5.009754,银行
2013-11-07,交通银行,3.2888730500000003,-1.88359833333333,ROE,14.370386666666667,PE,4.92545,银行
2013-11-27,交通银行,3.24200075,-1.726934133333332,ROE,14.370386666666667,PE,4.877976,银行
2013-12-07,交通银行,3.2107525499999996,-2.1577623333333324,ROE,14.370386666666667,PE,5.00853,银行
2013-12-17,交通银行,3.2966851000000004,-1.5702666333333326,ROE,14.370386666666667,PE,4.830501,银行
2013-12-27,交通银行,3.1990344750000004,-0.7086102333333315,ROE,14.370386666666667,PE,4.569393,银行
2014-01-16,交通银行,3.03888745,-0.3561141333333335,ROE,14.370386666666667,PE,4.462576,银行
2014-02-15,交通银行,2.9334247749999998,-0.9044421333333332,ROE,14.370386666666667,PE,4.628736,银行
2014-02-25,交通银行,3.05451155,-0.4736139333333327,ROE,14.370386666666667,PE,4.498182,银行
2014-03-07,交通银行,2.96076695,-0.2386143333333326,ROE,14.370386666666667,PE,4.42697,银行
2014-03-27,交通银行,2.9138946499999996,-0.43444623333333254,ROE,14.370386666666667,PE,4.486313,银行
2014-04-16,交通银行,2.956860925,-0.5393796333333327,ROE,14.370386666666667,PE,4.518111,银行
2014-04-26,交通银行,2.964672975,-0.30334053333333166,ROE,14.370386666666667,PE,4.446584,银行
2014-05-06,交通银行,2.9256127249999997,-0.8296877333333317,ROE,13.538406666666667,PE,4.353968,银行
2014-05-16,交通银行,2.8982705500000003,-1.0620539333333312,ROE,13.538406666666667,PE,4.424382,银行
2014-06-05,交通银行,2.941236825,-1.1782370333333336,ROE,13.538406666666667,PE,4.459589,银行
2014-06-25,交通银行,2.97639105,-1.449335333333332,ROE,13.538406666666667,PE,4.54174,银行
2014-07-05,交通银行,3.011545275,-1.6817015333333334,ROE,13.538406666666667,PE,4.612154,银行
2014-07-15,交通银行,3.066229625,-0.6747758333333334,ROE,13.538406666666667,PE,4.307025,银行
2014-07-25,交通银行,3.075993375,-1.2556946333333325,ROE,13.538406666666667,PE,4.483061,银行
2014-08-14,交通银行,3.20572915,-3.1533662333333297,ROE,13.538406666666667,PE,5.058113,银行
2014-09-03,交通银行,3.6074915499999998,-3.1552030333333345,ROE,13.439206666666665,PE,5.028609,银行
