2011-04-26,万方发展,90.1344688111111,4.4325,综合
2012-06-13,交通银行,0.035110633333328416,3.28340026,银行
2012-06-14,交通银行,-0.04146916666666911,3.28340026,银行
2012-06-15,交通银行,0.035110633333328416,3.27604662,银行
2012-06-16,交通银行,-0.2712118666666683,3.31281482,银行
2012-06-19,交通银行,-0.1946320666666672,3.31281482,银行
2012-06-20,交通银行,-0.23292196666666956,3.32384528,银行
2012-06-21,交通银行,-0.2712118666666683,3.33855256,银行
2012-06-22,交通银行,-0.1946320666666672,3.31649164,银行
2012-06-26,交通银行,-0.1946320666666672,3.31649164,银行
2012-06-27,交通银行,-0.2712118666666683,3.33487574,银行
2012-06-28,交通银行,-0.15634216666666845,3.32384528,银行
2012-06-29,交通银行,-0.15634216666666845,3.309138,银行
2012-06-30,交通银行,-0.3095050666666701,3.32016846,银行
2012-07-03,交通银行,-0.15634216666666845,3.32016846,银行
2012-07-04,交通银行,-0.15634216666666845,3.31281482,银行
2012-07-05,交通银行,-0.1946320666666672,3.32016846,银行
2012-07-06,交通银行,-0.15634216666666845,3.309138,银行
2012-07-07,交通银行,-0.07975906666667143,3.28707708,银行
2012-07-10,交通银行,0.3797263333333305,3.28707708,银行
2012-07-11,交通银行,0.3797263333333305,3.22457114,银行
2012-07-12,交通银行,0.3414364333333317,3.2172175,银行
2012-07-13,交通银行,0.4945960333333304,3.19515658,银行
2012-07-14,交通银行,0.4180162333333328,3.19147976,银行
2012-07-17,交通银行,0.4945960333333304,3.19147976,银行
2012-07-18,交通银行,0.4563061333333316,3.19515658,银行
2012-07-19,交通银行,0.5328892333333286,3.18412612,银行
2012-07-20,交通银行,0.4945960333333304,3.19515658,银行
2012-07-21,交通银行,0.6477589333333285,3.16941884,银行
2012-07-24,交通银行,0.9540847333333318,3.16941884,银行
2012-07-25,交通银行,1.1455375333333286,3.07749834,银行
2012-07-26,交通银行,1.1838274333333292,3.0664678800000003,银行
2012-07-27,交通银行,1.0689544333333316,3.07382152,银行
2012-07-28,交通银行,0.91579153333333,3.1032360800000003,银行
2012-07-31,交通银行,0.6094690333333297,3.1032360800000003,银行
2012-08-01,交通银行,0.30314323333332993,3.19147976,银行
2012-08-02,交通银行,0.4180162333333328,3.20986386,银行
2012-08-03,交通银行,0.111693733333329,3.24663206,银行
2012-08-04,交通银行,0.07340053333333074,3.26869298,银行
2012-08-07,交通银行,0.2648533333333312,3.26869298,银行
2012-08-08,交通银行,0.3797263333333305,3.22089432,银行
2012-08-09,交通银行,0.2265634333333324,3.22824796,银行
2012-08-10,交通银行,0.18827353333333008,3.23927842,银行
2012-08-11,交通银行,0.07340053333333074,3.26133934,银行
2012-08-14,交通银行,-0.04146916666666911,3.26133934,银行
2012-08-15,交通银行,-0.07975906666667143,3.2944307200000003,银行
2012-08-16,交通银行,0.1499836333333313,3.27604662,银行
2012-08-17,交通银行,0.111693733333329,3.26133934,银行
2012-08-18,交通银行,0.1499836333333313,3.2539857000000003,银行
2012-08-21,交通银行,0.30314323333332993,3.2539857000000003,银行
2012-08-22,交通银行,0.4563061333333316,3.20618704,银行
2012-08-23,交通银行,0.3414364333333317,3.19147976,银行
2012-08-24,交通银行,-1.4697124666666674,3.21354068,银行
2012-08-25,交通银行,-2.9592070666666714,3.21354068,银行
2012-08-28,交通银行,-3.005156266666667,3.21354068,银行
2012-08-29,交通银行,-3.143000566666672,3.22824796,银行
2012-08-30,交通银行,-2.913257866666669,3.2172175000000003,银行
2012-08-31,交通银行,-3.0970546666666685,3.19515658,银行
2012-09-01,交通银行,-2.0262145666666704,3.19147976,银行
2012-09-04,交通银行,-2.139157666666666,3.19147976,银行
2012-09-05,交通银行,-1.8296572666666648,3.11058972,银行
2012-09-06,交通银行,-1.7412271666666648,3.0885288,银行
2012-09-07,交通银行,-1.7412271666666648,3.08117516,银行
2012-09-08,交通银行,-2.3602279666666632,3.15838838,银行
2012-09-11,交通银行,-2.227587766666666,3.15838838,银行
2012-09-12,交通银行,-2.0949442666666656,3.1436811,银行
2012-09-13,交通银行,-1.8296572666666648,3.125297,银行
2012-09-14,交通银行,-1.8296572666666648,3.1032360800000003,银行
2012-09-15,交通银行,-1.9180873666666651,3.11794336,银行
2012-09-18,交通银行,-1.8296572666666648,3.11794336,银行
2012-09-19,交通银行,-1.6970137666666645,3.07749834,银行
2012-09-20,交通银行,-1.6970137666666645,3.07382152,银行
2012-09-21,交通银行,-1.4759434666666669,3.05543742,银行
2012-09-22,交通银行,-1.4317267666666638,3.04073014,银行
2012-09-25,交通银行,-1.4759434666666669,3.04073014,银行
2012-09-26,交通银行,-1.299083266666667,3.01131558,银行
2012-09-27,交通银行,-1.299083266666667,3.00763876,银行
2012-09-28,交通银行,-1.9180873666666651,3.0627910600000003,银行
2012-09-29,交通银行,-2.050727566666666,3.1069129,银行
2012-10-09,交通银行,-1.873870666666669,3.1069129,银行
2012-10-10,交通银行,-2.2718011666666658,3.14735792,银行
2012-10-11,交通银行,-2.227587766666666,3.16574202,银行
2012-10-12,交通银行,-2.227587766666666,3.1436811,银行
2012-10-13,交通银行,-2.3160145666666665,3.18412612,银行
2012-10-16,交通银行,-2.2718011666666658,3.18412612,银行
2012-10-17,交通银行,-2.2718011666666658,3.16574202,银行
2012-10-18,交通银行,-2.3602279666666632,3.1804493,银行
2012-10-19,交通银行,-2.448658066666667,3.19515658,银行
2012-10-20,交通银行,-2.4928714666666667,3.20251022,银行
2012-10-23,交通银行,-2.6255149666666675,3.20251022,银行
2012-10-24,交通银行,-2.448658066666667,3.20986386,银行
2012-10-25,交通银行,-2.537088166666667,3.1988334,银行
2012-10-26,交通银行,-2.537088166666667,3.20251022,银行
2012-10-27,交通银行,-2.0949442666666656,3.1767724800000003,银行
2012-10-30,交通银行,-1.8296572666666648,3.1767724800000003,银行
2012-10-31,交通银行,-1.9180873666666651,3.0995592600000004,银行
2012-11-01,交通银行,-1.4125966666666656,3.1032360800000003,银行
2012-11-02,交通银行,-2.7012021666666652,3.13632746,银行
2012-11-03,交通银行,-2.959932066666667,3.16574202,银行
2012-11-06,交通银行,-3.046174266666668,3.16574202,银行
2012-11-07,交通银行,-3.003053166666663,3.17677248,银行
2012-11-08,交通银行,-2.959932066666667,3.1804493,银行
2012-11-09,交通银行,-2.7012021666666652,3.14735792,银行
2012-11-10,交通银行,-2.658081066666668,3.12897382,银行
2012-11-13,交通银行,-2.7012021666666652,3.12897382,银行
2012-11-14,交通银行,-2.485596666666666,3.11794336,银行
2012-11-15,交通银行,-2.485596666666666,3.09955926,银行
2012-11-16,交通银行,-2.313112266666664,3.08485198,银行
2012-11-17,交通银行,-2.2699911666666672,3.0664678800000003,银行
2012-11-20,交通银行,-2.313112266666664,3.0664678800000003,银行
2012-11-21,交通银行,-2.2268700666666668,3.0664678800000003,银行
2012-11-22,交通银行,-2.442475566666665,3.08117516,银行
2012-11-23,交通银行,-2.399354466666665,3.08117516,银行
2012-11-24,交通银行,-2.485596666666666,3.09588244,银行
2012-11-27,交通银行,-2.2699911666666672,3.09588244,银行
2012-11-28,交通银行,-2.313112266666664,3.07382152,银行
2012-11-29,交通银行,-2.442475566666665,3.08485198,银行
2012-11-30,交通银行,-2.5287177666666665,3.1069129,银行
2012-12-01,交通银行,-2.5287177666666665,3.11794336,银行
2012-12-04,交通银行,-2.442475566666665,3.11794336,银行
2012-12-05,交通银行,-2.485596666666666,3.11058972,银行
2012-12-06,交通银行,-3.003053166666663,3.1620652000000002,银行
2012-12-07,交通银行,-3.1755375666666663,3.20618704,银行
2012-12-08,交通银行,-3.477388566666665,3.24295524,银行
2012-12-11,交通银行,-3.6067518666666665,3.24295524,银行
2012-12-12,交通银行,-3.3911430666666647,3.2723698,银行
2012-12-13,交通银行,-3.434267466666668,3.26869298,银行
2012-12-14,交通银行,-3.1324164666666654,3.23192478,银行
2012-12-15,交通银行,-4.167329466666665,3.30546118,银行
2012-12-18,交通银行,-4.167329466666665,3.30546118,银行
2012-12-19,交通银行,-4.426056066666668,3.41576578,银行
2012-12-20,交通银行,-4.339813866666663,3.44885716,银行
2012-12-21,交通银行,-4.210450566666665,3.39738168,银行
