2011-04-26,股票具体名称,价格,指标,ROE,roe,PE,pe,板块
2013-06-20,海信家电,6.9215853,0.8525662666666776,ROE,42.275446666666674,PE,12.552388,家用电器
2013-07-10,海信家电,6.9215853,1.884063766666678,ROE,42.275446666666674,PE,12.239813,家用电器
2013-07-20,海信家电,6.9445806,1.6669072666666764,ROE,42.275446666666674,PE,12.305618,家用电器
2013-07-30,海信家电,6.99517026,3.0241444666666766,ROE,42.275446666666674,PE,11.894334,家用电器
2013-08-09,海信家电,6.65024076,1.015434466666676,ROE,42.275446666666674,PE,12.503034,家用电器
2013-08-29,海信家电,7.07335428,6.21896026666667,ROE,42.275446666666674,PE,10.926208,家用电器
2013-09-18,海信家电,7.75401516,11.501213766666673,ROE,48.54144666666667,PE,11.224313,家用电器
2013-09-28,海信家电,7.95177474,12.955451166666677,ROE,48.54144666666667,PE,10.783635,家用电器
2013-10-18,海信家电,7.77701046,8.293343166666673,ROE,48.54144666666667,PE,12.196395,家用电器
2013-11-07,海信家电,8.69682246,13.81568022222222,ROE,48.19620222222222,PE,10.41834,家用电器
2013-11-27,海信家电,9.16132752,13.437873122222221,ROE,48.19620222222222,PE,10.532827,家用电器
2013-12-07,海信家电,9.31769556,9.419370722222219,ROE,48.19620222222222,PE,11.750555,家用电器
2013-12-17,海信家电,10.4168709,5.744329022222217,ROE,48.19620222222222,PE,12.864204,家用电器
2013-12-27,海信家电,10.872177839999999,9.316331522222221,ROE,48.19620222222222,PE,11.781779,家用电器
2014-01-16,海信家电,10.51805022,11.720563022222223,ROE,48.19620222222222,PE,11.053224,家用电器
2014-02-15,海信家电,9.658026,9.075906722222221,ROE,48.19620222222222,PE,11.854635,家用电器
2014-02-25,海信家电,10.50425304,11.067988022222224,ROE,48.19620222222222,PE,11.250974,家用电器
2014-03-07,海信家电,9.658026,13.163101922222218,ROE,48.19620222222222,PE,10.616091,家用电器
2014-03-27,海信家电,9.29929932,14.84606562222222,ROE,48.19620222222222,PE,10.106102,家用电器
2014-04-16,海信家电,8.89458204,13.935150122222218,ROE,48.19620222222222,PE,10.382137,家用电器
2014-04-26,海信家电,8.81179896,18.679091522222222,ROE,48.19620222222222,PE,8.944579,家用电器
2014-05-06,海信家电,7.64363772,7.99887093333334,ROE,38.457633333333334,PE,9.229928,家用电器
2014-05-16,海信家电,7.74021798,9.085389333333335,ROE,38.457633333333334,PE,8.90068,家用电器
2014-06-05,海信家电,7.418283779999999,5.6824755333333385,ROE,38.457633333333334,PE,9.931866,家用电器
2014-06-25,海信家电,8.3013033,8.18966703333334,ROE,38.457633333333334,PE,9.172111,家用电器
2014-07-05,海信家电,7.66663302,6.699885333333338,ROE,38.457633333333334,PE,9.62356,家用电器
2014-07-15,海信家电,8.01156252,6.518207133333338,ROE,38.457633333333334,PE,9.678614,家用电器
2014-07-25,海信家电,8.0253597,7.3175991333333315,ROE,38.457633333333334,PE,9.436374,家用电器
2014-08-14,海信家电,7.8643926,6.118507833333332,ROE,38.457633333333334,PE,9.799735,家用电器
2014-09-03,海信家电,8.17712868,5.877974833333326,ROE,41.13103333333333,PE,10.682745,家用电器
2014-09-13,海信家电,8.24151552,5.446146733333329,ROE,41.13103333333333,PE,10.813602,家用电器
2014-09-23,海信家电,8.58184596,4.818028033333334,ROE,41.13103333333333,PE,11.003941,家用电器
2014-10-23,海信家电,8.4392751,6.309806233333326,ROE,41.13103333333333,PE,10.551887,家用电器
2014-11-12,海信家电,8.04375594,-9.504919522222224,ROE,38.02887777777777,PE,14.404181,家用电器
2014-11-22,海信家电,7.7954067,-10.349712922222224,ROE,38.02887777777777,PE,14.660179,家用电器
2014-12-02,海信家电,7.818402,-11.250827422222223,ROE,38.02887777777777,PE,14.933244,家用电器
2014-12-12,海信家电,8.03915688,-12.489861922222225,ROE,38.02887777777777,PE,15.308709,家用电器
2015-01-01,海信家电,8.24611458,-8.998042822222224,ROE,38.02887777777777,PE,14.250582,家用电器
2015-01-21,海信家电,7.65283584,-12.546179722222227,ROE,38.02887777777777,PE,15.325775,家用电器
2015-01-31,海信家电,8.26451082,-14.911606522222222,ROE,38.02887777777777,PE,16.042571,家用电器
2015-02-10,海信家电,8.49906288,-13.053059722222223,ROE,38.02887777777777,PE,15.479375,家用电器
2015-03-12,海信家电,8.379487319999999,-15.92535992222222,ROE,38.02887777777777,PE,16.349769,家用电器
2015-04-01,海信家电,9.19812,-33.63530162222222,ROE,38.02887777777777,PE,21.716418,家用电器
2015-04-11,海信家电,9.9569649,-35.90189012222222,ROE,38.02887777777777,PE,22.403263,家用电器
2015-04-21,海信家电,10.0719414,-32.43534572222223,ROE,38.02887777777777,PE,21.352795,家用电器
2015-05-01,海信家电,9.933969600000001,-36.606694222222224,ROE,38.02887777777777,PE,22.61684,家用电器
2015-05-21,海信家电,10.35708312,-55.69674876666667,ROE,25.82723333333333,PE,24.704237,家用电器
2015-06-10,海信家电,11.24010264,-68.06913186666668,ROE,25.82723333333333,PE,28.453444,家用电器
2015-06-20,海信家电,12.82217928,-61.11620016666667,ROE,25.82723333333333,PE,26.346495,家用电器
2015-06-30,海信家电,12.48184884,-48.97363896666667,ROE,25.82723333333333,PE,22.666931,家用电器
2015-07-10,海信家电,10.24210662,-46.22311206666667,ROE,25.82723333333333,PE,21.833438,家用电器
2015-07-30,海信家电,10.389276540000001,-45.14973756666667,ROE,25.82723333333333,PE,21.508173,家用电器
2015-08-19,海信家电,9.51085608,-43.606759866666664,ROE,25.82723333333333,PE,21.040604,家用电器
2015-08-29,海信家电,9.1521294,-40.54857066666668,ROE,25.82723333333333,PE,20.11388,家用电器
2015-09-08,海信家电,7.5654537,-39.56718383333333,ROE,26.492166666666662,PE,20.017985,家用电器
2015-09-18,海信家电,7.6114443000000005,-31.89322523333334,ROE,26.492166666666662,PE,17.692543,家用电器
2015-10-28,海信家电,6.8296041,-42.09879863333333,ROE,26.492166666666662,PE,20.785141,家用电器
2015-11-07,海信家电,7.818402,-74.84731611111111,ROE,22.944388888888884,PE,29.63385,家用电器
