2011-04-26,股票具体名称,价格,指标,ROE,roe,PE,pe,板块
2018-09-12,荣晟环保,16.50741232,0.8773139333333297,ROE,29.31215333333333,PE,8.616618,轻工制造
2018-09-22,荣晟环保,16.50741232,-2.369872866666668,ROE,29.31215333333333,PE,9.600614,轻工制造
2018-10-12,荣晟环保,17.57413504,1.9480088333333292,ROE,29.31215333333333,PE,8.292165,轻工制造
2018-11-01,荣晟环保,14.87566752,-5.403087666666668,ROE,29.31215333333333,PE,10.51977,轻工制造
2018-11-21,荣晟环保,14.87079664,-12.72580302222222,ROE,27.40079777777778,PE,12.159576,轻工制造
2018-12-01,荣晟环保,16.87272832,-8.75900172222222,ROE,27.40079777777778,PE,10.957515,轻工制造
2018-12-11,荣晟环保,15.177662080000001,-9.401026622222222,ROE,27.40079777777778,PE,11.152068,轻工制造
2018-12-21,荣晟环保,15.708588,-7.809142922222218,ROE,27.40079777777778,PE,10.669679,轻工制造
2019-01-10,荣晟环保,15.01205216,-7.56055062222222,ROE,27.40079777777778,PE,10.594348,轻工制造
2019-01-30,荣晟环保,15.026664799999999,-8.509726322222217,ROE,27.40079777777778,PE,10.881977,轻工制造
2019-02-19,荣晟环保,15.771909439999998,-17.48170692222222,ROE,27.40079777777778,PE,13.600759,轻工制造
2019-03-01,荣晟环保,22.094311679999997,-18.001496522222222,ROE,27.40079777777778,PE,13.758271,轻工制造
2019-03-21,荣晟环保,19.512745279999997,-18.65687982222222,ROE,27.40079777777778,PE,13.956872,轻工制造
2019-04-10,荣晟环保,20.145959679999997,-31.977303422222217,ROE,27.40079777777778,PE,17.993364,轻工制造
2019-04-20,荣晟环保,20.23363552,-28.290797522222217,ROE,27.40079777777778,PE,16.876241,轻工制造
2019-04-30,荣晟环保,19.239976,-20.934579422222217,ROE,27.40079777777778,PE,14.647084,轻工制造
