2011-04-26,股票具体名称,价格,指标,ROE,roe,PE,pe,板块
2013-07-30,农业银行,1.87967862,0.12464543333333822,ROE,17.717813333333336,PE,5.331263,银行
2013-08-09,农业银行,1.87967862,0.05254043333333769,ROE,17.717813333333336,PE,5.353113,银行
2013-08-29,农业银行,1.87203765,0.05254043333333769,ROE,17.717813333333336,PE,5.353113,银行
2013-09-18,农业银行,1.875858135,0.20645000000000024,ROE,17.62088,PE,5.2771,银行
2013-09-28,农业银行,1.94844735,0.6162011000000014,ROE,17.62088,PE,5.152933,银行
2013-10-18,农业银行,1.90260153,0.6162011000000014,ROE,17.62088,PE,5.152933,银行
2013-11-07,农业银行,1.906422015,0.763877133333331,ROE,17.40021333333333,PE,5.041314,银行
2013-11-27,农业银行,1.94080638,0.36933903333332907,ROE,17.40021333333333,PE,5.160871,银行
2013-12-07,农业银行,1.982831715,0.0405600333333318,ROE,17.40021333333333,PE,5.260501,银行
2013-12-17,农业银行,2.005754625,0.763877133333331,ROE,17.40021333333333,PE,5.041314,银行
2013-12-27,农业银行,1.929344925,1.3556826333333305,ROE,17.40021333333333,PE,4.861979,银行
2014-01-16,农业银行,1.875858135,1.684464933333329,ROE,17.40021333333333,PE,4.762348,银行
2014-02-15,农业银行,1.81855086,1.5529533333333312,ROE,17.40021333333333,PE,4.8022,银行
2014-02-25,农业银行,1.8338328,1.9474914333333313,ROE,17.40021333333333,PE,4.682643,银行
2014-03-07,农业银行,1.791807465,2.1447588333333307,ROE,17.40021333333333,PE,4.622865,银行
2014-03-27,农业银行,1.78034601,1.9333608333333316,ROE,17.40021333333333,PE,4.686925,银行
2014-04-16,农业银行,1.837653285,1.740027033333332,ROE,17.40021333333333,PE,4.745511,银行
2014-04-26,农业银行,1.8605761950000002,1.8689151333333314,ROE,17.40021333333333,PE,4.706454,银行
2014-05-06,农业银行,1.845294255,3.042631666666665,ROE,17.872666666666664,PE,4.49395,银行
2014-05-16,农业银行,1.82619183,2.732378866666666,ROE,17.872666666666664,PE,4.587966,银行
2014-06-05,农业银行,1.868217165,2.484179266666663,ROE,17.872666666666664,PE,4.663178,银行
2014-06-25,农业银行,1.914062985,2.360079466666665,ROE,17.872666666666664,PE,4.700784,银行
2014-07-05,农业银行,1.9140629850000002,3.228784666666664,ROE,17.872666666666664,PE,4.43754,银行
2014-07-15,农业银行,1.94198264,3.228784666666664,ROE,17.872666666666664,PE,4.43754,银行
2014-07-25,农业银行,1.94609701,2.980581766666665,ROE,17.872666666666664,PE,4.512753,银行
2014-08-14,农业银行,1.9995838200000002,2.2980262666666658,ROE,17.872666666666664,PE,4.719588,银行
2014-09-03,农业银行,2.0612993700000004,2.7716333666666664,ROE,17.645066666666665,PE,4.507101,银行
2014-09-13,农业银行,2.0489562599999998,2.470551266666666,ROE,17.645066666666665,PE,4.598338,银行
2014-09-23,农业银行,2.04484189,2.5909847666666668,ROE,17.645066666666665,PE,4.561843,银行
2014-10-23,农业银行,2.02427004,2.7716333666666664,ROE,17.645066666666665,PE,4.507101,银行
2014-11-12,农业银行,2.02427004,1.2927355222222232,ROE,17.242622222222224,PE,4.833299,银行
2014-11-22,农业银行,2.16827299,2.004255122222224,ROE,17.242622222222224,PE,4.617687,银行
2014-12-02,农业银行,2.0983287,0.5219215222222253,ROE,17.242622222222224,PE,5.066879,银行
2014-12-12,农业银行,2.38222023,-0.8418232777777739,ROE,17.242622222222224,PE,5.480135,银行
2015-01-01,农业银行,2.5221088099999998,-4.755177777777778,ROE,17.242622222222224,PE,6.666,银行
2015-01-21,农业银行,2.99114699,-3.9250726777777736,ROE,17.242622222222224,PE,6.414453,银行
2015-01-31,农业银行,3.03229069,-3.2728474777777734,ROE,17.242622222222224,PE,6.216809,银行
2015-02-10,农业银行,2.880059,-1.9091026777777742,ROE,17.242622222222224,PE,5.803553,银行
2015-03-12,农业银行,2.6702261299999996,-1.8498082777777753,ROE,17.242622222222224,PE,5.785585,银行
2015-04-01,农业银行,2.7154842,-4.676245077777775,ROE,17.242622222222224,PE,6.642081,银行
2015-04-11,农业银行,3.02406195,-5.512385877777778,ROE,17.242622222222224,PE,6.895457,银行
2015-04-21,农业银行,3.1104637200000003,-6.348526677777773,ROE,17.242622222222224,PE,7.148833,银行
2015-05-01,农业银行,3.2544666700000002,-6.318189777777775,ROE,17.242622222222224,PE,7.13964,银行
2015-05-21,农业银行,3.2873816299999996,-5.9738117999999965,ROE,15.980580000000003,PE,6.652846,银行
