2011-04-26,股票具体名称,价格,指标,ROE,roe,PE,pe,板块
2010-07-06,四川双马,7.95298738,1.5587214666666682,ROE,38.40006666666667,PE,11.164044,建筑材料
2010-07-16,四川双马,7.95298738,1.8806793666666692,ROE,38.40006666666667,PE,11.066481,建筑材料
2010-08-05,四川双马,7.85431508,-6.030321533333328,ROE,38.40006666666667,PE,13.463754,建筑材料
2010-08-25,四川双马,9.73895601,-11.319653933333328,ROE,38.40006666666667,PE,15.066582,建筑材料
2010-09-04,四川双马,10.745413469999999,-22.538324999999993,ROE,35.13,PE,17.47525,建筑材料
2010-09-14,四川双马,10.582604175,-23.067879299999994,ROE,35.13,PE,17.635721,建筑材料
2010-10-14,四川双马,10.730612625,-23.1208344,ROE,35.13,PE,17.651768,建筑材料
2010-11-03,四川双马,10.59740502,-149.11291538888887,ROE,34.498111111111115,PE,55.639705,建筑材料
2010-11-13,四川双马,11.154903515,-157.78616348888886,ROE,34.498111111111115,PE,58.267962,建筑材料
2010-11-23,四川双马,12.131759285000001,-147.96738968888886,ROE,34.498111111111115,PE,55.292576,建筑材料
2010-12-03,四川双马,11.00196145,-172.51432088888888,ROE,34.498111111111115,PE,62.73104,建筑材料
2010-12-23,四川双马,12.15642736,-156.14970008888886,ROE,34.498111111111115,PE,57.772064,建筑材料
2011-01-12,四川双马,11.391717035,-129.4753710888889,ROE,34.498111111111115,PE,49.688934,建筑材料
2011-01-22,四川双马,9.91656615,-113.43804428888888,ROE,34.498111111111115,PE,44.829138,建筑材料
2011-02-01,四川双马,8.91997592,-136.18486508888887,ROE,34.498111111111115,PE,51.722114,建筑材料
2011-02-11,四川双马,10.78488239,-140.7669579888889,ROE,34.498111111111115,PE,53.110627,建筑材料
2011-03-03,四川双马,10.691143705,-169.8959787888889,ROE,34.498111111111115,PE,61.937603,建筑材料
2011-03-23,四川双马,12.63992163,-194.27926298888886,ROE,34.498111111111115,PE,69.326477,建筑材料
2011-04-02,四川双马,14.164408665,-184.62413618888888,ROE,34.498111111111115,PE,66.400681,建筑材料
2011-04-12,四川双马,13.118482284999999,-190.8426924888889,ROE,34.498111111111115,PE,68.285092,建筑材料
2011-04-22,四川双马,13.952263219999999,-719.0207538888887,ROE,34.498111111111115,PE,228.33905,建筑材料
2011-05-12,四川双马,12.190962665,-1002,ROE,0,PE,0,建筑材料
2011-06-01,四川双马,12.013352525,-1002,ROE,0,PE,0,建筑材料
2011-06-11,四川双马,11.4459868,-1002,ROE,0,PE,0,建筑材料
2011-06-21,四川双马,11.855476845,-1002,ROE,0,PE,0,建筑材料
2011-07-01,四川双马,11.944281915000001,-1002,ROE,0,PE,0,建筑材料
2011-07-21,四川双马,14.06080275,-1002,ROE,0,PE,0,建筑材料
2011-08-10,四川双马,13.20235374,-1002,ROE,0,PE,0,建筑材料
2011-08-20,四川双马,11.056231215,-1002,ROE,0,PE,0,建筑材料
2011-08-30,四川双马,11.23877497,-1002,ROE,0,PE,0,建筑材料
2011-09-09,四川双马,11.20917328,-1002,ROE,0,PE,0,建筑材料
2011-09-29,四川双马,10.178047745,-1002,ROE,0,PE,0,建筑材料
2011-10-19,四川双马,9.408403804999999,-1002,ROE,0,PE,0,建筑材料
2011-10-29,四川双马,9.19625836,-1002,ROE,0,PE,0,建筑材料
2011-11-08,四川双马,9.576146715,-1002,ROE,0,PE,0,建筑材料
2011-11-18,四川双马,9.793225775,-1002,ROE,0,PE,0,建筑材料
2011-12-08,四川双马,9.576146715,-1002,ROE,0,PE,0,建筑材料
2011-12-28,四川双马,8.066460525,-1002,ROE,0,PE,0,建筑材料
2012-01-07,四川双马,7.84444785,-1002,ROE,0,PE,0,建筑材料
2012-01-17,四川双马,7.701373015,-1002,ROE,0,PE,0,建筑材料
2012-02-16,四川双马,8.26873874,-1002,ROE,0,PE,0,建筑材料
2012-03-07,四川双马,9.04824991,-1002,ROE,0,PE,0,建筑材料
2012-03-17,四川双马,9.14692221,-1002,ROE,0,PE,0,建筑材料
2012-03-27,四川双马,8.229269819999999,-1002,ROE,0,PE,0,建筑材料
2012-04-06,四川双马,8.224336205,-1002,ROE,0,PE,0,建筑材料
2012-04-26,四川双马,8.01219076,-129.55028057777778,ROE,20.363822222222222,PE,45.428516,建筑材料
2012-05-16,四川双马,8.589423715,-141.96836323333332,ROE,2.896366666666667,PE,43.898403,建筑材料
2012-05-26,四川双马,8.105929445000001,-147.19185403333333,ROE,2.896366666666667,PE,45.481279,建筑材料
2012-06-05,四川双马,8.50555226,-147.01773613333333,ROE,2.896366666666667,PE,45.428516,建筑材料
2012-06-15,四川双马,8.500618645,-140.22720073333332,ROE,2.896366666666667,PE,43.370778,建筑材料
2012-07-05,四川双马,8.11086306,-124.20850573333333,ROE,2.896366666666667,PE,38.516628,建筑材料
2012-07-25,四川双马,6.971197995,-113.06506573333333,ROE,2.896366666666667,PE,35.139828,建筑材料
2012-08-04,四川双马,6.517305415,-137.26722613333334,ROE,2.896366666666667,PE,42.473816,建筑材料
2012-08-14,四川双马,7.819779775000001,-126.29790073333331,ROE,2.896366666666667,PE,39.149778,建筑材料
2012-08-24,四川双马,7.217878745,-117.76620283333332,ROE,2.896366666666667,PE,36.564415,建筑材料
2012-09-13,四川双马,6.6702474800000005,-245.37278276666666,ROE,4.758033333333334,PE,75.797217,建筑材料
2012-10-13,四川双马,7.286949355,-239.71822946666663,ROE,4.758033333333334,PE,74.083716,建筑材料
2012-10-23,四川双马,7.4004224999999995,-235.06153676666662,ROE,4.758033333333334,PE,72.672597,建筑材料
2012-11-02,四川双马,7.1044056,-466.0316859444444,ROE,4.961655555555557,PE,142.725255,建筑材料
2012-11-22,四川双马,7.143874520000001,-433.03627294444436,ROE,4.961655555555557,PE,132.726645,建筑材料
2012-12-12,四川双马,6.57157518,-431.74233304444436,ROE,4.961655555555557,PE,132.334542,建筑材料
2012-12-22,四川双马,6.65051302,-456.9741198444444,ROE,4.961655555555557,PE,139.980538,建筑材料
2013-01-01,四川双马,7.12414006,-464.0907777444444,ROE,4.961655555555557,PE,142.137101,建筑材料
2013-01-11,四川双马,7.143874520000001,-464.73774604444446,ROE,4.961655555555557,PE,142.333152,建筑材料
2013-01-31,四川双马,7.03533499,-456.9741198444444,ROE,4.961655555555557,PE,139.980538,建筑材料
2013-02-20,四川双马,7.07480391,-456.9741198444444,ROE,4.961655555555557,PE,139.980538,建筑材料
2013-03-02,四川双马,7.04520222,-444.0347439444444,ROE,4.961655555555557,PE,136.059515,建筑材料
2013-03-12,四川双马,6.8281231600000005,-1521.7876179444443,ROE,4.961655555555557,PE,462.651295,建筑材料
2013-03-22,四川双马,6.310093585000001,-1605.4068987444443,ROE,4.961655555555557,PE,487.990471,建筑材料
2013-04-11,四川双马,6.8823929249999996,-1548.0643992444443,ROE,4.961655555555557,PE,470.613956,建筑材料
2013-05-11,四川双马,6.5765087950000005,-433.59989849999994,ROE,2.27976,PE,132.084745,建筑材料
2013-05-21,四川双马,6.94652992,-440.37203969999996,ROE,2.27976,PE,134.136909,建筑材料
2013-05-31,四川双马,7.1044056,-442.83463829999994,ROE,2.27976,PE,134.883151,建筑材料
2013-06-20,四川双马,7.06493668,-403.43308709999997,ROE,2.27976,PE,122.943287,建筑材料
2013-07-10,四川双马,6.985998840000001,-313.54829759999996,ROE,2.27976,PE,95.705472,建筑材料
2013-07-20,四川双马,5.1309596,-312.9326496,ROE,2.27976,PE,95.518912,建筑材料
2013-07-30,四川双马,5.175362135,-309.854403,ROE,2.27976,PE,94.58611,建筑材料
2013-08-09,四川双马,5.027353685,-330.78647789999997,ROE,2.27976,PE,100.929163,建筑材料
2013-08-29,四川双马,5.313503355,-449.10103799999996,ROE,2.27976,PE,136.78206,建筑材料
2013-09-18,四川双马,5.4269765,-458.2361468,ROE,2.99296,PE,139.766396,建筑材料
2013-09-28,四川双马,5.653922789999999,-443.4636836,ROE,2.99296,PE,135.289892,建筑材料
2013-10-18,四川双马,5.39737481,-453.31199239999995,ROE,2.99296,PE,138.274228,建筑材料
2013-11-07,四川双马,5.4516445749999995,-475.3411755333333,ROE,2.991626666666667,PE,144.949334,建筑材料
2013-11-27,四川双马,5.57498495,-475.3411755333333,ROE,2.991626666666667,PE,144.949334,建筑材料
2013-12-07,四川双马,5.57498495,-498.19955943333326,ROE,2.991626666666667,PE,151.876117,建筑材料
2013-12-17,四川双马,5.885802695000001,-477.8809974333333,ROE,2.991626666666667,PE,145.718977,建筑材料
2013-12-27,四川双马,5.589785795,-460.9488624333334,ROE,2.991626666666667,PE,140.588027,建筑材料
2014-01-16,四川双马,5.441777345,-468.5683215333333,ROE,2.991626666666667,PE,142.896954,建筑材料
2014-02-15,四川双马,5.550316875,-482.1140295333333,ROE,2.991626666666667,PE,147.001714,建筑材料
2014-02-25,四川双马,5.609520255,-462.64207593333333,ROE,2.991626666666667,PE,141.101122,建筑材料
2014-03-07,四川双马,5.30856974,-460.1022573333333,ROE,2.991626666666667,PE,140.33148,建筑材料
2014-03-27,四川双马,5.333237815,-454.1760084333334,ROE,2.991626666666667,PE,138.535647,建筑材料
2014-04-16,四川双马,5.283901665,-164.14014033333333,ROE,2.991626666666667,PE,50.64599,建筑材料
2014-04-26,四川双马,5.579918565,-158.20295523333334,ROE,2.991626666666667,PE,48.846843,建筑材料
2014-05-06,四川双马,5.4269765,-137.58318129999998,ROE,1.1147,PE,42.029661,建筑材料
2014-05-16,四川双马,5.27896805,-132.89920089999998,ROE,1.1147,PE,40.610273,建筑材料
2014-06-05,四川双马,5.09149068,-133.15942239999998,ROE,1.1147,PE,40.689128,建筑材料
2014-06-25,四川双马,5.096424295,-137.8434028,ROE,1.1147,PE,42.108516,建筑材料
2014-07-05,四川双马,5.34803866,-133.67986539999998,ROE,1.1147,PE,40.846838,建筑材料
2014-07-15,四川双马,5.11122514,-145.9102594,ROE,1.1147,PE,44.553018,建筑材料
2014-07-25,四川双马,5.520715185,-140.44561449999998,ROE,1.1147,PE,42.897065,建筑材料
2014-08-14,四川双马,5.412175655,-145.1508733,ROE,1.1147,PE,44.322901,建筑材料
2014-09-03,四川双马,6.16701875,-144.97020793333334,ROE,1.7641666666666664,PE,44.464962,建筑材料
2014-09-13,四川双马,6.18675321,-145.90780723333333,ROE,1.7641666666666664,PE,44.749083,建筑材料
2014-09-23,四川双马,6.3002263549999995,-147.54860683333334,ROE,1.7641666666666664,PE,45.246295,建筑材料
2014-10-23,四川双马,6.201554055,-150.56722243333334,ROE,1.7641666666666664,PE,46.161027,建筑材料
2014-11-12,四川双马,6.38409781,-147.27044704444444,ROE,1.5830555555555554,PE,45.107122,建筑材料
