2011-04-26,万方发展,90.1344688111111,4.4325,综合
2013-06-25,工商银行,0.40617890000000395,2.82237005,银行
2013-06-26,工商银行,0.12468560000000295,2.82237005,银行
2013-06-27,工商银行,1.1568101000000048,2.776616225,银行
2013-06-28,工商银行,0.8284073000000021,2.915640125,银行
2013-06-29,工商银行,-0.15680439999999507,3.0276316000000003,银行
2013-07-02,工商银行,-0.20405049999999392,3.0276316000000003,银行
2013-07-03,工商银行,-0.1571343999999968,3.08169645,银行
2013-07-04,工商银行,0.21819110000000208,3.054664025,银行
2013-07-05,工商银行,0.35893610000000464,3.031493375,银行
2013-07-06,工商银行,0.17127500000000495,3.03535515,银行
2013-07-09,工商银行,0.17127500000000495,3.03535515,银行
2013-07-10,工商银行,0.17127500000000495,3.03535515,银行
2013-07-11,工商银行,0.2651072000000028,3.03535515,银行
2013-07-12,工商银行,0.030526700000002908,3.06624935,银行
2013-07-13,工商银行,0.12435890000000427,3.046940475,银行
2013-07-16,工商银行,0.21819110000000208,3.046940475,银行
2013-07-17,工商银行,0.17127500000000495,3.0430787,银行
2013-07-18,工商银行,0.17127500000000495,3.046940475,银行
2013-07-19,工商银行,0.2651072000000028,3.039216925,银行
2013-07-20,工商银行,0.17127500000000495,3.031493375,银行
2013-07-23,工商银行,0.2651072000000028,3.031493375,银行
2013-07-24,工商银行,0.2651072000000028,3.031493375,银行
2013-07-25,工商银行,0.3120200000000004,3.0276316000000003,银行
2013-07-26,工商银行,0.35893610000000464,3.031493375,银行
2013-07-27,工商银行,0.35893610000000464,3.023769825,银行
2013-07-30,工商银行,0.4527683000000025,3.023769825,银行
2013-07-31,工商银行,0.35893610000000464,3.016046275,银行
2013-08-01,工商银行,0.4527683000000025,3.016046275,银行
2013-08-02,工商银行,0.35893610000000464,3.01990805,银行
2013-08-03,工商银行,0.35893610000000464,3.031493375,银行
2013-08-06,工商银行,0.3120200000000004,3.031493375,银行
2013-08-07,工商银行,0.4058522000000053,3.023769825,银行
2013-08-08,工商银行,0.4527683000000025,3.016046275,银行
2013-08-09,工商银行,0.4058522000000053,3.016046275,银行
2013-08-10,工商银行,0.35893610000000464,3.016046275,银行
2013-08-13,工商银行,0.17127500000000495,3.016046275,银行
2013-08-14,工商银行,0.17127500000000495,3.0430787,银行
2013-08-15,工商银行,0.21819110000000208,3.0508022500000003,银行
2013-08-16,工商银行,0.17127500000000495,3.054664025,银行
2013-08-17,工商银行,0.17127500000000495,3.1975497,银行
2013-08-20,工商银行,0.2651072000000028,3.1975497,银行
2013-08-21,工商银行,0.3120200000000004,3.03535515,银行
2013-08-22,工商银行,0.3120200000000004,3.0276316000000003,银行
2013-08-23,工商银行,0.35893610000000464,3.008322725,银行
2013-08-24,工商银行,0.4527683000000025,3.008322725,银行
2013-08-27,工商银行,0.2651072000000028,3.008322725,银行
2013-08-28,工商银行,0.4058522000000053,3.023769825,银行
2013-08-29,工商银行,0.4996844000000032,3.000599175,银行
2013-08-30,工商银行,0.5466005000000038,2.9967374,银行
2013-08-31,工商银行,0.9668390000000038,2.9967374,银行
2013-09-03,工商银行,1.1403829666666674,2.9967374,银行
2013-09-04,工商银行,0.912996466666666,3.01990805,银行
2013-09-05,工商银行,0.9584737666666676,3.023769825,银行
2013-09-06,工商银行,1.049428366666664,3.023769825,银行
2013-09-07,工商银行,1.049428366666664,3.023769825,银行
2013-09-10,工商银行,0.2763175666666662,3.023769825,银行
2013-09-11,工商银行,0.7310872666666661,3.101005325,银行
2013-09-12,工商银行,0.685609966666668,3.085558225,银行
2013-09-13,工商银行,0.4127494666666642,3.108728875,银行
2013-09-14,工商银行,0.685609966666668,3.093281775,银行
2013-09-17,工商银行,0.7310872666666661,3.093281775,银行
2013-09-18,工商银行,0.9584737666666676,3.054664025,银行
2013-09-19,工商银行,1.049428366666664,3.0276316000000003,银行
2013-09-24,工商银行,1.049428366666664,3.0276316000000003,银行
2013-09-25,工商银行,1.1403829666666674,3.0044609500000004,银行
2013-09-26,工商银行,1.1858602666666656,3.008322725,银行
2013-09-27,工商银行,1.3222921666666636,2.9812903,银行
2013-09-28,工商银行,1.2768148666666654,2.9812903000000004,银行
2013-10-01,工商银行,1.2305092666666653,2.9812903000000004,银行
2013-10-09,工商银行,1.1849098666666649,2.977428525,银行
2013-10-10,工商银行,1.2305092666666653,2.977428525,银行
2013-10-11,工商银行,1.2305092666666653,2.9812903000000004,银行
2013-10-12,工商银行,1.0937176666666666,3.000599175,银行
2013-10-15,工商银行,1.1393137666666675,3.000599175,银行
2013-10-16,工商银行,1.321701466666667,2.977428525,银行
2013-10-17,工商银行,1.2305092666666653,2.977428525,银行
2013-10-18,工商银行,1.2305092666666653,2.985152075,银行
2013-10-19,工商银行,1.321701466666667,2.985152075,银行
2013-10-22,工商银行,1.2305092666666653,2.985152075,银行
2013-10-23,工商银行,1.321701466666667,2.977428525,银行
2013-10-24,工商银行,1.321701466666667,2.977428525,银行
2013-10-25,工商银行,1.4584930666666658,2.954257875,银行
2013-10-26,工商银行,1.5952846666666645,2.9388107750000003,银行
2013-10-29,工商银行,1.6864801666666658,2.9388107750000003,银行
2013-10-30,工商银行,1.5040891666666631,2.92722545,银行
2013-10-31,工商银行,1.4584930666666658,2.931087225,银行
2013-11-01,工商银行,1.732597666666667,2.9388107750000003,银行
2013-11-02,工商银行,1.3628341222222249,2.95811965,银行
2013-11-05,工商银行,1.3628341222222249,2.95811965,银行
2013-11-06,工商银行,1.4075953222222208,2.9503961,银行
2013-11-07,工商银行,1.541875622222225,2.946534325,银行
2013-11-08,工商银行,1.4075953222222208,2.946534325,银行
2013-11-09,工商银行,1.452353222222225,2.95811965,银行
2013-11-12,工商银行,1.4075953222222208,2.95811965,银行
2013-11-13,工商银行,1.4075953222222208,2.961981425,银行
2013-11-14,工商银行,1.541875622222225,2.94267255,银行
2013-11-15,工商银行,1.5866368222222251,2.923363675,银行
2013-11-16,工商银行,1.5866368222222251,2.931087225,银行
2013-11-19,工商银行,1.4075953222222208,2.931087225,银行
2013-11-20,工商银行,1.452353222222225,2.9503961,银行
2013-11-21,工商银行,1.4075953222222208,2.946534325,银行
2013-11-22,工商银行,1.1390347222222241,2.9658432,银行
2013-11-23,工商银行,1.2733150222222245,2.97356675,银行
2013-11-26,工商银行,1.4971144222222217,2.97356675,银行
2013-11-27,工商银行,1.5866368222222251,2.934949,银行
2013-11-28,工商银行,1.5866368222222251,2.931087225,银行
2013-11-29,工商银行,1.541875622222225,2.938810775,银行
2013-11-30,工商银行,1.541875622222225,2.934949,银行
2013-12-03,工商银行,1.2285538222222243,2.934949,银行
2013-12-04,工商银行,1.452353222222225,2.954257875,银行
2013-12-05,工商银行,1.4075953222222208,2.9503961,银行
2013-12-06,工商银行,1.4971144222222217,2.946534325,银行
2013-12-07,工商银行,1.4971144222222217,2.94267255,银行
2013-12-10,工商银行,1.541875622222225,2.94267255,银行
2013-12-11,工商银行,1.541875622222225,2.934949,银行
2013-12-12,工商银行,1.6313947222222254,2.923363675,银行
2013-12-13,工商银行,1.7209171222222217,2.907916575,银行
2013-12-14,工商银行,1.8999553222222223,2.877022375,银行
2013-12-17,工商银行,2.0342356222222233,2.877022375,银行
2013-12-18,工商银行,2.0789968222222264,2.8499899500000003,银行
2013-12-19,工商银行,2.1237580222222228,2.83454285,银行
2013-12-20,工商银行,2.302799522222223,2.81909575,银行
2013-12-21,工商银行,2.571360122222224,2.776616225,银行
2013-12-24,工商银行,2.5265989222222243,2.776616225,银行
2013-12-25,工商银行,2.5265989222222243,2.768892675,银行
2013-12-26,工商银行,2.4818377222222243,2.77275445,银行
2013-12-27,工商银行,2.660879222222224,2.7495838,银行
2013-12-28,工商银行,2.5265989222222243,2.753445575,银行
2013-12-31,工商银行,2.660879222222224,2.753445575,银行
2014-01-01,工商银行,2.4892330222222263,2.75730735,银行
2014-01-03,工商银行,2.4892330222222263,2.75730735,银行
2014-01-04,工商银行,2.5789633222222217,2.753445575,银行
2014-01-07,工商银行,2.6238268222222243,2.753445575,银行
2014-01-08,工商银行,2.6238268222222243,2.72641315,银行
2014-01-09,工商银行,2.5340965222222245,2.745722025,银行
2014-01-10,工商银行,2.713557122222225,2.7379984750000004,银行
2014-01-11,工商银行,2.713557122222225,2.722551375,银行
2014-01-14,工商银行,2.6686903222222216,2.722551375,银行
2014-01-15,工商银行,2.758420622222223,2.714827825,银行
2014-01-16,工商银行,3.0276082222222254,2.6877954,银行
2014-01-17,工商银行,3.1622020222222247,2.6569012,银行
2014-01-18,工商银行,3.251929022222225,2.63373055,银行
2014-01-21,工商银行,3.2967958222222222,2.63373055,银行
2014-01-22,工商银行,3.2967958222222222,2.626007,银行
2014-01-23,工商银行,3.1622020222222247,2.63373055,银行
2014-01-24,工商银行,3.2967958222222222,2.629868775,银行
2014-01-25,工商银行,3.2967958222222222,2.626007,银行
2014-01-28,工商银行,3.4762531222222237,2.626007,银行
2014-01-29,工商银行,3.341659322222224,2.6066981250000003,银行
2014-01-30,工商银行,3.1173385222222234,2.63373055,银行
2014-01-31,工商银行,3.251929022222225,2.6414541000000002,银行
2014-02-08,工商银行,3.2967958222222222,2.6414541000000002,银行
2014-02-11,工商银行,3.2967958222222222,2.614421675,银行
2014-02-12,工商银行,3.0724717222222235,2.64917765,银行
2014-02-13,工商银行,3.1173385222222234,2.6569012,银行
2014-02-14,工商银行,3.1173385222222234,2.66462475,银行
2014-02-15,工商银行,3.1622020222222247,2.653039425,银行
2014-02-18,工商银行,3.1173385222222234,2.653039425,银行
2014-02-19,工商银行,3.1622020222222247,2.653039425,银行
2014-02-20,工商银行,2.9378779222222238,2.68007185,银行
2014-02-21,工商银行,3.1173385222222234,2.676210075,银行
2014-02-22,工商银行,3.1173385222222234,2.653039425,银行
2014-02-25,工商银行,3.431389622222221,2.653039425,银行
2014-02-26,工商银行,3.431389622222221,2.606698125,银行
2014-02-27,工商银行,3.5659834222222244,2.58738925,银行
2014-02-28,工商银行,3.4762531222222237,2.5796657,银行
2014-03-01,工商银行,3.5659834222222244,2.575803925,银行
2014-03-04,工商银行,3.610846922222223,2.575803925,银行
2014-03-05,工商银行,3.5659834222222244,2.568080375,银行
2014-03-06,工商银行,3.655710422222224,2.568080375,银行
2014-03-07,工商银行,3.610846922222223,2.5642186,银行
2014-03-08,工商银行,3.610846922222223,2.568080375,银行
2014-03-11,工商银行,3.9248980222222234,2.568080375,银行
2014-03-12,工商银行,4.059491822222221,2.49470665,银行
2014-03-13,工商银行,4.059491822222221,2.483121325,银行
2014-03-14,工商银行,3.8800345222222252,2.529462625,银行
2014-03-15,工商银行,4.014628322222224,2.5024302000000005,银行
2014-03-18,工商银行,3.9697648222222224,2.5024302000000005,银行
2014-03-19,工商银行,3.9248980222222234,2.514015525,银行
2014-03-20,工商银行,3.8351710222222235,2.5178773000000003,银行
2014-03-21,工商银行,3.8351710222222235,2.54104795,银行
2014-03-22,工商银行,3.5659834222222244,2.5642186,银行
2014-03-25,工商银行,3.386522822222224,2.5642186,银行
2014-03-26,工商银行,3.4762531222222237,2.598974575,银行
2014-03-27,工商银行,3.2967958222222222,2.6105598999999997,银行
2014-03-28,工商银行,3.386522822222224,2.61828345,银行
2014-03-29,工商银行,3.275009222222224,2.653039425,银行
2014-04-01,工商银行,3.319113722222225,2.653039425,银行
2014-04-02,工商银行,3.319113722222225,2.668486525,银行
2014-04-03,工商银行,3.3632644222222225,2.6569012,银行
2014-04-04,工商银行,3.4515625222222215,2.6491776500000004,银行
2014-04-05,工商银行,3.407415122222224,2.6414541000000002,银行
2014-04-09,工商银行,3.098366822222223,2.6414541000000002,银行
2014-04-10,工商银行,3.1866649222222225,2.6955189500000003,银行
2014-04-11,工商银行,2.877616622222224,2.714827825,银行
2014-04-12,工商银行,3.0100654222222225,2.72641315,银行
