2011-04-26,万方发展,90.1344688111111,4.4325,综合
2018-05-03,三钢闽光,8.946381933333337,16.53199893,钢铁
2018-05-04,三钢闽光,8.906511333333338,16.53199893,钢铁
2018-05-05,三钢闽光,9.295234833333335,16.39457583,钢铁
2018-05-08,三钢闽光,8.836739433333337,16.39457583,钢铁
2018-05-09,三钢闽光,8.457985233333336,16.84349129,钢铁
2018-05-10,三钢闽光,8.757001533333337,16.89387976,钢铁
2018-05-11,三钢闽光,8.687232933333338,16.74729512,钢铁
2018-05-12,三钢闽光,8.467951233333338,16.84807206,钢铁
2018-05-15,三钢闽光,8.627427033333337,16.84807206,钢铁
2018-05-16,三钢闽光,8.079227733333337,17.24659905,钢铁
2018-05-17,三钢闽光,8.308475433333339,17.187049039999998,钢铁
2018-05-18,三钢闽光,8.268604833333338,17.27408367,钢铁
2018-05-19,三钢闽光,8.766970833333339,16.967172079999994,钢铁
2018-05-22,三钢闽光,9.13575903333334,16.967172079999994,钢铁
2018-05-23,三钢闽光,11.049475233333338,16.05,钢铁
2018-05-24,三钢闽光,11.896694133333336,15.48,钢铁
2018-05-25,三钢闽光,11.826922233333338,15.09,钢铁
2018-05-26,三钢闽光,12.355189533333338,14.87,钢铁
2018-05-29,三钢闽光,12.295386933333337,14.87,钢铁
2018-05-30,三钢闽光,11.896694133333336,14.82,钢铁
2018-05-31,三钢闽光,12.66417513333334,14.58,钢铁
2018-06-01,三钢闽光,12.554535933333336,14.375,钢铁
2018-06-02,三钢闽光,12.175778433333337,14.79,钢铁
2018-06-05,三钢闽光,11.906660133333338,14.79,钢铁
2018-06-06,三钢闽光,11.97643203333334,14.895,钢铁
2018-06-07,三钢闽光,11.826922233333338,15.13,钢铁
2018-06-08,三钢闽光,10.969737333333338,15.855,钢铁
2018-06-09,三钢闽光,10.85013213333334,16.0,钢铁
2018-06-12,三钢闽光,10.19229033333334,16.0,钢铁
2018-06-13,三钢闽光,10.19229033333334,16.855,钢铁
2018-06-14,三钢闽光,9.82350213333334,17.41,钢铁
2018-06-15,三钢闽光,9.22546623333334,17.445,钢铁
2018-06-16,三钢闽光,9.295234833333335,17.810000000000006,钢铁
2018-06-20,三钢闽光,10.421538033333338,17.810000000000006,钢铁
2018-06-21,三钢闽光,9.394908033333335,17.175,钢铁
2018-06-22,三钢闽光,9.534451833333339,17.715,钢铁
2018-06-23,三钢闽光,9.46467993333334,17.285,钢铁
2018-06-26,三钢闽光,10.112552433333338,17.285,钢铁
2018-06-27,三钢闽光,11.02953993333334,15.864999999999998,钢铁
2018-06-28,三钢闽光,11.398331433333338,15.885,钢铁
2018-06-29,三钢闽光,11.368430133333336,15.91,钢铁
2018-06-30,三钢闽光,11.368430133333336,15.66,钢铁
2018-07-03,三钢闽光,9.24915363333334,15.66,钢铁
2018-07-04,三钢闽光,9.35588883333334,14.585,钢铁
2018-07-05,三钢闽光,8.668040133333339,15.455,钢铁
2018-07-06,三钢闽光,9.498204633333335,14.945,钢铁
2018-07-07,三钢闽光,9.083120733333338,14.875,钢铁
2018-07-10,三钢闽光,8.134364133333339,14.875,钢铁
2018-07-11,三钢闽光,6.983994033333339,16.605,钢铁
2018-07-12,三钢闽光,6.509615733333341,16.585,钢铁
2018-07-13,三钢闽光,5.881061433333336,17.775,钢铁
2018-07-14,三钢闽光,5.299947933333339,17.950000000000006,钢铁
2018-07-17,三钢闽光,5.347385433333336,17.950000000000006,钢铁
2018-07-18,三钢闽光,6.118252233333339,17.595,钢铁
2018-07-19,三钢闽光,6.37916013333334,17.59,钢铁
2018-07-20,三钢闽光,5.3592456333333365,18.23,钢铁
2018-07-21,三钢闽光,4.884867333333336,18.18,钢铁
2018-07-24,三钢闽光,4.00726533333334,18.18,钢铁
2018-07-25,三钢闽光,2.5011123333333387,20.5,钢铁
2018-07-26,三钢闽光,2.3469396333333385,20.74,钢铁
2018-07-27,三钢闽光,3.271979133333339,20.245,钢铁
2018-07-28,三钢闽光,3.1296633333333403,20.145000000000003,钢铁
2018-07-31,三钢闽光,2.1809067333333374,20.145000000000003,钢铁
2018-08-01,三钢闽光,1.9555761333333381,20.975,钢铁
2018-08-02,三钢闽光,3.6159018333333393,20.48,钢铁
2018-08-03,三钢闽光,3.5566041333333374,19.34,钢铁
2018-08-04,三钢闽光,3.88866993333334,19.95,钢铁
2018-08-07,三钢闽光,3.793794933333338,19.95,钢铁
2018-08-08,三钢闽光,3.046648533333337,19.695,钢铁
2018-08-09,三钢闽光,3.3194166333333364,20.245,钢铁
2018-08-10,三钢闽光,3.1533837333333388,19.835,钢铁
2018-08-11,三钢闽光,3.271979133333339,20.205,钢铁
2018-08-14,三钢闽光,2.1809067333333374,20.205,钢铁
2018-08-15,三钢闽光,2.8213179333333365,20.595,钢铁
2018-08-16,三钢闽光,3.39057123333334,20.04,钢铁
2018-08-17,三钢闽光,3.5328870333333384,19.785,钢铁
2018-08-18,三钢闽光,3.20082123333334,20.075000000000006,钢铁
2018-08-21,三钢闽光,2.121609033333339,20.075000000000006,钢铁
2018-08-22,三钢闽光,2.3943771333333395,20.725,钢铁
2018-08-23,三钢闽光,2.3943771333333395,20.905,钢铁
2018-08-24,三钢闽光,2.8568952333333395,20.295,钢铁
2018-08-25,三钢闽光,3.1889610333333387,20.095,钢铁
2018-08-28,三钢闽光,3.1296633333333403,20.095,钢铁
2018-08-29,三钢闽光,3.1296633333333403,20.16,钢铁
2018-08-30,三钢闽光,3.4617291333333355,19.945,钢铁
2018-08-31,三钢闽光,9.64467513333334,19.085,钢铁
2018-09-01,三钢闽光,9.552535833333335,18.82,钢铁
2018-09-04,三钢闽光,14.831358400000001,18.82,钢铁
2018-09-05,三钢闽光,14.3061568,19.205,钢铁
2018-09-06,三钢闽光,15.052498000000002,18.98,钢铁
2018-09-07,三钢闽光,15.1446406,18.72,钢铁
2018-09-08,三钢闽光,14.941928200000001,18.91,钢铁
2018-09-11,三钢闽光,15.430278700000002,18.91,钢铁
2018-09-12,三钢闽光,16.784753799999994,17.125,钢铁
2018-09-13,三钢闽光,17.1533176,16.549999999999994,钢铁
2018-09-14,三钢闽光,17.107246300000003,16.425,钢铁
2018-09-15,三钢闽光,16.996676500000003,16.475,钢铁
2018-09-18,三钢闽光,17.3375995,16.475,钢铁
2018-09-19,三钢闽光,16.388545899999997,16.82,钢铁
2018-09-20,三钢闽光,16.5451837,17.18,钢铁
2018-09-21,三钢闽光,16.453044400000003,17.255,钢铁
2018-09-22,三钢闽光,16.0844806,17.32,钢铁
2018-09-26,三钢闽光,16.3701187,17.32,钢铁
2018-09-27,三钢闽光,16.2687625,17.43,钢铁
2018-09-28,三钢闽光,15.8725546,17.65,钢铁
2018-09-29,三钢闽光,16.0660501,17.39,钢铁
2018-10-09,三钢闽光,16.5544006,17.39,钢铁
2018-10-10,三钢闽光,16.5544006,17.07,钢铁
2018-10-11,三钢闽光,15.9831244,17.354999999999997,钢铁
2018-10-12,三钢闽光,16.849252299999996,17.095,钢铁
2018-10-13,三钢闽光,16.1674063,17.15,钢铁
2018-10-16,三钢闽光,16.453044400000003,17.15,钢铁
2018-10-17,三钢闽光,17.2546705,16.67,钢铁
2018-10-18,三钢闽光,16.9045372,16.490000000000002,钢铁
2018-10-19,三钢闽光,17.8535908,16.025,钢铁
2018-10-20,三钢闽光,17.5955935,15.655,钢铁
2018-10-23,三钢闽光,16.609685499999998,15.655,钢铁
2018-10-24,三钢闽光,16.4254003,17.015,钢铁
2018-10-25,三钢闽光,16.563614199999996,16.990000000000002,钢铁
2018-10-26,三钢闽光,16.471471599999997,16.770000000000003,钢铁
2018-10-27,三钢闽光,16.5508135,17.395,钢铁
2018-10-30,三钢闽光,17.106167199999998,17.395,钢铁
2018-10-31,三钢闽光,17.060647,16.605,钢铁
2018-11-01,三钢闽光,16.7784178,16.810000000000002,钢铁
2018-11-02,三钢闽光,16.938904266666675,17.175,钢铁
2018-11-03,三钢闽光,16.565634666666675,16.93,钢铁
2018-11-06,三钢闽光,17.011738566666676,16.93,钢铁
2018-11-07,三钢闽光,17.348592666666676,16.375,钢铁
2018-11-08,三钢闽光,17.676342066666674,16.065,钢铁
2018-11-09,三钢闽光,17.639923266666674,15.925,钢铁
2018-11-10,三钢闽光,17.712757566666674,15.925,钢铁
2018-11-13,三钢闽光,17.767382466666675,15.925,钢铁
2018-11-14,三钢闽光,17.649027966666676,15.745,钢铁
2018-11-15,三钢闽光,17.603507766666674,16.055,钢铁
2018-11-16,三钢闽光,17.667237366666676,15.95,钢铁
2018-11-17,三钢闽光,17.876632266666675,15.835,钢铁
2018-11-20,三钢闽光,18.104236566666675,15.835,钢铁
2018-11-21,三钢闽光,18.28632066666668,15.47,钢铁
2018-11-22,三钢闽光,18.35915166666668,15.065,钢铁
2018-11-23,三钢闽光,18.54123576666668,15.055,钢铁
2018-11-24,三钢闽光,19.24225476666668,14.62,钢铁
2018-11-27,三钢闽光,19.943273766666678,14.62,钢铁
2018-11-28,三钢闽光,19.91596296666668,13.48,钢铁
2018-11-29,三钢闽光,20.016108066666675,13.19,钢铁
2018-11-30,三钢闽光,20.30744196666668,13.27,钢铁
2018-12-01,三钢闽光,20.143567266666675,13.055,钢铁
2018-12-04,三钢闽光,19.788503766666675,13.055,钢铁
2018-12-05,三钢闽光,19.342399866666675,13.815,钢铁
2018-12-06,三钢闽光,19.46075436666668,13.895,钢铁
2018-12-07,三钢闽光,19.925067666666674,13.67,钢铁
2018-12-08,三钢闽光,19.91596296666668,13.465,钢铁
2018-12-11,三钢闽光,20.016108066666675,13.465,钢铁
2018-12-12,三钢闽光,19.852233366666674,13.41,钢铁
2018-12-13,三钢闽光,19.733878866666675,13.705,钢铁
2018-12-14,三钢闽光,19.57910886666668,13.75,钢铁
2018-12-15,三钢闽光,19.797608466666674,13.71,钢铁
2018-12-18,三钢闽光,19.81581786666668,13.71,钢铁
2018-12-19,三钢闽光,20.034317466666675,13.4,钢铁
2018-12-20,三钢闽光,20.152668666666678,13.3,钢铁
2018-12-21,三钢闽光,20.02521276666668,13.285,钢铁
2018-12-22,三钢闽光,19.961483166666675,13.37,钢铁
2018-12-25,三钢闽光,19.961483166666675,13.37,钢铁
2018-12-26,三钢闽光,20.55325236666668,12.835,钢铁
2018-12-27,三钢闽光,20.434897866666674,12.88,钢铁
2018-12-28,三钢闽光,20.544147666666674,12.975,钢铁
2018-12-29,三钢闽光,20.525941566666674,12.78,钢铁
2019-01-03,三钢闽光,20.85369096666668,12.78,钢铁
2019-01-04,三钢闽光,20.78085666666668,12.485,钢铁
2019-01-05,三钢闽光,20.60787726666668,12.48,钢铁
2019-01-08,三钢闽光,20.416691766666673,12.48,钢铁
2019-01-09,三钢闽光,20.616981966666675,12.77,钢铁
2019-01-10,三钢闽光,20.161773366666672,13.085,钢铁
2019-01-11,三钢闽光,20.034317466666675,13.27,钢铁
2019-01-12,三钢闽光,20.016108066666675,13.275,钢铁
2019-01-15,三钢闽光,19.72477416666668,13.275,钢铁
2019-01-16,三钢闽光,19.642838466666674,13.645,钢铁
2019-01-17,三钢闽光,19.67014926666668,13.825,钢铁
2019-01-18,三钢闽光,19.52448396666668,13.97,钢铁
2019-01-19,三钢闽光,18.969130266666674,14.36,钢铁
2019-01-22,三钢闽光,18.85077576666668,14.36,钢铁
2019-01-23,三钢闽光,19.31508906666668,14.305,钢铁
2019-01-24,三钢闽光,19.31508906666668,14.085,钢铁
2019-01-25,三钢闽光,19.46075436666668,13.895,钢铁
2019-01-26,三钢闽光,19.29687966666668,14.125,钢铁
2019-01-29,三钢闽光,19.442544966666674,14.125,钢铁
2019-01-30,三钢闽光,19.151214366666675,14.035,钢铁
2019-01-31,三钢闽光,19.078380066666675,14.365,钢铁
2019-02-01,三钢闽光,19.29687966666668,14.260000000000002,钢铁
2019-02-02,三钢闽光,19.03285986666668,14.34,钢铁
2019-02-12,三钢闽光,18.777944766666675,14.34,钢铁
2019-02-13,三钢闽光,18.777944766666675,14.6,钢铁
2019-02-14,三钢闽光,18.50482026666668,14.855,钢铁
2019-02-15,三钢闽光,18.56854656666668,15.005,钢铁
2019-02-16,三钢闽光,18.56854656666668,14.725,钢铁
2019-02-19,三钢闽光,18.868985166666675,14.725,钢铁
2019-02-20,三钢闽光,18.58675596666668,14.95,钢铁
2019-02-21,三钢闽光,18.57765126666668,14.915,钢铁
2019-02-22,三钢闽光,18.723319866666674,14.895,钢铁
2019-02-23,三钢闽光,19.711065966666673,14.995,钢铁
2019-02-26,三钢闽光,19.20540696666668,14.995,钢铁
