2011-04-26,万方发展,90.1344688111111,4.4325,综合
2018-05-31,西藏珠峰,0.30182550000000674,23.7048822,有色金属
2018-06-01,西藏珠峰,-1.9543811999999927,23.7048822,有色金属
2018-06-02,西藏珠峰,-4.419494399999991,24.5003806,有色金属
2018-06-05,西藏珠峰,-4.440386699999999,24.5003806,有色金属
2018-06-06,西藏珠峰,-3.9390077999999846,24.854474399999997,有色金属
2018-06-07,西藏珠峰,-4.607511899999992,25.3249826,有色金属
2018-06-08,西藏珠峰,-2.9989202999999947,24.864175600000003,有色金属
2018-06-09,西藏珠峰,-5.025328199999997,24.9175322,有色金属
2018-06-12,西藏珠峰,-2.8735763999999904,24.9175322,有色金属
2018-06-13,西藏珠峰,-3.3540629999999894,24.7089564,有色金属
2018-06-14,西藏珠峰,-3.8554418999999953,25.0339466,有色金属
2018-06-15,西藏珠峰,-3.270500399999989,24.6361974,有色金属
2018-06-16,西藏珠峰,-0.26222699999998866,23.7339858,有色金属
2018-06-20,西藏珠峰,4.730673000000009,23.7339858,有色金属
2018-06-21,西藏珠峰,6.381045900000004,19.7322408,有色金属
2018-06-22,西藏珠峰,7.174893900000009,20.1881972,有色金属
2018-06-23,西藏珠峰,6.903313800000007,19.4072506,有色金属
2018-06-26,西藏珠峰,6.840643500000006,19.4072506,有色金属
2018-06-27,西藏珠峰,7.216675200000004,19.7467926,有色金属
2018-06-28,西藏珠峰,6.777969900000008,19.9699202,有色金属
2018-06-29,西藏珠峰,8.135870400000002,19.7225396,有色金属
2018-06-30,西藏珠峰,8.135870400000002,19.766195,有色金属
2018-07-03,西藏珠峰,7.613602500000006,19.766195,有色金属
2018-07-04,西藏珠峰,6.339264600000008,19.8098504,有色金属
2018-07-05,西藏珠峰,6.861532500000003,20.178496000000006,有色金属
2018-07-06,西藏珠峰,9.201301800000003,19.3975494,有色金属
2018-07-07,西藏珠峰,7.780727700000008,19.1792724,有色金属
2018-07-10,西藏珠峰,6.903313800000007,19.1792724,有色金属
2018-07-11,西藏珠峰,6.172136100000009,20.1251394,有色金属
2018-07-12,西藏珠峰,7.801620000000009,19.5042626,有色金属
2018-07-13,西藏珠峰,7.279348800000008,19.606125199999997,有色金属
2018-07-14,西藏珠峰,6.945095100000009,19.6837348,有色金属
2018-07-17,西藏珠峰,8.177651700000006,19.6837348,有色金属
2018-07-18,西藏珠峰,7.738946400000002,19.353894,有色金属
2018-07-19,西藏珠峰,3.5398977000000045,20.5713946,有色金属
2018-07-20,西藏珠峰,4.271075400000008,21.8179988,有色金属
2018-07-21,西藏珠峰,4.103950200000007,20.930339,有色金属
2018-07-24,西藏珠峰,3.644352600000005,20.930339,有色金属
2018-07-25,西藏珠峰,1.555271100000006,22.016873399999998,有色金属
