2011-04-26,万方发展,90.1344688111111,4.4325,综合
2018-08-18,荣晟环保,0.04684530000000109,17.76409936,轻工制造
2018-08-21,荣晟环保,-0.01880819999999872,17.76409936,轻工制造
2018-08-22,荣晟环保,-1.6601720999999967,18.00277248,轻工制造
2018-08-23,荣晟环保,-1.6601720999999967,17.99303072,轻工制造
2018-08-24,荣晟环保,-0.8559059999999974,17.81767904,轻工制造
2018-08-25,荣晟环保,-0.7410098999999946,17.734874079999994,轻工制造
2018-08-28,荣晟环保,-1.430383199999998,17.734874079999994,轻工制造
2018-08-29,荣晟环保,-1.430383199999998,18.06609392,轻工制造
2018-08-30,荣晟环保,-1.348315499999995,18.23170384,轻工制造
2018-08-31,荣晟环保,-0.609699599999999,17.91509664,轻工制造
2018-09-01,荣晟环保,-0.0917217000000008,16.7314728,轻工制造
2018-09-04,荣晟环保,0.3156407333333284,16.7314728,轻工制造
2018-09-05,荣晟环保,-0.3162465666666669,16.371027679999994,轻工制造
2018-09-06,荣晟环保,0.24542993333333385,16.37589856,轻工制造
2018-09-07,荣晟环保,0.36829553333333465,16.13722544,轻工制造
2018-09-08,荣晟环保,0.3507428333333316,16.13235456,轻工制造
2018-09-11,荣晟环保,1.438990433333334,16.13235456,轻工制造
2018-09-12,荣晟环保,0.8773139333333297,15.6842336,轻工制造
2018-09-13,荣晟环保,-1.9661673666666708,16.50741232,轻工制造
2018-09-14,荣晟环保,-2.598054666666666,17.67155264,轻工制造
2018-09-15,荣晟环保,-2.9139966666666663,18.04173952,轻工制造
2018-09-18,荣晟环保,-1.3693887666666669,18.04173952,轻工制造
2018-09-19,荣晟环保,-1.7555415666666685,17.16498112,轻工制造
2018-09-20,荣晟环保,-2.8964439666666633,17.48158832,轻工制造
2018-09-21,荣晟环保,-2.1592437666666697,17.613102079999994,轻工制造
2018-09-22,荣晟环保,-2.369872866666668,17.57413504,轻工制造
2018-09-26,荣晟环保,-2.598054666666666,17.57413504,轻工制造
2018-09-27,荣晟环保,-2.4225309666666703,17.61310208,轻工制造
2018-09-28,荣晟环保,-1.1412069666666689,17.22830256,轻工制造
2018-09-29,荣晟环保,-1.457148966666665,17.096788800000002,轻工制造
2018-10-09,荣晟环保,0.8948666333333293,17.096788800000002,轻工制造
2018-10-10,荣晟环保,-0.1407228666666711,16.14209632,轻工制造
2018-10-11,荣晟环保,-0.6146358666666671,16.522024960000003,轻工制造
2018-10-12,荣晟环保,1.9480088333333287,15.64526656,轻工制造
2018-10-13,荣晟环保,2.000666933333332,14.87566752,轻工制造
2018-10-16,荣晟环保,2.492132633333334,14.87566752,轻工制造
2018-10-17,荣晟环保,2.6149982333333317,14.99256864,轻工制造
2018-10-18,荣晟环保,1.2810194333333342,15.42120608,轻工制造
2018-10-19,荣晟环保,2.492132633333334,15.16304944,轻工制造
2018-10-20,荣晟环保,2.018219633333331,14.66621968,轻工制造
2018-10-23,荣晟环保,0.7895537333333316,14.66621968,轻工制造
2018-10-24,荣晟环保,1.7549324333333305,15.56733248,轻工制造
2018-10-25,荣晟环保,1.596961433333334,15.46017312,轻工制造
2018-10-26,荣晟环保,2.2288487333333293,14.96821424,轻工制造
2018-10-27,荣晟环保,2.439474533333332,15.148436800000002,轻工制造
2018-10-30,荣晟环保,-4.829851266666669,15.148436800000002,轻工制造
2018-10-31,荣晟环保,-5.0820735666666605,14.43241744,轻工制造
2018-11-01,荣晟环保,-5.403087666666668,14.77824992,轻工制造
2018-11-02,荣晟环保,-7.31444322222222,14.87079664,轻工制造
2018-11-03,荣晟环保,-8.781930122222217,15.2458544,轻工制造
2018-11-06,荣晟环保,-8.75900172222222,15.2458544,轻工制造
2018-11-07,荣晟环保,-8.919507122222218,15.21662912,轻工制造
2018-11-08,荣晟环保,-8.30041062222222,15.33840112,轻工制造
2018-11-09,荣晟环保,-8.736070022222219,15.513752800000002,轻工制造
2018-11-10,荣晟环保,-9.56153202222222,15.5624616,轻工制造
2018-11-13,荣晟环保,-10.29527712222222,15.5624616,轻工制造
2018-11-14,荣晟环保,-10.341133922222225,15.91803584,轻工制造
2018-11-15,荣晟环保,-10.501642622222217,16.35641504,轻工制造
2018-11-16,荣晟环保,-12.060846422222214,16.42947824,轻工制造
2018-11-17,荣晟环保,-16.004719322222222,17.46697568,轻工制造
2018-11-20,荣晟环保,-14.170358222222214,17.46697568,轻工制造
2018-11-21,荣晟环保,-12.725803022222221,17.30623664,轻工制造
2018-11-22,荣晟环保,-12.909236822222214,16.87272832,轻工制造
2018-11-23,荣晟环保,-13.161462422222217,17.16498112,轻工制造
2018-11-24,荣晟环保,-10.226488622222217,16.66815136,轻工制造
2018-11-27,荣晟环保,-9.974263022222212,16.66815136,轻工制造
2018-11-28,荣晟环保,-10.065979922222224,15.99109904,轻工制造
2018-11-29,荣晟环保,-10.364065622222224,15.67936272,轻工制造
2018-11-30,荣晟环保,-8.690213222222216,15.7816512,轻工制造
2018-12-01,荣晟环保,-8.75900172222222,15.17766208,轻工制造
2018-12-04,荣晟环保,-9.813757622222225,15.17766208,轻工制造
