2011-04-26,万方发展,90.1344688111111,4.4325,综合
2014-01-07,荣盛发展,0.2501905222222227,3.86742422,房地产
2014-01-08,荣盛发展,0.4907143222222246,3.86742422,房地产
2014-01-09,荣盛发展,0.7312381222222228,3.860992805,房地产
2014-01-10,荣盛发展,0.8274463222222259,3.860992805,房地产
2014-01-11,荣盛发展,1.0439164222222246,3.805253875,房地产
2014-01-14,荣盛发展,1.6692796222222237,3.805253875,房地产
2014-01-15,荣盛发展,1.2122824222222237,3.70020743,房地产
2014-01-16,荣盛发展,1.5249640222222247,3.72164548,房地产
2014-01-17,荣盛发展,1.597121822222224,3.70020743,房地产
2014-01-18,荣盛发展,2.126273522222224,3.63589328,房地产
2014-01-21,荣盛发展,2.1022198222222244,3.63589328,房地产
2014-01-22,荣盛发展,1.0679701222222242,3.719501675,房地产
2014-01-23,荣盛发展,-0.4473271777777725,3.94031359,房地产
2014-01-24,荣盛发展,-0.615693177777775,4.101098965,房地产
2014-01-25,荣盛发展,-2.900669277777773,4.272603365,房地产
2014-01-28,荣盛发展,-3.0690352777777754,4.272603365,房地产
2014-01-29,荣盛发展,-2.7804073777777774,4.495559085,房地产
2014-01-30,荣盛发展,-2.4677257777777757,4.444107765,房地产
2014-01-31,荣盛发展,-1.5296842777777755,4.281178585,房地产
2014-02-08,荣盛发展,-1.8904699777777731,4.281178585,房地产
2014-02-11,荣盛发展,-1.8904699777777731,4.238302485,房地产
2014-02-12,荣盛发展,-2.3474638777777765,4.401231665,房地产
2014-02-13,荣盛发展,-1.6739965777777748,4.31333566,房地产
2014-02-14,荣盛发展,-1.6739965777777748,4.23187107,房地产
2014-02-15,荣盛发展,-1.1207944777777747,4.17613214,房地产
2014-02-18,荣盛发展,-1.2891604777777772,4.17613214,房地产
2014-02-19,荣盛发展,-1.0486366777777754,4.182563555,房地产
2014-02-20,荣盛发展,-1.3132141777777768,4.16755692,房地产
2014-02-21,荣盛发展,-0.4713808777777757,4.148262675,房地产
2014-02-22,荣盛发展,0.9236545222222254,3.895293685,房地产
2014-02-25,荣盛发展,2.078169422222224,3.895293685,房地产
2014-02-26,荣盛发展,2.078169422222224,3.659475135,房地产
2014-02-27,荣盛发展,3.8114053222222246,3.676625575,房地产
2014-02-28,荣盛发展,4.863808322222223,3.59730479,房地产
2014-03-01,荣盛发展,3.661063922222226,3.60588001,房地产
2014-03-04,荣盛发展,3.3603778222222225,3.60588001,房地产
2014-03-05,荣盛发展,3.5107192222222245,3.74308353,房地产
2014-03-06,荣盛发展,4.133571122222225,3.689488405,房地产
2014-03-07,荣盛发展,2.3079748222222243,3.77738441,房地产
2014-03-08,荣盛发展,2.6730934222222267,4.036784815,房地产
