2011-04-26,万方发展,90.1344688111111,4.4325,综合
2012-07-25,建设银行,0.0076596333333327484,2.81833612,银行
2012-07-26,建设银行,0.10271943333333056,2.81833612,银行
2012-07-27,建设银行,0.10271943333333056,2.8074685,银行
2012-07-28,建设银行,-0.18245666666666693,2.8255812,银行
2012-07-31,建设银行,-0.18245666666666693,2.8255812,银行
2012-08-01,建设银行,-0.3725729666666666,2.86542914,银行
2012-08-02,建设银行,-0.5151593666666656,2.89440946,银行
2012-08-03,建设银行,-0.5626892666666663,2.9052770800000003,银行
2012-08-04,建设银行,-0.5626892666666663,2.90889962,银行
2012-08-07,建设银行,-0.610219166666667,2.90889962,银行
2012-08-08,建设银行,-0.610219166666667,2.9052770800000003,银行
2012-08-09,建设银行,-0.7052789666666648,2.92338978,银行
2012-08-10,建设银行,-0.8003354666666667,2.9342574,银行
2012-08-11,建设银行,-0.7528055666666659,2.93787994,银行
2012-08-14,建设银行,-0.8003354666666667,2.93787994,银行
2012-08-15,建设银行,-0.8003354666666667,2.94512502,银行
2012-08-16,建设银行,-0.6577490666666677,2.93063486,银行
2012-08-17,建设银行,-0.610219166666667,2.90889962,银行
2012-08-18,建设银行,-0.6577490666666677,2.9161447,银行
2012-08-21,建设银行,-0.7052789666666648,2.9161447,银行
2012-08-22,建设银行,-0.8003354666666667,2.91976724,银行
2012-08-23,建设银行,-0.6577490666666677,2.92338978,银行
2012-08-24,建设银行,-0.5626892666666663,2.90165454,银行
2012-08-25,建设银行,-0.4201028666666673,2.88716438,银行
2012-08-28,建设银行,0.525231633333334,2.88716438,银行
2012-08-29,建设银行,0.34461603333333096,2.90165454,银行
2012-08-30,建设银行,0.3897699333333336,2.9052770800000003,银行
2012-08-31,建设银行,0.2091543333333341,2.9161447000000003,银行
2012-09-01,建设银行,0.34461603333333096,2.9161447,银行
2012-09-04,建设银行,0.7842982999999997,2.9161447,银行
2012-09-05,建设银行,1.145532799999998,2.84731644,银行
2012-09-06,建设银行,1.2358405999999995,2.81109104,银行
2012-09-07,建设银行,1.190686699999997,2.81833612,银行
2012-09-08,建设银行,0.6488365999999992,2.86905168,银行
2012-09-11,建设银行,0.8294521999999986,2.86905168,银行
2012-09-12,建设银行,0.9649138999999956,2.85818406,银行
2012-09-13,建设银行,1.0100677999999979,2.85093898,银行
2012-09-14,建设银行,1.0100677999999979,2.85456152,银行
2012-09-15,建设银行,0.7391443999999971,2.87629676,银行
2012-09-18,建设银行,0.9649138999999956,2.87629676,银行
2012-09-19,建设银行,1.145532799999998,2.8436939,银行
2012-09-20,建设银行,1.145532799999998,2.8255812,银行
2012-09-21,建设银行,1.2358405999999995,2.81109104,银行
2012-09-22,建设银行,1.2809944999999985,2.8074685,银行
2012-09-25,建设银行,1.3713023000000002,2.8074685,银行
2012-09-26,建设银行,1.461610099999998,2.7821107200000004,银行
2012-09-27,建设银行,1.4164561999999992,2.7821107200000004,银行
2012-09-28,建设银行,1.055225,2.83644882,银行
2012-09-29,建设银行,0.7842982999999997,2.85456152,银行
2012-10-09,建设银行,0.7842982999999997,2.85456152,银行
2012-10-10,建设银行,0.4230670999999973,2.9052770800000003,银行
2012-10-11,建设银行,0.4230670999999973,2.92701232,银行
2012-10-12,建设银行,0.3779131999999983,2.9342574,银行
2012-10-13,建设银行,0.06183589999999839,2.97410534,银行
2012-10-16,建设银行,0.01668199999999942,2.97410534,银行
2012-10-17,建设银行,-0.11877970000000106,3.0067082000000003,银行
2012-10-18,建设银行,-0.11877970000000106,3.02844344,银行
2012-10-19,建设银行,-0.1639336,3.03206598,银行
2012-10-20,建设银行,-0.02847189999999955,3.02844344,银行
2012-10-23,建设银行,-0.11877970000000106,3.02844344,银行
2012-10-24,建设银行,-0.07362580000000207,3.02844344,银行
2012-10-25,建设银行,-0.02847189999999955,3.02119836,银行
2012-10-26,建设银行,-0.02847189999999955,3.0067082000000003,银行
2012-10-27,建设银行,0.10698980000000093,2.99946312,银行
2012-10-30,建设银行,0.6731674999999981,2.99946312,银行
2012-10-31,建设银行,0.6731674999999981,2.9849729600000003,银行
2012-11-01,建设银行,0.6731674999999981,2.9885955,银行
2012-11-02,建设银行,0.12420103333333544,3.01757582,银行
2012-11-03,建设银行,-0.1384987666666646,3.05017868,银行
2012-11-06,建设银行,-0.050933266666664416,3.05017868,银行
2012-11-07,建设银行,-0.1384987666666646,3.05742376,银行
2012-11-08,建设银行,-0.18227986666666496,3.07553646,银行
2012-11-09,建设银行,-0.2698486666666646,3.079159,银行
2012-11-10,建设银行,-0.313629766666665,3.09364916,银行
2012-11-13,建设银行,-0.4011985666666647,3.09364916,银行
2012-11-14,建设银行,-0.444979666666665,3.11176186,银行
2012-11-15,建设银行,-0.2698486666666646,3.1153844,银行
2012-11-16,建设银行,0.16798213333333578,3.06466884,银行
2012-11-17,建设银行,0.0804166333333356,3.01757582,银行
2012-11-20,建设银行,0.03663553333333525,3.01757582,银行
2012-11-21,建设银行,0.25555093333333545,3.02119836,银行
2012-11-22,建设银行,0.2117665333333356,2.99946312,银行
2012-11-23,建设银行,0.2993320333333358,2.99946312,银行
2012-11-24,建设银行,0.2993320333333358,3.01395328,银行
2012-11-27,建设银行,0.25555093333333545,3.01395328,银行
2012-11-28,建设银行,0.16798213333333578,3.01757582,银行
2012-11-29,建设银行,0.12420103333333544,3.02844344,银行
2012-11-30,建设银行,0.25555093333333545,3.0248209,银行
2012-12-01,建设银行,0.2117665333333356,3.0067082000000003,银行
2012-12-04,建设银行,0.2117665333333356,3.0067082000000003,银行
2012-12-05,建设银行,0.2117665333333356,3.01395328,银行
2012-12-06,建设银行,-0.1384987666666646,3.04655614,银行
2012-12-07,建设银行,-0.313629766666665,3.0972717000000003,银行
2012-12-08,建设银行,-0.3574141666666648,3.12987456,银行
2012-12-11,建设银行,-0.5325451666666652,3.12987456,银行
2012-12-12,建设银行,-0.576329566666665,3.1516097999999997,银行
2012-12-13,建设银行,-0.707679466666665,3.16247742,银行
2012-12-14,建设银行,-0.5325451666666652,3.1552323400000004,银行
2012-12-15,建设银行,-1.233075766666662,3.20957044,银行
2012-12-18,建设银行,-1.233075766666662,3.20957044,银行
2012-12-19,建设银行,-1.3206412666666625,3.28926632,银行
2012-12-20,建设银行,-1.364425666666662,3.28564378,银行
2012-12-21,建设银行,-1.364425666666662,3.2602860000000002,银行
2012-12-22,建设银行,-0.839029366666665,3.23130568,银行
2012-12-25,建设银行,-0.8828104666666654,3.23130568,银行
2012-12-26,建设银行,-1.5833410666666623,3.26390854,银行
2012-12-27,建设银行,-1.5833410666666623,3.30375648,银行
2012-12-28,建设银行,-1.2768601666666657,3.2965114,银行
2012-12-29,建设银行,-1.364425666666662,3.28564378,银行
2013-01-01,建设银行,-1.6709065666666625,3.28564378,银行
2013-01-05,建设银行,-2.108740666666666,3.31824664,银行
2013-01-08,建设银行,-2.240087266666663,3.40881014,银行
2013-01-09,建设银行,-1.8898219666666627,3.3906974400000003,银行
2013-01-10,建设银行,-1.6709065666666625,3.34722696,银行
2013-01-11,建设银行,-1.7584753666666657,3.34360442,银行
2013-01-12,建设银行,-1.8022564666666625,3.33998188,银行
2013-01-15,建设银行,-2.3276560666666626,3.33998188,银行
2013-01-16,建设银行,-2.240087266666663,3.43416792,银行
2013-01-17,建设银行,-1.977390766666666,3.39794252,银行
2013-01-18,建设银行,-1.7146909666666623,3.33998188,银行
2013-01-19,建设银行,-1.8898219666666627,3.36171712,银行
2013-01-22,建设银行,-1.7584753666666657,3.36171712,银行
2013-01-23,建设银行,-1.8898219666666627,3.36533966,银行
2013-01-24,建设银行,-2.0649562666666625,3.3798298200000003,银行
2013-01-25,建设银行,-2.2838716666666627,3.45228062,银行
2013-01-26,建设银行,-2.0649562666666625,3.4233002999999997,银行
2013-01-29,建设银行,-2.502787066666663,3.4233002999999997,银行
