2011-04-26,万方发展,90.1344688111111,4.4325,综合
2012-07-10,浦发银行,0.03715650000000181,4.31655915,银行
2012-07-11,浦发银行,-0.02625959999999949,4.31655915,银行
2012-07-12,浦发银行,-0.047396100000000274,4.313759825,银行
2012-07-13,浦发银行,0.03715650000000181,4.28296725,银行
2012-07-14,浦发银行,-0.08967240000000133,4.319358475,银行
2012-07-17,浦发银行,0.12170579999999732,4.319358475,银行
2012-07-18,浦发银行,-0.005119799999999231,4.2969638749999985,银行
2012-07-19,浦发银行,0.03715650000000181,4.280167925,银行
2012-07-20,浦发银行,-0.005119799999999231,4.29416455,银行
2012-07-21,浦发银行,0.16398209999999835,4.277368599999999,银行
2012-07-24,浦发银行,0.5021924999999996,4.277368599999999,银行
2012-07-25,浦发银行,0.4810526999999993,4.173793575,银行
2012-07-26,浦发银行,0.5867450999999999,4.168194925,银行
2012-07-27,浦发银行,0.6078816000000007,4.14859965,银行
2012-07-28,浦发银行,0.4176398999999975,4.1877902,银行
2012-07-31,浦发银行,0.2696745000000007,4.1877902,银行
2012-08-01,浦发银行,0.05829299999999904,4.268970625,银行
2012-08-02,浦发银行,0.0794327999999993,4.28296725,银行
2012-08-03,浦发银行,-0.13194870000000236,4.31655915,银行
2012-08-04,浦发银行,-0.11081220000000158,4.319358475,银行
2012-08-07,浦发银行,-0.06853590000000054,4.319358475,银行
2012-08-08,浦发银行,-0.005119799999999231,4.30536185,银行
2012-08-09,浦发银行,-0.08967240000000133,4.32775645,银行
2012-08-10,浦发银行,-0.13194870000000236,4.324957125,银行
2012-08-11,浦发银行,-0.2376410999999976,4.375344975,银行
2012-08-14,浦发银行,-0.13194870000000236,4.375344975,银行
2012-08-15,浦发银行,-0.2376410999999976,4.3473517249999984,银行
2012-08-16,浦发银行,1.4840216999999996,4.2969638749999985,银行
2012-08-17,浦发银行,1.5814211999999994,4.224181425,银行
2012-08-18,浦发银行,1.5424613999999988,4.2241814249999985,银行
2012-08-21,浦发银行,1.6009010999999995,4.2241814249999985,银行
2012-08-22,浦发银行,1.6203809999999998,4.212984125,银行
2012-08-23,浦发银行,1.6009010999999995,4.1989874999999985,银行
2012-08-24,浦发银行,1.6009010999999995,4.20458615,银行
2012-08-25,浦发银行,1.6593441000000002,4.19338885,银行
2012-08-28,浦发银行,1.8346632,4.19338885,银行
2012-08-29,浦发银行,1.4450585999999994,4.20458615,银行
2012-08-30,浦发银行,1.5424613999999988,4.224181425,银行
2012-08-31,浦发银行,1.425578699999999,4.2325794000000005,银行
2012-09-01,浦发银行,1.425578699999999,4.268970625,银行
2012-09-04,浦发银行,1.9765550333333337,4.268970625,银行
2012-09-05,浦发银行,2.2103171333333336,4.20458615,银行
2012-09-06,浦发银行,2.483039033333334,4.123405725,银行
