2011-04-26,股票具体名称,价格,指标,ROE,roe,PE,pe,板块
2014-01-16,荣盛发展,3.70020743,1.5249640222222247,ROE,22.282142222222223,PE,6.290054,房地产
2014-02-15,荣盛发展,3.70020743,-1.1207944777777747,ROE,22.282142222222223,PE,7.091799,房地产
2014-02-25,荣盛发展,4.17613214,2.0781694222222242,ROE,22.282142222222223,PE,6.122416,房地产
2014-03-07,荣盛发展,3.659475135,2.3079748222222243,ROE,22.282142222222223,PE,6.052778,房地产
2014-03-27,荣盛发展,4.036784815,-3.340635177777777,ROE,22.282142222222223,PE,7.764478,房地产
2014-04-16,荣盛发展,5.374519135,-2.8466482777777777,ROE,22.282142222222223,PE,7.614785,房地产
2014-04-26,荣盛发展,5.078674045,-1.6868599777777753,ROE,22.282142222222223,PE,7.263334,房地产
2014-05-06,荣盛发展,4.791404175,-2.5889884333333306,ROE,18.568126666666668,PE,6.411247,房地产
2014-05-16,荣盛发展,4.356211760000001,-2.5889884333333306,ROE,18.568126666666668,PE,6.411247,房地产
2014-06-05,荣盛发展,4.407663080000001,-2.601983833333332,ROE,18.568126666666668,PE,6.415185,房地产
2014-06-25,荣盛发展,4.39382363,-1.5549961333333293,ROE,18.568126666666668,PE,6.097916,房地产
2014-07-05,荣盛发展,4.148871789999999,-1.8272131333333306,ROE,18.568126666666668,PE,6.180406,房地产
2014-07-15,荣盛发展,4.24728994,-1.9319122333333283,ROE,18.568126666666668,PE,6.212133,房地产
2014-07-25,荣盛发展,4.310714969999999,-4.884418933333329,ROE,18.568126666666668,PE,7.106832,房地产
2014-08-14,荣盛发展,4.88154024,-4.301675233333331,ROE,18.568126666666668,PE,6.930243,房地产
2014-09-03,荣盛发展,4.7131358500000005,1.1908378333333296,ROE,22.10899333333333,PE,6.338835,房地产
2014-09-13,荣盛发展,4.64096254,0.8352892333333344,ROE,22.10899333333333,PE,6.446577,房地产
2014-09-23,荣盛发展,4.6540849600000005,0.8155387333333302,ROE,22.10899333333333,PE,6.452562,房地产
2014-10-23,荣盛发展,4.71750999,1.0723216333333312,ROE,22.10899333333333,PE,6.374749,房地产
2014-11-12,荣盛发展,4.579724580000001,0.7824255444444468,ROE,21.826304444444446,PE,6.376933,房地产
2014-11-22,荣盛发展,4.678142729999999,0.37323874444444627,ROE,21.826304444444446,PE,6.500929,房地产
2014-12-02,荣盛发展,4.79187037,-2.8028264555555538,ROE,21.826304444444446,PE,7.463373,房地产
2014-12-12,荣盛发展,5.61639576,-8.492468655555552,ROE,21.826304444444446,PE,9.187507,房地产
2015-01-01,荣盛发展,6.68587299,-9.23978005555555,ROE,21.826304444444446,PE,9.413965,房地产
2015-01-21,荣盛发展,6.59839019,-10.081517655555551,ROE,21.826304444444446,PE,9.669037,房地产
2015-01-31,荣盛发展,7.1298482,-10.081517655555551,ROE,21.826304444444446,PE,9.669037,房地产
