2011-04-26,股票具体名称,价格,指标,ROE,roe,PE,pe,板块
2011-11-08,兴业银行,6.765600210000001,0.08167741111111226,ROE,19.805411111111113,PE,5.976889,银行
2011-11-18,兴业银行,6.765600210000001,0.8472114111111146,ROE,19.805411111111113,PE,5.744909,银行
2011-12-08,兴业银行,6.467646670000001,0.8321997111111159,ROE,19.805411111111113,PE,5.749458,银行
2011-12-28,兴业银行,6.4727838,1.2825144111111122,ROE,19.805411111111113,PE,5.612999,银行
2012-01-07,兴业银行,6.300689945,0.607044011111114,ROE,19.805411111111113,PE,5.817687,银行
2012-01-17,兴业银行,6.52929223,1.219464611111114,ROE,19.805411111111113,PE,5.632105,银行
2012-02-16,兴业银行,6.870911375,0.1310982111111123,ROE,19.805411111111113,PE,5.961913,银行
2012-03-07,兴业银行,7.23307904,0.4380741111111135,ROE,19.805411111111113,PE,5.86889,银行
2012-03-17,兴业银行,7.107219355,0.675281411111115,ROE,19.805411111111113,PE,5.797009,银行
2012-03-27,兴业银行,6.99677106,0.6296622111111141,ROE,19.805411111111113,PE,5.810833,银行
2012-04-06,兴业银行,7.04300523,1.2856032111111126,ROE,19.805411111111113,PE,5.612063,银行
2012-04-26,兴业银行,6.78614873,-0.0960572888888862,ROE,19.805411111111113,PE,6.030748,银行
2012-05-16,兴业银行,7.37178155,3.6253227000000017,ROE,20.69286,PE,5.171981,银行
2012-05-26,兴业银行,7.138661985000001,4.136103300000002,ROE,20.69286,PE,5.017199,银行
2012-06-05,兴业银行,7.02534989,4.422639,ROE,20.69286,PE,4.93037,银行
2012-06-15,兴业银行,6.88305098,5.195040299999999,ROE,20.69286,PE,4.696309,银行
2012-07-05,兴业银行,6.727576245,4.322975700000001,ROE,20.69286,PE,4.960571,银行
2012-07-25,兴业银行,6.848793835,5.817941699999999,ROE,20.69286,PE,4.507551,银行
2012-08-04,兴业银行,6.316490505,5.1078312,ROE,20.69286,PE,4.722736,银行
2012-08-14,兴业银行,6.566831179999999,5.8337124,ROE,20.69286,PE,4.502772,银行
2012-08-24,兴业银行,6.69858943,6.279017700000001,ROE,20.69286,PE,4.367831,银行
2012-09-13,兴业银行,6.45615425,6.441500733333335,ROE,20.761593333333334,PE,4.339422,银行
2012-10-13,兴业银行,6.41399161,6.453219033333335,ROE,20.761593333333334,PE,4.335871,银行
2012-10-23,兴业银行,6.44561359,6.019632033333336,ROE,20.761593333333334,PE,4.467261,银行
2012-11-02,兴业银行,6.585277335000001,7.082035644444446,ROE,20.702904444444446,PE,4.127536,银行
2012-11-22,兴业银行,6.685413605,7.243547544444448,ROE,20.702904444444446,PE,4.078593,银行
2012-12-12,兴业银行,6.535209200000001,5.585353644444446,ROE,20.702904444444446,PE,4.581076,银行
2012-12-22,兴业银行,7.47332794,4.293255144444448,ROE,20.702904444444446,PE,4.972621,银行
2013-01-01,兴业银行,8.0109016,-0.458800955555553,ROE,20.702904444444446,PE,6.412638,银行
2013-01-11,兴业银行,8.756653295,0.498908544444447,ROE,20.702904444444446,PE,6.122423,银行
2013-01-31,兴业银行,8.685503839999999,-3.329345555555552,ROE,20.702904444444446,PE,7.2825,银行
2013-02-20,兴业银行,10.487956700000002,-2.9187430555555522,ROE,20.702904444444446,PE,7.158075,银行
2013-03-02,兴业银行,10.047884145000001,-3.6433339555555513,ROE,20.702904444444446,PE,7.377648,银行
2013-03-12,兴业银行,10.4879567,-2.351146355555553,ROE,20.702904444444446,PE,6.986076,银行
2013-03-22,兴业银行,9.900314905,-3.5346451555555554,ROE,20.702904444444446,PE,7.344712,银行
2013-04-11,兴业银行,10.688229239999998,-0.1411462555555545,ROE,20.702904444444446,PE,6.316379,银行
2013-05-11,兴业银行,9.259969810000001,-0.6921004000000011,ROE,19.76852,PE,6.200188,银行
2013-05-21,兴业银行,9.60254126,-1.0394617000000004,ROE,19.76852,PE,6.305449,银行
2013-05-31,兴业银行,9.72902918,-1.1515132000000001,ROE,19.76852,PE,6.339404,银行
2013-06-20,兴业银行,9.85024677,1.5937501999999988,ROE,19.76852,PE,5.507506,银行
2013-07-10,兴业银行,8.329756565,4.423054700000002,ROE,19.76852,PE,4.650141,银行
2013-07-20,兴业银行,7.67424644,4.0196693,ROE,19.76852,PE,4.772379,银行
2013-07-30,兴业银行,7.867749435,4.423054700000002,ROE,19.76852,PE,4.650141,银行
2013-08-09,兴业银行,7.6166072499999995,4.187744899999998,ROE,19.76852,PE,4.721447,银行
2013-08-29,兴业银行,7.64954393,2.790613999999998,ROE,19.76852,PE,5.14482,银行
2013-09-18,兴业银行,8.839381495,0.5660676000000038,ROE,19.578120000000002,PE,5.761228,银行
2013-09-28,兴业银行,9.79042813,1.655216100000004,ROE,19.578120000000002,PE,5.431183,银行
2013-10-18,兴业银行,9.172865380000001,1.8474180000000047,ROE,19.578120000000002,PE,5.37294,银行
2013-11-07,兴业银行,9.218153315,2.5462759444444423,ROE,19.507764444444444,PE,5.139845,银行
2013-11-27,兴业银行,9.242855825,3.258686544444444,ROE,19.507764444444444,PE,4.923963,银行
2013-12-07,兴业银行,8.85996692,3.1525849444444454,ROE,19.507764444444444,PE,4.956115,银行
2013-12-17,兴业银行,8.884669429999999,3.895312644444445,ROE,19.507764444444444,PE,4.731046,银行
2013-12-27,兴业银行,8.45649259,4.850246844444445,ROE,19.507764444444444,PE,4.441672,银行
2014-01-16,兴业银行,8.09418911,4.910877744444445,ROE,19.507764444444444,PE,4.423299,银行
2014-02-15,兴业银行,7.884217775,4.531935444444445,ROE,19.507764444444444,PE,4.53813,银行
2014-02-25,兴业银行,8.139477045,5.683922544444446,ROE,19.507764444444444,PE,4.189043,银行
2014-03-07,兴业银行,7.484860530000001,5.699079444444445,ROE,19.507764444444444,PE,4.18445,银行
2014-03-27,兴业银行,7.4930947,5.304980244444444,ROE,19.507764444444444,PE,4.303874,银行
2014-04-16,兴业银行,7.810110245,4.281983544444445,ROE,19.507764444444444,PE,4.613873,银行
2014-04-26,兴业银行,8.238287085,3.9158320444444463,ROE,19.507764444444444,PE,4.724828,银行
2014-05-06,兴业银行,8.489429269999999,4.975964766666669,ROE,19.426146666666668,PE,4.378843,银行
2014-05-16,兴业银行,8.24240417,5.048073066666669,ROE,19.426146666666668,PE,4.356992,银行
2014-06-05,兴业银行,8.23417,5.408604666666667,ROE,19.426146666666668,PE,4.24774,银行
2014-06-25,兴业银行,8.048901175,5.105757066666669,ROE,19.426146666666668,PE,4.339512,银行
