2011-04-26,万方发展,90.1344688111111,4.4325,综合
2012-09-06,中联重科,0.20291086666666305,6.59503054,机械设备
2012-09-07,中联重科,-0.1900663333333341,6.59503054,机械设备
2012-09-08,中联重科,-2.435653633333338,6.98999182,机械设备
2012-09-11,中联重科,-2.9970496333333365,6.98999182,机械设备
2012-09-12,中联重科,-2.5760026333333386,7.220385899999999,机械设备
2012-09-13,中联重科,-2.9970496333333365,7.31501204,机械设备
2012-09-14,中联重科,-2.2672348333333368,7.27387024,机械设备
2012-09-15,中联重科,-2.3795140333333364,7.199814999999999,机械设备
2012-09-18,中联重科,-0.7795321333333369,7.199814999999999,机械设备
2012-09-19,中联重科,-0.7795321333333369,6.75548356,机械设备
2012-09-20,中联重科,-0.9479509333333348,6.81308208,机械设备
2012-09-21,中联重科,-0.1900663333333341,6.693770860000001,机械设备
2012-09-22,中联重科,-0.30234553333333736,6.61971562,机械设备
2012-09-25,中联重科,-1.0602301333333344,6.61971562,机械设备
2012-09-26,中联重科,-0.8076019333333342,6.83776716,机械设备
2012-09-27,中联重科,-0.4988341333333359,6.71022758,机械设备
2012-09-28,中联重科,-1.397067733333337,6.80073954,机械设备
2012-09-29,中联重科,-1.930397233333334,7.00233436,机械设备
2012-10-09,中联重科,-1.5654865333333348,7.00233436,机械设备
2012-10-10,中联重科,-2.239165033333336,7.080503780000001,机械设备
2012-10-11,中联重科,-2.239165033333336,7.1545590200000015,机械设备
2012-10-12,中联重科,-1.846184533333336,7.17101574,机械设备
2012-10-13,中联重科,-1.930397233333334,7.10107468,机械设备
2012-10-16,中联重科,-2.014606633333333,7.10107468,机械设备
2012-10-17,中联重科,-1.9023274333333369,7.125759759999998,机械设备
2012-10-18,中联重科,-1.9023274333333369,7.047590339999998,机械设备
2012-10-19,中联重科,-2.632142233333333,7.21627172,机械设备
2012-10-20,中联重科,-2.9970496333333365,7.45489416,机械设备
2012-10-23,中联重科,-3.193538233333338,7.45489416,机械设备
2012-10-24,中联重科,-2.856700633333337,7.42198072,机械设备
2012-10-25,中联重科,-2.7444214333333363,7.33146876,机械设备
2012-10-26,中联重科,-2.3795140333333364,7.310897860000002,机械设备
2012-10-27,中联重科,-1.4532073333333348,7.06404706,机械设备
2012-10-30,中联重科,-1.2005791333333349,7.06404706,机械设备
2012-10-31,中联重科,-1.537416733333334,6.94473584,机械设备
2012-11-01,中联重科,-1.2730372333333368,6.94885002,机械设备
2012-11-02,中联重科,-3.8819657666666667,7.0146769,机械设备
2012-11-03,中联重科,-3.9380756666666654,7.10930304,机械设备
2012-11-06,中联重科,-4.27474826666667,7.10930304,机械设备
2012-11-07,中联重科,-4.022245466666668,7.1175314,机械设备
2012-11-08,中联重科,-3.657519566666668,7.0887321399999985,机械设备
2012-11-09,中联重科,-2.843897966666667,6.87890896,机械设备
2012-11-10,中联重科,-2.7036215666666688,6.79251118,机械设备
2012-11-13,中联重科,-2.843897966666667,6.79251118,机械设备
2012-11-14,中联重科,-2.5352852666666688,6.70199922,机械设备
2012-11-15,中联重科,-2.50722866666667,6.69377086,机械设备
2012-11-16,中联重科,-2.423062166666668,6.6855425,机械设备
2012-11-17,中联重科,-2.4511187666666707,6.65674324,机械设备
2012-11-20,中联重科,-2.67556496666667,6.65674324,机械设备
2012-11-21,中联重科,-2.423062166666668,6.730798480000002,机械设备
2012-11-22,中联重科,-2.7597314666666684,6.72257012,机械设备
2012-11-23,中联重科,-2.50722866666667,6.7266843000000005,机械设备
2012-11-24,中联重科,-2.5633418666666685,6.73079848,机械设备
2012-11-27,中联重科,-2.14250276666667,6.73079848,机械设备
2012-11-28,中联重科,-1.9180565666666711,6.55800292,机械设备
2012-11-29,中联重科,-1.8058334666666696,6.52920366,机械设备
2012-11-30,中联重科,-1.8058334666666696,6.55800292,机械设备
2012-12-01,中联重科,-1.9461131666666704,6.55388874,机械设备
2012-12-04,中联重科,-1.6936103666666682,6.55388874,机械设备
2012-12-05,中联重科,-2.058336266666672,6.5209753,机械设备
2012-12-06,中联重科,-3.405016766666669,6.84599552,机械设备
2012-12-07,中联重科,-3.0683474666666686,6.92416494,机械设备
2012-12-08,中联重科,-3.657519566666668,6.98587764,机械设备
2012-12-11,中联重科,-3.8539091666666683,6.98587764,机械设备
2012-12-12,中联重科,-3.6014063666666694,7.0558187000000006,机械设备
2012-12-13,中联重科,-3.769742666666669,7.10930304,机械设备
2012-12-14,中联重科,-3.3769601666666698,7.00233436,机械设备
2012-12-15,中联重科,-4.6114175666666695,7.16690156,机械设备
2012-12-18,中联重科,-4.723640666666668,7.16690156,机械设备
2012-12-19,中联重科,-4.555304366666668,7.360268019999999,机械设备
2012-12-20,中联重科,-5.453092466666671,7.45489416,机械设备
2012-12-21,中联重科,-5.453092466666671,7.53306358,机械设备
2012-12-22,中联重科,-5.17253306666667,7.549520299999998,机械设备
2012-12-25,中联重科,-5.144476466666671,7.549520299999998,机械设备
2012-12-26,中联重科,-5.930041466666669,7.60711882,机械设备
2012-12-27,中联重科,-5.930041466666669,7.75934348,机械设备
2012-12-28,中联重科,-5.4250358666666685,7.68117406,机械设备
2012-12-29,中联重科,-5.70559526666667,7.58654792,机械设备
2013-01-01,中联重科,-5.481149066666671,7.58654792,机械设备
2013-01-05,中联重科,-5.453092466666671,7.53306358,机械设备
2013-01-08,中联重科,-5.4250358666666685,7.570091199999999,机械设备
2013-01-09,中联重科,-5.4250358666666685,7.56186284,机械设备
2013-01-10,中联重科,-4.6114175666666695,7.31089786,机械设备
2013-01-11,中联重科,-4.6114175666666695,7.33969712,机械设备
2013-01-12,中联重科,-3.8819657666666667,7.232728440000002,机械设备
2013-01-15,中联重科,-4.8358637666666695,7.232728440000002,机械设备
2013-01-16,中联重科,-5.228646266666671,7.4466658,机械设备
2013-01-17,中联重科,-4.976143466666667,7.41786654,机械设备
2013-01-18,中联重科,-4.779750566666666,7.40140982,机械设备
