2011-04-26,万方发展,90.1344688111111,4.4325,综合
2018-05-03,韶钢松山,59.7661014,7.2650000000000015,钢铁
2018-05-04,韶钢松山,59.7661014,7.2650000000000015,钢铁
2018-05-05,韶钢松山,60.3636819,7.085,钢铁
2018-05-08,韶钢松山,60.26408789999999,7.085,钢铁
2018-05-09,韶钢松山,59.990194499999994,7.16,钢铁
2018-05-10,韶钢松山,60.4632792,6.965,钢铁
2018-05-11,韶钢松山,60.214287600000006,6.9849999999999985,钢铁
2018-05-12,韶钢松山,59.915499,7.105,钢铁
2018-05-15,韶钢松山,60.08979179999999,7.105,钢铁
2018-05-16,韶钢松山,60.039994799999995,7.055,钢铁
2018-05-17,韶钢松山,60.5130795,6.9849999999999985,钢铁
2018-05-18,韶钢松山,60.4881777,6.914999999999999,钢铁
2018-05-19,韶钢松山,60.8616684,6.815,钢铁
2018-05-22,韶钢松山,60.6375753,6.815,钢铁
2018-05-23,韶钢松山,60.9114654,6.79,钢铁
2018-05-24,韶钢松山,61.683342,6.585,钢铁
2018-05-25,韶钢松山,61.583744700000004,6.52,钢铁
2018-05-26,韶钢松山,61.9323336,6.425,钢铁
2018-05-29,韶钢松山,61.9821306,6.425,钢铁
2018-05-30,韶钢松山,61.26005429999999,6.495,钢铁
2018-05-31,韶钢松山,61.6335417,6.52,钢铁
2018-06-01,韶钢松山,61.33475309999999,6.545,钢铁
2018-06-02,韶钢松山,61.0608597,6.725,钢铁
2018-06-05,韶钢松山,60.8865669,6.725,钢铁
2018-06-06,韶钢松山,60.8865669,6.715,钢铁
2018-06-07,韶钢松山,60.8865669,6.79,钢铁
2018-06-08,韶钢松山,60.388583700000005,6.95,钢铁
2018-06-09,韶钢松山,60.6624738,6.92,钢铁
2018-06-12,韶钢松山,60.28898639999999,6.92,钢铁
2018-06-13,韶钢松山,59.940397499999996,7.055,钢铁
2018-06-14,韶钢松山,60.01509300000001,7.21,钢铁
2018-06-15,韶钢松山,59.4424143,7.25,钢铁
2018-06-16,韶钢松山,59.6665074,7.324999999999998,钢铁
2018-06-20,韶钢松山,61.409448600000005,7.324999999999998,钢铁
2018-06-21,韶钢松山,60.58777499999999,6.755,钢铁
2018-06-22,韶钢松山,60.338783400000004,7.1099999999999985,钢铁
