2011-04-26,股票具体名称,价格,指标,ROE,roe,PE,pe,板块
2010-05-07,浙江医药,17.71522111,2.0870465666666718,ROE,41.36264666666667,PE,11.901697,医药生物
2010-05-27,浙江医药,17.71522111,8.587327166666668,ROE,41.36264666666667,PE,9.931915,医药生物
2010-06-26,浙江医药,15.192961740000001,11.87434166666667,ROE,41.36264666666667,PE,8.93585,医药生物
2010-07-06,浙江医药,13.7127742,15.603836666666673,ROE,41.36264666666667,PE,7.8057,医药生物
2010-07-16,浙江医药,12.31674448,12.959477366666672,ROE,41.36264666666667,PE,8.607021,医药生物
2010-08-05,浙江医药,13.153372220000001,6.511871366666675,ROE,41.36264666666667,PE,10.560841,医药生物
2010-08-25,浙江医药,16.529585939999997,5.548462766666667,ROE,41.36264666666667,PE,10.852783,医药生物
2010-09-04,浙江医药,17.29443201,6.5624883999999994,ROE,41.41198,PE,10.560452,医药生物
2010-09-14,浙江医药,17.16819528,5.266182399999998,ROE,41.41198,PE,10.953272,医药生物
2010-10-14,浙江医药,17.586509149999998,7.9391824,ROE,41.41198,PE,10.143272,医药生物
2010-11-03,浙江医药,16.2622611,0.5217252333333349,ROE,40.630113333333334,PE,12.154057,医药生物
2010-11-13,浙江医药,17.831556919999997,2.1176976333333357,ROE,40.630113333333334,PE,11.670429,医药生物
2010-11-23,浙江医药,17.90581382,2.139708633333335,ROE,40.630113333333334,PE,11.663759,医药生物
2010-12-03,浙江医药,17.00235487,2.6240034333333355,ROE,40.630113333333334,PE,11.517003,医药生物
2010-12-23,浙江医药,16.91077136,3.6586326333333403,ROE,40.630113333333334,PE,11.203479,医药生物
2011-01-12,浙江医药,16.60631807,5.815944933333341,ROE,40.630113333333334,PE,10.549748,医药生物
2011-01-22,浙江医药,15.67068113,7.202789733333333,ROE,40.630113333333334,PE,10.129492,医药生物
2011-02-01,浙江医药,15.10137823,6.487353033333335,ROE,40.630113333333334,PE,10.346291,医药生物
2011-02-11,浙江医药,15.341475540000001,6.069097833333338,ROE,40.630113333333334,PE,10.473035,医药生物
2011-03-03,浙江医药,15.66078021,4.142927433333334,ROE,40.630113333333334,PE,11.056723,医药生物
2011-03-23,浙江医药,16.2622611,-6.777013466666659,ROE,40.630113333333334,PE,14.365796,医药生物
2011-04-02,浙江医药,18.321652460000003,-6.893747666666663,ROE,40.630113333333334,PE,14.40117,医药生物
2011-04-12,浙江医药,17.9701698,-5.23460996666666,ROE,40.630113333333334,PE,13.898401,医药生物
2011-04-22,浙江医药,17.60878622,-7.60893686666666,ROE,40.630113333333334,PE,14.617894,医药生物
2011-05-12,浙江医药,18.14838636,-18.849403366666664,ROE,28.122793333333334,PE,14.233999,医药生物
2011-06-01,浙江医药,17.07413654,-13.627272166666664,ROE,28.122793333333334,PE,12.651535,医药生物
2011-06-11,浙江医药,15.269693870000001,-15.543403966666666,ROE,28.122793333333334,PE,13.232181,医药生物
2011-06-21,浙江医药,15.900877519999998,-12.682699966666668,ROE,28.122793333333334,PE,12.365301,医药生物
2011-07-01,浙江医药,15.328997345,-14.234498566666659,ROE,28.122793333333334,PE,12.835543,医药生物
2011-07-21,浙江医药,15.88305749,-19.888434766666663,ROE,28.122793333333334,PE,14.548857,医药生物
2011-08-10,浙江医药,18.046169014999997,-17.108692966666666,ROE,28.122793333333334,PE,13.706511,医药生物
2011-08-20,浙江医药,16.89503949,-15.67834096666666,ROE,28.122793333333334,PE,13.273071,医药生物
2011-08-30,浙江医药,16.166412450000003,-13.342640566666667,ROE,28.122793333333334,PE,12.565283,医药生物
2011-09-09,浙江医药,16.53578588,-8.992738999999993,ROE,29.653660000000002,PE,11.71103,医药生物
2011-09-29,浙江医药,15.076001845,-4.700118799999991,ROE,29.653660000000002,PE,10.410236,医药生物
2011-10-19,浙江医药,13.34298267,-3.008697199999993,ROE,29.653660000000002,PE,9.897684,医药生物
2011-10-29,浙江医药,12.77627275,-5.706344899999998,ROE,29.653660000000002,PE,10.715153,医药生物
2011-11-08,浙江医药,13.001438745,-8.223665666666665,ROE,28.463193333333333,PE,11.11723,医药生物
2011-11-18,浙江医药,13.497309925,-6.636913466666666,ROE,28.463193333333333,PE,10.636396,医药生物
2011-12-08,浙江医药,12.733263515,-3.2582183666666644,ROE,28.463193333333333,PE,9.612549,医药生物
2011-12-28,浙江医药,11.64285291,1.1874294333333353,ROE,28.463193333333333,PE,8.265383,医药生物
2012-01-07,浙江医药,10.086930585000001,2.760506433333333,ROE,28.463193333333333,PE,7.788693,医药生物
2012-01-17,浙江医药,9.416492510000001,2.0081658333333365,ROE,28.463193333333333,PE,8.016675,医药生物
2012-02-16,浙江医药,10.031271575,-6.4332737666666695,ROE,28.463193333333333,PE,10.574687,医药生物
2012-03-07,浙江医药,11.756700885,-6.8463380666666644,ROE,28.463193333333333,PE,10.699858,医药生物
2012-03-17,浙江医药,11.57707408,-9.401231066666664,ROE,28.463193333333333,PE,11.474068,医药生物
2012-03-27,浙江医药,12.34112049,-6.72395096666666,ROE,28.463193333333333,PE,10.662771,医药生物
2012-04-06,浙江医药,11.685862145000002,-5.117580266666668,ROE,28.463193333333333,PE,10.175992,医药生物
2012-04-26,浙江医药,11.10650245,-3.911212466666665,ROE,28.463193333333333,PE,9.810426,医药生物
2012-05-16,浙江医药,11.802240075,-12.485950033333328,ROE,21.59908666666667,PE,10.328799,医药生物
2012-05-26,浙江医药,11.90596823,-12.056484733333331,ROE,21.59908666666667,PE,10.198658,医药生物
2012-06-05,浙江医药,11.984396835,-12.185323333333333,ROE,21.59908666666667,PE,10.2377,医药生物
2012-06-15,浙江医药,12.404369365,-14.289693733333326,ROE,21.59908666666667,PE,10.875388,医药生物
2012-07-05,浙江医药,12.923010139999999,-14.189485933333334,ROE,21.59908666666667,PE,10.845022,医药生物
2012-07-25,浙江医药,12.41908647,-11.226191533333331,ROE,21.59908666666667,PE,9.947054,医药生物
2012-08-04,浙江医药,11.86695426,-9.89485603333333,ROE,21.59908666666667,PE,9.543619,医药生物
2012-08-14,浙江医药,11.28890035,-10.954198933333334,ROE,21.59908666666667,PE,9.864632,医药生物
2012-08-24,浙江医药,11.85917775,-11.01146053333333,ROE,21.59908666666667,PE,9.881984,医药生物
2012-09-13,浙江医药,11.70105538,-18.981038499999993,ROE,21.373820000000006,PE,12.228745,医药生物
2012-10-13,浙江医药,11.65958066,-16.28356899999999,ROE,21.373820000000006,PE,11.41133,医药生物
2012-10-23,浙江医药,10.946733909999999,-16.783763199999992,ROE,21.373820000000006,PE,11.562904,医药生物
2012-11-02,浙江医药,10.97524778,-19.15470211111111,ROE,19.50370888888889,PE,11.71467,医药生物
2012-11-22,浙江医药,10.837862770000001,-17.059545311111112,ROE,19.50370888888889,PE,11.079774,医药生物
2012-12-12,浙江医药,10.10687083,-16.206650411111102,ROE,19.50370888888889,PE,10.821321,医药生物
2012-12-22,浙江医药,9.972077989999999,-17.374748111111106,ROE,19.50370888888889,PE,11.17529,医药生物
2013-01-01,浙江医药,10.285730560000001,-19.469904911111104,ROE,19.50370888888889,PE,11.810186,医药生物
2013-01-11,浙江医药,10.86378447,-19.914893411111105,ROE,19.50370888888889,PE,11.945031,医药生物
2013-01-31,浙江医药,10.87415315,-21.398187311111105,ROE,19.50370888888889,PE,12.394514,医药生物
2013-02-20,浙江医药,11.41591668,-22.34378911111111,ROE,19.50370888888889,PE,12.68106,医药生物
2013-03-02,浙江医药,11.98878625,-22.36233181111111,ROE,19.50370888888889,PE,12.686679,医药生物
2013-03-12,浙江医药,11.67513368,-24.9580986111111,ROE,19.50370888888889,PE,13.473275,医药生物
2013-03-22,浙江医药,12.19615985,-26.21135281111111,ROE,19.50370888888889,PE,13.853049,医药生物
2013-04-11,浙江医药,11.623290279999999,-25.721550311111113,ROE,19.50370888888889,PE,13.704624,医药生物
2013-05-11,浙江医药,11.52997216,-34.55975363333333,ROE,13.004766666666667,PE,14.413491,医药生物
2013-05-21,浙江医药,10.75491333,-35.52111623333333,ROE,13.004766666666667,PE,14.704813,医药生物
2013-05-31,浙江医药,10.988208629999999,-37.12338503333333,ROE,13.004766666666667,PE,15.190349,医药生物
2013-06-20,浙江医药,11.41591668,-39.45812183333333,ROE,13.004766666666667,PE,15.897845,医药生物
2013-07-10,浙江医药,11.969796370000001,-32.68280933333333,ROE,13.004766666666667,PE,13.84472,医药生物
2013-07-20,浙江医药,10.630685345,-33.300830033333334,ROE,13.004766666666667,PE,14.031999,医药生物
2013-07-30,浙江医药,10.938283125,-33.80440013333333,ROE,13.004766666666667,PE,14.184596,医药生物
2013-08-09,浙江医药,10.91972119,-37.39806053333333,ROE,13.004766666666667,PE,15.273584,医药生物
