2011-04-26,万方发展,90.1344688111111,4.4325,综合
2018-08-07,恺英网络,0.28569503333333657,5.58,传媒
2018-08-08,恺英网络,-0.9628038666666648,5.58,传媒
2018-08-09,恺英网络,-0.44618226666666416,5.69,传媒
2018-08-10,恺英网络,-1.1780595666666611,5.699999999999998,传媒
2018-08-11,恺英网络,-1.3502667666666641,5.76,传媒
2018-08-14,恺英网络,-1.7377329666666623,5.76,传媒
2018-08-15,恺英网络,-1.1780595666666611,5.800000000000002,传媒
2018-08-16,恺英网络,-0.3600786666666629,5.68,传媒
2018-08-17,恺英网络,-0.3170268666666658,5.525,传媒
2018-08-18,恺英网络,0.5870543333333345,5.494999999999999,传媒
2018-08-21,恺英网络,-0.18787476666666336,5.494999999999999,传媒
2018-08-22,恺英网络,-0.3600786666666629,5.574999999999998,传媒
2018-08-23,恺英网络,-0.3600786666666629,5.52,传媒
2018-08-24,恺英网络,-0.14482296666666272,5.5150000000000015,传媒
2018-08-25,恺英网络,0.027384233333336283,5.525,传媒
2018-08-28,恺英网络,-1.5357432666666642,5.525,传媒
2018-08-29,恺英网络,-1.5357432666666642,5.535,传媒
2018-08-30,恺英网络,-1.0825344666666652,5.465,传媒
2018-08-31,恺英网络,1.1835161333333382,5.1850000000000005,传媒
2018-09-01,恺英网络,2.3165414333333345,4.745,传媒
2018-09-04,恺英网络,0.3193737333333324,4.745,传媒
2018-09-05,恺英网络,-0.0431939666666672,4.825,传媒
2018-09-06,恺英网络,-0.3604427666666688,4.975,传媒
2018-09-07,恺英网络,0.04744713333333195,4.915,传媒
2018-09-08,恺英网络,-0.08851616666666827,4.9,传媒
2018-09-11,恺英网络,0.18341043333333215,4.9,传媒
2018-09-12,恺英网络,-1.9919990666666652,5.045,传媒
2018-09-13,恺英网络,-0.9496148666666642,5.135,传媒
2018-09-14,恺英网络,-1.0402559666666669,5.09,传媒
2018-09-15,恺英网络,-0.3604427666666688,5.0,传媒
2018-09-18,恺英网络,0.09276933333333304,5.0,传媒
2018-09-19,恺英网络,-0.6776882666666637,4.96,传媒
2018-09-20,恺英网络,-0.7683326666666659,5.045,传媒
2018-09-21,恺英网络,-0.7230104666666648,5.01,传媒
2018-09-22,恺英网络,-0.9949370666666651,5.04,传媒
2018-09-26,恺英网络,-0.7230104666666648,5.04,传媒
2018-09-27,恺英网络,-0.5870471666666646,5.025,传媒
2018-09-28,恺英网络,0.5913003333333329,4.875,传媒
2018-09-29,恺英网络,0.3193737333333324,4.77,传媒
2018-10-09,恺英网络,1.452399033333336,4.77,传媒
2018-10-10,恺英网络,1.4977179333333341,4.55,传媒
2018-10-11,恺英网络,1.7243223333333368,4.435,传媒
2018-10-12,恺英网络,3.7637685333333337,4.195,传媒
2018-10-13,恺英网络,4.670189433333333,3.87,传媒
2018-10-16,恺英网络,4.942116033333335,3.87,传媒
2018-10-17,恺英网络,5.350002633333332,3.725,传媒
2018-10-18,恺英网络,5.259361533333333,3.675,传媒
2018-10-19,恺英网络,6.075141333333333,3.595,传媒
2018-10-20,恺英网络,5.576610333333335,3.545,传媒
2018-10-23,恺英网络,4.806152733333335,3.545,传媒
2018-10-24,恺英网络,5.032757133333334,3.8,传媒
2018-10-25,恺英网络,4.896793833333334,3.795,传媒
2018-10-26,恺英网络,5.123398233333333,3.66,传媒
2018-10-27,恺英网络,4.806152733333335,3.84,传媒
2018-10-30,恺英网络,-3.522737066666668,3.84,传媒
2018-10-31,恺英网络,-4.406143766666666,3.85,传媒
2018-11-01,恺英网络,-5.153643266666666,4.13,传媒
2018-11-02,恺英网络,-5.5752236111111095,3.985,传媒
2018-11-03,恺英网络,-6.186812611111107,4.025,传媒
2018-11-06,恺英网络,-6.3227231111111095,4.025,传媒
2018-11-07,恺英网络,-6.730448011111107,4.045,传媒
2018-11-08,恺英网络,-6.050905411111111,4.085,传媒
2018-11-09,恺英网络,-6.050905411111111,4.085,传媒
2018-11-10,恺英网络,-6.25476951111111,4.045,传媒
2018-11-13,恺英网络,-7.681811611111107,4.045,传媒
2018-11-14,恺英网络,-8.972946511111111,4.385,传媒
2018-11-15,恺英网络,-10.33203501111111,4.5600000000000005,传媒
2018-11-16,恺英网络,-11.962941211111106,4.965,传媒
2018-11-17,恺英网络,-11.759077111111115,4.91,传媒
2018-11-20,恺英网络,-11.079534511111104,4.91,传媒
2018-11-21,恺英网络,-9.652489111111107,4.6549999999999985,传媒
2018-11-22,恺英网络,-10.807716811111105,4.615,传媒
2018-11-23,恺英网络,-12.302712511111109,5.0150000000000015,传媒
2018-11-24,恺英网络,-9.176807311111112,4.69,传媒
2018-11-27,恺英网络,-8.904989611111105,4.69,传媒
2018-11-28,恺英网络,-10.60385271111111,4.61,传媒
2018-11-29,恺英网络,-10.264081411111107,4.785,传媒
2018-11-30,恺英网络,-8.904989611111105,4.575,传媒
2018-12-01,恺英网络,-7.749765211111112,4.3100000000000005,传媒
2018-12-04,恺英网络,-9.448628311111106,4.3100000000000005,传媒
2018-12-05,恺英网络,-9.040900111111107,4.52,传媒
2018-12-06,恺英网络,-8.361354211111108,4.3900000000000015,传媒
2018-12-07,恺英网络,-7.342040311111108,4.3,传媒
2018-12-08,恺英网络,-6.662494411111107,4.185,传媒
2018-12-11,恺英网络,-7.274083411111107,4.185,传媒
2018-12-12,恺英网络,-7.681811611111107,4.225,传媒
2018-12-13,恺英网络,-7.274083411111107,4.275,传媒
2018-12-14,恺英网络,-7.002265711111107,4.15,传媒
2018-12-15,恺英网络,-5.167495411111106,4.03,传媒
2018-12-18,恺英网络,-4.691816911111111,4.03,传媒
2018-12-19,恺英网络,-5.099541811111108,3.885,传媒
2018-12-20,恺英网络,-4.8277241111111096,3.895,传媒
2018-12-21,恺英网络,-5.50727001111111,3.92,传媒
2018-12-22,恺英网络,-5.371359511111108,3.96,传媒
2018-12-25,恺英网络,-4.8277241111111096,3.96,传媒
2018-12-26,恺英网络,-4.28408871111111,3.72,传媒
2018-12-27,恺英网络,-4.0122710111111095,3.775,传媒
2018-12-28,恺英网络,-3.3327284111111086,3.735,传媒
2018-12-29,恺英网络,-3.80840691111111,3.725,传媒
2019-01-03,恺英网络,-4.0122710111111095,3.725,传媒
2019-01-04,恺英网络,-3.604546111111112,3.74,传媒
2019-01-05,恺英网络,-4.419999211111112,3.715,传媒
2019-01-08,恺英网络,-4.75977051111111,3.715,传媒
2019-01-09,恺英网络,-4.487952811111111,3.82,传媒
2019-01-10,恺英网络,-4.555906411111111,3.865,传媒
2019-01-11,恺英网络,-4.691816911111111,3.855,传媒
2019-01-12,恺英网络,-5.371359511111108,3.89,传媒
2019-01-15,恺英网络,-4.691816911111111,3.89,传媒
2019-01-16,恺英网络,-5.235452311111111,3.88,传媒
2019-01-17,恺英网络,-5.235452311111111,3.955,传媒
2019-01-18,恺英网络,-4.75977051111111,3.88,传媒
2019-01-19,恺英网络,-5.099541811111108,3.86,传媒
2019-01-22,恺英网络,-4.895677711111109,3.86,传媒
2019-01-23,恺英网络,-4.148181511111112,3.815,传媒
2019-01-24,恺英网络,-4.148181511111112,3.735,传媒
2019-01-25,恺英网络,-4.148181511111112,3.75,传媒
2019-01-26,恺英网络,-3.80840691111111,3.74,传媒
2019-01-29,恺英网络,-3.400682011111112,3.74,传媒
2019-01-30,恺英网络,-1.9736399111111105,3.49,传媒
2019-01-31,恺英网络,-1.4300012111111116,3.395,传媒
2019-02-01,恺英网络,0.47272268888889,3.18,传媒
