2011-04-26,万方发展,90.1344688111111,4.4325,综合
2012-05-19,冠城大通,0.5653267,4.925814315,房地产
2012-05-22,冠城大通,1.1999001999999983,4.925814315,房地产
2012-05-23,冠城大通,-0.6131692999999991,4.944007535000001,房地产
2012-05-24,冠城大通,-0.5678438000000021,5.11229482,房地产
2012-05-25,冠城大通,-0.43186399999999736,5.13048804,房地产
2012-05-26,冠城大通,0.20271280000000047,5.01223211,房地产
2012-05-29,冠城大通,0.20271280000000047,5.01223211,房地产
2012-05-30,冠城大通,-0.7038235999999998,5.11229482,房地产
2012-05-31,冠城大通,-2.0183027,5.366999900000001,房地产
2012-06-01,冠城大通,-1.8369941000000016,5.3942897300000014,房地产
2012-06-02,冠城大通,-1.9729738999999995,5.344258375000001,房地产
2012-06-05,冠城大通,-1.0664374999999993,5.344258375000001,房地产
2012-06-06,冠城大通,-1.4743801999999988,5.2214541400000005,房地产
2012-06-07,冠城大通,-0.7944779000000004,5.171422785000002,房地产
2012-06-08,冠城大通,-0.7944779000000004,5.1850676999999985,房地产
2012-06-09,冠城大通,-0.7944779000000004,5.189616005,房地产
2012-06-12,冠城大通,-1.9276483999999992,5.189616005,房地产
2012-06-13,冠城大通,-3.4234328000000005,5.5671253200000015,房地产
2012-06-14,冠城大通,-3.9673552999999977,5.6808329450000015,房地产
2012-06-15,冠城大通,-3.604741399999998,5.76725074,房地产
2012-06-16,冠城大通,-2.4715709,5.571673625000002,房地产
2012-06-19,冠城大通,-3.3781072999999995,5.571673625000002,房地产
2012-06-20,冠城大通,-2.7435304999999985,5.57622193,房地产
2012-06-21,冠城大通,-2.4715709,5.5079973550000005,房地产
2012-06-22,冠城大通,-2.4715709,5.47615922,房地产
2012-06-26,冠城大通,-1.021111999999999,5.47615922,房地产
2012-06-27,冠城大通,-1.3384004000000012,5.19416431,房地产
2012-06-28,冠城大通,-0.6131692999999991,5.1623261750000005,房地产
2012-06-29,冠城大通,-0.6131692999999991,5.094101599999999,房地产
2012-06-30,冠城大通,-0.4771895000000015,5.007683805,房地产
2012-07-03,冠城大通,-0.7944779000000004,5.007683805,房地产
2012-07-04,冠城大通,-2.0636282,5.32151685,房地产
2012-07-05,冠城大通,-1.9276483999999992,5.362451595,房地产
2012-07-06,冠城大通,-1.9276483999999992,5.41248295,房地产
2012-07-07,冠城大通,-2.9248391,5.498900745,房地产
2012-07-10,冠城大通,-1.5650344999999994,5.498900745,房地产
