2011-04-26,股票具体名称,价格,指标,ROE,roe,PE,pe,板块
2012-05-26,冠城大通,5.01223211,0.20271280000000047,ROE,24.76984,PE,7.444584,房地产
2012-06-05,冠城大通,5.01223211,-1.0664374999999993,ROE,24.76984,PE,7.829175,房地产
2012-06-15,冠城大通,5.2214541400000005,-3.604741399999998,ROE,24.76984,PE,8.598358,房地产
2012-07-05,冠城大通,5.571673625000001,-1.927648399999999,ROE,24.76984,PE,8.090148,房地产
2012-07-25,冠城大通,5.41248295,0.5653267,ROE,24.76984,PE,7.334701,房地产
2012-08-04,冠城大通,4.766623640000001,2.015782299999998,ROE,24.76984,PE,6.895169,房地产
2012-08-14,冠城大通,4.53920839,2.5597048000000022,ROE,24.76984,PE,6.730344,房地产
2012-08-24,冠城大通,4.46643551,1.614763,ROE,24.76984,PE,7.01669,房地产
2012-09-13,冠城大通,4.398210935,-1.1573036666666674,ROE,21.99777333333333,PE,7.01669,房地产
2012-10-13,冠城大通,4.4209524600000005,-1.015248566666667,ROE,21.99777333333333,PE,6.973643,房地产
2012-10-23,冠城大通,4.38456602,-2.7199163666666664,ROE,21.99777333333333,PE,7.490209,房地产
2012-11-02,冠城大通,4.743882115,-7.3172428222222194,ROE,19.955217777777776,PE,8.264382,房地产
2012-11-22,冠城大通,4.7893651649999995,-6.313026422222222,ROE,19.955217777777776,PE,7.960074,房地产
2012-12-12,冠城大通,4.5028219499999995,-7.898633522222227,ROE,19.955217777777776,PE,8.440561,房地产
2012-12-22,冠城大通,4.92126601,-10.59416922222222,ROE,19.955217777777776,PE,9.25739,房地产
2013-01-01,冠城大通,5.235099055,-14.716750322222225,ROE,19.955217777777776,PE,10.506657,房地产
2013-01-11,冠城大通,5.90369989,-17.465135522222226,ROE,19.955217777777776,PE,11.339501,房地产
2013-01-31,冠城大通,6.463141405,-16.249504622222226,ROE,19.955217777777776,PE,10.971128,房地产
2013-02-20,冠城大通,5.985569379999999,-14.558188622222225,ROE,19.955217777777776,PE,10.458608,房地产
2013-03-02,冠城大通,5.880958365,-14.611041422222222,ROE,19.955217777777776,PE,10.474624,房地产
2013-03-12,冠城大通,5.953731245,-12.708310922222225,ROE,19.955217777777776,PE,9.898039,房地产
2013-03-22,冠城大通,5.68538125,-10.707161222222222,ROE,19.955217777777776,PE,9.29163,房地产
2013-04-11,冠城大通,5.9309897199999995,-9.071212622222223,ROE,19.955217777777776,PE,8.795888,房地产
2013-05-11,冠城大通,5.66718803,13.813206433333331,ROE,35.63641333333333,PE,6.613093,房地产
2013-05-21,冠城大通,6.226629545,11.687980033333332,ROE,35.63641333333333,PE,7.257101,房地产
2013-05-31,冠城大通,6.908875295,7.405810933333328,ROE,35.63641333333333,PE,8.554728,房地产
2013-06-20,冠城大通,7.954985445,9.784794133333332,ROE,35.63641333333333,PE,7.833824,房地产
2013-07-10,冠城大通,7.436478675,9.044359933333329,ROE,35.63641333333333,PE,8.058198,房地产
2013-07-20,冠城大通,7.986426144999999,9.877362433333332,ROE,35.63641333333333,PE,7.805773,房地产
2013-07-30,冠城大通,7.729702919999999,10.325905033333331,ROE,35.63641333333333,PE,7.669851,房地产
2013-08-09,冠城大通,7.458976610000001,13.97477443333333,ROE,35.63641333333333,PE,6.564133,房地产
2013-08-29,冠城大通,7.9910938400000004,14.813489233333332,ROE,35.63641333333333,PE,6.309977,房地产
2013-09-18,冠城大通,7.669022885,11.635600700000001,ROE,31.29608,PE,5.957721,房地产
2013-09-28,冠城大通,7.21625647,12.949670600000001,ROE,31.29608,PE,5.559518,房地产
2013-10-18,冠城大通,6.800831615,12.545341400000002,ROE,31.29608,PE,5.682042,房地产
2013-11-07,冠城大通,6.93619477,9.69120015555556,ROE,26.464235555555558,PE,5.082738,房地产
2013-11-27,冠城大通,6.520769915000001,9.906544955555557,ROE,26.464235555555558,PE,5.017482,房地产
2013-12-07,冠城大通,6.464757575,9.451927055555558,ROE,26.464235555555558,PE,5.155245,房地产
2013-12-17,冠城大通,6.646797680000001,9.858688355555561,ROE,26.464235555555558,PE,5.031984,房地产
2013-12-27,冠城大通,6.46008988,11.14992885555556,ROE,26.464235555555558,PE,4.640699,房地产
2014-01-16,冠城大通,6.016658855,12.539961455555558,ROE,26.464235555555558,PE,4.219477,房地产
2014-02-15,冠城大通,5.43319698,10.191288755555558,ROE,26.464235555555558,PE,4.931196,房地产
2014-02-25,冠城大通,6.28271747,12.108572255555558,ROE,26.464235555555558,PE,4.350201,房地产
2014-03-07,冠城大通,5.624572475,7.800494855555559,ROE,26.464235555555558,PE,5.655679,房地产
2014-03-27,冠城大通,5.56389244,7.9542319555555565,ROE,26.464235555555558,PE,5.609092,房地产
2014-04-16,冠城大通,5.63857556,8.01572745555556,ROE,26.464235555555558,PE,5.590457,房地产
2014-04-26,冠城大通,5.605901695,8.99964885555556,ROE,26.464235555555558,PE,5.292299,房地产
2014-05-06,冠城大通,5.381852335,-12.923788899999996,ROE,15.487339999999998,PE,8.609433,房地产
2014-05-16,冠城大通,4.60234727,-12.4040752,ROE,15.487339999999998,PE,8.451944,房地产
2014-06-05,冠城大通,4.49032259,-14.078713000000002,ROE,15.487339999999998,PE,8.95941,房地产
2014-06-25,冠城大通,4.863738189999999,-14.944906899999998,ROE,15.487339999999998,PE,9.221893,房地产
2014-07-05,冠城大通,4.83573202,-14.4829366,ROE,15.487339999999998,PE,9.081902,房地产
2014-07-15,冠城大通,4.831064325,-19.9110802,ROE,15.487339999999998,PE,10.726794,房地产
2014-07-25,冠城大通,5.755267935,-21.7589581,ROE,15.487339999999998,PE,11.286757,房地产
2014-08-14,冠城大通,6.03999733,-20.835020800000002,ROE,15.487339999999998,PE,11.006776,房地产
2014-09-03,冠城大通,5.95597882,-30.370707133333337,ROE,18.248806666666663,PE,14.733186,房地产
2014-09-13,冠城大通,5.84395414,-30.526539733333333,ROE,18.248806666666663,PE,14.780408,房地产
2014-09-23,冠城大通,5.857957225,-30.916117933333336,ROE,18.248806666666663,PE,14.898462,房地产
2014-10-23,冠城大通,5.73192946,-31.539445033333333,ROE,18.248806666666663,PE,15.087349,房地产
2014-11-12,冠城大通,5.876628005000001,-65.5393377111111,ROE,16.251828888888888,PE,24.785202,房地产
2014-11-22,冠城大通,6.203366655,-66.77859661111111,ROE,16.251828888888888,PE,25.160735,房地产
2014-12-02,冠城大通,6.184695875,-80.9061639111111,ROE,16.251828888888888,PE,29.441816,房地产
2014-12-12,冠城大通,7.323613455,-78.05586481111109,ROE,16.251828888888888,PE,28.578089,房地产
2015-01-01,冠城大通,6.93619477,-84.36296671111111,ROE,16.251828888888888,PE,30.489332,房地产
2015-01-21,冠城大通,7.374958100000001,-76.53737311111112,ROE,16.251828888888888,PE,28.11794,房地产
2015-01-31,冠城大通,7.13223796,-76.16472721111111,ROE,16.251828888888888,PE,28.005017,房地产
2015-02-10,冠城大通,7.03888406,-72.31403641111112,ROE,16.251828888888888,PE,26.838141,房地产
2015-03-12,冠城大通,6.707477715,-80.26384531111111,ROE,16.251828888888888,PE,29.247174,房地产
2015-04-01,冠城大通,7.31894576,-105.69315031111111,ROE,16.251828888888888,PE,36.953024,房地产
2015-04-11,冠城大通,9.059995995,-109.55848321111111,ROE,16.251828888888888,PE,38.124337,房地产
2015-04-21,冠城大通,9.274709965,-45.55820731111111,ROE,16.251828888888888,PE,18.730314,房地产
2015-05-01,冠城大通,10.11956276,-56.0997405111111,ROE,16.251828888888888,PE,21.924718,房地产
2015-05-21,冠城大通,10.0822212,-67.82165753333332,ROE,11.671626666666668,PE,24.088874,房地产
2015-06-10,冠城大通,11.51053587,-79.30179323333333,ROE,11.671626666666668,PE,27.567703,房地产
2015-06-20,冠城大通,12.82682586,-67.22095193333332,ROE,11.671626666666668,PE,23.906842,房地产
2015-06-30,冠城大通,11.66764368,-50.60144903333333,ROE,11.671626666666668,PE,18.870629,房地产
2015-07-10,冠城大通,8.70338031,-36.71849093333333,ROE,11.671626666666668,PE,14.663672,房地产
2015-07-30,冠城大通,7.40592318,-46.58739503333333,ROE,11.671626666666668,PE,17.654249,房地产
2015-08-19,冠城大通,7.571656755,-71.51484923333334,ROE,11.671626666666668,PE,25.208023,房地产
2015-08-29,冠城大通,10.791623354999999,-48.65281223333333,ROE,11.671626666666668,PE,18.280133,房地产
2015-09-08,冠城大通,7.68056739,-37.00523253333333,ROE,13.348226666666667,PE,15.258624,房地产
2015-09-18,冠城大通,6.80928231,-35.43836283333333,ROE,13.348226666666667,PE,14.783815,房地产
2015-10-28,冠城大通,6.5535790800000004,-49.896286533333324,ROE,13.348226666666667,PE,19.165004,房地产
2015-11-07,冠城大通,8.405059875,-55.24874813333333,ROE,11.808426666666668,PE,20.320356,房地产
2015-11-17,冠城大通,8.424000855,-60.199279433333324,ROE,11.808426666666668,PE,21.820517,房地产
2015-11-27,冠城大通,9.001700745,-57.87403013333333,ROE,11.808426666666668,PE,21.115896,房地产
2015-12-17,冠城大通,8.414530365000001,-52.39844243333334,ROE,11.808426666666668,PE,19.456627,房地产
2016-01-06,冠城大通,8.310354975,-50.07319643333332,ROE,11.808426666666668,PE,18.752007,房地产
2016-01-16,冠城大通,7.77527229,-38.01063053333333,ROE,11.808426666666668,PE,15.096684,房地产
2016-01-26,冠城大通,6.397315995,-41.77339613333333,ROE,11.808426666666668,PE,16.236916,房地产
2016-02-05,冠城大通,6.387845505,-36.35501063333333,ROE,11.808426666666668,PE,14.594981,房地产
2016-02-25,冠城大通,5.98534968,-38.83843883333333,ROE,11.808426666666668,PE,15.347535,房地产
2016-03-16,冠城大通,6.07058409,-35.301436133333326,ROE,11.808426666666668,PE,14.275716,房地产
2016-03-26,冠城大通,5.92852674,-38.462162933333325,ROE,11.808426666666668,PE,15.233512,房地产
2016-04-15,冠城大通,6.31681683,-154.12106123333334,ROE,11.808426666666668,PE,50.281663,房地产
2016-05-05,冠城大通,6.747724125,-221.15523216666668,ROE,3.8616533333333334,PE,68.186935,房地产
2016-05-25,冠城大通,6.45887418,-212.90681286666668,ROE,3.8616533333333334,PE,65.687414,房地产
2016-06-04,冠城大通,6.19370046,-216.20618256666668,ROE,3.8616533333333334,PE,66.687223,房地产
2016-06-14,冠城大通,6.4443749,-215.5463079666667,ROE,3.8616533333333334,PE,66.487261,房地产
2016-06-24,冠城大通,6.38666408,-230.39346336666668,ROE,3.8616533333333334,PE,70.986399,房地产
2016-07-14,冠城大通,6.71369206,-235.67245026666663,ROE,3.8616533333333334,PE,72.586092,房地产
2016-08-03,冠城大通,6.98300922,-221.15523216666668,ROE,3.8616533333333334,PE,68.186935,房地产
2016-08-13,冠城大通,6.593461185,-228.74378016666668,ROE,3.8616533333333334,PE,70.486495,房地产
2016-08-23,冠城大通,6.694455120000001,-1002,ROE,0,PE,0,房地产
2016-09-02,冠城大通,6.86758758,-1002,ROE,0,PE,0,房地产
2016-09-22,冠城大通,6.694455120000001,-1002,ROE,0,PE,0,房地产
2016-10-12,冠城大通,7.03110157,-1002,ROE,0,PE,0,房地产
2016-10-22,冠城大通,6.88682452,-1002,ROE,0,PE,0,房地产
