2011-04-26,万方发展,90.1344688111111,4.4325,综合
2011-12-16,浙江医药,0.3256575333333345,10.44871415,医药生物
2011-12-17,浙江医药,-0.2351774666666664,10.44871415,医药生物
2011-12-20,浙江医药,0.366693033333334,10.44871415,医药生物
2011-12-21,浙江医药,0.366693033333334,10.481603565,医药生物
2011-12-22,浙江医药,0.8044215333333327,10.38799523,医药生物
2011-12-23,浙江医药,1.2558252333333328,10.01356189,医药生物
2011-12-24,浙江医药,0.667629933333334,10.14511955,医药生物
2011-12-27,浙江医药,0.8728140333333343,10.14511955,医药生物
2011-12-28,浙江医药,1.1874294333333353,10.14511955,医药生物
2011-12-29,浙江医药,0.982245333333335,10.086930585,医药生物
2011-12-30,浙江医药,1.3926135333333356,10.12487991,医药生物
2011-12-31,浙江医药,1.2558252333333328,10.066690945,医药生物
2012-01-05,浙江医药,1.8713742333333307,10.066690945,医药生物
2012-01-06,浙江医药,2.5416438333333358,9.692257605,医药生物
2012-01-07,浙江医药,2.760506433333333,9.41649251,医药生物
2012-01-10,浙江医药,1.8850560333333348,9.41649251,医药生物
2012-01-11,浙江医药,0.4214103333333341,10.086930585,医药生物
2012-01-12,浙江医药,0.3256575333333345,10.425944555,医药生物
2012-01-13,浙江医药,0.3393360333333355,10.420884645,医药生物
2012-01-14,浙江医药,1.406292033333333,10.188128785,医药生物
2012-01-17,浙江医药,2.0081658333333365,10.188128785,医药生物
2012-01-18,浙江医药,0.4898061333333317,10.031271575,医药生物
2012-01-19,浙江医药,1.2284649333333348,10.221018199999998,医药生物
2012-01-20,浙江医药,0.5581986333333369,10.25643757,医药生物
2012-01-21,浙江医药,-0.5497928666666674,10.572681945,医药生物
2012-01-31,浙江医药,0.01104213333333348,10.572681945,医药生物
2012-02-01,浙江医药,0.2299047333333313,10.45883397,医药生物
2012-02-02,浙江医药,0.9412098333333354,10.31715649,医药生物
2012-02-03,浙江医药,0.3256575333333345,10.29185694,医药生物
2012-02-04,浙江医药,-0.2214989666666618,10.481603565,医药生物
2012-02-07,浙江医药,-1.055913866666664,10.481603565,医药生物
2012-02-08,浙江医药,-0.20782046666666432,10.70170965,医药生物
2012-02-09,浙江医药,-4.306747166666663,10.656170459999998,医药生物
2012-02-10,浙江医药,-4.7045126666666635,10.901576095,医药生物
2012-02-11,浙江医药,-5.714230166666662,11.382267545,医药生物
2012-02-14,浙江医药,-6.127297766666661,11.382267545,医药生物
2012-02-15,浙江医药,-6.127297766666661,11.44045651,医药生物
2012-02-16,浙江医药,-6.4332737666666695,11.473345925,医药生物
2012-02-17,浙江医药,-6.9534296666666675,11.756700885,医药生物
2012-02-18,浙江医药,-6.739249766666671,11.716221605,医药生物
2012-02-21,浙江医药,-5.913114566666668,11.716221605,医药生物
2012-02-22,浙江医药,-6.096700166666667,11.2835993,医药生物
2012-02-23,浙江医药,-7.595979266666664,11.665622505,医药生物
2012-02-24,浙江医药,-7.932552866666665,11.923677915,医药生物
2012-02-25,浙江医药,-8.59039796666666,12.095714855,医药生物
2012-02-28,浙江医药,-8.406812366666667,12.095714855,医药生物
2012-02-29,浙江医药,-8.406812366666667,12.1943831,医药生物
2012-03-01,浙江医药,-7.442991266666663,12.09824481,医药生物
2012-03-02,浙江医药,-7.458290066666668,11.888258545,医药生物
2012-03-03,浙江医药,-8.146732766666663,11.999576565,医药生物
2012-03-06,浙江医药,-7.718369666666664,11.999576565,医药生物
2012-03-07,浙江医药,-6.846338066666664,11.766820705,医药生物
2012-03-08,浙江医药,-6.463871366666663,11.57707408,医药生物
2012-03-09,浙江医药,-7.091118866666665,11.680802235,医药生物
2012-03-10,浙江医药,-7.901955266666665,11.888258545,医药生物
2012-03-13,浙江医药,-8.544501566666664,11.888258545,医药生物
2012-03-14,浙江医药,-8.59039796666666,12.191853145,医药生物
