2011-04-26,万方发展,90.1344688111111,4.4325,综合
2015-08-25,长安汽车,1.6723830333333325,10.55746644,汽车
2015-08-26,长安汽车,3.925253433333332,10.55746644,汽车
2015-08-27,长安汽车,3.1490538333333333,10.31496516,汽车
2015-08-28,长安汽车,1.047640233333336,10.89523608,汽车
2015-08-29,长安汽车,0.0821229333333342,11.48849814,汽车
2015-09-01,长安汽车,0.9067599333333334,11.48849814,汽车
2015-09-02,长安汽车,0.9797254333333356,12.04278678,汽车
2015-09-03,长安汽车,0.399595333333334,12.3199311,汽车
2015-09-08,长安汽车,1.8157936333333355,12.3199311,汽车
2015-09-09,长安汽车,1.5427912333333325,11.9301969,汽车
2015-09-10,长安汽车,1.3551037333333331,12.36756528,汽车
2015-09-11,长安汽车,1.5257302333333342,12.30693996,汽车
2015-09-12,长安汽车,2.0376097333333334,12.02546526,汽车
2015-09-15,长安汽车,3.4538080333333347,12.02546526,汽车
2015-09-16,长安汽车,4.306940533333332,10.96885254,汽车
2015-09-17,长安汽车,2.6518651333333345,11.258988,汽车
2015-09-18,长安汽车,3.1466803333333324,11.57510574,汽车
2015-09-19,长安汽车,3.283181533333334,11.3022918,汽车
2015-09-22,长安汽车,2.8054273333333337,11.3022918,汽车
2015-09-23,长安汽车,2.6348008333333333,11.59675764,汽车
2015-09-24,长安汽车,3.7609357333333335,11.19836268,汽车
2015-09-25,长安汽车,3.624434533333336,11.0641209,汽车
2015-09-26,长安汽车,3.914497933333333,11.10309432,汽车
2015-09-29,长安汽车,2.003484433333334,11.10309432,汽车
2015-09-30,长安汽车,2.5665502333333343,11.64006144,汽车
2015-10-01,长安汽车,0.2801551333333343,12.37189566,汽车
2015-10-09,长安汽车,-1.3578559666666656,12.37189566,汽车
2015-10-10,长安汽车,-1.3237306666666662,13.52810712,汽车
2015-10-13,长安汽车,-1.8356101666666689,13.52810712,汽车
2015-10-14,长安汽车,-1.8014848666666656,13.89185904,汽车
2015-10-15,长安汽车,-0.7606648666666658,13.52377674,汽车
2015-10-16,长安汽车,-1.3578559666666656,13.48047294,汽车
2015-10-17,长安汽车,-1.4943571666666668,13.67967042,汽车
2015-10-20,长安汽车,-2.535180466666666,13.67967042,汽车
2015-10-21,长安汽车,-1.937986066666664,13.93516284,汽车
2015-10-22,长安汽车,-0.12934846666666644,13.3808742,汽车
2015-10-23,长安汽车,-0.7777258666666675,13.11239064,汽车
2015-10-24,长安汽车,-0.8801017666666658,13.32890964,汽车
2015-10-27,长安汽车,-1.5626077666666696,13.32890964,汽车
2015-10-28,长安汽车,-1.3919812666666689,13.424178,汽车
2015-10-29,长安汽车,-0.6924142666666668,13.47614256,汽车
2015-10-30,长安汽车,-1.0336672666666686,13.49346408,汽车
2015-10-31,长安汽车,-0.7947901666666652,13.32890964,汽车
2015-11-03,长安汽车,-2.4402719111111106,13.32890964,汽车
2015-11-04,长安汽车,-2.005549711111112,12.98680962,汽车
2015-11-05,长安汽车,-3.066268711111114,13.12538178,汽车
